Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
2014-12-09,1.91,1.91,1.8,1.8,,,,0.4643691778182984,,,,,,
2014-12-10,1.83,1.83,1.79,1.8,,,,0.5742872953414917,,,,,,
2014-12-11,1.815,1.815,1.66,1.7,,,,0.7231285572052002,,,,,,
2014-12-12,1.7,1.705,1.67,1.7,,,,0.9179826974868774,,,,,,
2014-12-15,1.66,1.7,1.65,1.7,,,,1.1609352827072144,,,,,,
2014-12-16,1.685,1.702,1.685,1.7,,,,1.4224913120269775,,,,,,
2014-12-17,1.73,1.74,1.717,1.73,,1.6,,1.6109492778778076,1.7328571428571427,,,,,
2014-12-18,1.75,1.8,1.745,1.745,,1.66,,1.7473587989807131,1.7249999999999999,,,,,
2014-12-19,1.75,1.765,1.75,1.765,,1.7900000000000005,,1.8395123481750488,1.72,,,,,
2014-12-22,1.77,1.815,1.77,1.815,,1.83,,1.9124413728713991,1.7364285714285714,,,,,
2014-12-23,1.81,1.82,1.79,1.79,,1.93,,1.9648895263671875,1.7492857142857143,,,,,
2014-12-24,1.79,1.79,1.79,1.79,,1.88,,1.9920583963394165,1.7621428571428572,,,,,
2014-12-29,1.78,1.78,1.765,1.765,,1.85,,1.9980864524841309,1.7714285714285718,,,,,
2014-12-30,1.775,1.8,1.75,1.76,,1.7849999999999997,,1.983459234237671,1.775714285714286,1.7542857142857144,,,,
2014-12-31,1.775,1.8,1.75,1.76,,1.755,,1.9490381479263303,1.7778571428571428,1.7514285714285716,,,,
2015-01-02,1.775,1.8,1.75,1.76,,1.705,,1.89737868309021,1.7771428571428571,1.7485714285714289,,,,
2015-01-05,1.775,1.8,1.75,1.76,,1.73,,1.847501277923584,1.7692857142857144,1.7528571428571433,,,,
2015-01-06,1.73,1.73,1.7,1.73,,1.73,,1.7883653640747068,1.7607142857142857,1.7550000000000006,,,,
2015-01-07,1.73,1.73,1.7,1.73,,1.695,,1.7537117004394531,1.7521428571428572,1.7571428571428578,,,,
2015-01-08,1.73,1.73,1.7,1.73,,1.7,,1.7382915019989014,1.747142857142857,1.759285714285715,,,,
2015-01-09,1.73,1.73,1.7,1.73,,1.7,,1.7149411439895632,1.742857142857143,1.759285714285715,,,,
2015-01-12,1.65,1.65,1.65,1.65,,1.7,,1.6879494190216064,1.7271428571428573,1.7525000000000006,,,,
2015-01-13,1.73,1.73,1.73,1.73,,1.5399999999999998,,1.7144867181777954,1.722857142857143,1.7500000000000004,,,,
2015-01-14,1.73,1.73,1.725,1.73,,1.73,,1.7401618957519531,1.718571428571429,1.743928571428572,,,,
2015-01-15,1.7,1.7,1.7,1.7,,1.73,,1.7635700702667236,1.7142857142857146,1.7375000000000005,,,,
2015-01-16,1.7,1.72,1.7,1.705,,1.67,,1.784719944000244,1.7107142857142859,1.731428571428572,,,,
2015-01-19,1.72,1.75,1.72,1.75,,1.6800000000000002,,1.8031754493713381,1.7135714285714287,1.7303571428571434,,,,
2015-01-20,1.75,1.8,1.75,1.8,,1.85,,1.8183536529541016,1.7235714285714288,1.7332142857142863,,,,
2015-01-21,1.8,1.9,1.8,1.9,,1.87,,1.831196665763855,1.7592857142857146,1.743214285714286,,,,
2015-01-22,1.9,1.95,1.9,1.91,,2.07,,1.8417106866836548,1.7850000000000001,1.7539285714285717,1.7544999999999995,,,
2015-01-23,1.91,1.91,1.86,1.86,,2.12,,1.849950075149536,1.8035714285714286,1.7610714285714286,1.7564999999999995,,,
2015-01-27,1.86,1.875,1.855,1.855,,2.015,,1.8559129238128664,1.8257142857142858,1.77,1.7583333333333329,,,
