Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
2001-12-17,1.2,1.24,1.16,1.19,12077997.0,,,0.7542823553085327,,,,,,
2001-12-18,1.2,1.21,1.17,1.18,2270435.0,,,0.8803675770759583,,,,,,
2001-12-19,1.19,1.19,1.08,1.09,1951888.0,,,1.0008630752563477,,,,,,
2001-12-20,1.1,1.1,1.0,1.07,915928.0,,,1.1109468936920166,,,,,,
2001-12-21,1.07,1.07,1.02,1.02,478522.0,,,1.1985466480255127,,,,,,
2001-12-24,1.03,1.13,1.02,1.13,806958.0,,,1.254239559173584,,,,,,
2001-12-27,1.17,1.19,1.15,1.16,1252575.0,1.0699999999999998,,1.2792383432388306,1.12,,,,,
2001-12-28,1.18,1.18,1.15,1.17,1098312.0,1.14,,1.279996633529663,1.1171428571428574,,,,,
2001-12-31,1.18,1.18,1.16,1.17,292382.0,1.2499999999999998,,1.26054048538208,1.115714285714286,,,,,
2002-01-02,1.17,1.18,1.15,1.15,265000.0,1.2699999999999998,,1.2507703304290771,1.1242857142857148,,,,,
2002-01-03,1.163,1.163,1.15,1.16,206375.0,1.2799999999999998,,1.2339050769805908,1.1371428571428575,,,,,
2002-01-04,1.17,1.17,1.12,1.13,342970.0,1.19,,1.237830638885498,1.1528571428571435,,,,,
2002-01-07,1.14,1.16,1.13,1.16,353720.0,1.1,,1.25551176071167,1.157142857142858,,,,,
2002-01-08,1.17,1.17,1.14,1.15,549649.0,1.15,,1.2724709510803225,1.1557142857142864,1.137857142857143,,,,
2002-01-09,1.15,1.16,1.14,1.14,238574.0,1.13,,1.2930258512496948,1.1514285714285724,1.1342857142857143,,,,
2002-01-10,1.15,1.15,1.13,1.14,465840.0,1.13,,1.3121814727783203,1.1471428571428581,1.1314285714285715,,,,
2002-01-11,1.14,1.15,1.12,1.12,314625.0,1.12,,1.327280044555664,1.1428571428571437,1.1335714285714287,,,,
2002-01-14,1.132,1.14,1.13,1.13,324488.0,1.1100000000000003,,1.3464925289154053,1.1385714285714295,1.137857142857143,,,,
2002-01-15,1.21,1.22,1.16,1.2,8231845.0,1.1,,1.3706004619598389,1.1485714285714295,1.1507142857142856,,,,
2002-01-16,1.22,1.22,1.2,1.2,2799861.0,1.25,,1.391089677810669,1.154285714285715,1.1557142857142857,,,,
2002-01-17,1.2,1.21,1.2,1.2,1767923.0,1.26,,1.4077340364456177,1.1614285714285721,1.1585714285714286,,,,
2002-01-18,1.22,1.24,1.21,1.22,1240726.0,1.26,,1.418284893035889,1.1728571428571435,1.162142857142857,,,,
2002-01-21,1.24,1.27,1.23,1.26,1187507.0,1.3199999999999998,,1.4250972270965576,1.1900000000000006,1.1685714285714286,,,,
2002-01-22,1.27,1.33,1.26,1.27,1689456.0,1.39,,1.4284676313400269,1.211428571428572,1.1771428571428573,,,,
2002-01-23,1.3,1.3,1.28,1.3,753619.0,1.34,,1.4283905029296875,1.2357142857142864,1.1871428571428573,,,,
2002-01-24,1.3,1.3,1.28,1.3,605469.0,1.4,,1.424864411354065,1.250000000000001,1.1992857142857145,,,,
2002-01-25,1.3,1.3,1.27,1.29,590152.0,1.4,,1.4198211431503296,1.2628571428571438,1.2085714285714286,,,,
2002-01-29,1.29,1.3,1.26,1.26,377737.0,1.36,,1.4310873746871948,1.2714285714285725,1.2164285714285719,,,,
2002-01-30,1.273,1.28,1.26,1.28,153720.0,1.26,,1.440056562423706,1.280000000000001,1.2264285714285719,,,,
2002-01-31,1.28,1.28,1.26,1.26,284679.0,1.29,,1.4429872035980225,1.280000000000001,1.2350000000000005,1.1833333333333333,,,
2002-02-01,1.278,1.278,1.25,1.25,331961.0,1.22,,1.443329095840454,1.277142857142858,1.2442857142857147,1.1853333333333333,,,
2002-02-04,1.25,1.27,1.25,1.26,238636.0,1.2,,1.439287185668945,1.2714285714285722,1.2535714285714292,1.188,,,
2002-02-05,1.26,1.27,1.25,1.25,181161.0,1.23,,1.4340771436691284,1.264285714285715,1.2571428571428578,1.1933333333333331,,,
2002-02-06,1.26,1.27,1.25,1.25,166879.0,1.24,,1.4277851581573486,1.2585714285714293,1.2607142857142863,1.1993333333333331,,,
2002-02-07,1.25,1.26,1.24,1.25,233614.0,1.22,,1.4206653833389282,1.257142857142858,1.264285714285715,1.2069999999999999,,,
2002-02-08,1.25,1.26,1.24,1.25,198119.0,1.24,,1.4136209487915041,1.2528571428571438,1.2664285714285721,1.2109999999999996,,,
2002-02-11,1.25,1.25,1.22,1.23,387229.0,1.25,,1.4062577486038208,1.2485714285714296,1.264285714285715,1.2133333333333332,,,
2002-02-12,1.23,1.24,1.2,1.2,427806.0,1.2,,1.3985081911087036,1.2414285714285724,1.259285714285715,1.214333333333333,,,
2002-02-13,1.2,1.23,1.2,1.23,317237.0,1.15,,1.3900651931762695,1.2371428571428582,1.254285714285715,1.2163333333333328,,,
2002-02-14,1.23,1.34,1.23,1.33,1090954.0,1.21,,1.3809976577758791,1.2485714285714296,1.256428571428572,1.2223333333333328,,,
2002-02-15,1.37,1.41,1.36,1.37,2086992.0,1.41,,1.371269702911377,1.2657142857142867,1.2621428571428577,1.229333333333333,,,
2002-02-18,1.39,1.4,1.37,1.38,735963.0,1.4900000000000002,,1.3632121086120603,1.2842857142857151,1.2707142857142861,1.2376666666666662,,,
2002-02-19,1.39,1.39,1.36,1.36,485860.0,1.5299999999999998,,1.3553524017333984,1.3000000000000007,1.2764285714285717,1.244333333333333,,,
2002-02-20,1.37,1.39,1.36,1.37,262700.0,1.5200000000000002,,1.3470304012298584,1.3200000000000007,1.2842857142857145,1.2516666666666663,,,
2002-02-21,1.38,1.38,1.36,1.36,279650.0,1.5100000000000002,,1.3381972312927246,1.3428571428571436,1.2921428571428575,1.2589999999999997,,,
2002-02-22,1.37,1.38,1.36,1.37,146380.0,1.39,,1.3284170627593994,1.3628571428571437,1.3000000000000003,1.2666666666666662,,,
2002-02-25,1.37,1.38,1.36,1.36,184715.0,1.37,,1.3177168369293213,1.3671428571428579,1.307857142857143,1.2746666666666662,,,
2002-02-26,1.36,1.36,1.34,1.34,424739.0,1.3400000000000003,,1.3061312437057495,1.3628571428571437,1.3142857142857145,1.2816666666666663,,,
2002-02-27,1.35,1.35,1.33,1.33,266322.0,1.32,,1.2936878204345703,1.3557142857142865,1.3200000000000003,1.2859999999999994,,,
2002-02-28,1.34,1.35,1.33,1.35,173468.0,1.29,,1.2839796543121338,1.3542857142857152,1.3271428571428576,1.2909999999999995,,,
2002-03-01,1.34,1.36,1.34,1.36,146781.0,1.34,,1.2790477275848389,1.3528571428571436,1.3364285714285717,1.2963333333333327,,,
2002-03-04,1.33,1.34,1.32,1.32,221804.0,1.35,,1.273547649383545,1.347142857142858,1.3450000000000004,1.299666666666666,,,
2002-03-05,1.34,1.34,1.32,1.33,201409.0,1.28,,1.2674888372421265,1.3414285714285725,1.3521428571428573,1.3019999999999994,,,
2002-03-06,1.32,1.35,1.3,1.33,1391400.0,1.32,,1.2613110542297363,1.3371428571428583,1.3521428571428575,1.3039999999999992,,,
2002-03-07,1.35,1.36,1.33,1.33,683127.0,1.33,,1.2601628303527832,1.335714285714287,1.3492857142857146,1.3049999999999993,,,
2002-03-08,1.34,1.34,1.32,1.33,677451.0,1.31,,1.2577484846115112,1.335714285714287,1.3457142857142863,1.3059999999999994,,,
2002-03-11,1.33,1.33,1.31,1.33,1105030.0,1.3,,1.2547886371612549,1.332857142857144,1.3435714285714293,1.3073333333333326,,,
2002-03-12,1.34,1.38,1.34,1.36,558396.0,1.34,,1.2513853311538696,1.332857142857144,1.3428571428571434,1.310666666666666,,,
2002-03-13,1.37,1.37,1.36,1.36,364455.0,1.39,,1.247541904449463,1.3385714285714296,1.3428571428571434,1.3133333333333326,,,
2002-03-14,1.36,1.37,1.35,1.36,170273.0,1.39,,1.2432624101638794,1.3428571428571439,1.3421428571428575,1.316666666666666,1.2499999999999996,,
2002-03-15,1.36,1.36,1.34,1.35,350380.0,1.39,,1.2383617162704468,1.3457142857142868,1.341428571428572,1.3199999999999994,1.2526666666666662,,
2002-03-18,1.35,1.35,1.34,1.35,146050.0,1.37,,1.2326620817184448,1.3485714285714294,1.3421428571428577,1.3229999999999995,1.2554999999999992,,
2002-03-19,1.35,1.35,1.34,1.34,353869.0,1.37,,1.2265787124633791,1.350000000000001,1.3428571428571436,1.3259999999999996,1.2596666666666658,,
2002-03-20,1.35,1.35,1.34,1.34,270171.0,1.32,,1.2201173305511477,1.3514285714285723,1.3421428571428577,1.3289999999999997,1.264166666666666,,
2002-03-21,1.35,1.35,1.34,1.35,136148.0,1.32,,1.2132835388183594,1.350000000000001,1.3414285714285723,1.3323333333333331,1.269666666666666,,
2002-03-22,1.35,1.35,1.34,1.35,234060.0,1.34,,1.2060823440551758,1.3485714285714294,1.3435714285714295,1.3356666666666663,1.2733333333333328,,
2002-03-25,1.35,1.35,1.33,1.33,683045.0,1.35,,1.1985187530517578,1.3442857142857154,1.3435714285714297,1.3389999999999997,1.276166666666666,,
2002-03-26,1.33,1.33,1.32,1.32,209317.0,1.31,,1.1906421184539795,1.3400000000000012,1.342857142857144,1.3429999999999997,1.278666666666666,,
2002-03-27,1.32,1.32,1.28,1.29,2599332.0,1.3,,1.1824737787246704,1.3314285714285727,1.3400000000000014,1.3449999999999998,1.280666666666666,,
2002-03-28,1.3,1.3,1.15,1.21,3761095.0,1.24,,1.175029158592224,1.312857142857144,1.331428571428573,1.341,1.2816666666666658,,
2002-04-02,1.26,1.28,1.24,1.25,2415130.0,1.0699999999999998,,1.1676959991455078,1.3000000000000012,1.3257142857142874,1.337,1.283166666666666,,
2002-04-03,1.28,1.28,1.26,1.26,1317369.0,1.15,,1.16100811958313,1.2871428571428585,1.3185714285714305,1.3329999999999997,1.2853333333333328,,
2002-04-04,1.27,1.28,1.26,1.28,357792.0,1.19,,1.1589514017105105,1.2771428571428582,1.3128571428571447,1.3303333333333331,1.2873333333333328,,
2002-04-05,1.28,1.29,1.26,1.26,498213.0,1.24,,1.1582417488098145,1.2671428571428582,1.3057142857142878,1.3266666666666667,1.2891666666666661,,
2002-04-08,1.28,1.28,1.26,1.26,175324.0,1.23,,1.1573656797409058,1.2585714285714296,1.2992857142857164,1.3233333333333333,1.2911666666666661,,
2002-04-09,1.27,1.27,1.26,1.26,280193.0,1.31,,1.1563260555267334,1.2542857142857156,1.292857142857145,1.3196666666666665,1.2931666666666664,,
2002-04-10,1.27,1.27,1.25,1.26,195734.0,1.27,,1.1551254987716677,1.2614285714285727,1.2871428571428594,1.3163333333333331,1.2954999999999997,,
2002-04-11,1.27,1.27,1.26,1.26,127932.0,1.26,,1.1537668704986572,1.262857142857144,1.2814285714285738,1.3136666666666663,1.2976666666666665,,
2002-04-12,1.27,1.27,1.26,1.27,200001.0,1.24,,1.152253031730652,1.2642857142857156,1.275714285714288,1.3116666666666665,1.298833333333333,,
2002-04-15,1.27,1.27,1.26,1.27,108627.0,1.28,,1.1505863666534424,1.262857142857144,1.270000000000002,1.309,1.2999999999999996,,
2002-04-16,1.26,1.27,1.25,1.26,308716.0,1.28,,1.1487703323364258,1.262857142857144,1.2650000000000021,1.3056666666666665,1.3009999999999995,,
2002-04-17,1.26,1.27,1.26,1.26,209704.0,1.26,,1.1468074321746826,1.262857142857144,1.260714285714288,1.3036666666666663,1.3016666666666663,,
2002-04-18,1.26,1.27,1.25,1.26,112060.0,1.26,,1.1447004079818726,1.262857142857144,1.258571428571431,1.301333333333333,1.3016666666666663,,
2002-04-19,1.26,1.27,1.25,1.26,186980.0,1.26,,1.1424520015716553,1.262857142857144,1.2621428571428595,1.2989999999999997,1.3014999999999999,,
2002-04-22,1.26,1.27,1.26,1.26,132004.0,1.25,,1.14006507396698,1.262857142857144,1.2628571428571453,1.2966666666666664,1.3008333333333333,,
2002-04-23,1.26,1.26,1.25,1.25,119084.0,1.25,,1.137542486190796,1.2600000000000013,1.2621428571428595,1.2939999999999998,1.3,,
2002-04-24,1.26,1.26,1.23,1.23,425824.0,1.24,,1.1348867416381836,1.2542857142857158,1.258571428571431,1.2906666666666664,1.299,,
2002-04-26,1.23,1.24,1.21,1.24,224062.0,1.2,,1.132101058959961,1.251428571428573,1.2571428571428593,1.2866666666666664,1.2986666666666664,,
2002-04-29,1.22,1.22,1.17,1.19,325970.0,1.22,,1.129188060760498,1.2414285714285729,1.2521428571428592,1.2809999999999997,1.2971666666666664,,
2002-04-30,1.18,1.18,1.15,1.17,263252.0,1.12,,1.126150608062744,1.22857142857143,1.2457142857142878,1.2746666666666664,1.2956666666666663,1.2582222222222221,
2002-05-01,1.18,1.2,1.18,1.2,288478.0,1.0799999999999998,,1.1229913234710691,1.2200000000000013,1.2414285714285733,1.2696666666666665,1.294833333333333,1.2583333333333333,
2002-05-02,1.21,1.21,1.18,1.18,318871.0,1.15,,1.1197130680084229,1.20857142857143,1.2357142857142875,1.2639999999999998,1.2934999999999997,1.2583333333333333,
2002-05-03,1.2,1.2,1.16,1.19,227186.0,1.13,,1.1163187026977541,1.2000000000000013,1.230000000000002,1.2589999999999997,1.2924999999999998,1.2594444444444444,
2002-05-06,1.18,1.18,1.14,1.17,405874.0,1.14,,1.1128109693527222,1.1914285714285726,1.2228571428571449,1.253333333333333,1.2911666666666664,1.2605555555555557,
2002-05-07,1.17,1.18,1.16,1.16,161754.0,1.15,,1.1091928482055664,1.1800000000000013,1.2157142857142877,1.2469999999999994,1.2896666666666663,1.2621111111111112,
2002-05-08,1.17,1.17,1.15,1.16,155542.0,1.15,,1.1054668426513672,1.175714285714287,1.2085714285714304,1.240666666666666,1.2881666666666662,1.2624444444444445,
2002-05-09,1.17,1.19,1.15,1.16,142279.0,1.12,,1.1016361713409424,1.1742857142857157,1.2014285714285733,1.2349999999999992,1.2869999999999995,1.2624444444444445,
2002-05-10,1.16,1.17,1.15,1.17,66900.0,1.14,,1.0977034568786619,1.1700000000000015,1.1950000000000016,1.2299999999999993,1.2864999999999995,1.2624444444444445,
2002-05-13,1.16,1.16,1.16,1.16,20069.0,1.15,,1.0936713218688965,1.1671428571428586,1.1878571428571443,1.2256666666666658,1.2853333333333328,1.2623333333333333,
2002-05-14,1.16,1.17,1.15,1.16,129250.0,1.15,,1.0895426273345947,1.1628571428571444,1.1814285714285728,1.223999999999999,1.2824999999999993,1.2624444444444443,
2002-05-15,1.18,1.23,1.18,1.21,562314.0,1.16,,1.0853204727172852,1.1685714285714304,1.1800000000000015,1.2226666666666657,1.2798333333333325,1.263,
2002-05-16,1.23,1.26,1.23,1.25,246205.0,1.26,,1.0810074806213381,1.181428571428573,1.1807142857142874,1.2223333333333324,1.2776666666666658,1.2643333333333333,
2002-05-17,1.27,1.29,1.26,1.27,444003.0,1.34,,1.076606512069702,1.1971428571428588,1.186428571428573,1.221999999999999,1.2761666666666658,1.2655555555555555,
2002-05-20,1.27,1.3,1.25,1.28,236701.0,1.37,,1.0721204280853271,1.2142857142857157,1.1942857142857157,1.222666666666666,1.2746666666666657,1.267,
2002-05-21,1.29,1.29,1.27,1.28,141770.0,1.4,,1.0675520896911619,1.2300000000000015,1.2000000000000015,1.2233333333333327,1.2733333333333325,1.2685555555555554,
2002-05-22,1.0,1.2,0.9,1.18,4934748.0,1.4,,1.0629043579101562,1.2328571428571442,1.2000000000000015,1.2206666666666661,1.2701666666666658,1.269,
2002-05-23,1.19,1.2,1.16,1.16,758324.0,1.15,,1.05817973613739,1.2328571428571442,1.1978571428571443,1.2173333333333327,1.2668333333333324,1.2694444444444444,
2002-05-24,1.17,1.18,1.16,1.18,291620.0,1.0699999999999998,,1.0533815622329712,1.2285714285714298,1.1985714285714302,1.2146666666666661,1.2641666666666658,1.27,
2002-05-27,1.18,1.19,1.16,1.17,251296.0,1.09,,1.0485124588012695,1.2171428571428584,1.199285714285716,1.2113333333333327,1.2614999999999992,1.2696666666666667,
