Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF
2005-11-03,1.14,1.2,1.11,1.145,6909198.0,,
2005-11-04,1.13,1.13,1.1,1.11,1879201.0,,
2005-11-07,1.13,1.13,1.095,1.1,644835.0,,
2005-11-08,1.09,1.105,1.09,1.09,653300.0,,
2005-11-09,1.09,1.09,1.07,1.08,342365.0,,
2005-11-10,1.075,1.075,1.06,1.07,289591.0,,
2005-11-11,1.07,1.09,1.07,1.07,997209.0,0.995,
2005-11-14,1.07,1.1,1.07,1.1,270900.0,1.03,
2005-11-15,1.11,1.12,1.11,1.12,282100.0,1.1,
2005-11-16,1.12,1.15,1.12,1.15,315000.0,1.15,
2005-11-17,1.15,1.16,1.14,1.15,816500.0,1.2199999999999998,
2005-11-18,1.14,1.14,1.13,1.13,128640.0,1.2299999999999998,
2005-11-21,1.12,1.12,1.11,1.11,56785.0,1.1899999999999995,
2005-11-22,1.11,1.12,1.11,1.115,80375.0,1.12,
2005-11-23,1.115,1.115,1.1,1.1,996840.0,1.11,
2005-11-24,1.11,1.11,1.09,1.1,217663.0,1.0500000000000005,
2005-11-25,1.1,1.1,1.09,1.09,184191.0,1.0500000000000005,
2005-11-28,1.09,1.1,1.085,1.09,113000.0,1.0500000000000005,
2005-11-29,1.09,1.11,1.09,1.11,105000.0,1.07,
2005-11-30,1.11,1.12,1.11,1.11,32850.0,1.1050000000000002,
2005-12-01,1.1,1.11,1.1,1.11,30000.0,1.12,
2005-12-02,1.105,1.11,1.1,1.1,113988.0,1.12,
2005-12-05,1.085,1.1,1.085,1.1,142850.0,1.11,
2005-12-06,1.1,1.1,1.09,1.095,127000.0,1.11,
2005-12-07,1.095,1.1,1.09,1.095,202377.0,1.0799999999999998,
2005-12-08,1.095,1.1,1.09,1.1,137500.0,1.0799999999999998,
2005-12-09,1.095,1.1,1.095,1.1,401680.0,1.09,
2005-12-12,1.1,1.11,1.1,1.1,235360.0,1.1,
2005-12-13,1.105,1.105,1.1,1.1,289746.0,1.1,
2005-12-14,1.11,1.11,1.1,1.1,37500.0,1.1050000000000002,
2005-12-15,1.105,1.11,1.1,1.1,272500.0,1.1050000000000002,
2005-12-16,1.1,1.11,1.1,1.11,205000.0,1.1,
2005-12-19,1.105,1.11,1.105,1.105,49000.0,1.12,
2005-12-20,1.11,1.115,1.105,1.11,39500.0,1.11,
2005-12-21,1.105,1.13,1.105,1.13,21000.0,1.12,
2005-12-22,1.13,1.13,1.13,1.13,40000.0,1.1599999999999997,
2005-12-23,1.13,1.13,1.13,1.13,1090500.0,1.1599999999999997,
2005-12-28,1.135,1.135,1.13,1.13,27000.0,1.1499999999999997,
2005-12-29,1.135,1.135,1.135,1.135,1695.0,1.1549999999999998,
2005-12-30,1.135,1.135,1.135,1.135,10000.0,1.16,
2006-01-03,1.14,1.15,1.135,1.135,58000.0,1.14,
2006-01-04,1.14,1.14,1.14,1.14,150000.0,1.14,
2006-01-05,1.14,1.145,1.14,1.14,402000.0,1.15,
2006-01-06,1.14,1.14,1.14,1.14,27000.0,1.15,
2006-01-09,1.14,1.14,1.14,1.14,75090.0,1.1449999999999998,
2006-01-10,1.145,1.145,1.14,1.14,65000.0,1.1449999999999998,
2006-01-11,1.14,1.14,1.14,1.14,47000.0,1.1449999999999998,
2006-01-12,1.14,1.15,1.14,1.15,78000.0,1.14,
2006-01-13,1.14,1.15,1.14,1.14,39000.0,1.16,
2006-01-16,1.2,1.2,1.17,1.18,45000.0,1.14,
2006-01-17,1.18,1.18,1.16,1.16,96220.0,1.22,
2006-01-18,1.16,1.18,1.14,1.18,66600.0,1.18,
2006-01-19,1.16,1.17,1.16,1.17,25000.0,1.22,
2006-01-20,1.17,1.17,1.14,1.14,42284.0,1.19,
2006-01-23,1.14,1.15,1.14,1.14,20000.0,1.14,
2006-01-24,1.15,1.15,1.14,1.14,95716.0,1.1,
2006-01-25,1.15,1.15,1.14,1.14,130000.0,1.12,
2006-01-27,1.14,1.14,1.14,1.14,32500.0,1.1,
2006-01-30,1.15,1.16,1.14,1.14,122680.0,1.11,
2006-01-31,1.14,1.14,1.14,1.14,55840.0,1.14,
2006-02-01,1.14,1.14,1.14,1.14,50000.0,1.14,
2006-02-02,1.13,1.14,1.13,1.13,216000.0,1.14,
2006-02-03,1.13,1.14,1.13,1.13,118798.0,1.12,
2006-02-06,1.14,1.15,1.14,1.15,36202.0,1.12,
2006-02-07,1.14,1.14,1.14,1.14,6000.0,1.16,
2006-02-08,1.14,1.15,1.14,1.15,85798.0,1.14,
2006-02-09,1.15,1.15,1.14,1.14,59850.0,1.16,
2006-02-10,1.145,1.15,1.145,1.15,59352.0,1.15,
2006-02-13,1.145,1.145,1.145,1.145,20000.0,1.17,
2006-02-14,1.15,1.16,1.15,1.16,23000.0,1.14,
2006-02-15,1.145,1.145,1.14,1.14,30700.0,1.18,
2006-02-16,1.14,1.14,1.135,1.135,13500.0,1.13,
2006-02-17,1.135,1.14,1.135,1.14,25448.0,1.13,
2006-02-20,1.14,1.15,1.14,1.15,96340.0,1.13,
2006-02-21,1.15,1.19,1.15,1.175,94160.0,1.1549999999999998,
2006-02-22,1.175,1.175,1.17,1.175,20500.0,1.1900000000000002,
2006-02-23,1.175,1.175,1.175,1.175,12500.0,1.2100000000000002,
2006-02-24,1.19,1.19,1.17,1.19,14000.0,1.215,
2006-02-27,1.19,1.4,1.19,1.22,157000.0,1.24,
2006-02-28,1.24,1.24,1.22,1.22,179915.0,1.29,
2006-03-01,1.22,1.22,1.2,1.2,34860.0,1.265,
2006-03-02,1.2,1.2,1.18,1.18,82000.0,1.225,
2006-03-03,1.195,1.2,1.19,1.2,174440.0,1.1849999999999998,
2006-03-06,1.21,1.22,1.21,1.22,14000.0,1.21,
2006-03-07,1.22,1.22,1.22,1.22,252000.0,1.22,
2006-03-08,1.23,1.25,1.22,1.25,223178.0,1.22,
2006-03-09,1.25,1.28,1.25,1.28,165184.0,1.3,
2006-03-10,1.29,1.29,1.26,1.27,722271.0,1.38,
2006-03-13,1.28,1.33,1.28,1.31,141500.0,1.34,
2006-03-14,1.26,1.27,1.24,1.27,92697.0,1.4,
2006-03-15,1.27,1.28,1.27,1.27,100000.0,1.32,
2006-03-16,1.27,1.29,1.27,1.28,165100.0,1.29,
2006-03-17,1.28,1.33,1.28,1.3,48000.0,1.28,
2006-03-20,1.28,1.32,1.28,1.29,463000.0,1.33,
2006-03-21,1.29,1.29,1.28,1.29,32500.0,1.27,
2006-03-22,1.27,1.29,1.27,1.29,178125.0,1.31,
2006-03-23,1.3,1.34,1.3,1.32,226934.0,1.31,
2006-03-24,1.34,1.36,1.34,1.35,38400.0,1.36,
2006-03-27,1.35,1.37,1.35,1.35,97333.0,1.4,
2006-03-28,1.36,1.365,1.36,1.36,38298.0,1.41,
2006-03-29,1.37,1.37,1.36,1.36,20800.0,1.4300000000000002,
2006-03-30,1.36,1.36,1.36,1.36,13819.0,1.4300000000000002,
2006-03-31,1.35,1.35,1.35,1.35,134967.0,1.4,
2006-04-03,1.35,1.36,1.35,1.36,19482.0,1.35,
2006-04-04,1.35,1.4,1.35,1.4,112000.0,1.37,
2006-04-05,1.405,1.42,1.4,1.4,224000.0,1.4399999999999995,
2006-04-06,1.42,1.45,1.41,1.45,226466.0,1.4399999999999995,
2006-04-07,1.42,1.45,1.42,1.45,84000.0,1.5399999999999998,
2006-04-10,1.425,1.46,1.425,1.46,51500.0,1.5499999999999998,
2006-04-11,1.46,1.48,1.45,1.45,170500.0,1.5599999999999998,
2006-04-12,1.48,1.48,1.44,1.44,52925.0,1.5,
2006-04-13,1.45,1.45,1.45,1.45,91000.0,1.48,
2006-04-18,1.47,1.5,1.47,1.5,20500.0,1.45,
2006-04-19,1.46,1.47,1.46,1.47,99700.0,1.55,
2006-04-20,1.45,1.47,1.43,1.44,223675.0,1.48,
2006-04-21,1.45,1.47,1.45,1.47,155300.0,1.43,
2006-04-24,1.46,1.46,1.45,1.45,132000.0,1.5,
2006-04-26,1.45,1.45,1.45,1.45,9518.0,1.45,
2006-04-27,1.45,1.5,1.45,1.45,28000.0,1.4,
2006-04-28,1.46,1.49,1.46,1.49,514400.0,1.43,
2006-05-01,1.49,1.5,1.49,1.5,12266.0,1.54,
2006-05-02,1.5,1.5,1.5,1.5,19812.0,1.53,
2006-05-03,1.5,1.5,1.5,1.5,42988.0,1.55,
2006-05-04,1.47,1.48,1.45,1.45,64012.0,1.55,
2006-05-05,1.48,1.48,1.48,1.48,673573.0,1.45,
2006-05-08,1.49,1.49,1.48,1.48,3670.0,1.47,
2006-05-09,1.48,1.48,1.48,1.48,3670.0,1.46,
