Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
2014-06-27,1.71,1.715,1.635,1.65,,,,0.5905329585075378,,,,,,
2014-06-30,1.655,1.68,1.652,1.675,,,,0.6813231706619263,,,,,,
2014-07-01,1.68,1.72,1.675,1.705,,,,0.7879623174667358,,,,,,
2014-07-02,1.71,1.74,1.705,1.74,,,,0.9103462100028992,,,,,,
2014-07-03,1.735,1.75,1.72,1.74,,,,1.0489379167556765,,,,,,
2014-07-04,1.74,1.75,1.73,1.74,,,,1.202934741973877,,,,,,
2014-07-07,1.74,1.77,1.74,1.75,,1.83,,1.3617092370986938,1.7142857142857142,,,,,
2014-07-08,1.76,1.77,1.755,1.76,,1.825,,1.5043623447418213,1.73,,,,,
2014-07-09,1.75,1.77,1.745,1.77,,1.815,,1.6236529350280762,1.7435714285714283,,,,,
2014-07-10,1.765,1.81,1.76,1.79,,1.8,,1.7087104320526123,1.7557142857142853,,,,,
2014-07-11,1.78,1.795,1.75,1.785,,1.84,,1.7658259868621826,1.7621428571428568,,,,,
2014-07-14,1.79,1.8,1.785,1.785,,1.83,,1.8012584447860718,1.7685714285714282,,,,,
2014-07-15,1.78,1.79,1.745,1.75,,1.82,,1.8192110061645508,1.7699999999999996,,,,,
2014-07-16,1.735,1.76,1.72,1.75,,1.74,,1.8217111825942995,1.7699999999999996,1.7421428571428572,,,,
2014-07-17,1.75,1.755,1.74,1.745,,1.73,,1.8088457584381104,1.7678571428571426,1.7489285714285716,,,,
2014-07-18,1.745,1.765,1.74,1.755,,1.7000000000000002,,1.7831895351409912,1.7657142857142856,1.7546428571428572,,,,
2014-07-21,1.755,1.765,1.745,1.76,,1.725,,1.744957685470581,1.7614285714285711,1.758571428571429,,,,
2014-07-22,1.75,1.76,1.745,1.755,,1.735,,1.695601224899292,1.7571428571428567,1.7596428571428575,,,,
2014-07-23,1.76,1.785,1.74,1.78,,1.7599999999999998,,1.6368862390518188,1.756428571428571,1.7625000000000006,,,,
2014-07-24,1.785,1.785,1.76,1.77,,1.81,,1.6255871057510376,1.7592857142857137,1.7646428571428578,,,,
2014-07-25,1.78,1.78,1.75,1.78,,1.795,,1.6524543762207031,1.763571428571428,1.766785714285715,,,,
2014-07-28,1.78,1.78,1.77,1.775,,1.805,,1.676882266998291,1.7678571428571423,1.7678571428571435,,,,
2014-07-29,1.775,1.785,1.76,1.78,,1.7899999999999998,,1.6952346563339231,1.7714285714285707,1.7685714285714291,,,,
2014-07-30,1.78,1.79,1.775,1.79,,1.805,,1.7084161043167114,1.775714285714285,1.7685714285714291,,,,
2014-07-31,1.79,1.79,1.75,1.79,,1.8,,1.7188076972961426,1.7807142857142852,1.768928571428572,,,,
2014-08-01,1.755,1.79,1.755,1.785,,1.81,,1.7265055179595947,1.781428571428571,1.768928571428572,,,,
2014-08-04,1.78,1.79,1.77,1.77,,1.7899999999999998,,1.731614351272583,1.781428571428571,1.7703571428571434,,,,
2014-08-05,1.785,1.79,1.76,1.79,,1.765,,1.7355200052261353,1.7828571428571427,1.773214285714286,,,,
2014-08-06,1.785,1.79,1.765,1.78,,1.8,,1.7384490966796875,1.7835714285714281,1.7757142857142862,,,,
2014-08-07,1.78,1.8,1.78,1.8,,1.77,,1.755585551261902,1.7864285714285713,1.778928571428572,1.7598333333333334,,,
2014-08-08,1.8,1.8,1.795,1.8,,1.81,,1.7712910175323486,1.787857142857143,1.7817857142857148,1.7648333333333333,,,
2014-08-11,1.8,1.805,1.775,1.8,,1.815,,1.7856026887893677,1.7892857142857146,1.7850000000000006,1.769,,,
2014-08-12,1.8,1.925,1.8,1.9,,1.83,,1.7985600233078003,1.805714285714286,1.793571428571429,1.7755,,,
2014-08-13,1.89,1.915,1.87,1.88,,2.01,,1.8102021217346191,1.8214285714285718,1.8014285714285718,1.7801666666666667,,,
2014-08-14,1.88,1.89,1.855,1.86,,1.98,,1.8204305171966555,1.831428571428572,1.8071428571428574,1.7841666666666667,,,
2014-08-15,1.86,1.89,1.86,1.875,,1.92,,1.8293453454971316,1.8450000000000006,1.8142857142857147,1.7886666666666666,,,
2014-08-18,1.88,1.88,1.85,1.875,,1.95,,1.8371789455413816,1.8557142857142863,1.821071428571429,1.7928333333333333,,,
2014-08-19,1.875,1.91,1.875,1.9,,1.95,,1.8438503742218015,1.8700000000000006,1.8289285714285717,1.7974999999999999,,,
2014-08-20,1.91,1.92,1.9,1.91,,1.9,,1.8493983745574951,1.8857142857142861,1.8375000000000004,1.8021666666666663,,,
2014-08-21,1.92,1.93,1.89,1.905,,1.94,,1.85386061668396,1.8864285714285718,1.846071428571429,1.8059999999999998,,,
2014-08-22,1.9,1.95,1.89,1.935,,1.95,,1.859753131866455,1.8942857142857146,1.8578571428571433,1.811,,,
2014-08-25,1.93,1.94,1.925,1.93,,1.995,,1.8757147789001465,1.9042857142857146,1.8678571428571433,1.8158333333333334,,,
2014-08-26,1.95,1.96,1.93,1.955,,1.985,,1.8949707746505735,1.915714285714286,1.880357142857143,1.8226666666666667,,,
2014-08-27,1.96,2.1,1.952,2.05,,2.01,,1.9131518602371216,1.9407142857142858,1.8982142857142859,1.8326666666666667,,,
2014-08-28,2.01,2.04,2.0,2.03,,2.1899999999999995,,1.9302462339401243,1.9592857142857143,1.9146428571428573,1.8421666666666667,,,
2014-08-29,2.01,2.04,2.0,2.03,,2.155,,1.9464857578277588,1.9764285714285712,1.9310714285714288,1.8513333333333333,,,
2014-09-01,2.03,2.05,2.0,2.03,,2.125,,1.9618644714355469,1.9942857142857142,1.9403571428571433,1.8603333333333334,,,
2014-09-02,2.03,2.09,2.03,2.07,,2.13,,1.976378321647644,2.0135714285714283,1.953928571428572,1.8708333333333333,,,
2014-09-03,2.08,2.13,2.04,2.07,,2.185,2.0620000000000003,1.9900226593017576,2.033571428571428,1.968928571428572,1.8805,,,
2014-09-04,2.07,2.1,2.07,2.09,,2.09,2.066,2.0027937889099117,2.052857142857142,1.9842857142857149,1.8911666666666664,,,
2014-09-05,2.07,2.09,2.02,2.03,,2.15,2.082,2.014689445495605,2.0499999999999994,1.9953571428571435,1.8994999999999997,,,
2014-09-08,2.04,2.07,2.01,2.03,,2.03,2.036,2.0254154205322266,2.0499999999999994,2.004642857142858,1.908,,,
2014-09-09,2.01,2.03,1.99,2.03,,2.03,2.03,2.034902572631836,2.0499999999999994,2.0132142857142865,1.9163333333333332,,,
2014-09-10,2.03,2.055,2.01,2.04,,1.99,2.03,2.0435323715209956,2.051428571428571,2.0228571428571436,1.9246666666666665,,,
2014-09-11,2.04,2.06,2.01,2.06,,2.01,2.039,2.051305294036865,2.05,2.031785714285715,1.9336666666666666,,,
2014-09-12,2.04,2.07,2.02,2.07,,2.03,2.049,2.0582234859466557,2.05,2.041785714285715,1.9431666666666667,,,
2014-09-15,2.05,2.07,2.04,2.07,,2.11,2.066,2.064288854598999,2.0471428571428567,2.0500000000000007,1.9531666666666667,,,
2014-09-16,2.07,2.07,2.03,2.04,,2.11,2.067,2.0695042610168457,2.0485714285714285,2.049285714285715,1.9615,,,
2014-09-17,2.07,2.07,2.04,2.04,,2.0500000000000003,2.046,2.0738725662231445,2.05,2.0500000000000003,1.9701666666666666,,,
2014-09-18,2.07,2.07,2.05,2.06,,2.04,2.046,2.07739782333374,2.0542857142857143,2.0521428571428575,1.9788333333333334,1.8693333333333335,,
