Date,Open,High,Low,Close,Volume,ML_RF,tech_per_change
1999-03-22,10.0,10.0,9.8,10.0,23496.0,,
1999-03-23,10.002,10.002,9.62,10.0,168552.0,,
1999-03-24,9.65,9.75,9.63,9.7,224158.0,,
1999-03-25,9.75,9.75,9.63,9.67,83038.0,,
1999-03-26,9.6,9.74,9.6,9.7,36056.0,,
1999-03-29,9.66,9.9,9.65,9.9,110204.0,,
1999-03-30,9.86,10.0,9.65,9.97,772888.0,,9.8
1999-03-31,9.93,9.98,9.9,9.98,160735.0,,9.94
1999-04-01,9.91,9.93,9.84,9.9,98710.0,,10.260000000000002
1999-04-06,9.9,9.9,9.7,9.8,15180.0,,10.13
1999-04-07,9.8,9.8,9.65,9.7,205976.0,,9.900000000000002
1999-04-08,9.8,9.8,9.65,9.71,354078.0,,9.499999999999998
1999-04-09,9.75,9.9,9.75,9.82,85990.0,,9.45
1999-04-12,9.81,9.81,9.75,9.8,145315.0,,9.66
1999-04-13,9.8,9.9,9.8,9.85,303867.0,,9.7
1999-04-14,9.9,9.9,9.78,9.873,648717.0,,9.9
1999-04-15,9.85,9.92,9.85,9.908,46412.0,,10.046
1999-04-16,9.85,9.9,9.8,9.9,97379.0,,10.105999999999998
1999-04-19,9.8,9.85,9.7,9.7,82664.0,,9.98
1999-04-20,9.6,9.6,9.4,9.4,162161.0,,9.599999999999998
1999-04-21,9.4,9.4,9.25,9.25,187494.0,,8.950000000000003
1999-04-22,9.235,9.6,9.235,9.6,110385.0,,8.627
1999-04-23,9.75,9.8,9.65,9.65,161394.0,,9.292
1999-04-26,9.65,9.65,9.65,9.65,22975.0,,9.4
1999-04-27,9.65,9.8,9.65,9.8,61838.0,,9.6
1999-04-28,9.7,9.75,9.5,9.65,60178.0,,10.2
1999-04-29,9.65,9.75,9.65,9.75,214049.0,,10.05
1999-04-30,9.7,9.75,9.5,9.68,108802.0,,9.9
1999-05-03,9.69,9.7,9.55,9.6,129942.0,,9.71
1999-05-04,9.65,9.7,9.6,9.7,122655.0,,9.55
1999-05-05,9.75,9.75,9.65,9.7,192004.0,,9.599999999999998
1999-05-06,9.65,9.65,9.305,9.305,22646.0,,9.749999999999998
1999-05-07,9.32,9.32,8.9,8.9,49212.0,,8.86
1999-05-10,9.29,9.29,9.05,9.15,220612.0,,8.120000000000001
1999-05-11,9.1,9.4,8.95,9.4,159141.0,,8.700000000000001
1999-05-12,9.5,10.15,9.5,10.15,616984.0,,9.1
1999-05-13,10.15,10.15,10.0,10.1,88110.0,,10.6
1999-05-14,10.1,10.3,10.1,10.24,136742.0,,10.895
1999-05-17,10.038,10.15,9.9,10.0,333231.0,,11.58
1999-05-18,10.15,10.25,10.1,10.1,104657.0,,10.85
1999-05-19,10.1,10.5,10.1,10.33,193529.0,,10.8
1999-05-20,10.45,10.6,10.4,10.45,172440.0,,10.51
1999-05-21,10.54,11.0,10.54,11.0,180927.0,,10.8
1999-05-24,11.025,11.75,11.025,11.55,157880.0,,11.76
1999-05-25,11.45,11.45,11.2,11.3,285502.0,,13.1
1999-05-26,11.005,11.2,11.0,11.2,68380.0,,12.500000000000002
1999-05-27,11.28,11.3,11.1,11.2,125667.0,,12.07
1999-05-28,11.1,11.32,11.1,11.32,142781.0,,11.95
1999-05-31,11.4,11.5,11.35,11.45,25395.0,,11.64
1999-06-01,11.49,11.59,11.45,11.5,131400.0,,11.349999999999998
1999-06-02,11.5,11.55,11.4,11.55,242977.0,,11.7
1999-06-03,11.55,11.55,11.5,11.55,203209.0,,11.900000000000002
1999-06-04,11.48,11.5,11.25,11.25,22977.0,,11.900000000000002
1999-06-07,11.26,11.26,11.26,11.26,145780.0,,11.18
1999-06-08,11.45,11.66,11.45,11.65,229458.0,,11.07
1999-06-09,11.61,11.7,11.5,11.59,85874.0,,11.8
1999-06-10,11.61,11.62,11.6,11.6,128032.0,,11.63
1999-06-11,11.59,11.59,11.34,11.34,286708.0,,11.65
1999-06-15,11.3,11.4,11.3,11.35,231482.0,,11.43
1999-06-16,11.34,11.4,11.3,11.36,135178.0,,11.44
1999-06-17,11.45,11.68,11.45,11.55,112524.0,,11.07
1999-06-18,11.55,11.55,11.4,11.5,302086.0,,11.510000000000002
1999-06-21,11.5,11.5,11.42,11.48,411820.0,,11.4
1999-06-22,11.3,11.5,11.3,11.5,47205.0,,11.62
1999-06-23,11.5,11.5,11.35,11.5,19680.0,,11.65
1999-06-24,11.5,11.5,11.26,11.35,59293.0,,11.64
1999-06-25,11.16,11.5,11.15,11.5,117061.0,,11.15
1999-06-28,11.484000000000002,11.5,11.380999999999998,11.380999999999998,32784.0,,11.5
1999-06-29,11.38,11.5,11.2,11.415,122048.0,,11.281999999999995
1999-06-30,11.364,11.5,11.05,11.45,121814.0,,11.329999999999998
1999-07-01,11.49,11.49,11.33,11.39,23124.0,,11.4
1999-07-02,11.38,11.38,11.2,11.3,70886.0,,11.43
1999-07-05,11.4,11.5,11.3,11.33,102628.0,,11.1
1999-07-06,11.368,11.4,11.3,11.4,75066.0,,11.279000000000002
1999-07-07,11.35,11.41,11.2,11.395,120809.0,,11.385000000000002
1999-07-08,11.2,11.45,11.2,11.395,88311.0,,11.34
1999-07-09,11.4,11.4,11.35,11.35,42298.0,,11.4
1999-07-12,11.357,11.4,11.3,11.4,56098.0,,11.4
1999-07-13,11.4,11.4,11.22,11.35,23550.0,,11.47
1999-07-14,11.35,11.4,11.26,11.3,23955.0,,11.3
1999-07-15,11.3,11.3,11.2,11.3,51441.0,,11.205000000000002
1999-07-16,11.3,11.3,11.2,11.2,11825.0,,11.205000000000002
1999-07-19,11.2,11.4,11.05,11.35,48590.0,,11.05
1999-07-20,11.35,11.6,11.35,11.5,723996.0,,11.3
1999-07-21,11.5,11.5,11.1,11.1,75269.0,,11.65
1999-07-22,11.2,11.2,11.1,11.17,46020.0,,10.9
1999-07-23,11.1,11.24,11.05,11.24,105177.0,,11.04
1999-07-26,11.25,11.25,10.97,11.14,57416.0,,11.28
1999-07-27,11.11,11.24,11.11,11.21,16946.0,,10.93
1999-07-28,11.26,11.26,11.1,11.2,125341.0,,10.920000000000002
1999-07-29,11.118,11.2,11.1,11.1,38017.0,,11.3
1999-07-30,11.1,11.1,10.7,11.03,71359.0,,11.03
1999-08-02,10.99,10.99,10.5,10.61,46512.0,,10.82
1999-08-03,10.61,10.65,10.6,10.62,186770.0,,10.079999999999998
1999-08-04,10.54,10.54,10.05,10.44,88338.0,,10.029999999999998
1999-08-05,10.41,10.44,10.36,10.4,410398.0,,9.68
1999-08-06,10.4,10.62,10.4,10.62,43999.0,,9.7
1999-08-09,10.7,10.7,10.3,10.3,152083.0,,10.21
1999-08-10,10.2,10.4,10.2,10.33,30572.0,,9.990000000000002
1999-08-11,10.33,10.5,10.316,10.316,30217.0,,10.04
1999-08-12,10.35,10.51,10.35,10.51,347051.0,,10.191999999999998
1999-08-13,10.58,10.649,10.45,10.649,238447.0,,10.62
1999-08-16,10.72,10.9,10.7,10.9,33184.0,,10.678000000000004
1999-08-17,10.85,11.0,10.8,10.866,17862.0,,11.5
1999-08-18,10.9,11.1,10.9,11.1,118542.0,,11.402000000000001
1999-08-19,11.0,11.0,10.7,10.9,42099.0,,11.884
1999-08-20,10.9,11.25,10.9,11.25,65825.0,,11.29
1999-08-23,11.3,11.4,11.3,11.4,29249.0,,11.851
1999-08-24,11.339,11.64,11.25,11.6,207822.0,,11.9
1999-08-25,11.577,11.85,11.5,11.6,89387.0,,12.334000000000001
1999-08-26,11.6,11.844,11.6,11.844,36508.0,,12.1
1999-08-27,11.84,12.5,11.8,12.0,107325.0,,12.788000000000002
1999-08-30,12.1,12.47,12.0,12.47,94443.0,,12.75
1999-08-31,12.601,13.25,12.3,13.2,440911.0,,13.54
1999-09-01,13.166,14.0,13.15,13.9,776275.0,,14.8
1999-09-02,13.9,14.1,13.7,13.7,253301.0,,16.200000000000006
1999-09-03,13.657,13.72,13.55,13.68,300012.0,,15.555999999999996
1999-09-06,13.779000000000002,14.1,13.779000000000002,13.88,101500.0,,15.36
1999-09-07,14.0,14.3,13.98,14.162,215522.0,,15.29
1999-09-08,14.295,14.7,14.29,14.69,289995.0,,15.124000000000002
1999-09-09,14.653,15.5,14.6,14.9,207988.0,,15.48
1999-09-10,14.895,14.895,14.5,14.85,93917.0,,16.1
1999-09-13,14.807,14.807,14.59,14.6,109446.0,,16.02
1999-09-14,14.5,14.5,13.9,14.25,177933.0,,15.32
1999-09-15,14.488,14.488,14.1,14.14,133365.0,,14.338
1999-09-16,14.1,14.14,13.9,14.14,999133.0,,13.590000000000002
1999-09-17,14.2,14.58,14.2,14.54,51113.0,,13.38
1999-09-20,14.6,15.2,14.6,15.2,174462.0,,14.23
1999-09-21,15.36,15.36,15.06,15.2,172132.0,,15.8
1999-09-22,15.15,16.0,15.15,16.0,40406.0,,16.15
1999-09-23,16.007,17.2,16.007,16.92,152607.0,,17.86
1999-09-24,16.8,16.8,16.3,16.51,56125.0,,19.700000000000006
1999-09-27,16.55,16.7,16.09,16.172,71251.0,,18.480000000000004
1999-09-28,16.455,16.455,15.8,15.825,184398.0,,17.144000000000002
1999-09-29,16.0,16.0,15.15,15.7,103965.0,,16.45
1999-09-30,15.755999999999998,16.0,15.755999999999998,15.9,33014.0,,15.4
1999-10-01,15.9,16.2,15.3,15.536,59011.0,,14.88
1999-10-04,15.6,15.6,15.32,15.32,11121.0,,14.561999999999998
1999-10-05,15.48,15.48,14.8,14.841,94274.0,,14.468
1999-10-06,14.8,14.85,14.55,14.56,171581.0,,13.857000000000001
1999-10-07,14.59,15.5,14.59,15.4,162530.0,,13.420000000000002
1999-10-08,15.491,15.491,15.3,15.31,58371.0,,14.9
1999-10-11,15.42,15.75,15.42,15.45,42591.0,,15.084
1999-10-12,15.54,15.54,15.24,15.24,32046.0,,15.579999999999998
1999-10-13,15.2,15.2,14.9,15.0,175213.0,,15.639
1999-10-14,15.0,15.25,14.89,15.1,225090.0,,15.44
1999-10-15,15.209,15.21,14.9,15.0,85036.0,,14.8
1999-10-18,14.981,15.0,14.75,14.85,16934.0,,14.69
