Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM
2003-01-02,4.35,4.35,4.35,4.35,16000.0,,,2.5410711765289307
2003-01-03,4.35,4.36,4.32,4.32,13612.0,,,2.542268991470337
2003-01-06,4.45,4.45,4.44,4.45,10279.0,,,2.5437583923339844
2003-01-07,4.45,4.45,4.45,4.45,12906.0,,,2.5455667972564697
2003-01-08,4.47,4.5,4.45,4.45,30252.0,,,2.54777193069458
2003-01-09,4.45,4.48,4.45,4.48,24634.0,,,2.5502500534057617
2003-01-10,4.46,4.48,4.46,4.46,7140.0,4.610000000000001,,2.5527684688568115
2003-01-13,4.48,4.5,4.48,4.48,10044.0,4.6,,2.555462598800659
2003-01-14,4.46,4.5,4.46,4.5,23075.0,4.510000000000002,,2.557512044906616
2003-01-15,4.52,4.6,4.52,4.6,8169.0,4.55,,2.5591201782226562
2003-01-16,4.62,4.73,4.6,4.6,11968.0,4.749999999999999,,2.5603528022766113
2003-01-17,4.65,4.68,4.6,4.65,8730.0,4.719999999999999,,2.5614891052246094
2003-01-20,4.6,4.65,4.6,4.65,6950.0,4.840000000000002,,2.562392234802246
2003-01-21,4.65,4.65,4.55,4.55,5805.0,4.82,,2.5633203983306885
2003-01-22,4.6,4.6,4.6,4.6,5657.0,4.6,,2.564255952835083
2003-01-23,4.6,4.6,4.56,4.6,10641.0,4.6,,2.5651044845581055
2003-01-24,4.6,4.6,4.59,4.6,39321.0,4.6,,2.565941333770752
2003-01-28,4.6,4.6,4.59,4.59,23316.0,4.549999999999999,,2.5667848587036133
2003-01-29,4.6,4.6,4.59,4.6,14350.0,4.529999999999999,,2.5676345825195312
2003-01-30,4.59,4.59,4.56,4.59,11359.0,4.65,,2.568490505218506
2003-01-31,4.59,4.59,4.57,4.57,7450.0,4.58,,2.569352388381958
2003-02-03,4.57,4.58,4.57,4.57,3467.0,4.540000000000001,,2.5702292919158936
2003-02-04,4.57,4.57,4.5,4.5,6252.0,4.540000000000001,,2.5711708068847656
2003-02-05,4.5,4.58,4.5,4.57,12951.0,4.41,,2.5721185207366943
2003-02-06,4.55,4.57,4.5,4.5,10330.0,4.540000000000001,,2.5730793476104736
2003-02-07,4.46,4.46,4.4,4.4,11061.0,4.41,,2.5740528106689453
2003-02-10,4.4,4.4,4.35,4.35,2855.0,4.23,,2.575040578842163
2003-02-11,4.35,4.35,4.3,4.3,5883.0,4.129999999999999,,2.576042652130127
2003-02-12,4.3,4.4,4.3,4.4,5566.0,4.1,,2.577059030532837
2003-02-13,4.35,4.35,4.35,4.35,5566.0,4.23,,2.5780904293060303
2003-02-14,4.39,4.4,4.35,4.35,20605.0,4.199999999999998,,2.579136610031128
2003-02-17,4.35,4.35,4.3,4.3,8605.0,4.299999999999999,,2.58019757270813
2003-02-18,4.3,4.3,4.25,4.3,12950.0,4.25,,2.5812735557556152
2003-02-19,4.3,4.3,4.27,4.28,2020.0,4.3,,2.582364797592163
2003-02-20,4.28,4.3,4.25,4.25,17056.0,4.16,,2.5834712982177734
2003-02-21,4.3,4.3,4.3,4.3,17056.0,4.15,,2.584592819213867
2003-02-24,4.35,4.35,4.35,4.35,12200.0,4.25,,2.5857295989990234
2003-02-25,4.31,4.31,4.3,4.3,5594.0,4.4,,2.5868468284606934
2003-02-26,4.3,4.32,4.3,4.31,2656.0,4.3,,2.587942123413086
2003-02-27,4.35,4.35,4.35,4.35,9000.0,4.339999999999999,,2.5890467166900635
2003-02-28,4.35,4.4,4.35,4.4,4413.0,4.449999999999998,,2.590163469314575
2003-03-03,4.45,4.5,4.45,4.48,28629.0,4.500000000000001,,2.5912930965423584
2003-03-04,4.48,4.48,4.45,4.45,5487.0,4.610000000000001,,2.592435359954834
2003-03-05,4.45,4.45,4.42,4.42,8531.0,4.6000000000000005,,2.593637466430664
2003-03-06,4.4,4.4,4.4,4.4,600.0,4.53,,2.594944477081299
2003-03-07,4.4,4.45,4.4,4.45,2460.0,4.450000000000001,,2.5959360599517822
2003-03-10,4.35,4.35,4.3,4.31,2250.0,4.5,,2.596597194671631
2003-03-11,4.32,4.32,4.3,4.3,7981.0,4.139999999999999,,2.5971710681915283
2003-03-12,4.32,4.32,4.3,4.3,5669.0,4.15,,2.5977792739868164
2003-03-13,4.28,4.28,4.2,4.23,36168.0,4.18,,2.5984346866607666
2003-03-14,4.35,4.35,4.35,4.35,5300.0,4.0600000000000005,,2.5991082191467285
2003-03-17,4.3,4.3,4.3,4.3,2000.0,4.249999999999999,,2.599787712097168
2003-03-18,4.3,4.34,4.3,4.3,9000.0,4.29,,2.6004672050476074
2003-03-19,4.3,4.3,4.3,4.3,2000.0,4.3,,2.601146936416626
2003-03-20,4.3,4.3,4.3,4.3,8700.0,4.3,,2.6018271446228027
2003-03-21,4.3,4.3,4.26,4.26,13220.0,4.369999999999999,,2.602508068084717
2003-03-24,4.28,4.3,4.28,4.3,3532.0,4.17,,2.6031901836395264
2003-03-25,4.3,4.31,4.3,4.31,2638.0,4.3,,2.6038734912872314
2003-03-26,4.34,4.35,4.31,4.31,12682.0,4.319999999999999,,2.604558229446411
2003-03-27,4.31,4.35,4.31,4.35,12632.0,4.319999999999999,,2.6052446365356445
2003-03-28,4.32,4.32,4.32,4.32,12632.0,4.4,,2.60593318939209
2003-03-31,4.33,4.34,4.31,4.34,8469.0,4.380000000000001,,2.606614112854004
2003-04-01,4.34,4.34,4.32,4.34,8038.0,4.38,,2.6072890758514404
2003-04-02,4.33,4.33,4.31,4.31,6500.0,4.37,,2.607966661453247
2003-04-03,4.35,4.35,4.35,4.35,12975.0,4.31,,2.608647584915161
2003-04-04,4.35,4.35,4.32,4.35,8940.0,4.35,,2.6093318462371826
2003-04-07,4.35,4.35,4.32,4.35,10468.0,4.379999999999999,,2.6100199222564697
2003-04-08,4.35,4.35,4.35,4.35,9000.0,4.359999999999999,,2.6107118129730225
