Date,Open,High,Low,Close,Volume,ML_RF,tech_per_change,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
1999-03-22,8.038,8.09,7.98,8.09,562013.0,,,2.1425540447235107,,,,,,
1999-03-23,8.05,8.1,8.05,8.08,485387.0,,,2.309081554412842,,,,,,
1999-03-24,7.96,8.05,7.96,8.0,1384277.0,,,2.463442802429199,,,,,,
1999-03-25,7.994,8.16,7.96,8.13,773368.0,,,2.6406376361846924,,,,,,
1999-03-26,8.107999999999999,8.35,8.107999999999999,8.25,785581.0,,,2.811194658279419,,,,,,
1999-03-29,8.258,8.28,8.12,8.15,614545.0,,,2.95295524597168,,,,,,
1999-03-30,8.15,8.15,7.95,7.95,2388268.0,,8.21,3.072704792022705,8.092857142857143,,,,,
1999-03-31,7.86,7.94,7.77,7.9,2033216.0,,7.82,3.191403865814209,8.065714285714288,,,,,
1999-04-01,7.851,7.851,7.6,7.72,2064202.0,,7.800000000000002,3.3073501586914062,8.014285714285716,,,,,
1999-04-06,7.8,7.86,7.72,7.75,1297168.0,,7.309999999999999,3.42163610458374,7.9785714285714295,,,,,
1999-04-07,7.73,7.74,7.68,7.73,1039158.0,,7.25,3.534717082977295,7.921428571428573,,,,,
1999-04-08,7.7,7.7,7.6,7.61,633176.0,,7.31,3.646594524383545,7.830000000000001,,,,,
1999-04-09,7.6,7.7,7.56,7.65,672197.0,,7.27,3.757267475128174,7.75857142857143,,,,,
1999-04-12,7.62,7.62,7.5,7.58,1811706.0,,7.4,3.866736888885498,7.705714285714286,7.899285714285716,,,,
1999-04-13,7.558,7.69,7.558,7.621,582183.0,,7.44,3.974962711334229,7.665857142857144,7.865785714285715,,,,
1999-04-14,7.65,7.65,7.52,7.65,2076894.0,,7.492000000000001,4.081953048706056,7.655857142857144,7.83507142857143,,,,
1999-04-15,7.64,7.65,7.57,7.65,1677415.0,,7.57,4.1881656646728525,7.64157142857143,7.8100714285714306,,,,
1999-04-16,7.7,8.0,7.7,8.0,2653063.0,,7.69,4.293671131134033,7.680142857142859,7.800785714285716,,,,
1999-04-19,8.174,8.32,8.1,8.241,3219354.0,,8.35,4.3979902267456055,7.770285714285715,7.800142857142859,,,,
1999-04-20,8.1,8.12,8.0,8.06,2119894.0,,8.902000000000003,4.501124382019043,7.828857142857145,7.793714285714287,,,,
1999-04-21,7.982,8.0,7.9,7.957999999999997,276300.0,,8.499,4.603072643280028,7.882857142857145,7.794285714285715,,,,
1999-04-22,7.994,8.1,7.97,8.0,1459217.0,,8.265999999999998,4.703835964202881,7.937000000000002,7.8014285714285725,,,,
1999-04-23,8.05,8.05,7.87,7.9,1861437.0,,8.35,4.804211139678955,7.972714285714288,7.814285714285716,,,,
1999-04-26,7.8820000000000014,7.9,7.88,7.9,155272.0,,7.800000000000002,4.90348482131958,8.008428571428572,7.825000000000002,,,,
1999-04-27,7.9,8.0,7.85,7.99,651762.0,,7.559000000000001,5.001581192016602,8.007000000000001,7.84357142857143,,,,
1999-04-28,7.99,8.0,7.88,7.9,1456880.0,,7.92,5.098392963409424,7.958285714285715,7.864285714285716,,,,
1999-04-29,7.931,7.99,7.85,7.987,4073426.0,,7.842000000000001,5.193663597106934,7.947857142857144,7.888357142857144,,,,
1999-04-30,8.0,8.24,8.0,8.139,1442077.0,,7.974,5.28772497177124,7.973714285714286,7.928285714285715,,,,
1999-05-03,8.127,8.25,8.12,8.25,846925.0,,8.377999999999998,5.380575656890869,8.009428571428572,7.9732142857142865,,,,
1999-05-04,8.3,8.48,8.2,8.45,1270230.0,,8.6,5.472218990325928,8.088000000000001,8.030357142857143,7.942866666666668,,,
