Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
1999-03-22,2.82,2.83,2.79,2.82,961445.0,,,0.7236672639846802,,,,,,
1999-03-23,2.8,2.88,2.8,2.86,2016151.0,,,1.0330095291137695,,,,,,
1999-03-24,2.84,2.84,2.81,2.82,3939507.0,,,1.4577364921569824,,,,,,
1999-03-25,2.82,2.82,2.75,2.77,2387599.0,,,1.895397663116455,,,,,,
1999-03-26,2.78,2.8,2.77,2.78,2213137.0,,,2.205498456954956,,,,,,
1999-03-29,2.78,2.78,2.71,2.73,2465312.0,,,2.4574689865112305,,,,,,
1999-03-30,2.761,2.77,2.71,2.71,2049921.0,2.64,,2.659128904342652,2.7842857142857143,,,,,
1999-03-31,2.71,2.75,2.71,2.75,4285300.0,2.56,,2.8311946392059326,2.774285714285714,,,,,
1999-04-01,2.72,2.72,2.67,2.67,531860.0,2.68,,2.9720821380615234,2.747142857142857,,,,,
1999-04-06,2.71,2.72,2.67,2.6910000000000003,1548667.0,2.57,,3.0831315517425537,2.728714285714285,,,,,
1999-04-07,2.656,2.67,2.63,2.63,5003228.0,2.6020000000000008,,3.1639506816864014,2.708714285714285,,,,,
1999-04-08,2.64,2.64,2.58,2.6,4827588.0,2.53,,3.214061737060547,2.6829999999999994,,,,,
1999-04-09,2.632,2.632,2.52,2.53,3658074.0,2.49,,3.2332119941711426,2.654428571428571,,,,,
1999-04-12,2.54,2.62,2.52,2.6,3006740.0,2.31,,3.2213704586029053,2.6387142857142853,2.7115,,,,
1999-04-13,2.65,2.65,2.63,2.63,2345472.0,2.53,,3.1787302494049072,2.621571428571428,2.6979285714285717,,,,
1999-04-14,2.64,2.677,2.58,2.677,2376304.0,2.5689999999999995,,3.106923818588257,2.6225714285714283,2.684857142857143,,,,
1999-04-15,2.65,2.68,2.6,2.68,2060650.0,2.7239999999999998,,3.0726869106292725,2.6209999999999996,2.674857142857143,,,,
1999-04-16,2.64,2.66,2.62,2.65,1295579.0,2.76,,3.056670665740967,2.6238571428571427,2.666285714285714,,,,
1999-04-19,2.656,2.72,2.64,2.649,2354814.0,2.77,,3.022787809371948,2.6308571428571423,2.6569285714285713,,,,
1999-04-20,2.65,2.68,2.62,2.63,5918174.0,2.6979999999999986,,2.971197366714477,2.6451428571428566,2.649785714285714,,,,
1999-04-21,2.64,2.69,2.63,2.656,1560715.0,2.63,,2.936595916748047,2.653142857142856,2.645928571428571,,,,
1999-04-22,2.67,2.69,2.64,2.69,1578294.0,2.635,,2.948084592819214,2.661714285714285,2.6416428571428567,,,,
1999-04-23,2.69,2.69,2.6,2.61,1876660.0,2.7,,2.95048451423645,2.6521428571428562,2.6373571428571423,,,,
1999-04-26,2.62,2.68,2.61,2.67,460147.0,2.57,,2.961482524871826,2.6507142857142845,2.6358571428571422,,,,
1999-04-27,2.67,2.68,2.62,2.65,788351.0,2.6910000000000003,,2.995923519134521,2.6507142857142845,2.6372857142857136,,,,
1999-04-28,2.7,2.7,2.62,2.64,2669814.0,2.67,,3.0235805511474614,2.64942857142857,2.6401428571428562,,,,
1999-04-29,2.65,2.65,2.59,2.62,3051431.0,2.6239999999999997,,3.045048713684082,2.6479999999999992,2.6465714285714275,,,,
1999-04-30,2.62,2.67,2.6,2.65,3683391.0,2.5500000000000003,,3.0616583824157715,2.6471428571428564,2.650142857142856,,,,
1999-05-03,2.644,2.68,2.64,2.67,1291385.0,2.69,,3.073481559753418,2.6442857142857137,2.6529999999999987,,,,
1999-05-04,2.69,2.69,2.62,2.63,1898174.0,2.67,,3.080591917037964,2.6471428571428564,2.649642857142856,2.678766666666667,,,
1999-05-05,2.623,2.66,2.62,2.65,2133467.0,2.61,,3.0830659866333012,2.644285714285713,2.6474999999999986,2.6731000000000007,,,
1999-05-06,2.641,2.641,2.6,2.635,1552241.0,2.66,,3.080982208251953,2.6421428571428556,2.64642857142857,2.665600000000001,,,
1999-05-07,2.6,2.71,2.6,2.71,3453964.0,2.6499999999999995,,3.0744216442108154,2.652142857142856,2.650785714285713,2.6619333333333346,,,
1999-05-10,2.72,2.72,2.67,2.7,2508100.0,2.77,,3.0634648799896236,2.663571428571427,2.655785714285713,2.6596000000000015,,,
1999-05-11,2.67,2.67,2.6,2.61,3204906.0,2.7300000000000004,,3.0481960773468018,2.6578571428571416,2.652499999999999,2.6539333333333346,,,
1999-05-12,2.61,2.64,2.59,2.63,1533234.0,2.59,,3.0358190536499023,2.652142857142856,2.648214285714285,2.650600000000001,,,
1999-05-13,2.628,2.628,2.56,2.59,6144657.0,2.61,,3.0469915866851807,2.64642857142857,2.6467857142857136,2.646600000000001,,,
1999-05-14,2.62,2.67,2.58,2.66,4267778.0,2.545,,3.054656505584717,2.647857142857142,2.6460714285714277,2.643600000000001,,,
1999-05-17,2.6,2.63,2.59,2.605,1713344.0,2.6100000000000003,,3.0668087005615234,2.643571428571428,2.642857142857142,2.6414333333333344,,,
1999-05-18,2.62,2.63,2.61,2.62,975640.0,2.51,,3.08503532409668,2.630714285714285,2.64142857142857,2.639066666666668,,,
1999-05-19,2.63,2.68,2.6,2.63,2411661.0,2.6300000000000003,,3.100507974624634,2.620714285714285,2.6421428571428565,2.639066666666668,,,
1999-05-20,2.684,2.684,2.65,2.66,2570939.0,2.63,,3.113225221633911,2.6278571428571422,2.6428571428571423,2.641066666666668,,,
1999-05-21,2.66,2.73,2.66,2.72,4478421.0,2.7300000000000004,,3.123186588287353,2.640714285714285,2.646428571428571,2.6474000000000015,,,
1999-05-24,2.7,2.73,2.65,2.72,912211.0,2.78,,3.1303956508636475,2.6592857142857134,2.6528571428571417,2.6514000000000015,,,
1999-05-25,2.65,2.77,2.65,2.77,2378542.0,2.8350000000000004,,3.134853839874268,2.6749999999999994,2.6614285714285706,2.656066666666668,,,
1999-05-26,2.69,2.78,2.68,2.71,2083779.0,2.92,,3.1365675926208496,2.689999999999999,2.6667857142857136,2.657166666666668,,,
1999-05-27,2.74,2.75,2.7,2.73,1948427.0,2.79,,3.1355438232421875,2.705714285714285,2.668214285714285,2.6588333333333343,,,
1999-05-28,2.71,2.74,2.68,2.733,2117238.0,2.8,,3.1424677371978764,2.7204285714285708,2.6705714285714275,2.661600000000001,,,
1999-05-31,2.72,2.72,2.64,2.65,953082.0,2.7460000000000004,,3.1518092155456543,2.718999999999999,2.67342857142857,2.6616333333333344,,,
1999-06-01,2.65,2.66,2.6,2.607,4435339.0,2.58,,3.1589863300323486,2.702857142857142,2.6717857142857127,2.660866666666668,,,
1999-06-02,2.63,2.69,2.6,2.67,3574426.0,2.4439999999999995,,3.1639981269836426,2.6957142857142853,2.677499999999999,2.661333333333334,,,
1999-06-03,2.644,2.644,2.58,2.61,12187623.0,2.63,,3.170948028564453,2.6728571428571426,2.6739285714285708,2.658666666666668,,,
1999-06-04,2.6,2.61,2.55,2.6,1602883.0,2.49,,3.179713726043701,2.657142857142857,2.673571428571428,2.658333333333334,,,
1999-06-07,2.6,2.61,2.56,2.6,561793.0,2.467,,3.1868371963500977,2.6385714285714283,2.6721428571428567,2.6560000000000006,,,
1999-06-08,2.59,2.6,2.55,2.582,1412817.0,2.5500000000000003,,3.1923220157623287,2.617,2.668714285714285,2.6537333333333337,,,
1999-06-09,2.54,2.57,2.53,2.56,931463.0,2.557,,3.1961727142333984,2.604142857142857,2.6615714285714285,2.651066666666667,,,
1999-06-10,2.55,2.55,2.5,2.52,1706285.0,2.45,,3.198395252227783,2.5917142857142856,2.6472857142857147,2.6477333333333335,,,
1999-06-11,2.51,2.53,2.45,2.45,1445938.0,2.43,,3.198993682861328,2.560285714285714,2.6280000000000006,2.6410666666666667,,,
1999-06-15,2.459,2.46,2.41,2.45,2768979.0,2.3000000000000003,,3.197974443435669,2.537428571428571,2.605142857142858,2.6337333333333333,,,
1999-06-16,2.455,2.5,2.45,2.49,1285452.0,2.3000000000000003,,3.195342540740967,2.521714285714285,2.5894285714285723,2.6290666666666667,2.6539166666666665,,
1999-06-17,2.411,2.43,2.28,2.3,7930552.0,2.398000000000001,,3.19110369682312,2.4788571428571418,2.5587142857142866,2.6173999999999995,2.64525,,
1999-06-18,2.3,2.31,2.18,2.2,6712830.0,2.04,,3.1852643489837646,2.424285714285713,2.520642857142858,2.6028999999999995,2.6342499999999998,,
1999-06-21,2.25,2.27,2.16,2.16,3316624.0,1.8800000000000003,,3.1778314113616943,2.367142857142856,2.485642857142858,2.5845666666666665,2.6232499999999996,,
1999-06-22,2.19,2.19,2.16,2.16,3908814.0,1.87,,3.168811798095703,2.315714285714285,2.453714285714287,2.566566666666666,2.613083333333333,,
1999-06-23,2.17,2.26,2.17,2.23,4034603.0,1.87,,3.1582119464874268,2.2842857142857134,2.422285714285715,2.5538999999999996,2.6039166666666658,,
1999-06-24,2.23,2.25,2.2,2.2,3433765.0,1.97,,3.146039724349976,2.2485714285714278,2.393000000000001,2.5395666666666665,2.5950833333333327,,
1999-06-25,2.19,2.21,2.18,2.2,3636268.0,2.1000000000000005,,3.1323027610778813,2.2071428571428564,2.3644285714285727,2.5265666666666666,2.586583333333332,,
