Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
1999-03-22,1.15,1.15,1.12,1.12,29500.0,,,1.6855953931808472,,,,,,
1999-03-23,1.13,1.14,1.13,1.14,52300.0,,,1.6145856380462646,,,,,,
1999-03-24,1.13,1.16,1.12,1.14,19546.0,,,1.5442150831222534,,,,,,
1999-03-25,1.15,1.16,1.15,1.15,167500.0,,,1.4769980907440186,,,,,,
1999-03-26,1.15,1.16,1.13,1.13,39130.0,,,1.4163793325424194,,,,,,
1999-03-29,1.13,1.15,1.13,1.15,407117.0,,,1.3660925626754759,,,,,,
1999-03-30,1.15,1.15,1.13,1.13,42070.0,1.1799999999999995,,1.3410874605178833,1.1371428571428568,,,,,
1999-03-31,1.13,1.15,1.13,1.15,19580.0,1.12,,1.3278114795684814,1.141428571428571,,,,,
1999-04-01,1.13,1.15,1.13,1.14,19580.0,1.16,,1.324878454208374,1.141428571428571,,,,,
1999-04-06,1.15,1.15,1.14,1.14,29300.0,1.13,,1.3319064378738403,1.141428571428571,,,,,
1999-04-07,1.14,1.15,1.14,1.14,42661.0,1.15,,1.348166823387146,1.1399999999999995,,,,,
1999-04-08,1.13,1.14,1.13,1.14,23950.0,1.13,,1.367795705795288,1.141428571428571,,,,,
1999-04-09,1.14,1.14,1.12,1.13,46650.0,1.15,,1.3657519817352295,1.1385714285714281,,,,,
1999-04-12,1.14,1.14,1.12,1.12,34500.0,1.11,,1.3688290119171145,1.1371428571428566,1.1371428571428572,,,,
1999-04-13,1.14,1.14,1.13,1.13,164000.0,1.1000000000000003,,1.3710460662841797,1.1342857142857137,1.137857142857143,,,,
1999-04-14,1.13,1.15,1.13,1.13,40870.0,1.12,,1.3759945631027222,1.1328571428571423,1.137142857142857,,,,
1999-04-15,1.14,1.14,1.13,1.14,40240.0,1.12,,1.3839836120605469,1.1328571428571423,1.137142857142857,,,,
1999-04-16,1.14,1.14,1.13,1.13,80620.0,1.14,,1.3946077823638916,1.131428571428571,1.1357142857142855,,,,
1999-04-19,1.13,1.16,1.13,1.16,40200.0,1.13,,1.4075796604156494,1.134285714285714,1.1378571428571427,,,,
1999-04-20,1.152,1.152,1.14,1.14,50920.0,1.1999999999999995,,1.4230982065200806,1.1357142857142852,1.1371428571428568,,,,
1999-04-21,1.14,1.16,1.14,1.15,76580.0,1.15,,1.4402846097946167,1.1399999999999995,1.1385714285714283,,,,
1999-04-22,1.15,1.18,1.15,1.18,3013876.0,1.17,,1.4588629007339478,1.1471428571428568,1.1407142857142856,,,,
1999-04-23,1.18,1.18,1.16,1.17,121284.0,1.22,,1.4770294427871704,1.1528571428571424,1.1428571428571426,,,,
1999-04-26,1.17,1.17,1.17,1.17,2000.0,1.21,,1.4931303262710571,1.1571428571428566,1.1449999999999996,,,,
1999-04-27,1.16,1.17,1.16,1.16,105810.0,1.18,,1.4930490255355835,1.1614285714285708,1.146428571428571,,,,
1999-04-28,1.17,1.17,1.16,1.17,109990.0,1.18,,1.4905848503112793,1.1628571428571421,1.148571428571428,,,,
1999-04-29,1.17,1.17,1.16,1.16,108060.0,1.19,,1.48846435546875,1.165714285714285,1.1507142857142851,,,,
1999-04-30,1.16,1.16,1.16,1.16,17000.0,1.14,,1.4858427047729492,1.1671428571428564,1.153571428571428,,,,
1999-05-03,1.16,1.17,1.15,1.15,68522.0,1.15,,1.483418345451355,1.1628571428571421,1.1549999999999994,,,,
1999-05-04,1.16,1.16,1.14,1.15,23660.0,1.13,,1.4812390804290771,1.1599999999999995,1.1564285714285707,1.1456666666666666,,,
1999-05-05,1.15,1.15,1.15,1.15,22300.0,1.14,,1.4793462753295898,1.1571428571428566,1.1571428571428564,1.1466666666666667,,,
1999-05-06,1.15,1.15,1.14,1.14,53640.0,1.13,,1.4777514934539795,1.1542857142857137,1.1578571428571423,1.1466666666666667,,,
1999-05-07,1.13,1.13,1.13,1.13,10000.0,1.12,,1.4763821363449097,1.1485714285714281,1.155714285714285,1.1463333333333334,,,
1999-05-10,1.14,1.14,1.14,1.14,6360.0,1.1,,1.4752304553985596,1.1457142857142855,1.155714285714285,1.1460000000000001,,,
1999-05-11,1.14,1.15,1.14,1.15,47000.0,1.13,,1.4742896556854248,1.144285714285714,1.155714285714285,1.1466666666666667,,,
