Date,Open,High,Low,Close,Volume,ML_RF,tech_per_change,ML_LSTM
2000-10-02,,,,2.28,,,,3.6806559562683105
2000-10-03,2.29,2.31,2.28,2.3,203076.0,,,3.5348470211029053
2000-10-04,2.3,2.3,2.28,2.28,85008.0,,,3.355868101119995
2000-10-05,2.28,2.29,2.27,2.28,96999.0,,,3.1402060985565186
2000-10-06,2.27,2.28,2.25,2.25,77738.0,,,2.9096717834472656
2000-10-09,2.25,2.28,2.25,2.28,85072.0,,,2.6902003288269043
2000-10-10,2.28,2.29,2.25,2.27,338747.0,,2.28,2.492269992828369
2000-10-11,2.27,2.31,2.27,2.3,336454.0,,2.24,2.3108503818511963
2000-10-12,2.313,2.37,2.27,2.37,346751.0,,2.32,2.1542537212371826
2000-10-13,2.34,2.38,2.3,2.36,199696.0,,2.4600000000000004,2.022040843963623
2000-10-16,2.36,2.37,2.35,2.36,91432.0,,2.47,1.9169859886169434
2000-10-17,2.35,2.36,2.33,2.35,67792.0,,2.44,1.842824935913086
2000-10-18,2.35,2.39,2.35,2.37,95088.0,,2.43,1.8024983406066895
2000-10-19,2.37,2.42,2.37,2.42,156799.0,,2.4400000000000004,1.798020601272583
2000-10-20,2.41,2.5,2.41,2.5,212282.0,,2.47,1.8297395706176758
2000-10-23,2.48,2.51,2.46,2.5,254923.0,,2.64,1.8461544513702393
2000-10-24,2.48,2.51,2.48,2.489,109801.0,,2.64,1.8907160758972168
2000-10-25,2.5,2.51,2.49,2.5,241220.0,,2.628,1.9087169170379639
2000-10-26,2.5,2.53,2.47,2.48,278825.0,,2.63,1.8908085823059082
2000-10-27,2.4730000000000003,2.5,2.46,2.49,131846.0,,2.54,1.8917620182037354
2000-10-30,2.5,2.5,2.47,2.47,145674.0,,2.4800000000000004,1.9111998081207275
2000-10-31,2.48,2.5,2.48,2.5,157521.0,,2.4400000000000004,1.9465707540512085
2000-11-01,2.5,2.5,2.49,2.499,182772.0,,2.511,1.9973739385604858
2000-11-02,2.5,2.54,2.5,2.54,138528.0,,2.498,2.016279697418213
2000-11-03,2.545,2.63,2.54,2.6,151103.0,,2.6,2.0446178913116455
2000-11-06,2.6,2.6,2.52,2.55,126701.0,,2.71,2.0861988067626953
2000-11-07,2.58,2.59,2.56,2.58,66661.0,,2.6299999999999994,2.108548641204834
2000-11-08,2.58,2.59,2.54,2.55,126943.0,,2.66,2.139525890350342
2000-11-09,2.56,2.6,2.55,2.57,121295.0,,2.6009999999999995,2.1788434982299805
2000-11-10,2.57,2.62,2.55,2.59,180845.0,,2.6,2.226138114929199
2000-11-13,2.6,2.64,2.59,2.62,117237.0,,2.58,2.2809417247772217
2000-11-14,2.62,2.68,2.62,2.68,147270.0,,2.6900000000000004,2.3404312133789062
2000-11-15,2.68,2.74,2.68,2.7,254708.0,,2.78,2.4024899005889893
2000-11-16,2.71,2.72,2.68,2.68,59107.0,,2.8500000000000005,2.4639246463775635
2000-11-17,2.69,2.7,2.6,2.6,44766.0,,2.7900000000000005,2.509502410888672
2000-11-20,2.6,2.61,2.55,2.58,47370.0,,2.6100000000000003,2.547567129135132
2000-11-21,2.55,2.58,2.55,2.56,60330.0,,2.54,2.5912904739379883
2000-11-22,2.57,2.58,2.55,2.57,88306.0,,2.44,2.6390061378479004
2000-11-23,2.57,2.58,2.53,2.53,186930.0,,2.4399999999999995,2.6904382705688477
2000-11-24,2.52,2.52,2.49,2.5,98395.0,,2.3799999999999994,2.7330174446105957
2000-11-27,2.5,2.5,2.46,2.5,161639.0,,2.4,2.7781801223754883
2000-11-28,2.495,2.495,2.3,2.35,438158.0,,2.42,2.8263230323791504
2000-11-29,2.314,2.4,2.314,2.35,89342.0,,2.14,2.861912965774536
2000-11-30,2.4,2.43,2.4,2.43,47694.0,,2.1300000000000003,2.892585277557373
2000-12-01,2.43,2.5,2.43,2.49,135104.0,,2.3300000000000005,2.9255008697509766
2000-12-04,2.42,2.45,2.38,2.43,47083.0,,2.4800000000000004,2.9413907527923584
2000-12-05,2.427,2.48,2.427,2.439,136826.0,,2.3600000000000003,2.947749614715576
2000-12-06,2.45,2.51,2.45,2.5,151331.0,,2.528,2.9555623531341553
2000-12-07,2.47,2.56,2.47,2.53,158955.0,,2.65,2.964623212814331
2000-12-08,2.555,2.58,2.46,2.46,99291.0,,2.6299999999999994,2.97491192817688
2000-12-11,2.45,2.59,2.45,2.5,119631.0,,2.43,2.986405611038208
2000-12-12,2.56,2.64,2.53,2.53,246455.0,,2.57,2.999079465866089
2000-12-13,2.54,2.62,2.54,2.61,280717.0,,2.6210000000000004,3.0129058361053467
2000-12-14,2.6,2.654,2.6,2.654,91461.0,,2.72,3.027855157852173
2000-12-15,2.66,2.66,2.64,2.65,99695.0,,2.778,3.0438950061798096
2000-12-18,2.653,2.67,2.6,2.65,62620.0,,2.84,3.060990571975708
2000-12-19,2.67,2.68,2.65,2.68,258884.0,,2.8,3.0791051387786865
2000-12-20,2.6,2.6,2.45,2.57,372342.0,,2.8300000000000005,3.0981993675231934
2000-12-21,2.46,2.5,2.44,2.46,237246.0,,2.53,3.118232250213623
2000-12-22,2.48,2.5,2.4,2.4,152651.0,,2.266,3.139159679412842
2000-12-27,2.415,2.5,2.415,2.46,66611.0,,2.15,3.160935640335083
2000-12-28,2.49,2.5,2.46,2.46,74080.0,,2.27,3.1835126876831055
2000-12-29,2.48,2.52,2.46,2.496,335173.0,,2.24,3.1992292404174805
2001-01-02,2.51,2.53,2.47,2.53,29225.0,,2.422,3.213378429412842
2001-01-03,2.45,2.5,2.45,2.5,39450.0,,2.6,3.2275567054748535
2001-01-04,2.559,2.57,2.48,2.5,62689.0,,2.6,3.232095241546631
2001-01-05,2.49,2.54,2.47,2.47,70143.0,,2.54,3.237028121948242
2001-01-08,2.47,2.52,2.47,2.48,22500.0,,2.4800000000000004,3.242342948913574
2001-01-09,2.48,2.49,2.48,2.48,33662.0,,2.464,3.248319149017334
2001-01-10,2.48,2.54,2.48,2.53,51016.0,,2.43,3.254903554916382
2001-01-11,2.55,2.6,2.55,2.59,126508.0,,2.56,3.2607486248016357
2001-01-12,2.6,2.6,2.58,2.58,32075.0,,2.68,3.26700496673584
2001-01-15,2.58,2.59,2.55,2.56,59448.0,,2.69,3.2736659049987793
2001-01-16,2.56,2.56,2.51,2.54,46386.0,,2.64,3.2807254791259766
2001-01-17,2.52,2.56,2.52,2.56,110327.0,,2.6,3.2881767749786377
2001-01-18,2.57,2.65,2.56,2.64,240153.0,,2.5900000000000003,3.2960124015808105
2001-01-19,2.65,2.65,2.5,2.5,134824.0,,2.6900000000000004,3.304225206375122
2001-01-22,2.5,2.6,2.5,2.55,115984.0,,2.42,3.312807083129883
2001-01-23,2.55,2.57,2.54,2.551,40979.0,,2.54,3.320197105407715
2001-01-24,2.5,2.52,2.49,2.5,133636.0,,2.5620000000000003,3.3277652263641357
2001-01-25,2.5,2.51,2.48,2.5,245258.0,,2.44,3.3356680870056152
2001-01-29,2.5,2.5,2.48,2.48,137768.0,,2.36,3.3438992500305176
2001-01-30,2.5,2.51,2.47,2.49,180516.0,,2.46,3.3524527549743652
2001-01-31,2.5,2.5,2.48,2.48,234264.0,,2.4300000000000006,3.3613219261169434
2001-02-01,2.48,2.5,2.48,2.48,200156.0,,2.4090000000000003,3.370500087738037
2001-02-02,2.48,2.5,2.48,2.5,51760.0,,2.46,3.3799798488616943
2001-02-05,2.5,2.5,2.48,2.5,58734.0,,2.5,3.389754295349121
2001-02-06,2.49,2.5,2.45,2.45,119319.0,,2.52,3.399815320968628
2001-02-07,2.48,2.48,2.46,2.47,94824.0,,2.41,3.410155773162842
2001-02-08,2.47,2.48,2.46,2.46,135522.0,,2.4600000000000004,3.4207675457000732
2001-02-09,2.46,2.46,2.45,2.46,94871.0,,2.44,3.4316422939300537
2001-02-12,2.45,2.48,2.43,2.48,83202.0,,2.42,3.4347922801971436
2001-02-13,2.46,2.49,2.44,2.44,188600.0,,2.46,3.4370181560516357
2001-02-14,2.45,2.45,2.38,2.4,114600.0,,2.43,3.439469337463379
2001-02-15,2.4,2.44,2.38,2.43,64092.0,,2.33,3.4421486854553223
2001-02-16,2.43,2.43,2.38,2.4,104482.0,,2.4000000000000004,3.4450600147247314
2001-02-19,2.4,2.43,2.4,2.4,66763.0,,2.34,3.4482059478759766
2001-02-20,2.405,2.42,2.4,2.41,118913.0,,2.32,3.451589584350586
2001-02-21,2.4,2.42,2.4,2.42,44933.0,,2.3800000000000003,3.455214023590088
2001-02-22,2.42,2.44,2.41,2.44,39996.0,,2.44,3.459082841873169
2001-02-23,2.44,2.44,2.39,2.39,255578.0,,2.45,3.4631991386413574
2001-02-26,2.39,2.4,2.38,2.39,86603.0,,2.3800000000000003,3.4675657749176025
2001-02-27,2.4,2.4,2.35,2.35,97755.0,,2.3800000000000003,3.4721860885620117
2001-02-28,2.36,2.4,2.36,2.4,67109.0,,2.29,3.4770636558532715
2001-03-01,2.4,2.4,2.39,2.4,52960.0,,2.38,3.48220157623291
2001-03-02,2.42,2.48,2.41,2.42,150624.0,,2.36,3.487602949142456
2001-03-05,2.45,2.5,2.42,2.42,69615.0,,2.45,3.4932713508605957
2001-03-06,2.396,2.45,2.396,2.42,364342.0,,2.45,3.4992101192474365
2001-03-07,2.44,2.51,2.43,2.5,174079.0,,2.49,3.505422353744507
2001-03-08,2.515,2.52,2.48,2.511,51413.0,,2.6,3.511911630630493
2001-03-09,2.49,2.5,2.45,2.47,119201.0,,2.6220000000000003,3.518681049346924
2001-03-12,2.45,2.48,2.45,2.45,46503.0,,2.5200000000000005,3.5257341861724854
2001-03-13,2.45,2.5,2.44,2.46,115857.0,,2.4800000000000004,3.5330746173858643
2001-03-14,2.46,2.49,2.42,2.46,116264.0,,2.5,3.540705680847168
2001-03-15,2.44,2.49,2.43,2.44,167804.0,,2.42,3.548630475997925
2001-03-16,2.4459999999999997,2.49,2.4459999999999997,2.47,94945.0,,2.369,3.5568530559539795
2001-03-19,2.47,2.49,2.46,2.46,66585.0,,2.47,3.5653762817382812
2001-03-20,2.47,2.49,2.46,2.47,70913.0,,2.47,3.574204206466675
