Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF
2014-11-11,2.75,2.77,2.61,2.65,,,
2014-11-12,2.66,2.7,2.65,2.66,,,
2014-11-13,2.68,2.7,2.67,2.69,,,
2014-11-14,2.69,2.71,2.67,2.68,,,
2014-11-17,2.69,2.69,2.66,2.66,,,
2014-11-18,2.66,2.67,2.65,2.66,,,
2014-11-19,2.65,2.67,2.61,2.63,,2.6700000000000004,
2014-11-20,2.61,2.62,2.58,2.58,,2.6,
2014-11-21,2.6,2.6,2.51,2.55,,2.47,
2014-11-24,2.58,2.58,2.5,2.52,,2.4199999999999995,
2014-11-25,2.54,2.55,2.46,2.5,,2.38,
2014-11-26,2.48,2.49,2.47,2.49,,2.34,
2014-11-27,2.5,2.5,2.5,2.5,,2.3500000000000005,
2014-11-28,2.49,2.49,2.47,2.47,,2.42,
2014-12-01,2.46,2.46,2.45,2.45,,2.390000000000001,
2014-12-02,2.45,2.45,2.42,2.45,,2.3800000000000003,
2014-12-03,2.45,2.48,2.45,2.48,,2.4000000000000004,
2014-12-04,2.45,2.55,2.45,2.5,,2.47,
2014-12-05,2.52,2.58,2.45,2.45,,2.5,
2014-12-08,2.45,2.54,2.45,2.54,,2.43,
2014-12-09,2.53,2.53,2.45,2.5,,2.63,
2014-12-10,2.51,2.55,2.5,2.55,,2.55,
2014-12-11,2.54,2.54,2.54,2.54,,2.62,
2014-12-12,2.48,2.48,2.48,2.48,,2.58,
2014-12-15,2.49,2.56,2.49,2.55,,2.51,
2014-12-16,2.48,2.48,2.44,2.48,,2.56,
2014-12-17,2.49,2.54,2.49,2.54,,2.46,
2014-12-18,2.51,2.52,2.49,2.51,,2.53,
2014-12-19,2.53,2.57,2.49,2.5,,2.4799999999999995,
2014-12-22,2.53,2.54,2.5,2.5,,2.52,
2014-12-23,2.5,2.5,2.49,2.49,,2.45,
2014-12-24,2.55,2.55,2.49,2.49,,2.5000000000000004,
2014-12-29,2.5,2.52,2.5,2.5,,2.4400000000000004,
2014-12-30,2.54,2.54,2.48,2.48,,2.49,
2014-12-31,2.54,2.54,2.53,2.54,,2.46,
2015-01-02,2.54,2.54,2.54,2.54,,2.58,
2015-01-05,2.51,2.54,2.51,2.54,,2.59,
2015-01-06,2.51,2.54,2.51,2.54,,2.59,
2015-01-07,2.54,2.55,2.49,2.53,,2.58,
2015-01-08,2.48,2.54,2.48,2.54,,2.58,
2015-01-09,2.52,2.55,2.5,2.54,,2.54,
2015-01-12,2.54,2.54,2.53,2.54,,2.54,
2015-01-13,2.5,2.51,2.49,2.5,,2.54,
2015-01-14,2.5,2.5,2.5,2.5,,2.46,2.52
2015-01-15,2.5,2.5,2.5,2.5,,2.47,2.508
2015-01-16,2.48,2.55,2.48,2.55,,2.46,2.504
2015-01-19,2.55,2.55,2.5,2.55,,2.56,2.5450000000000004
2015-01-20,2.55,2.58,2.48,2.55,,2.56,2.5500000000000003
2015-01-21,2.55,2.58,2.5,2.55,,2.6,2.5500000000000003
2015-01-22,2.57,2.6,2.56,2.58,,2.6,2.5500000000000003
2015-01-23,2.55,2.64,2.55,2.6,,2.66,2.5739999999999994
2015-01-27,2.6,2.64,2.58,2.6,,2.6500000000000004,2.5980000000000003
2015-01-28,2.59,2.64,2.58,2.64,,2.6500000000000004,2.6000000000000005
2015-01-29,2.61,2.65,2.61,2.65,,2.7300000000000004,2.62
2015-01-30,2.62,2.68,2.62,2.68,,2.75,2.6489999999999996
2015-02-02,2.67,2.67,2.64,2.65,,2.78,2.6639999999999997
2015-02-03,2.66,2.74,2.65,2.71,,2.7,2.6529999999999996
2015-02-04,2.71,2.77,2.71,2.74,,2.82,2.6740000000000004
2015-02-05,2.74,2.87,2.74,2.78,,2.8400000000000003,2.7280000000000006
2015-02-06,2.79,2.89,2.77,2.87,,2.91,2.7440000000000007
2015-02-09,2.87,2.87,2.78,2.8,,3.06,2.8480000000000003
2015-02-10,2.8,2.85,2.8,2.85,,2.95,2.8200000000000003
2015-02-11,2.83,2.99,2.83,2.9,,2.99,2.8510000000000004
2015-02-12,2.92,2.92,2.78,2.78,,3.06,2.8899999999999997
2015-02-13,2.8,2.9,2.69,2.74,,2.78,2.804
2015-02-16,2.75,2.75,2.75,2.75,,2.6100000000000003,2.7520000000000002
2015-02-17,2.86,2.9,2.84,2.9,,2.7,2.753
2015-02-18,2.89,2.95,2.88,2.94,,2.95,2.8689999999999998
2015-02-19,2.9,2.96,2.9,2.92,,2.98,2.9
2015-02-20,2.9,2.9,2.78,2.85,,3.06,2.9200000000000004
2015-02-23,2.85,2.85,2.79,2.85,,2.96,2.8730000000000007
2015-02-24,2.84,2.87,2.79,2.86,,2.95,2.8730000000000007
2015-02-25,2.92,3.04,2.88,2.98,,2.82,2.864
2015-02-26,2.9,2.94,2.85,2.89,,3.02,2.942
2015-02-27,2.9,3.01,2.9,2.98,,2.8600000000000003,2.9050000000000002
2015-03-02,2.97,2.97,2.85,2.85,,3.11,2.95
2015-03-03,2.87,2.92,2.78,2.91,,2.85,2.8640000000000003
2015-03-04,2.91,2.91,2.83,2.9,,2.9600000000000004,2.8920000000000003
2015-03-05,2.9,2.96,2.9,2.95,,2.82,2.8979999999999992
2015-03-06,2.96,3.06,2.95,3.0,,3.01,2.9319999999999995
2015-03-09,2.98,2.98,2.92,2.96,,3.02,2.975
2015-03-10,2.94,3.05,2.94,3.0,,3.07,2.957
2015-03-11,3.01,3.07,3.0,3.05,,3.09,2.9840000000000004
2015-03-12,3.06,3.3,3.0,3.12,,3.2,3.0260000000000002
2015-03-13,3.085,3.26,3.06,3.26,,3.29,3.0710000000000006
2015-03-16,3.24,3.38,3.24,3.3,,3.52,3.1480000000000006
2015-03-17,3.27,3.3,3.2,3.2,,3.64,3.274
2015-03-18,3.28,3.3,3.1,3.27,,3.4000000000000004,3.25
2015-03-19,3.27,3.3,3.24,3.27,,3.49,3.279
2015-03-20,3.29,3.3,3.23,3.23,,3.42,3.2730000000000006
2015-03-23,3.16,3.28,3.16,3.26,,3.2,3.253
2015-03-24,3.23,3.265,3.22,3.26,,3.22,3.2589999999999995
2015-03-25,3.25,3.315,3.22,3.25,,3.3199999999999994,3.2569999999999992
2015-03-26,3.22,3.33,3.2,3.24,,3.23,3.252
2015-03-27,3.24,3.27,3.24,3.24,,3.2100000000000004,3.2440000000000007
2015-03-30,3.245,3.305,3.23,3.23,,3.2500000000000004,3.242000000000001
2015-03-31,3.18,3.3,3.18,3.28,,3.2,3.2350000000000003
2015-04-01,3.24,3.25,3.22,3.25,,3.3,3.257
2015-04-02,3.23,3.45,3.23,3.4,,3.25,3.249
2015-04-07,3.42,3.52,3.4,3.47,,3.56,3.3229999999999995
2015-04-08,3.45,3.55,3.45,3.5,,3.7,3.418
2015-04-09,3.48,3.49,3.24,3.31,,3.77,3.465
2015-04-10,3.38,3.41,3.34,3.35,,3.3400000000000003,3.379
2015-04-13,3.3,3.4,3.3,3.35,,3.45,3.3550000000000004
