Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
2017-06-29,2.7,2.7,2.65,2.7,,,,0.32026806473731995,,,,,,
2017-06-30,2.68,2.95,2.68,2.95,,,,0.5562305450439453,,,,,,
2017-07-03,3.02,3.08,3.0,3.0,,,,0.8339224457740784,,,,,,
2017-07-04,3.0,3.02,2.99,3.0,,,,1.148241400718689,,,,,,
2017-07-05,3.0,3.2,2.99,3.18,,,,1.4922426939010618,,,,,,
2017-07-06,3.2,3.2,3.13,3.15,,,,1.8558509349823,,,,,,
2017-07-07,3.15,3.18,3.06,3.11,,3.6,,2.2260172367095947,3.012857142857143,,,,,
2017-07-10,3.15,3.15,2.85,2.93,,3.27,,2.585235118865967,3.045714285714286,,,,,
2017-07-11,2.89,3.07,2.89,3.01,,2.8600000000000003,,2.88583779335022,3.0542857142857143,,,,,
2017-07-12,3.0,3.05,3.0,3.03,,3.02,,3.067012071609497,3.0585714285714287,,,,,
2017-07-13,3.03,3.13,3.03,3.05,,2.8799999999999994,3.024,3.1663031578063965,3.065714285714286,,,,,
2017-07-14,3.06,3.14,3.06,3.1,,2.95,3.04,3.180227518081665,3.0542857142857147,,,,,
2017-07-17,3.1,3.1,3.06,3.09,,3.0900000000000003,3.0830000000000006,3.116150379180908,3.0457142857142863,,,,,
2017-07-18,3.08,3.1,3.07,3.1,,3.25,3.089,2.9994089603424072,3.044285714285715,3.0285714285714285,,,,
2017-07-19,3.11,3.11,3.09,3.1,,3.1900000000000004,3.0970000000000004,2.9464669227600098,3.06857142857143,3.057142857142857,,,,
2017-07-20,3.1,3.1,3.07,3.07,,3.1700000000000004,3.0970000000000004,2.9467134475708012,3.077142857142858,3.0657142857142854,,,,
2017-07-21,3.07,3.1,3.07,3.1,,3.09,3.0840000000000005,3.0036661624908447,3.087142857142858,3.0728571428571425,,,,
2017-07-24,3.1,3.1,3.02,3.02,,3.1,3.091,3.004049062728882,3.0828571428571436,3.0742857142857143,,,,
2017-07-25,3.04,3.1,3.02,3.06,,2.95,3.0490000000000004,3.0175676345825195,3.0771428571428574,3.065714285714286,,,,
2017-07-26,3.06,3.1,3.06,3.09,,3.02,3.0569999999999995,3.0254385471343994,3.0771428571428574,3.061428571428572,,,,
2017-07-27,3.09,3.1,3.05,3.09,,3.08,3.075,3.0004994869232178,3.075714285714286,3.06,,,,
2017-07-28,3.09,3.1,3.05,3.08,,3.11,3.0869999999999997,2.9647533893585205,3.0728571428571425,3.0707142857142857,,,,
2017-07-31,3.08,3.1,3.05,3.1,,3.06,3.082,2.978003978729248,3.077142857142857,3.0771428571428574,,,,
2017-08-01,3.1,3.1,3.05,3.08,,3.18,3.092,2.978485584259033,3.074285714285714,3.080714285714286,,,,
2017-08-02,3.08,3.08,3.03,3.05,,3.1,3.0839999999999996,2.9846811294555664,3.0785714285714283,3.080714285714286,,,,
2017-08-03,3.05,3.07,3.01,3.05,,3.01,3.0650000000000004,2.995135307312012,3.077142857142857,3.077142857142857,,,,
2017-08-04,3.07,3.08,3.02,3.07,,3.01,3.053,2.989678144454956,3.0742857142857143,3.075714285714286,,,,
2017-08-07,3.07,3.07,3.03,3.07,,3.06,3.0580000000000003,2.9702570438385014,3.0714285714285716,3.073571428571429,,,,
2017-08-08,3.07,3.07,3.03,3.05,,3.04,3.068,2.958308458328247,3.067142857142857,3.07,,,,
2017-08-09,3.06,3.08,3.03,3.05,,3.02,3.0580000000000003,2.9465370178222656,3.0599999999999996,3.068571428571428,3.0509999999999993,,,
2017-08-10,3.05,3.07,3.01,3.04,,3.05,3.0540000000000003,2.926774024963379,3.054285714285714,3.0642857142857136,3.0623333333333327,,,
2017-08-11,3.01,3.01,2.96,2.97,,3.03,3.0449999999999995,2.9275608062744136,3.042857142857142,3.0607142857142846,3.0629999999999993,,,
2017-08-14,2.96,3.04,2.95,3.04,,2.870000000000001,2.992,2.939256191253662,3.0414285714285705,3.0592857142857133,3.0643333333333325,,,
2017-08-15,3.04,3.05,2.95,3.0,,3.01,3.026,2.933414936065674,3.0314285714285703,3.0528571428571416,3.0643333333333325,,,
2017-08-16,3.0,3.01,2.94,3.01,,2.95,3.009,2.930039644241333,3.0228571428571414,3.047142857142856,3.058666666666666,,,
2017-08-17,3.02,3.04,2.98,3.0,,2.97,3.0069999999999992,2.96401596069336,3.0157142857142842,3.0414285714285705,3.0536666666666656,,,
2017-08-18,3.0,3.05,2.94,3.05,,2.96,3.003,3.0357022285461426,3.0157142857142842,3.0378571428571415,3.0516666666666654,,,
2017-08-21,3.06,3.1,3.06,3.09,,3.1299999999999994,3.03,3.1123659610748287,3.0228571428571414,3.038571428571427,3.056999999999999,,,
2017-08-22,3.09,3.13,3.07,3.09,,3.14,3.06,3.188351392745972,3.0399999999999987,3.0414285714285705,3.0596666666666654,,,
2017-08-23,3.09,3.11,3.08,3.09,,3.18,3.077,3.2636239528656006,3.047142857142856,3.0442857142857136,3.0616666666666656,,,
2017-08-24,3.09,3.24,3.05,3.24,,3.17,3.09,3.338104248046875,3.0814285714285705,3.056428571428571,3.0679999999999987,,,
2017-08-25,3.32,3.64,3.31,3.6,,3.4800000000000004,3.15,3.411611318588257,3.165714285714285,3.094285714285714,3.0846666666666653,,,
2017-08-28,3.62,3.725,3.53,3.54,,4.15,3.5490000000000004,3.484311819076538,3.2428571428571424,3.129285714285714,3.0996666666666655,,,
2017-08-29,3.56,3.59,3.47,3.53,,3.99,3.5189999999999997,3.5561776161193848,3.311428571428571,3.1635714285714287,3.113999999999999,,,
2017-08-30,3.58,3.73,3.57,3.66,,3.97,3.5460000000000003,3.6263606548309326,3.3928571428571423,3.207857142857143,3.132666666666666,,,
2017-08-31,3.7,3.89,3.66,3.77,,4.23,3.616000000000001,3.691570281982422,3.4899999999999993,3.2650000000000006,3.1559999999999993,,,
2017-09-01,3.84,3.9,3.82,3.86,,4.3,3.759,3.7558012008666988,3.599999999999999,3.3235714285714293,3.181333333333333,,,
2017-09-04,3.89,3.89,3.8,3.85,,4.119999999999999,3.815,3.8081760406494136,3.6871428571428564,3.384285714285715,3.208999999999999,,,
2017-09-05,3.84,3.85,3.77,3.84,,4.16,3.852,3.8443427085876474,3.7214285714285706,3.44357142857143,3.2349999999999994,,,
2017-09-06,3.83,3.84,3.79,3.8,,4.15,3.844,3.878881692886353,3.758571428571428,3.5007142857142868,3.2586666666666657,,,
2017-09-07,3.82,3.84,3.78,3.8,,3.94,3.81,3.9118132591247563,3.7971428571428563,3.554285714285715,3.2823333333333324,,,
2017-09-08,3.85,3.88,3.81,3.87,,3.83,3.8,3.9431591033935542,3.8271428571428565,3.6100000000000003,3.308666666666666,,,
2017-09-11,3.88,3.88,3.85,3.87,,3.88,3.849,3.9726564884185787,3.841428571428571,3.6657142857142864,3.334333333333333,,,
2017-09-12,3.87,4.0,3.87,4.0,,3.89,3.863,4.00059986114502,3.861428571428571,3.730714285714286,3.3649999999999998,,,
2017-09-13,4.15,4.42,4.15,4.38,,4.16,3.987000000000001,4.0270843505859375,3.9371428571428564,3.8121428571428573,3.409333333333333,,,
2017-09-14,4.48,4.75,4.48,4.6,,4.96,4.1770000000000005,4.052135467529297,4.045714285714285,3.883571428571429,3.4609999999999994,,,
2017-09-15,4.6,4.63,4.44,4.45,,5.4,4.518000000000002,4.075779438018799,4.138571428571428,3.9485714285714293,3.5069999999999997,,,
2017-09-18,4.45,4.48,4.26,4.28,,5.03,4.48,4.098042964935304,4.207142857142856,4.002142857142858,3.5473333333333334,,,
2017-09-19,4.25,4.46,4.23,4.34,,4.69,4.3290000000000015,4.1189541816711435,4.274285714285713,4.050714285714286,3.5903333333333336,,,
2017-09-20,4.36,4.39,4.27,4.28,,4.68,4.353,4.138540744781493,4.332857142857141,4.087142857142857,3.6313333333333335,3.341166666666667,,
2017-09-21,4.34,4.44,4.3,4.34,,4.1800000000000015,4.312,4.156832695007323,4.38142857142857,4.121428571428572,3.674666666666667,3.3685000000000005,,
2017-09-22,4.36,4.4,4.27,4.3,,4.08,4.336,4.173859596252441,4.369999999999998,4.1535714285714285,3.7190000000000003,3.391000000000001,,
2017-09-25,4.32,4.35,4.25,4.25,,4.15,4.298,4.189653396606444,4.3199999999999985,4.182857142857143,3.759333333333333,3.4118333333333344,,
2017-09-26,4.22,4.23,4.07,4.15,,4.22,4.26,4.204245090484618,4.277142857142855,4.207857142857143,3.7976666666666667,3.4310000000000014,,
2017-09-27,4.36,4.4,4.1,4.11,,3.9600000000000013,4.17,4.217667579650879,4.252857142857141,4.23,3.8343333333333334,3.4465000000000012,,
2017-09-28,4.18,4.18,4.03,4.08,,3.94,4.122,4.2299532890319815,4.2157142857142835,4.245,3.8703333333333334,3.4620000000000015,,
2017-09-29,4.14,4.21,4.09,4.18,,3.82,4.103,4.241135597229004,4.201428571428569,4.267142857142858,3.908,3.4798333333333344,,
2017-10-02,4.23,4.33,4.2,4.31,,4.06,4.162999999999999,4.251248359680177,4.197142857142855,4.2892857142857155,3.9486666666666665,3.5028333333333346,,
2017-10-03,4.33,4.38,4.17,4.2,,4.369999999999999,4.225,4.2603254318237305,4.182857142857141,4.276428571428572,3.9856666666666665,3.5226666666666677,,
2017-10-04,4.2,4.25,4.15,4.22,,4.25,4.2090000000000005,4.268402576446533,4.178571428571426,4.249285714285715,4.0233333333333325,3.5425000000000013,,
2017-10-05,4.22,4.23,4.12,4.13,,4.329999999999999,4.225,4.275515079498291,4.175714285714284,4.226428571428572,4.053,3.5605000000000007,,
2017-10-06,4.16,4.3,4.15,4.27,,4.18,4.198,4.284634590148927,4.198571428571427,4.225714285714287,4.075333333333333,3.580000000000001,,
2017-10-09,4.3,4.47,4.27,4.34,,4.3599999999999985,4.244,4.3011460304260245,4.235714285714285,4.225714285714287,4.101999999999999,3.6008333333333344,,
2017-10-10,4.36,4.38,4.23,4.29,,4.37,4.3,4.344033718109132,4.25142857142857,4.226428571428572,4.1273333333333335,3.6206666666666676,,
2017-10-11,4.31,4.35,4.21,4.3,,4.38,4.297999999999999,4.386351585388184,4.249999999999998,4.22357142857143,4.148666666666667,3.640666666666668,,
