Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF
2011-02-07,7.75,7.85,7.75,7.8,162944.0,,
2011-02-08,7.91,8.3,7.91,8.3,244328.0,,
2011-02-09,8.3,8.3,8.05,8.3,101198.0,,
2011-02-10,8.18,8.3,8.17,8.23,32631.0,,
2011-02-11,8.15,8.23,7.99,8.06,45109.0,,
2011-02-14,8.16,8.16,7.61,7.8,99673.0,,
2011-02-15,7.85,7.93,7.75,7.8,103492.0,7.8,
2011-02-16,8.1,8.21,8.05,8.16,175540.0,7.299999999999999,
2011-02-17,8.22,8.35,8.21,8.35,156975.0,8.02,
2011-02-18,8.2,8.4,8.15,8.2,126798.0,8.469999999999999,
2011-02-21,9.01,9.1,8.33,8.4,1309109.0,8.339999999999998,
2011-02-22,8.46,9.04,8.46,8.9,1677380.0,9.0,
2011-02-23,8.79,9.03,8.74,9.0,915791.0,10.0,
2011-02-24,8.99,9.02,8.65,8.9,337956.0,9.84,
2011-02-25,8.9,8.99,8.9,8.92,511635.0,9.45,
2011-02-28,9.05,9.24,9.05,9.17,315071.0,9.64,
2011-03-01,9.35,9.44,9.31,9.35,733050.0,9.94,
2011-03-02,9.29,9.4,9.21,9.4,323362.0,9.8,
2011-03-03,9.48,9.5,9.42,9.49,297424.0,9.8,
2011-03-04,9.3,9.35,9.13,9.2,413092.0,10.08,
2011-03-07,9.25,9.38,9.24,9.37,516776.0,9.48,
2011-03-08,9.4,9.42,9.16,9.21,349255.0,9.57,
2011-03-09,8.99,9.17,8.85,9.07,563473.0,9.070000000000002,
2011-03-10,8.9,8.98,8.88,8.93,423671.0,8.74,
2011-03-11,8.75,8.9,8.72,8.86,294220.0,8.37,
2011-03-14,8.65,8.65,8.45,8.54,360718.0,8.52,
2011-03-15,8.54,8.59,8.18,8.3,213869.0,7.709999999999999,
2011-03-16,8.0,8.26,7.95,8.1,488775.0,7.3900000000000015,
2011-03-17,8.1,8.49,7.83,8.1,745630.0,7.129999999999999,
2011-03-18,8.25,8.25,8.02,8.19,1068865.0,7.27,
2011-03-21,8.47,8.47,8.01,8.26,223670.0,7.52,
2011-03-22,8.41,8.49,8.31,8.36,317022.0,7.98,
2011-03-23,8.21,8.37,8.14,8.21,221278.0,8.419999999999998,
2011-03-24,8.51,8.6,8.4,8.42,711962.0,8.320000000000002,
2011-03-25,8.5,8.68,8.45,8.65,339826.0,8.74,
2011-03-28,8.3,8.4,8.22,8.34,122000.0,9.11,
2011-03-29,8.59,8.6,8.52,8.54,250529.0,8.42,
2011-03-30,8.75,8.79,8.63,8.78,216571.0,8.719999999999999,
2011-03-31,8.79,8.86,8.74,8.77,1455951.0,9.349999999999998,
2011-04-01,8.86,9.04,8.82,9.0,772629.0,9.12,
2011-04-04,8.8,8.95,8.73,8.89,424682.0,9.35,
2011-04-05,9.03,9.09,9.02,9.08,604258.0,9.44,
2011-04-06,9.65,9.75,9.5,9.56,869981.0,9.62,
2011-04-07,9.81,9.84,9.57,9.66,653736.0,10.340000000000002,
2011-04-08,9.69,9.84,9.55,9.83,344207.0,10.55,
2011-04-11,9.94,10.05,9.92,10.04,376867.0,10.66,
2011-04-12,9.66,9.87,9.61,9.76,413816.0,11.189999999999998,
2011-04-13,9.6,9.88,9.57,9.85,702249.0,10.44,
2011-04-14,9.95,10.09,9.95,10.08,509332.0,10.14,
2011-04-15,10.25,10.49,10.25,10.43,431542.0,10.5,
2011-04-18,10.44,10.53,10.39,10.41,510338.0,11.03,
2011-04-19,10.49,10.49,10.25,10.33,513165.0,10.78,
2011-04-20,10.34,10.48,10.22,10.48,395804.0,10.9,
2011-04-21,10.44,10.44,10.23,10.36,217538.0,11.11,
2011-04-27,9.91,9.96,9.74,9.79,170754.0,10.64,
2011-04-28,9.91,10.34,9.91,10.21,209559.0,9.15,
2011-04-29,9.9,9.99,9.81,9.85,178070.0,10.010000000000002,
2011-05-02,9.6,9.72,9.37,9.65,216992.0,9.37,
2011-05-03,9.33,9.4,9.25,9.31,566479.0,8.82,
2011-05-04,8.98,8.98,8.8,8.85,957100.0,8.260000000000002,
2011-05-05,8.66,9.14,8.66,9.1,638075.0,7.91,
2011-05-06,8.99,9.15,8.87,8.94,748057.0,7.9899999999999975,
2011-05-09,8.93,8.93,8.66,8.7,227355.0,8.03,
2011-05-10,8.8,8.95,8.76,8.95,426991.0,7.749999999999997,
2011-05-11,8.95,9.18,8.95,9.18,152672.0,8.589999999999998,
2011-05-12,8.89,8.93,8.84,8.89,665090.0,9.51,
2011-05-13,8.54,8.55,8.33,8.38,481958.0,8.680000000000001,
2011-05-16,8.02,8.18,8.02,8.07,261484.0,7.820000000000002,
2011-05-17,7.92,8.15,7.85,7.91,831965.0,7.440000000000001,
2011-05-18,7.82,8.05,7.81,8.0,280663.0,6.870000000000001,
2011-05-19,8.2,8.25,8.15,8.2,318910.0,6.82,
2011-05-20,8.15,8.24,8.09,8.18,224181.0,7.509999999999998,
2011-05-23,8.34,8.78,8.34,8.67,371584.0,7.979999999999999,
2011-05-24,8.67,8.69,8.47,8.52,161708.0,9.27,
2011-05-25,9.14,9.29,9.12,9.12,836501.0,9.13,
2011-05-26,9.21,9.39,9.1,9.23,125759.0,10.239999999999998,
2011-05-27,9.17,9.18,9.01,9.15,168218.0,10.260000000000002,
2011-05-30,9.01,9.15,8.97,9.09,138294.0,10.12,
2011-05-31,9.11,9.13,8.89,9.03,124657.0,9.51,
2011-06-01,9.05,9.16,9.03,9.1,323437.0,9.54,
2011-06-02,9.2,9.24,9.09,9.12,265409.0,9.08,
2011-06-03,8.8,9.04,8.79,9.01,321378.0,9.009999999999998,
2011-06-06,9.0,9.09,8.75,8.96,434460.0,8.87,
2011-06-07,8.76,9.02,8.76,8.99,314506.0,8.830000000000002,
2011-06-08,9.01,9.14,9.01,9.09,343844.0,8.950000000000003,
2011-06-09,8.95,9.08,8.95,9.05,557164.0,9.08,
2011-06-10,9.06,9.25,9.06,9.24,168612.0,8.980000000000002,
2011-06-14,8.4,8.81,8.26,8.74,924625.0,9.47,
2011-06-15,8.63,8.65,8.52,8.52,971744.0,8.52,
2011-06-16,8.55,8.58,8.34,8.4,669046.0,8.049999999999999,
2011-06-17,8.15,8.35,8.09,8.25,1740704.0,7.710000000000001,8.556999999999999
2011-06-20,8.04,8.15,7.93,7.95,1107430.0,7.449999999999998,8.341
2011-06-21,7.95,8.12,7.91,8.1,508234.0,6.66,8.085
2011-06-22,8.21,8.39,8.21,8.37,501893.0,7.459999999999999,8.07
2011-06-23,8.15,8.34,8.15,8.19,573459.0,8.219999999999999,8.274
2011-06-24,8.0,8.16,8.0,8.15,308972.0,7.979999999999999,8.243999999999998
2011-06-27,7.91,8.05,7.8,8.05,357193.0,8.05,8.144
2011-06-28,7.82,7.86,7.6,7.61,374259.0,8.150000000000002,8.095
