Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
2005-12-14,1.3,1.315,1.26,1.3,55721630.0,,,0.8937087655067444,,,,,,
2005-12-15,1.29,1.305,1.285,1.295,41376886.0,,,0.9865405559539796,,,,,,
2005-12-16,1.29,1.295,1.29,1.29,11439743.0,,,1.087010383605957,,,,,,
2005-12-19,1.29,1.31,1.29,1.305,3134541.0,,,1.1920387744903564,,,,,,
2005-12-20,1.31,1.33,1.31,1.32,3045801.0,,,1.295300006866455,,,,,,
2005-12-21,1.32,1.355,1.32,1.345,4221057.0,,,1.371213436126709,,,,,,
2005-12-22,1.34,1.36,1.34,1.355,3554672.0,1.39,,1.4222733974456787,1.3157142857142856,,,,,
2005-12-23,1.355,1.375,1.355,1.375,2946283.0,1.415,,1.4493398666381836,1.3264285714285713,,,,,
2005-12-28,1.375,1.375,1.365,1.37,641615.0,1.46,,1.4518121480941772,1.3371428571428567,,,,,
2005-12-29,1.365,1.365,1.34,1.34,3292056.0,1.4350000000000005,,1.4325871467590332,1.3442857142857139,,,,,
2005-12-30,1.34,1.35,1.325,1.325,3622300.0,1.36,,1.391288161277771,1.3471428571428565,,,,,
2006-01-03,1.34,1.35,1.33,1.345,196641.0,1.305,,1.3728415966033936,1.3507142857142853,,,,,
2006-01-04,1.35,1.35,1.32,1.325,3411497.0,1.335,,1.376960515975952,1.3478571428571422,,,,,
2006-01-05,1.32,1.335,1.32,1.325,3516000.0,1.275,,1.3733053207397459,1.3435714285714278,1.3296428571428571,,,,
2006-01-06,1.325,1.325,1.315,1.315,3353921.0,1.2799999999999998,,1.3613805770874023,1.334999999999999,1.3307142857142857,,,,
2006-01-09,1.315,1.315,1.29,1.3,7967634.0,1.2899999999999998,,1.342768669128418,1.3249999999999993,1.3310714285714285,,,,
2006-01-10,1.3,1.305,1.29,1.305,2490700.0,1.275,,1.3410673141479492,1.3199999999999992,1.332142857142857,,,,
2006-01-11,1.305,1.32,1.3,1.315,3442788.0,1.265,,1.3500841856002808,1.3185714285714278,1.332857142857143,,,,
2006-01-12,1.32,1.325,1.31,1.31,1425198.0,1.305,,1.358938455581665,1.313571428571428,1.332142857142857,,,,
2006-01-13,1.325,1.325,1.3,1.3,2426056.0,1.2950000000000002,,1.3657917976379397,1.3099999999999994,1.3289285714285715,,,,
2006-01-16,1.3,1.305,1.3,1.305,1751100.0,1.285,,1.3703131675720217,1.3071428571428567,1.325357142857143,,,,
