Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM
2002-12-04,4.6,4.9,4.6,4.72,3537412.0,,,2.2180123329162598
2002-12-05,4.8,4.82,4.63,4.7,5026749.0,,,2.599170207977295
2002-12-06,4.65,4.75,4.6,4.71,2047302.0,,,3.1401443481445312
2002-12-09,4.71,4.76,4.65,4.7,5041086.0,,,3.6212010383605957
2002-12-10,4.74,4.75,4.64,4.64,4272514.0,,,3.9209542274475098
2002-12-11,4.62,4.63,4.45,4.49,5375783.0,,,4.138769149780273
2002-12-12,4.45,4.64,4.45,4.58,8183927.0,4.260000000000002,,4.315659046173096
2002-12-13,4.58,4.61,4.53,4.57,944081.0,4.46,,4.44657039642334
2002-12-16,4.53,4.59,4.48,4.55,1940292.0,4.4300000000000015,,4.5333991050720215
2002-12-17,4.55,4.69,4.54,4.66,19141692.0,4.4,,4.579521656036377
2002-12-18,4.73,4.8,4.73,4.78,5937958.0,4.6800000000000015,,4.595306873321533
2002-12-19,4.85,4.86,4.77,4.77,9811981.0,5.07,,4.603050231933594
2002-12-20,4.72,4.76,4.67,4.7,9719652.0,4.959999999999999,,4.586711406707764
2002-12-23,4.76,4.95,4.76,4.9,1685005.0,4.83,,4.556822299957275
2002-12-24,4.88,4.9,4.85,4.9,856332.0,5.250000000000001,,4.51619291305542
2002-12-27,4.85,4.93,4.84,4.92,417049.0,5.1400000000000015,,4.455257415771484
2002-12-30,4.92,4.92,4.81,4.81,806039.0,5.06,,4.427485466003418
2003-01-02,4.85,5.07,4.85,5.05,847194.0,4.85,,4.403555393218994
2003-01-03,5.11,5.18,5.0,5.05,3071362.0,5.4,,4.366763114929199
2003-01-06,5.19,5.22,5.13,5.21,1922975.0,5.199999999999998,,4.361698150634766
2003-01-07,5.19,5.19,4.97,5.02,7109680.0,5.52,,4.3613505363464355
2003-01-08,5.05,5.05,4.97,5.02,5020452.0,5.119999999999999,,4.3515801429748535
2003-01-09,4.8,4.89,4.78,4.88,9423202.0,5.23,,4.350507736206055
2003-01-10,4.89,5.01,4.85,5.01,6863670.0,4.71,,4.349677562713623
2003-01-13,5.0,5.04,5.0,5.02,2998117.0,4.97,,4.341951370239258
2003-01-14,5.01,5.06,5.01,5.06,3359080.0,4.829999999999999,,4.327367305755615
