Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
1999-03-22,,,,0.4,,,,1.7397497892379759,,,,,,
1999-03-23,0.405,0.405,0.4,0.4,144000.0,,,1.5850892066955566,,,,,,
1999-03-24,0.4,0.41,0.4,0.41,45000.0,,,1.4431588649749756,,,,,,
1999-03-25,0.4,0.41,0.4,0.405,52550.0,,,1.3073283433914185,,,,,,
1999-03-26,0.4,0.42,0.4,0.42,43300.0,,,1.175825119018555,,,,,,
1999-03-29,0.4,0.42,0.4,0.415,43300.0,,,1.0518646240234375,,,,,,
1999-03-30,0.42,0.42,0.42,0.42,100000.0,0.43,,0.9498670101165771,0.41000000000000003,,,,,
1999-03-31,0.42,0.43,0.42,0.43,207205.0,0.44,,0.8684912323951721,0.4142857142857143,,,,,
1999-04-01,0.42,0.42,0.42,0.42,15000.0,0.45,,0.8017243146896362,0.4171428571428572,,,,,
1999-04-06,0.43,0.43,0.42,0.42,141230.0,0.435,,0.7574247717857361,0.4185714285714286,,,,,
1999-04-07,0.43,0.43,0.43,0.43,1500.0,0.42,,0.7167099714279175,0.42214285714285715,,,,,
1999-04-08,0.42,0.44,0.42,0.44,91750.0,0.445,,0.6817842721939087,0.425,,,,,
1999-04-09,0.44,0.44,0.41,0.44,20200.0,0.46,,0.6504710912704468,0.42857142857142855,,,,,
1999-04-12,0.44,0.44,0.42,0.44,135430.0,0.45,,0.624049186706543,0.43142857142857144,0.4207142857142858,,,,
1999-04-13,0.42,0.44,0.42,0.44,103500.0,0.46,,0.6024513840675354,0.43285714285714283,0.42357142857142865,,,,
1999-04-14,0.45,0.46,0.44,0.44,79500.0,0.46,,0.5840445756912231,0.43571428571428567,0.42642857142857155,,,,
1999-04-15,0.44,0.46,0.44,0.46,114000.0,0.45,,0.5639752149581909,0.4414285714285714,0.4300000000000001,,,,
1999-04-16,0.45,0.46,0.45,0.46,30500.0,0.48,,0.5460952520370483,0.4457142857142857,0.4339285714285715,,,,
1999-04-19,0.46,0.46,0.45,0.46,39000.0,0.48,,0.528342604637146,0.4485714285714285,0.4367857142857144,,,,
1999-04-20,0.46,0.46,0.46,0.46,40000.0,0.48,,0.512848436832428,0.4514285714285714,0.44000000000000006,,,,
1999-04-21,0.46,0.46,0.45,0.45,23000.0,0.48,,0.499578595161438,0.45285714285714285,0.4421428571428572,,,,
1999-04-22,0.45,0.46,0.45,0.46,86400.0,0.46,,0.4885184764862061,0.4557142857142857,0.4442857142857144,,,,
1999-04-23,0.45,0.45,0.45,0.45,33500.0,0.46,,0.4796530604362488,0.4571428571428572,0.44642857142857156,,,,
1999-04-26,0.45,0.45,0.45,0.44,33500.0,0.44,,0.46696937084198,0.4542857142857143,0.447857142857143,,,,
1999-04-27,0.45,0.45,0.45,0.44,33500.0,0.42,,0.4514851570129394,0.45142857142857146,0.4485714285714288,,,,
1999-04-28,0.44,0.44,0.4,0.44,123000.0,0.42,,0.4374588131904602,0.44857142857142857,0.4485714285714288,,,,
1999-04-29,0.4,0.45,0.4,0.45,8167.0,0.43,,0.4248937368392944,0.4471428571428572,0.44928571428571445,,,,
1999-04-30,0.4,0.45,0.4,0.405,8167.0,0.44,,0.4137939810752869,0.4407142857142857,0.44678571428571445,,,,
1999-05-03,0.4,0.45,0.4,0.41,8167.0,0.36000000000000004,,0.40416276454925537,0.4335714285714286,0.4446428571428573,,,,
1999-05-04,0.41,0.41,0.41,0.41,64500.0,0.38,,0.39600425958633423,0.4278571428571429,0.44250000000000017,0.43216666666666664,,,
1999-05-05,0.4,0.42,0.4,0.41,429100.0,0.38,,0.3893218040466309,0.4235714285714286,0.4389285714285716,0.4325,,,
1999-05-06,0.42,0.42,0.42,0.42,31350.0,0.38,,0.3841190934181213,0.42071428571428576,0.4360714285714287,0.43316666666666664,,,
