Date,Open,High,Low,Close,Volume,ML_RF,tech_per_change,ML_LSTM
2010-11-22,2.54,2.68,2.53,2.65,476315584.0,,,0.7538976073265076
2010-11-23,2.65,2.72,2.65,2.66,158644005.0,,,0.8328659534454346
2010-11-24,2.65,2.71,2.64,2.7,44128271.0,,,0.9445010423660278
2010-11-25,2.72,2.81,2.72,2.8,47173186.0,,,1.0985727310180664
2010-11-26,2.82,2.88,2.81,2.84,31979401.0,,,1.2937431335449219
2010-11-29,2.84,2.84,2.76,2.77,28870675.0,,,1.4687660932540894
2010-11-30,2.78,2.8,2.73,2.8,181638257.0,,2.89,1.6070775985717773
2010-12-01,2.78,2.8,2.74,2.78,9754970.0,,2.9399999999999995,1.7064411640167236
2010-12-02,2.79,2.79,2.68,2.73,12114293.0,,2.8599999999999994,1.7956242561340332
2010-12-03,2.7,2.73,2.67,2.69,22877299.0,,2.66,1.8787658214569092
2010-12-06,2.69,2.69,2.6,2.68,25674629.0,,2.54,1.9579172134399414
2010-12-07,2.7,2.7,2.66,2.7,11857136.0,,2.5900000000000003,2.033174991607666
2010-12-08,2.71,2.73,2.68,2.69,11835292.0,,2.6000000000000005,2.1043365001678467
2010-12-09,2.7,2.7,2.68,2.69,10392098.0,,2.6,2.1713597774505615
2010-12-10,2.69,2.71,2.66,2.7,4580962.0,,2.65,2.234145164489746
2010-12-13,2.71,2.77,2.7,2.77,9105090.0,,2.7100000000000004,2.2922747135162354
2010-12-14,2.78,2.83,2.76,2.83,12273308.0,,2.86,2.3455471992492676
2010-12-15,2.83,2.84,2.8,2.82,9643560.0,,2.96,2.3937642574310303
2010-12-16,2.84,2.9,2.82,2.9,13719370.0,,2.95,2.4367315769195557
2010-12-17,2.89,2.9,2.86,2.88,7080167.0,,3.11,2.4742605686187744
2010-12-20,2.87,2.88,2.85,2.85,3015631.0,,3.06,2.5061676502227783
2010-12-21,2.87,2.87,2.83,2.84,4244144.0,,2.93,2.5322751998901367
2010-12-22,2.84,2.85,2.75,2.8,8580816.0,,2.85,2.549131393432617
2010-12-23,2.8,2.8,2.76,2.78,7285421.0,,2.78,2.5584633350372314
2010-12-24,2.78,2.79,2.77,2.78,1453063.0,,2.66,2.5625314712524414
2010-12-29,2.75,2.75,2.72,2.73,3700451.0,,2.68,2.5613582134246826
2010-12-30,2.73,2.74,2.71,2.72,1721170.0,,2.61,2.5549705028533936
2010-12-31,2.71,2.75,2.7,2.75,2388056.0,,2.6000000000000005,2.543436050415039
2011-01-04,2.73,2.81,2.7,2.8,9337890.0,,2.7,2.5267655849456787
2011-01-05,2.8,2.8,2.73,2.77,4273225.0,,2.82,2.5049874782562256
2011-01-06,2.74,2.75,2.65,2.66,12073666.0,,2.76,2.478142738342285
2011-01-07,2.64,2.72,2.6,2.71,10718357.0,,2.5900000000000003,2.469832420349121
2011-01-10,2.72,2.78,2.7,2.77,4463018.0,,2.7,2.4779727458953857
2011-01-11,2.73,2.73,2.66,2.68,7422830.0,,2.79,2.4836037158966064
2011-01-12,2.66,2.68,2.63,2.68,11262818.0,,2.5600000000000005,2.486727714538574
2011-01-13,2.7,2.76,2.7,2.74,10901981.0,,2.5900000000000003,2.487349271774292
2011-01-14,2.74,2.8,2.72,2.78,5606030.0,,2.8200000000000003,2.4854719638824463
2011-01-17,2.78,2.83,2.77,2.78,6799788.0,,2.85,2.4811019897460938
2011-01-18,2.74,2.75,2.71,2.73,2353028.0,,2.79,2.474236488342285
2011-01-19,2.72,2.79,2.72,2.79,2384717.0,,2.78,2.4648847579956055
2011-01-20,2.77,2.85,2.74,2.82,4595533.0,,2.9,2.4530580043792725
2011-01-21,2.8,2.8,2.76,2.78,10204334.0,,2.8999999999999995,2.43876314163208
2011-01-24,2.77,2.78,2.71,2.73,8287273.0,,2.78,2.4354019165039062
2011-01-25,2.74,2.75,2.72,2.72,2250172.0,,2.68,2.4337594509124756
2011-01-27,2.74,2.8,2.74,2.8,8472410.0,,2.7100000000000004,2.430375099182129
2011-01-28,2.8,2.83,2.76,2.83,8407128.0,,2.81,2.425248622894287
2011-01-31,2.79,2.82,2.77,2.8,2109809.0,,2.8400000000000003,2.4239163398742676
2011-02-01,2.8,2.81,2.75,2.79,7143308.0,,2.82,2.4384007453918457
2011-02-02,2.8,2.8,2.75,2.78,4706054.0,,2.85,2.4520363807678223
2011-02-03,2.79,2.83,2.79,2.82,1848034.0,,2.8399999999999994,2.4648172855377197
2011-02-04,2.85,2.93,2.84,2.89,11001640.0,,2.84,2.476738214492798
2011-02-07,2.89,2.91,2.87,2.9,7874308.0,,2.95,2.488805055618286
2011-02-08,2.88,2.96,2.87,2.96,14598068.0,,3.0,2.5025763511657715
2011-02-09,2.96,3.02,2.95,2.98,15694109.0,,3.13,2.5156021118164062
2011-02-10,2.98,2.99,2.93,2.93,9728987.0,,3.18,2.5280308723449707
2011-02-11,2.93,2.95,2.86,2.86,6308917.0,,3.0400000000000005,2.539863348007202
2011-02-14,2.88,2.9,2.87,2.89,2755750.0,,2.83,2.5509471893310547
2011-02-15,2.88,2.92,2.88,2.9,15202808.0,,2.8800000000000003,2.5612246990203857
2011-02-16,2.9,2.93,2.89,2.9,6556853.0,,2.84,2.570553779602051
2011-02-17,2.92,3.01,2.91,3.0,7737529.0,,2.82,2.5791046619415283
2011-02-18,3.0,3.13,3.0,3.1,8344130.0,,3.07,2.5868723392486572
2011-02-21,3.1,3.18,3.1,3.15,4807295.0,,3.3400000000000003,2.5938496589660645
2011-02-22,3.14,3.15,3.08,3.12,6993106.0,,3.41,2.600031614303589
2011-02-23,3.09,3.1,3.04,3.08,8297233.0,,3.3400000000000003,2.6054112911224365
2011-02-24,3.06,3.12,3.05,3.08,9939173.0,,3.26,2.6099822521209717
2011-02-25,3.06,3.09,3.05,3.07,15374976.0,,3.16,2.613311529159546
2011-02-28,3.15,3.22,3.14,3.21,25468505.0,,3.04,2.6093637943267822
2011-03-01,3.21,3.23,3.18,3.2,51442748.0,,3.27,2.6042020320892334
2011-03-02,3.21,3.23,3.14,3.17,37018767.0,,3.28,2.597822904586792
2011-03-03,3.17,3.2,3.16,3.18,15201497.0,,3.26,2.5902254581451416
2011-03-04,3.19,3.23,3.18,3.21,23442942.0,,3.28,2.5814082622528076
2011-03-07,3.2,3.24,3.19,3.23,16821187.0,,3.35,2.571371555328369
2011-03-08,3.22,3.24,3.18,3.24,151969432.0,,3.25,2.576284170150757
2011-03-09,3.21,3.27,3.19,3.21,30389466.0,,3.28,2.584564208984375
2011-03-10,3.19,3.2,3.13,3.15,20967391.0,,3.25,2.5922186374664307
2011-03-11,3.12,3.15,3.09,3.11,23899448.0,,3.12,2.599240779876709
2011-03-14,3.1,3.17,3.1,3.15,30258455.0,,3.01,2.6100094318389893
2011-03-15,3.17,3.23,3.14,3.16,21212104.0,,3.07,2.6230947971343994
2011-03-16,3.18,3.2,3.13,3.18,11676630.0,,3.08,2.6354100704193115
2011-03-17,3.18,3.21,3.14,3.2,16498617.0,,3.1500000000000004,2.647068738937378
2011-03-18,3.2,3.31,3.19,3.3,10437715.0,,3.2500000000000004,2.6582584381103516
2011-03-21,3.29,3.3,3.24,3.25,5827857.0,,3.49,2.668972969055176
2011-03-22,3.28,3.28,3.22,3.23,5648857.0,,3.35,2.6792051792144775
2011-03-23,3.21,3.23,3.17,3.19,7239042.0,,3.3,2.688948631286621
2011-03-24,3.2,3.24,3.2,3.24,5886746.0,,3.2,2.696599006652832
2011-03-25,3.25,3.28,3.22,3.23,5709026.0,,3.28,2.7025840282440186
2011-03-28,3.23,3.28,3.23,3.26,3945440.0,,3.16,2.70815110206604
2011-03-29,3.28,3.31,3.25,3.29,7743507.0,,3.27,2.7133381366729736
2011-03-30,3.3,3.42,3.29,3.41,13136384.0,,3.35,2.7182986736297607
2011-03-31,3.38,3.4,3.34,3.35,18101251.0,,3.63,2.722830295562744
2011-04-01,3.37,3.43,3.36,3.42,35788176.0,,3.46,2.726931571960449
2011-04-04,3.47,3.53,3.45,3.45,9357336.0,,3.61,2.7306008338928223
2011-04-05,3.5,3.57,3.5,3.57,27460754.0,,3.640000000000001,2.7338359355926514
2011-04-06,3.59,3.59,3.44,3.45,9344542.0,3.5460000000000003,3.85,2.7346484661102295
2011-04-07,3.46,3.52,3.41,3.44,10357789.0,3.4739999999999998,3.49,2.733879566192627
2011-04-08,3.45,3.57,3.45,3.57,9945639.0,3.47,3.53,2.7326762676239014
