Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM
2014-08-05,1.31,1.34,1.21,1.305,,,,0.4165582060813904
2014-08-06,1.325,1.41,1.325,1.37,,,,0.5109297037124634
2014-08-07,1.37,1.46,1.365,1.43,,,,0.6239357590675354
2014-08-08,1.44,1.465,1.405,1.41,,,,0.7556906938552856
2014-08-11,1.44,1.465,1.405,1.405,,,,0.9025974273681641
2014-08-12,1.415,1.415,1.355,1.37,,,,1.0584336519241333
2014-08-13,1.38,1.38,1.33,1.35,,1.4350000000000005,,1.1965837478637695
2014-08-14,1.35,1.39,1.34,1.39,,1.33,,1.2990257740020752
2014-08-15,1.39,1.4,1.3869999999999998,1.39,,1.35,,1.354017734527588
2014-08-18,1.4,1.425,1.4,1.41,,1.37,,1.3730223178863525
2014-08-19,1.43,1.435,1.415,1.42,,1.4149999999999998,,1.358018398284912
2014-08-20,1.42,1.42,1.41,1.42,,1.4699999999999998,,1.3086655139923096
2014-08-21,1.42,1.42,1.39,1.4,,1.4899999999999998,,1.2623732089996338
2014-08-22,1.4,1.4,1.37,1.38,,1.41,,1.2451567649841309
2014-08-25,1.39,1.395,1.38,1.395,,1.37,,1.256669521331787
2014-08-26,1.4,1.41,1.39,1.4,,1.38,,1.257631540298462
2014-08-27,1.4,1.41,1.39,1.39,,1.38,,1.247859001159668
2014-08-28,1.39,1.4,1.35,1.35,,1.36,,1.2262678146362305
2014-08-29,1.39,1.4,1.35,1.37,,1.3000000000000005,,1.2047420740127563
2014-09-01,1.39,1.39,1.37,1.38,,1.3600000000000003,,1.2034852504730225
2014-09-02,1.38,1.38,1.34,1.35,,1.3649999999999998,,1.1955087184906006
2014-09-03,1.35,1.36,1.35,1.35,,1.3000000000000005,,1.1796681880950928
2014-09-04,1.35,1.35,1.31,1.31,,1.3100000000000005,,1.1725894212722778
2014-09-05,1.33,1.35,1.33,1.34,,1.27,,1.1715548038482666
2014-09-08,1.33,1.34,1.31,1.31,,1.31,,1.1690863370895386
2014-09-09,1.33,1.35,1.33,1.33,,1.2400000000000002,,1.1792964935302734
2014-09-10,1.32,1.33,1.31,1.32,,1.31,,1.1874732971191406
2014-09-11,1.315,1.325,1.305,1.315,,1.29,,1.1936314105987549
2014-09-12,1.31,1.33,1.305,1.33,,1.3199999999999998,,1.1977906227111816
2014-09-15,1.34,1.35,1.315,1.315,,1.32,,1.1999902725219727
2014-09-16,1.33,1.33,1.31,1.32,,1.3199999999999998,,1.204606533050537
2014-09-17,1.33,1.34,1.315,1.325,,1.31,,1.210810899734497
2014-09-18,1.33,1.35,1.32,1.345,,1.3299999999999998,,1.2152975797653198
2014-09-19,1.36,1.39,1.34,1.345,,1.375,,1.217836856842041
2014-09-22,1.36,1.38,1.35,1.36,,1.36,,1.2189486026763916
2014-09-23,1.365,1.405,1.33,1.4,,1.4050000000000002,,1.2186532020568848
2014-09-24,1.48,1.49,1.42,1.43,,1.4799999999999998,,1.2169723510742188
2014-09-25,1.44,1.48,1.4,1.41,,1.535,,1.2139296531677246
2014-09-26,1.42,1.42,1.395,1.4,,1.475,,1.211292028427124
2014-09-29,1.4,1.4,1.385,1.4,,1.4549999999999998,,1.2147853374481201
2014-09-30,1.4,1.415,1.385,1.39,,1.4399999999999995,,1.217395305633545
2014-10-01,1.42,1.44,1.4,1.425,,1.38,,1.2191250324249268
2014-10-02,1.435,1.45,1.41,1.41,,1.4200000000000002,,1.2199783325195312
2014-10-03,1.42,1.42,1.395,1.4,,1.41,,1.2213034629821777
2014-10-07,1.4,1.4,1.385,1.39,,1.4,,1.222503423690796
2014-10-08,1.39,1.39,1.36,1.38,,1.38,1.3975000000000002,1.2318195104599
2014-10-09,1.385,1.4,1.385,1.4,,1.37,1.3809999999999996,1.2422778606414795
2014-10-10,1.39,1.4,1.39,1.39,,1.3749999999999998,1.39,1.252455472946167
2014-10-13,1.39,1.4,1.385,1.385,,1.37,1.392,1.262399673461914
2014-10-14,1.385,1.39,1.37,1.37,,1.37,1.3875,1.2726521492004395
2014-10-15,1.37,1.39,1.365,1.39,,1.3500000000000003,1.3745000000000005,1.2825562953948975
2014-10-16,1.37,1.39,1.36,1.39,,1.4,1.3880000000000003,1.292102575302124
2014-10-17,1.38,1.39,1.37,1.37,,1.38,1.39,1.3012821674346924
2014-10-20,1.37,1.43,1.37,1.41,,1.3500000000000003,1.3800000000000003,1.310084342956543
2014-10-21,1.415,1.43,1.41,1.415,,1.4349999999999998,1.406,1.318498134613037
2014-10-22,1.425,1.45,1.415,1.43,,1.46,1.4085,1.326512098312378
2014-10-23,1.44,1.45,1.435,1.435,,1.47,1.4265,1.3341140747070312
2014-10-24,1.45,1.46,1.43,1.43,,1.4800000000000002,1.4300000000000002,1.3412909507751465
2014-10-27,1.435,1.45,1.425,1.425,,1.4899999999999998,1.4305,1.348029613494873
2014-10-28,1.44,1.44,1.4,1.41,,1.4400000000000002,1.4285,1.3539717197418213
2014-10-29,1.405,1.41,1.4,1.4,,1.4049999999999998,1.412,1.3594598770141602
2014-10-30,1.405,1.42,1.4,1.405,,1.37,1.4080000000000001,1.3644850254058838
2014-10-31,1.41,1.415,1.39,1.415,,1.375,1.406,1.369032859802246
2014-11-03,1.41,1.42,1.39,1.41,,1.4,1.4129999999999998,1.3730883598327637
2014-11-04,1.41,1.435,1.41,1.43,,1.3949999999999998,1.411,1.376636028289795
2014-11-05,1.43,1.44,1.42,1.44,,1.45,1.4240000000000002,1.3796601295471191
2014-11-06,1.45,1.49,1.45,1.48,,1.48,1.4309999999999996,1.3821446895599365
2014-11-07,1.49,1.55,1.49,1.55,,1.555,1.4709999999999999,1.384073257446289
2014-11-10,1.56,1.575,1.545,1.55,,1.685,1.503,1.3854291439056396
2014-11-11,1.56,1.65,1.56,1.595,,1.6900000000000002,1.5430000000000004,1.3861961364746094
2014-11-12,1.61,1.66,1.5,1.5,,1.76,1.5815000000000003,1.386357069015503
2014-11-13,1.55,1.645,1.55,1.6,,1.56,1.5530000000000004,1.385894775390625
2014-11-14,1.615,1.71,1.595,1.7,,1.7200000000000002,1.5845,1.3847930431365967
2014-11-17,1.77,1.835,1.725,1.75,,1.85,1.6595,1.3877382278442383
