Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF
2014-04-24,2.05,2.07,2.02,2.05,,,
2014-04-28,2.06,2.09,2.03,2.04,,,
2014-04-29,2.03,2.04,2.02,2.04,,,
2014-04-30,2.04,2.06,2.02,2.06,,,
2014-05-01,2.07,2.07,2.04,2.04,,,
2014-05-02,2.05,2.06,2.04,2.06,,,
2014-05-05,2.08,2.11,2.08,2.09,,2.0700000000000003,
2014-05-06,2.1,2.1,2.07,2.07,,2.14,
2014-05-07,2.07,2.09,2.06,2.09,,2.1,
2014-05-08,2.09,2.09,2.08,2.09,,2.12,
2014-05-09,2.08,2.08,2.07,2.08,,2.14,
2014-05-12,2.07,2.08,2.07,2.07,,2.1,
2014-05-13,2.08,2.08,2.05,2.05,,2.05,
2014-05-14,2.05,2.06,2.04,2.06,,2.03,
2014-05-15,2.05,2.06,2.05,2.05,,2.03,
2014-05-16,2.07,2.07,2.03,2.04,,2.01,
2014-05-19,2.04,2.04,2.0,2.02,,2.0,
2014-05-20,2.0,2.0,1.96,1.96,,1.97,
2014-05-21,1.95,1.95,1.895,1.905,,1.87,
2014-05-22,1.95,1.96,1.93,1.935,,1.75,
2014-05-23,1.925,1.97,1.925,1.97,,1.8200000000000005,
2014-05-26,1.97,1.97,1.94,1.94,,1.9,
2014-05-27,1.95,1.96,1.925,1.925,,1.86,
2014-05-28,1.93,1.95,1.93,1.95,,1.89,
2014-05-29,1.93,1.94,1.9,1.94,,1.995,
2014-05-30,1.94,1.955,1.94,1.95,,1.945,
2014-06-02,1.94,1.94,1.91,1.91,,1.93,
2014-06-03,1.92,1.96,1.92,1.945,,1.88,
2014-06-04,1.945,1.95,1.935,1.94,,1.965,
2014-06-05,1.94,1.96,1.94,1.95,,1.93,
2014-06-06,1.955,1.995,1.95,1.97,,1.96,
2014-06-10,1.995,2.02,1.995,2.02,,1.99,
2014-06-11,2.0,2.01,1.99,2.0,,2.13,
2014-06-12,2.0,2.02,2.0,2.01,,2.055,
2014-06-13,2.0,2.01,2.0,2.01,,2.08,
2014-06-16,2.02,2.02,2.01,2.01,,2.0699999999999994,
2014-06-17,2.0,2.01,2.0,2.0,,2.05,
2014-06-18,1.995,2.02,1.995,2.01,,1.98,
2014-06-19,2.02,2.05,2.01,2.01,,2.02,
2014-06-20,2.01,2.03,2.01,2.02,,2.01,
2014-06-23,2.02,2.05,2.02,2.04,,2.03,
2014-06-24,2.04,2.06,2.02,2.05,,2.0700000000000003,
2014-06-25,2.06,2.07,2.05,2.06,,2.1,
2014-06-26,2.05,2.1,2.05,2.08,,2.1100000000000003,
2014-06-27,2.09,2.17,2.08,2.09,,2.1500000000000004,
2014-06-30,2.1,2.13,2.08,2.12,,2.16,
2014-07-01,2.12,2.12,2.07,2.1,,2.2,
2014-07-02,2.11,2.18,2.11,2.14,,2.1500000000000004,
2014-07-03,2.14,2.17,2.13,2.17,,2.22,
2014-07-04,2.15,2.18,2.14,2.15,,2.26,
2014-07-07,2.15,2.16,2.15,2.15,,2.21,2.147
2014-07-08,2.16,2.18,2.15,2.17,,2.18,2.1499999999999995
2014-07-09,2.16,2.17,2.12,2.17,,2.24,2.164
2014-07-10,2.17,2.17,2.15,2.15,,2.2,2.168
2014-07-11,2.11,2.15,2.105,2.15,,2.13,2.1519999999999997
2014-07-14,2.15,2.15,2.09,2.09,,2.15,2.1519999999999997
