Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
1999-03-22,6.1,6.2,6.1,6.2,39996.0,,,1.9043606519699097,,,,,,
1999-03-23,6.2,6.23,6.2,6.22,35121.0,,,1.908537983894348,,,,,,
1999-03-24,6.2,6.2,6.13,6.2,33904.0,,,1.913909077644348,,,,,,
1999-03-25,6.2,6.2,6.06,6.06,24862.0,,,1.9207795858383176,,,,,,
1999-03-26,6.1,6.12,6.08,6.12,23033.0,,,1.9269456863403318,,,,,,
1999-03-29,6.12,6.15,6.06,6.15,43705.0,,,1.9330385923385618,,,,,,
1999-03-30,6.15,6.22,6.12,6.22,17819.0,6.1000000000000005,,1.939158916473389,6.167142857142857,,,,,
1999-03-31,6.22,6.24,6.12,6.2010000000000005,27153.0,6.22,,1.9447754621505735,6.167285714285714,,,,,
1999-04-01,6.16,6.24,6.15,6.24,11869.0,6.202000000000001,,1.947883129119873,6.170142857142857,,,,,
1999-04-06,6.24,6.25,6.18,6.25,48082.0,6.420000000000001,,1.9511306285858157,6.1772857142857145,,,,,
1999-04-07,6.24,6.25,6.19,6.24,23804.0,6.38,,1.9541363716125488,6.203,,,,,
1999-04-08,6.24,6.24,6.2,6.21,59179.0,6.33,,1.9571208953857424,6.215857142857144,,,,,
1999-04-09,6.23,6.3,6.22,6.3,41750.0,6.2,,1.960116267204285,6.237285714285714,,,,,
1999-04-12,6.194,6.2,6.1,6.2,19481.0,6.398999999999999,,1.9631266593933103,6.234428571428572,6.200785714285714,,,,
1999-04-13,6.2,6.23,6.17,6.2,24457.0,6.16,,1.966247797012329,6.234285714285716,6.200785714285714,,,,
1999-04-14,6.195,6.195,6.01,6.08,41114.0,6.15,,1.9694201946258545,6.211428571428572,6.190785714285714,,,,
1999-04-15,6.1,6.14,6.0,6.14,36737.0,5.92,,1.9726206064224243,6.195714285714287,6.1865,,,,
1999-04-16,6.08,6.19,6.08,6.18,30813.0,6.0699999999999985,,1.97584068775177,6.187142857142858,6.195071428571429,,,,
1999-04-19,6.2,6.2,6.15,6.15,20076.0,6.06,,1.9790868759155276,6.178571428571429,6.197214285714286,,,,
1999-04-20,6.1610000000000005,6.18,6.05,6.1,34186.0,6.1000000000000005,,1.982359766960144,6.15,6.193642857142856,,,,
1999-04-21,6.1,6.15,6.05,6.15,24947.0,5.999999999999999,,1.9856600761413572,6.142857142857143,6.188642857142857,,,,
1999-04-22,6.15,6.18,6.14,6.18,35912.0,6.2200000000000015,,1.9889882802963257,6.14,6.187142857142858,,,,
1999-04-23,6.19,6.2,6.14,6.14,28837.0,6.22,,1.9923449754714968,6.148571428571429,6.180000000000001,,,,
1999-04-26,6.221,6.221,6.14,6.18,20607.0,6.1,,1.9957307577133176,6.154285714285714,6.175000000000002,,,,
1999-04-27,6.18,6.18,6.15,6.16,28103.0,6.209999999999999,,1.9991455078125,6.15142857142857,6.169285714285715,,,,
1999-04-28,6.18,6.18,6.0,6.0,21401.0,6.2200000000000015,,2.0025904178619385,6.13,6.154285714285716,,,,
1999-04-29,6.03,6.16,6.03,6.06,22426.0,5.85,,2.006066083908081,6.124285714285714,6.13714285714286,,,,
1999-04-30,6.16,6.22,6.08,6.093,25011.0,5.94,,2.009573221206665,6.116142857142856,6.129500000000002,,,,
1999-05-03,6.107,6.12,6.03,6.03,17926.0,6.046,,2.013112545013428,6.094714285714285,6.117357142857145,,,,
1999-05-04,6.022,6.06,6.0,6.05,16201.0,5.880000000000001,,2.016684293746948,6.0818571428571415,6.115214285714288,6.1568000000000005,,,
1999-05-05,6.04,6.07,6.0,6.0,19016.0,5.94,,2.0202901363372803,6.056142857142857,6.105214285714288,6.150133333333334,,,
1999-05-06,6.039,6.05,5.85,5.86,14207.0,6.0,,2.0239295959472656,6.013285714285713,6.082357142857144,6.138133333333334,,,
