Date,Open,High,Low,Close,Volume,ML_RF,tech_per_change,ML_LSTM
1999-03-22,12.91,13.37,12.91,13.25,5860564.0,,,2.6862170696258545
1999-03-23,13.4,13.49,13.058,13.058,6251701.0,,,2.6983726024627686
1999-03-24,12.907,13.46,12.907,13.46,7574547.0,,,2.7139079570770264
1999-03-25,13.6,13.94,13.6,13.94,11764555.0,,,2.7337398529052734
1999-03-26,14.03,14.25,13.68,14.25,23170233.0,,,2.753143787384033
1999-03-29,13.909,13.97,13.67,13.7,9320830.0,,,2.7615792751312256
1999-03-30,13.6,14.0,13.51,14.0,5254269.0,,14.15,2.767789602279663
1999-03-31,13.85,13.9,13.45,13.45,6313878.0,,14.942,2.7713587284088135
1999-04-01,13.35,13.6,13.35,13.565,2264315.0,,13.439999999999998,2.7750580310821533
1999-04-06,13.68,13.95,13.63,13.944,1890116.0,,13.19,2.778886318206787
1999-04-07,13.65,13.85,13.5,13.61,4315235.0,,13.638000000000002,2.782853603363037
1999-04-08,13.707,13.74,13.5,13.63,4409085.0,,13.52,2.786982536315918
1999-04-09,13.55,13.75,13.54,13.75,2662836.0,,13.260000000000002,2.791196584701538
1999-04-12,13.589,14.02,13.58,13.870999999999999,3106743.0,,14.05,2.7955126762390137
1999-04-13,14.0,14.34,13.94,14.22,6552510.0,,14.176999999999998,2.799933433532715
1999-04-14,14.274000000000001,14.64,14.274000000000001,14.625,6355362.0,,14.496,2.8044745922088623
1999-04-15,14.75,15.67,14.75,15.550999999999998,14983472.0,,15.64,2.809133291244507
1999-04-16,15.72,16.41,15.72,16.4,13515612.0,,17.471999999999994,2.8139069080352783
1999-04-19,16.8,17.0,16.5,16.79,12638228.0,,19.05,2.8187918663024902
1999-04-20,16.518,16.68,16.4,16.4,8593905.0,,19.709,2.823784112930298
1999-04-21,16.0,16.0,15.51,15.6,6880488.0,,18.58,2.8288612365722656
1999-04-22,15.5,16.0,15.5,15.99,3409034.0,,16.575,2.834029197692871
1999-04-23,16.1,16.2,15.75,15.755999999999998,4903352.0,,16.429000000000002,2.839285373687744
1999-04-26,15.7,15.95,15.7,15.94,1151371.0,,15.111999999999998,2.8446238040924072
1999-04-27,15.985999999999999,16.37,15.92,16.37,3596768.0,,15.09,2.850003957748413
1999-04-28,16.5,16.55,15.9,16.16,4719124.0,,16.340000000000003,2.855335235595703
1999-04-29,16.5,16.7,16.41,16.58,7047905.0,,16.72,2.8607640266418457
1999-04-30,16.85,17.35,16.85,17.084,19242583.0,,17.169999999999995,2.866290330886841
1999-05-03,16.95,17.08,16.875,16.875,6852126.0,,18.412,2.8719141483306885
1999-05-04,17.17,17.68,17.17,17.55,10086004.0,,17.810000000000006,2.877634048461914
1999-05-05,17.209,17.3,17.03,17.218,6603128.0,,18.73,2.883450508117676
1999-05-06,17.179000000000002,17.7,17.179000000000002,17.7,6171540.0,,18.276,2.88936448097229
1999-05-07,17.5,17.92,17.15,17.792,6952359.0,,18.82,2.895375967025757
1999-05-10,17.01,17.37,16.97,17.05,30958429.0,,18.500000000000004,2.901484966278076
1999-05-11,17.0,17.01,16.7,16.8,3939899.0,,17.225,2.907691478729248
1999-05-12,16.7,16.98,16.5,16.83,3047975.0,,16.05,2.9139957427978516
1999-05-13,16.866,17.15,16.78,17.15,4513053.0,,16.441999999999997,2.920154094696045
1999-05-14,17.2,17.34,16.91,16.916,3060937.0,,16.599999999999998,2.925403594970703
1999-05-17,16.2,17.1,16.2,16.917,3563391.0,,16.04,2.930604934692383
1999-05-18,16.91,17.303,16.8,17.303,4543937.0,,16.784000000000002,2.935845136642456
1999-05-19,17.1,17.41,17.1,17.15,5742496.0,,17.805999999999994,2.941122531890869
1999-05-20,17.065,17.21,16.65,16.8,5585242.0,,17.47,2.9464383125305176
1999-05-21,16.6,17.05,16.5,17.03,6400102.0,,16.450000000000006,2.9512436389923096
1999-05-24,16.9,17.03,16.85,16.994,3904744.0,,17.144000000000002,2.9555704593658447
1999-05-25,16.65,16.72,16.24,16.24,5106422.0,,17.070999999999998,2.95989727973938
1999-05-26,15.9,16.09,15.75,15.9,4154172.0,,15.176999999999996,2.964224100112915
1999-05-27,16.05,16.05,15.7,15.8,3663176.0,,14.650000000000002,2.96855092048645
1999-05-28,15.5,15.76,15.41,15.728,4578774.0,,14.8,2.9728777408599854
1999-05-31,15.64,15.75,15.477,15.477,1769968.0,,14.425999999999998,2.9772045612335205
1999-06-01,15.507,15.9,15.46,15.9,2358474.0,,13.96,2.9815313816070557
1999-06-02,16.0,16.31,16.0,16.157,3697492.0,,15.560000000000002,2.985858201980591
1999-06-03,16.2,16.45,16.16,16.21,2066672.0,,16.414,2.990185022354126
1999-06-04,16.352999999999998,16.352999999999998,16.15,16.31,3811834.0,,16.62,2.994511842727661
1999-06-07,16.3,16.44,16.3,16.4,2074965.0,,16.891999999999996,2.9988386631011963
1999-06-08,16.5,16.75,16.43,16.7,3678772.0,,17.322999999999997,3.0031657218933105
1999-06-09,16.55,16.98,16.45,16.903,6047136.0,,17.5,3.0074925422668457
1999-06-10,16.8,17.03,16.8,17.03,4311464.0,,17.648999999999994,3.011819362640381
1999-06-11,17.3,17.61,17.28,17.5,6538633.0,,17.85,3.016146183013916
1999-06-15,17.508,17.85,17.42,17.56,4421967.0,,18.69,3.020473003387451
1999-06-16,17.384,17.62,17.09,17.3,4555005.0,,18.72,3.0248000621795654
1999-06-17,17.5,17.706,17.25,17.706,3849956.0,,17.900000000000006,3.0291268825531006
1999-06-18,17.7,17.7,17.42,17.504,3731968.0,,18.509,3.0334537029266357
1999-06-21,17.404,17.8,17.3,17.58,4084271.0,,17.977999999999994,3.03778076171875
1999-06-22,17.4,17.43,17.1,17.3,2439926.0,,17.659999999999997,3.042107582092285
1999-06-23,17.0,17.0,16.75,16.8,3448776.0,,17.040000000000006,3.0464344024658203
1999-06-24,16.6,17.05,16.45,16.793,4059434.0,,16.3,3.0507612228393555
