Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
2017-05-03,1.82,1.82,1.76,1.76,,,,0.22995930910110474,,,,,,
2017-05-04,1.76,1.76,1.62,1.66,,,,0.3651226460933685,,,,,,
2017-05-05,1.7,1.715,1.625,1.715,,,,0.5232331156730652,,,,,,
2017-05-08,1.7,1.745,1.665,1.72,,,,0.7026020288467407,,,,,,
2017-05-09,1.72,1.74,1.717,1.73,,,,0.8998640179634094,,,,,,
2017-05-10,1.75,1.79,1.75,1.79,,,,1.110020875930786,,,,,,
2017-05-11,1.78,1.81,1.76,1.81,,1.82,,1.3264790773391724,1.7407142857142859,,,,,
2017-05-12,1.81,1.81,1.79,1.79,,1.96,,1.5387399196624756,1.7450000000000003,,,,,
2017-05-15,1.805,1.805,1.775,1.78,,1.865,,1.7025426626205444,1.7621428571428572,,,,,
2017-05-16,1.78,1.7819999999999998,1.77,1.78,,1.84,,1.8056706190109253,1.7714285714285716,,,,,
2017-05-17,1.795,1.795,1.71,1.72,,1.83,,1.8660027980804443,1.7714285714285716,,,,,
2017-05-18,1.76,1.775,1.73,1.74,,1.65,,1.877080321311951,1.772857142857143,,,,,
2017-05-19,1.775,1.775,1.735,1.745,,1.67,1.7400000000000002,1.862324357032776,1.7664285714285717,,,,,
2017-05-22,1.765,1.765,1.73,1.75,,1.7000000000000002,1.741,1.8582326173782349,1.757857142857143,1.749285714285714,,,,
2017-05-23,1.765,1.765,1.73,1.75,,1.72,1.7475,1.829364776611328,1.7521428571428572,1.7485714285714284,,,,
2017-05-24,1.77,1.77,1.73,1.74,,1.72,1.7475,1.8020415306091309,1.7464285714285717,1.754285714285714,,,,
2017-05-25,1.75,1.75,1.72,1.73,,1.76,1.7445,1.82294762134552,1.7392857142857145,1.7553571428571426,,,,
2017-05-26,1.745,1.75,1.735,1.745,,1.72,1.735,1.8268027305603027,1.742857142857143,1.757142857142857,,,,
2017-05-29,1.745,1.75,1.72,1.725,,1.745,1.7400000000000002,1.8118858337402344,1.7407142857142859,1.7567857142857142,,,,
2017-05-30,1.74,1.74,1.65,1.7,,1.7000000000000002,1.7309999999999999,1.778075933456421,1.7342857142857144,1.7503571428571427,,,,
2017-05-31,1.72,1.72,1.68,1.72,,1.65,1.715,1.7303422689437866,1.7300000000000002,1.7439285714285713,,,,
2017-06-01,1.725,1.725,1.65,1.65,,1.7,1.7125,1.68740713596344,1.715714285714286,1.7339285714285713,,,,
2017-06-02,1.66,1.66,1.61,1.62,,1.5699999999999998,1.6640000000000001,1.6623262166976929,1.6985714285714288,1.7225,,,,
2017-06-05,1.64,1.65,1.56,1.59,,1.495,1.632,1.6620584726333618,1.6785714285714288,1.7089285714285711,,,,
2017-06-06,1.6,1.64,1.585,1.6,,1.455,1.6019999999999999,1.6595926284790041,1.657857142857143,1.700357142857143,,,,
2017-06-07,1.62,1.7,1.61,1.625,,1.5000000000000002,1.5950000000000002,1.6760536432266235,1.6435714285714287,1.6921428571428572,,,,
2017-06-08,1.65,1.675,1.625,1.65,,1.53,1.6164999999999998,1.6873109340667725,1.6364285714285718,1.6853571428571428,,,,
2017-06-09,1.67,1.675,1.615,1.66,,1.65,1.6325000000000005,1.7022851705551147,1.6278571428571431,1.6789285714285713,,,,
2017-06-13,1.7,1.755,1.68,1.695,,1.6999999999999995,1.6510000000000002,1.7173713445663452,1.6342857142857146,1.675,,,,
2017-06-14,1.71,1.725,1.67,1.69,,1.8,1.6800000000000002,1.732839822769165,1.6442857142857146,1.6714285714285715,1.7126666666666666,,,
2017-06-15,1.68,1.72,1.65,1.7,,1.7799999999999998,1.6840000000000002,1.7450536489486694,1.6600000000000001,1.6692857142857143,1.7106666666666668,,,
2017-06-16,1.7,1.712,1.685,1.7,,1.775,1.6944999999999997,1.754063844680786,1.6742857142857144,1.6660714285714284,1.7120000000000002,,,
2017-06-19,1.705,1.73,1.7,1.725,,1.75,1.6989999999999998,1.759938359260559,1.6885714285714286,1.6660714285714284,1.7123333333333335,,,
