Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF
1999-03-22,,,,36.6,,,
1999-03-23,36.6,36.6,36.6,36.6,167.0,,
1999-03-24,36.6,37.0,36.5,36.5,348.0,,
1999-03-25,36.5,36.5,36.5,36.5,5000.0,,
1999-03-26,36.5,36.5,36.5,36.14,5000.0,,
1999-03-29,36.14,36.14,36.14,36.14,50648.0,,
1999-03-30,36.14,36.14,36.14,35.0,50648.0,35.68,
1999-04-01,36.14,36.14,36.14,35.0,50648.0,33.4,
1999-04-06,36.14,36.14,36.14,35.0,50648.0,33.5,
1999-04-07,35.0,35.0,35.0,35.0,3445.0,33.5,
1999-04-08,35.0,35.0,35.0,35.6,3445.0,33.86,
1999-04-09,35.0,35.0,35.0,35.7,3445.0,35.06,
1999-04-12,35.7,35.7,35.7,35.7,213.0,36.40000000000001,
1999-04-13,35.7,35.7,35.7,36.0,213.0,36.40000000000001,
1999-04-14,37.0,37.0,37.0,37.0,2562.0,37.0,
1999-04-15,37.0,37.0,37.0,37.0,2562.0,39.0,
1999-04-16,37.5,37.5,37.5,37.5,450.0,38.4,
1999-04-19,37.2,37.2,37.2,37.2,499.0,39.3,
1999-04-20,37.5,37.5,37.5,37.5,170.0,38.7,
1999-04-21,38.005,38.5,38.005,38.5,2100.0,39.0,
1999-04-22,39.0,39.0,39.0,39.0,1012.0,40.0,
1999-04-23,39.0,39.5,39.0,39.5,6958.0,41.0,
1999-04-26,39.0,39.5,39.0,39.5,6958.0,41.5,
1999-04-27,40.0,40.0,39.5,39.5,44100.0,41.8,
1999-04-28,39.5,39.5,39.5,39.5,1000.0,41.5,
1999-04-29,39.5,39.5,39.5,39.5,10000.0,40.5,
1999-04-30,39.5,39.5,39.5,39.5,430.0,40.0,
1999-05-03,39.5,39.5,39.5,38.5,430.0,39.5,
1999-05-04,38.5,39.0,38.5,39.0,3104.0,37.5,
1999-05-05,38.5,39.0,38.5,38.5,3104.0,38.5,
1999-05-06,38.5,39.0,38.5,38.5,3104.0,37.5,
1999-05-07,38.5,39.0,38.5,38.5,3104.0,37.5,
1999-05-10,38.5,38.5,38.5,38.5,400.0,37.5,
1999-05-11,38.5,38.5,38.5,38.5,51400.0,38.5,
1999-05-12,38.0,38.0,37.0,37.0,1438.0,38.0,
1999-05-13,37.0,38.0,37.0,38.0,4662.0,35.5,
1999-05-14,37.0,38.0,37.0,38.0,4662.0,37.5,
1999-05-17,38.0,38.0,37.0,37.0,1403.0,37.5,
1999-05-18,38.0,38.25,38.0,38.25,37100.0,35.5,
1999-05-19,38.0,38.25,38.0,37.2,37100.0,38.0,
1999-05-20,38.0,38.0,38.0,38.0,2400.0,37.40000000000001,
1999-05-24,38.0,38.0,37.5,37.99,360.0,38.0,
1999-05-25,38.0,38.0,37.5,37.2,360.0,37.98,
1999-05-26,37.2,37.2,37.2,37.2,1881.0,37.40000000000001,
1999-05-27,37.2,37.2,37.2,37.0,1881.0,36.15000000000001,
1999-05-28,37.0,37.0,37.0,37.0,1000.0,36.8,
1999-05-31,37.0,37.0,37.0,36.0,1000.0,36.0,
1999-06-01,37.0,37.0,37.0,36.0,1000.0,34.01,
1999-06-02,36.5,36.5,36.5,36.5,1000.0,34.8,
1999-06-03,36.5,36.5,36.5,36.0,1000.0,35.8,
1999-06-04,36.5,36.5,36.5,36.0,1000.0,35.0,
1999-06-07,36.0,36.0,36.0,36.0,4000.0,35.0,
1999-06-08,36.0,36.0,36.0,36.0,10000.0,36.0,
1999-06-09,36.0,36.5,36.0,36.5,43941.0,36.0,
1999-06-10,36.5,37.0,35.0,37.0,15737.0,36.5,
1999-06-11,38.0,38.0,38.0,38.0,210.0,38.0,
1999-06-15,38.0,38.0,38.0,37.5,210.0,40.0,
1999-06-16,37.1,37.1,37.0,37.0,10700.0,39.0,
1999-06-17,36.9,36.9,36.9,36.9,600.0,38.0,
1999-06-18,36.5,36.5,36.1,36.1,17080.0,37.3,
1999-06-21,36.5,36.5,36.1,36.0,17080.0,35.2,
1999-06-22,36.75,36.75,36.75,36.75,300.0,34.0,
1999-06-23,36.75,36.75,36.75,36.0,300.0,36.0,
1999-06-24,36.75,36.75,36.75,36.0,300.0,35.0,
1999-06-25,36.75,36.75,36.75,36.0,300.0,35.1,
1999-06-28,36.9,36.9,36.9,36.9,310.0,35.9,
1999-06-29,36.75,36.75,36.75,36.75,690.0,37.8,
1999-06-30,36.0,36.0,35.5,36.0,47109.0,36.75,
1999-07-01,36.0,36.0,35.5,35.5,47109.0,36.0,
1999-07-02,36.0,36.0,35.5,35.5,47109.0,35.0,
1999-07-05,36.0,36.0,36.0,36.0,15500.0,35.0,
1999-07-06,36.0,36.0,36.0,36.0,1400.0,35.1,
1999-07-07,35.5,35.5,35.495,35.495,6210.0,35.25,
1999-07-08,35.5,35.5,35.5,35.5,1900.0,34.989999999999995,
1999-07-09,36.5,38.0,36.5,38.0,3080.0,35.5,
1999-07-12,37.5,37.5,37.5,37.5,20500.0,40.5,
1999-07-13,37.5,37.5,37.5,37.5,500.0,39.0,
1999-07-14,37.5,37.5,37.5,36.0,500.0,39.0,
1999-07-15,37.5,37.5,37.5,37.0,500.0,36.505,
1999-07-16,37.5,37.5,37.5,37.5,1000.0,38.5,
1999-07-19,38.0,38.0,38.0,38.0,3000.0,37.0,
1999-07-20,38.0,38.0,38.0,38.5,3000.0,38.5,
1999-07-21,38.5,38.5,38.5,38.5,5330.0,39.5,
1999-07-22,38.5,38.5,38.5,38.5,250.0,41.0,
1999-07-23,38.5,38.5,38.5,38.5,250.0,40.0,
1999-07-26,39.0,39.0,39.0,39.0,600.0,39.5,
1999-07-27,39.0,39.0,39.0,38.0,600.0,40.0,
1999-07-28,39.0,39.0,39.0,39.0,950.0,37.5,
1999-07-29,40.0,40.0,40.0,40.0,5000.0,39.5,
1999-07-30,39.0,40.0,39.0,40.0,3846.0,41.5,
1999-08-02,39.0,40.0,39.0,39.0,3846.0,41.5,
1999-08-03,40.0,40.0,40.0,40.0,175.0,39.0,
