Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM
2003-01-02,4.35,4.35,4.3,4.34,206010.0,,,1.144707202911377
2003-01-03,4.35,4.49,4.35,4.42,463505.0,,,1.1488714218139648
2003-01-06,4.48,4.48,4.4,4.44,1333683.0,,,1.154413104057312
2003-01-07,4.47,4.47,4.34,4.36,2025906.0,,,1.1616941690444946
2003-01-08,4.34,4.35,4.24,4.24,2386242.0,,,1.1711642742156982
2003-01-09,4.21,4.3,4.19,4.21,1093523.0,,,1.1827013492584229
2003-01-10,4.22,4.24,4.16,4.21,734321.0,4.08,,1.1932307481765747
2003-01-13,4.2,4.2,4.14,4.16,1483530.0,4.0,,1.205199956893921
2003-01-14,4.15,4.2,4.11,4.18,1117169.0,3.88,,1.2178252935409546
2003-01-15,4.2,4.32,4.2,4.29,2601630.0,3.999999999999999,,1.2290444374084473
2003-01-16,4.24,4.25,4.21,4.24,1981740.0,4.34,,1.2388428449630737
2003-01-17,4.25,4.29,4.2,4.22,3672416.0,4.2700000000000005,,1.2489995956420898
2003-01-20,4.22,4.29,4.22,4.27,993929.0,4.23,,1.2595547437667847
2003-01-21,4.26,4.27,4.24,4.25,753391.0,4.379999999999999,,1.2681920528411865
2003-01-22,4.18,4.18,4.1,4.11,6652436.0,4.32,,1.275640606880188
2003-01-23,4.12,4.2,4.11,4.19,5647598.0,3.9300000000000006,,1.2830575704574585
2003-01-24,4.18,4.3,4.18,4.28,1675233.0,4.1400000000000015,,1.2904183864593506
2003-01-28,4.26,4.3,4.23,4.29,1477358.0,4.340000000000002,,1.2976707220077515
2003-01-29,4.31,4.33,4.25,4.29,1937901.0,4.3100000000000005,,1.3048354387283325
2003-01-30,4.28,4.3,4.25,4.3,904351.0,4.33,,1.311936378479004
2003-01-31,4.27,4.3,4.24,4.3,1112488.0,4.489999999999998,,1.3189241886138916
2003-02-03,4.26,4.36,4.25,4.3,1171990.0,4.409999999999998,,1.3258655071258545
2003-02-04,4.32,4.36,4.26,4.29,587235.0,4.319999999999999,,1.3327620029449463
2003-02-05,4.29,4.35,4.25,4.27,497998.0,4.29,,1.339612603187561
2003-02-06,4.26,4.3,4.21,4.27,1575602.0,4.249999999999999,,1.3464164733886719
2003-02-07,4.27,4.32,4.27,4.31,492612.0,4.239999999999998,,1.3531726598739624
2003-02-10,4.28,4.33,4.28,4.32,2342462.0,4.319999999999999,,1.3598802089691162
2003-02-11,4.34,4.4,4.34,4.39,1367526.0,4.340000000000002,,1.3665223121643066
2003-02-12,4.35,4.53,4.35,4.51,3520865.0,4.489999999999998,,1.3731040954589844
2003-02-13,4.52,4.6,4.52,4.58,1998397.0,4.75,,1.3796324729919434
2003-02-14,4.55,4.58,4.51,4.51,1892053.0,4.8900000000000015,,1.3861064910888672
2003-02-17,4.51,4.56,4.51,4.51,655921.0,4.71,,1.3925246000289917
2003-02-18,4.53,4.58,4.51,4.56,2298784.0,4.699999999999998,,1.3988856077194214
2003-02-19,4.6,4.7,4.56,4.56,4527468.0,4.73,,1.4051892757415771
2003-02-20,4.55,4.56,4.36,4.41,2761333.0,4.609999999999999,,1.4107375144958496
