Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF
2002-07-15,2.9,3.01,2.86,3.0,54754240.0,,
2002-07-16,3.03,3.04,2.94,2.94,19992427.0,,
2002-07-17,2.9,2.92,2.83,2.83,18881916.0,,
2002-07-18,2.85,2.88,2.85,2.87,15216672.0,,
2002-07-19,2.86,2.87,2.84,2.85,10531684.0,,
2002-07-22,2.82,2.83,2.81,2.82,11093908.0,,
2002-07-23,2.83,2.85,2.8,2.8,8573126.0,2.64,
2002-07-24,2.8,2.82,2.76,2.81,18299999.0,2.66,
2002-07-25,2.81,2.82,2.78,2.79,5174345.0,2.79,
2002-07-26,2.8,2.8,2.7,2.76,4513744.0,2.71,
2002-07-29,2.76,2.76,2.69,2.7,9333927.0,2.6699999999999995,
2002-07-30,2.73,2.77,2.7,2.73,19239168.0,2.5800000000000005,
2002-07-31,2.74,2.76,2.73,2.74,14399743.0,2.66,
2002-08-01,2.74,2.74,2.68,2.68,12667575.0,2.6700000000000004,
2002-08-02,2.63,2.65,2.61,2.65,5500635.0,2.5700000000000003,
2002-08-05,2.62,2.62,2.58,2.59,6589295.0,2.54,
2002-08-06,2.51,2.56,2.47,2.51,12112361.0,2.4799999999999995,
2002-08-07,2.55,2.57,2.52,2.57,14761037.0,2.29,
2002-08-08,2.59,2.66,2.59,2.63,7098608.0,2.3999999999999995,
2002-08-09,2.66,2.71,2.64,2.65,4552486.0,2.58,
2002-08-12,2.68,2.68,2.6,2.64,1971988.0,2.65,
2002-08-13,2.6,2.64,2.57,2.61,1773582.0,2.6900000000000004,
2002-08-14,2.57,2.58,2.55,2.56,2373032.0,2.71,
2002-08-15,2.56,2.6,2.53,2.54,12132352.0,2.5500000000000003,
2002-08-16,2.54,2.56,2.51,2.54,8522616.0,2.45,
2002-08-19,2.53,2.56,2.52,2.53,3943342.0,2.43,
2002-08-20,2.54,2.6,2.54,2.58,4532355.0,2.4199999999999995,
2002-08-21,2.59,2.67,2.58,2.65,2821205.0,2.5500000000000003,
2002-08-22,2.7,2.75,2.68,2.73,4217485.0,2.74,
2002-08-23,2.75,2.8,2.75,2.8,4139474.0,2.92,
2002-08-26,2.78,2.78,2.75,2.75,2665108.0,3.06,
2002-08-27,2.75,2.79,2.72,2.73,2665940.0,2.97,
2002-08-28,2.73,2.81,2.73,2.8,4551133.0,2.88,
2002-08-29,2.79,2.79,2.74,2.77,3623969.0,2.95,
2002-08-30,2.78,2.82,2.77,2.79,3111458.0,2.81,
2002-09-02,2.8,2.9,2.8,2.89,8060683.0,2.78,
2002-09-03,2.9,2.92,2.88,2.9,6616492.0,3.03,
2002-09-04,2.81,2.86,2.8,2.81,2477743.0,3.07,
2002-09-05,2.85,2.87,2.83,2.87,3093639.0,2.8200000000000003,
2002-09-06,2.86,2.87,2.83,2.86,6002651.0,2.97,
2002-09-09,2.89,2.9,2.82,2.87,2910940.0,2.93,
2002-09-10,2.89,2.89,2.83,2.84,3294612.0,2.85,
2002-09-11,2.85,2.88,2.84,2.84,4113310.0,2.78,
2002-09-12,2.84,2.85,2.82,2.83,5924154.0,2.87,
2002-09-13,2.81,2.81,2.76,2.78,4014266.0,2.79,
2002-09-16,2.78,2.78,2.75,2.75,2708283.0,2.7,
2002-09-17,2.76,2.8,2.76,2.78,5298795.0,2.63,
2002-09-18,2.78,2.81,2.75,2.8,4092195.0,2.72,
2002-09-19,2.79,2.79,2.75,2.75,1697839.0,2.76,
2002-09-20,2.75,2.76,2.67,2.7,4211744.0,2.67,
2002-09-23,2.7,2.71,2.65,2.68,2708860.0,2.620000000000001,
2002-09-24,2.62,2.68,2.6,2.62,12795019.0,2.6100000000000003,
2002-09-25,2.62,2.66,2.55,2.56,2217298.0,2.4600000000000004,
