Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM
2009-09-10,3.92,3.99,3.85,3.99,16733609.0,,,0.9972501993179321
2009-09-11,4.0,4.05,3.89,3.94,1998064.0,,,1.0016134977340698
2009-09-14,3.96,3.96,3.7,3.78,1968255.0,,,1.0073425769805908
2009-09-15,3.78,3.8,3.56,3.63,1610118.0,,,1.0149335861206055
2009-09-16,3.63,3.73,3.62,3.68,1089401.0,,,1.0249592065811157
2009-09-17,3.7,3.71,3.64,3.7,2109103.0,,,1.0344533920288086
2009-09-18,3.69,3.83,3.69,3.81,1192906.0,3.41,,1.0401092767715454
2009-09-21,3.85,3.85,3.78,3.8,1897823.0,3.68,,1.044744849205017
2009-09-22,3.81,3.84,3.77,3.8,841037.0,3.82,,1.0496855974197388
2009-09-23,3.81,3.81,3.77,3.78,1030186.0,3.97,,1.0546690225601196
2009-09-24,3.73,3.75,3.7,3.72,2301094.0,3.88,,1.0595577955245972
2009-09-25,3.74,3.8,3.71,3.72,1790661.0,3.74,,1.0644701719284058
2009-09-28,3.71,3.75,3.71,3.72,1046061.0,3.63,,1.0695680379867554
2009-09-29,3.72,3.72,3.62,3.67,672222.0,3.640000000000001,,1.0748469829559326
2009-09-30,3.69,3.78,3.69,3.75,528135.0,3.54,,1.0801938772201538
2009-10-01,3.7,3.79,3.7,3.77,218383.0,3.72,,1.0855295658111572
2009-10-02,3.71,3.76,3.71,3.73,236933.0,3.82,,1.0909205675125122
2009-10-05,3.76,3.77,3.71,3.72,85294.0,3.74,,1.0964734554290771
2009-10-06,3.72,3.8,3.72,3.8,150181.0,3.72,,1.1021666526794434
2009-10-07,3.79,3.84,3.74,3.84,226811.0,3.93,,1.1080293655395508
2009-10-08,3.81,3.9,3.78,3.86,467937.0,3.93,,1.1140196323394775
2009-10-09,3.85,3.9,3.85,3.89,701041.0,3.95,,1.1198796033859253
2009-10-12,3.88,3.92,3.87,3.9,823641.0,4.050000000000002,,1.1256080865859985
2009-10-13,3.89,3.9,3.79,3.83,292449.0,4.08,,1.1314520835876465
2009-10-14,3.85,3.9,3.84,3.9,769133.0,3.86,,1.13741135597229
2009-10-15,3.9,3.9,3.81,3.86,767329.0,3.96,,1.1434857845306396
2009-10-16,3.88,3.9,3.87,3.9,734834.0,3.86,,1.1496751308441162
2009-10-19,3.9,3.92,3.85,3.9,562556.0,3.91,,1.1559791564941406
2009-10-20,3.91,4.03,3.9,4.03,588250.0,3.9,,1.1623977422714233
2009-10-21,4.03,4.03,3.96,3.96,562248.0,4.23,,1.168929934501648
2009-10-22,4.01,4.1,4.01,4.1,600297.0,4.02,,1.17557692527771
2009-10-23,4.15,4.16,4.03,4.09,915466.0,4.34,,1.1823385953903198
2009-10-26,4.08,4.08,4.02,4.05,153485.0,4.279999999999999,,1.1892149448394775
2009-10-27,4.01,4.03,3.98,4.0,651445.0,4.199999999999998,,1.196205973625183
2009-10-28,4.02,4.07,3.99,4.01,1102974.0,3.97,,1.203278660774231
2009-10-29,4.01,4.03,3.98,4.0,541412.0,4.06,,1.2103732824325562
2009-10-30,4.05,4.1,4.01,4.09,134488.0,3.9,,1.2175761461257935
2009-11-02,4.06,4.15,4.04,4.15,268953.0,4.09,,1.224569320678711
2009-11-03,4.11,4.14,4.03,4.1,393927.0,4.250000000000001,,1.23114812374115
2009-11-04,4.12,4.13,4.03,4.11,188851.0,4.199999999999998,,1.2374024391174316
2009-11-05,4.13,4.16,4.13,4.16,334059.0,4.210000000000001,,1.2437057495117188
2009-11-06,4.15,4.25,4.15,4.25,573478.0,4.32,,1.2500579357147217
2009-11-09,4.29,4.39,4.2,4.38,169071.0,4.41,,1.2564587593078613
2009-11-10,4.4,4.45,4.36,4.36,449230.0,4.609999999999999,,1.2628995180130005
2009-11-11,4.44,4.49,4.35,4.35,132735.0,4.620000000000001,,1.2693846225738525
2009-11-12,4.38,4.48,4.35,4.48,223038.0,4.589999999999999,,1.2757469415664673
2009-11-13,4.46,4.53,4.4,4.53,210483.0,4.800000000000002,,1.2818412780761719
2009-11-16,4.55,4.55,4.47,4.5,306829.0,4.8100000000000005,,1.2878717184066772
2009-11-17,4.5,4.56,4.46,4.5,267307.0,4.62,,1.293714165687561
2009-11-18,4.5,4.5,4.46,4.5,83835.0,4.64,,1.299397587776184
2009-11-19,4.48,4.56,4.46,4.52,228309.0,4.65,,1.304931402206421
2009-11-20,4.55,4.65,4.55,4.63,82800.0,4.559999999999999,,1.3104732036590576
2009-11-23,4.63,4.64,4.52,4.6,85866.0,4.73,,1.3160231113433838
2009-11-24,4.6,4.6,4.51,4.55,940270.0,4.699999999999998,,1.3215808868408203
2009-11-25,4.53,4.53,4.39,4.47,222764.0,4.6,,1.3271467685699463
2009-11-26,4.47,4.59,4.41,4.56,711692.0,4.44,,1.3327206373214722
2009-11-27,4.52,4.52,4.42,4.45,117579.0,4.6,,1.3383026123046875
2009-11-30,4.6,4.6,4.48,4.48,375852.0,4.2700000000000005,,1.3438925743103027
2009-12-01,4.48,4.68,4.48,4.66,435390.0,4.360000000000001,,1.3494905233383179
2009-12-02,4.7,4.8,4.63,4.7,731228.0,4.7700000000000005,,1.355090856552124
2009-12-03,4.7,4.7,4.57,4.69,647309.0,4.9300000000000015,,1.3604542016983032
2009-12-04,4.75,4.9,4.66,4.88,1029051.0,4.820000000000001,,1.365840196609497
2009-12-07,4.88,4.9,4.69,4.8,432248.0,5.31,,1.3712308406829834
2009-12-08,4.85,4.89,4.77,4.82,781015.0,5.119999999999999,,1.3766223192214966
2009-12-09,4.82,4.82,4.75,4.79,123846.0,4.98,,1.3820143938064575
2009-12-10,4.77,4.86,4.77,4.78,330828.0,4.88,,1.3874073028564453
2009-12-11,4.85,4.96,4.8,4.9,692184.0,4.87,,1.3928008079528809
2009-12-14,4.92,4.92,4.75,4.86,190745.0,4.920000000000001,,1.3981949090957642
2009-12-15,4.87,5.02,4.85,5.0,1235278.0,4.920000000000001,,1.4035899639129639
2009-12-16,4.99,5.0,4.92,4.95,239710.0,5.18,,1.4089854955673218
2009-12-17,4.95,4.99,4.88,4.88,563495.0,5.11,,1.4143818616867065
2009-12-18,4.87,5.1,4.79,5.05,3499975.0,4.98,,1.419778823852539
2009-12-21,5.03,5.2,5.03,5.2,303927.0,5.199999999999998,,1.4251766204833984
2009-12-22,5.2,5.4,5.14,5.3,673755.0,5.54,,1.4305750131607056
2009-12-23,5.4,5.42,5.32,5.35,286304.0,5.6,,1.43597412109375
