Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM
2004-05-20,1.48,1.5,1.4,1.48,1282451.0,,,1.306502342224121
2004-05-21,1.53,1.65,1.52,1.52,627275.0,,,1.4002183675765991
2004-05-24,1.54,1.54,1.47,1.49,417391.0,,,1.4712557792663574
2004-05-25,1.49,1.49,1.42,1.46,172500.0,,,1.5206246376037598
2004-05-26,1.47,1.47,1.45,1.45,60400.0,,,1.5495617389678955
2004-05-27,1.46,1.48,1.44,1.46,100880.0,,,1.554727554321289
2004-05-28,1.47,1.47,1.45,1.46,27606.0,1.44,,1.5441770553588867
2004-05-31,1.46,1.46,1.4,1.4,75674.0,1.4,,1.523012638092041
2004-06-01,1.4,1.47,1.39,1.47,57849.0,1.3099999999999998,,1.5027202367782593
2004-06-02,1.48,1.5,1.48,1.48,67250.0,1.48,,1.5048165321350098
2004-06-03,1.49,1.49,1.49,1.49,24500.0,1.51,,1.513746976852417
2004-06-04,1.48,1.48,1.43,1.43,50721.0,1.52,,1.51528000831604
2004-06-07,1.45,1.45,1.43,1.45,43850.0,1.4,,1.5133118629455566
2004-06-08,1.44,1.46,1.44,1.46,22099.0,1.5,,1.5056066513061523
2004-06-09,1.45,1.45,1.43,1.45,38121.0,1.45,,1.5025440454483032
2004-06-10,1.42,1.45,1.42,1.42,25500.0,1.42,,1.5011956691741943
2004-06-11,1.43,1.45,1.43,1.45,53596.0,1.35,,1.5051651000976562
2004-06-15,1.46,1.47,1.46,1.46,38231.0,1.47,,1.5101590156555176
2004-06-16,1.45,1.46,1.42,1.43,53000.0,1.47,,1.529728651046753
2004-06-17,1.45,1.47,1.45,1.46,16500.0,1.4,,1.54526948928833
2004-06-18,1.45,1.46,1.42,1.43,34000.0,1.47,,1.559725284576416
2004-06-21,1.44,1.44,1.43,1.43,32000.0,1.44,,1.5785795450210571
2004-06-22,1.43,1.43,1.39,1.42,54325.0,1.41,,1.6078050136566162
2004-06-23,1.44,1.45,1.43,1.45,31540.0,1.38,,1.6351077556610107
2004-06-24,1.45,1.48,1.45,1.47,22175.0,1.47,,1.6611428260803223
2004-06-25,1.48,1.55,1.48,1.54,45849.0,1.48,,1.687404751777649
2004-06-28,1.55,1.58,1.54,1.58,25276.0,1.65,,1.7137906551361084
2004-06-29,1.57,1.57,1.56,1.56,7000.0,1.7300000000000002,,1.7371070384979248
2004-06-30,1.57,1.58,1.56,1.57,26000.0,1.7000000000000002,,1.7594976425170898
2004-07-01,1.54,1.55,1.54,1.55,67500.0,1.6900000000000002,,1.7814080715179443
2004-07-02,1.55,1.56,1.54,1.56,44824.0,1.63,,1.7996606826782227
2004-07-05,1.58,1.65,1.58,1.65,20500.0,1.58,,1.8176155090332031
2004-07-06,1.64,1.66,1.62,1.62,25900.0,1.7199999999999998,,1.8341913223266602
2004-07-07,1.65,1.65,1.64,1.64,12510.0,1.6800000000000002,,1.8494701385498047
2004-07-08,1.64,1.7,1.64,1.7,38220.0,1.7099999999999995,,1.8643279075622559
2004-07-09,1.73,1.75,1.63,1.63,38800.0,1.85,,1.8787574768066406
2004-07-12,1.64,1.65,1.63,1.65,33622.0,1.6999999999999995,,1.8927507400512695
2004-07-13,1.66,1.69,1.66,1.69,12800.0,1.65,,1.9062995910644531
2004-07-14,1.7,1.8,1.7,1.8,17900.0,1.7599999999999998,,1.9193947315216064
2004-07-15,1.8,1.8,1.7,1.7,23000.0,1.96,,1.9320259094238281
2004-07-16,1.75,1.75,1.75,1.75,15200.0,1.7,,1.9441828727722168
2004-07-19,1.8,1.8,1.78,1.78,13100.0,1.87,,1.9558544158935547
2004-07-20,1.75,1.75,1.7,1.7,27050.0,1.91,,1.9670288562774658
2004-07-21,1.75,1.75,1.7,1.7,9450.0,1.71,,1.9777414798736572
2004-07-22,1.7,1.72,1.7,1.7,12000.0,1.6,,1.9879729747772217
2004-07-23,1.74,1.74,1.65,1.65,26000.0,1.7,,1.997675895690918
2004-07-26,1.7,1.7,1.65,1.65,9661.0,1.5499999999999998,,2.006836175918579
2004-07-27,1.64,1.65,1.61,1.65,22789.0,1.5199999999999998,,2.015439510345459
2004-07-28,1.65,1.65,1.61,1.61,17700.0,1.6,,2.023470640182495
2004-07-29,1.65,1.67,1.65,1.67,18950.0,1.5200000000000002,,2.0309131145477295
2004-07-30,1.67,1.67,1.67,1.67,4000.0,1.64,,2.037374973297119
2004-08-02,1.65,1.65,1.65,1.65,5000.0,1.69,,2.043168067932129
2004-08-03,1.65,1.67,1.65,1.67,35680.0,1.65,,2.0497210025787354
2004-08-04,1.67,1.67,1.66,1.66,6000.0,1.69,,2.059467315673828
2004-08-05,1.66,1.66,1.65,1.65,31895.0,1.7099999999999995,,2.070175886154175
2004-08-06,1.65,1.65,1.65,1.65,25321.0,1.63,,2.0809245109558105
2004-08-09,1.63,1.65,1.62,1.65,24500.0,1.63,,2.091416120529175
2004-08-10,1.63,1.65,1.61,1.61,52756.0,1.65,,2.1016480922698975
2004-08-11,1.65,1.67,1.65,1.67,25000.0,1.5500000000000005,,2.1116180419921875
