Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
2015-07-24,2.24,2.27,2.16,2.16,,,,0.36527758836746216,,,,,,
2015-07-27,2.19,2.19,2.16,2.16,,,,0.53359454870224,,,,,,
2015-07-28,2.15,2.16,2.01,2.04,,,,0.732300877571106,,,,,,
2015-07-29,2.09,2.14,2.08,2.1,,,,0.9578174352645874,,,,,,
2015-07-30,2.12,2.14,2.09,2.11,,,,1.204066038131714,,,,,,
2015-07-31,2.12,2.14,2.1,2.1,,,,1.4596612453460691,,,,,,
2015-08-03,2.12,2.13,2.07,2.09,,2.04,,1.6725764274597168,2.1085714285714285,,,,,
2015-08-04,2.1,2.115,2.05,2.07,,2.02,,1.8159064054489136,2.0957142857142856,,,,,
2015-08-05,2.08,2.08,2.05,2.07,,2.1,,1.9067746400833132,2.0828571428571427,,,,,
2015-08-06,2.06,2.08,2.06,2.06,,2.04,,1.9355385303497317,2.0857142857142854,,,,,
2015-08-07,2.06,2.07,2.03,2.04,,2.01,,1.9237138032913208,2.077142857142857,,,,,
2015-08-10,2.04,2.05,2.04,2.05,,1.98,,1.878497838973999,2.068571428571428,,,,,
2015-08-11,2.06,2.08,2.04,2.05,,2.01,,1.85542893409729,2.061428571428571,,,,,
2015-08-12,2.04,2.05,2.03,2.03,,2.03,,1.826180338859558,2.0528571428571425,2.0807142857142855,,,,
2015-08-13,2.07,2.07,2.02,2.05,,1.99,,1.7768158912658691,2.05,2.072857142857143,,,,
2015-08-14,2.03,2.05,2.02,2.02,,2.04,,1.7237997055053709,2.0428571428571423,2.0628571428571427,,,,
2015-08-17,2.03,2.08,2.02,2.05,,2.0,,1.6703369617462158,2.041428571428571,2.0635714285714286,,,,
2015-08-18,2.05,2.07,2.02,2.06,,2.05,,1.6454083919525146,2.044285714285714,2.0607142857142855,,,,
2015-08-19,2.07,2.07,2.04,2.06,,2.0700000000000003,,1.6252646446228027,2.0457142857142854,2.057142857142857,,,,
2015-08-20,2.06,2.06,2.02,2.06,,2.0900000000000003,,1.5945417881011963,2.0471428571428563,2.054285714285714,,,,
2015-08-21,2.02,2.1,1.96,2.1,,2.0700000000000003,,1.580924391746521,2.0571428571428565,2.0549999999999997,,,,
2015-08-24,2.07,2.07,1.97,2.0,,2.18,,1.5577597618103027,2.05,2.05,,,,
2015-08-25,1.98,1.98,1.89,1.96,,1.95,,1.542296051979065,2.0414285714285714,2.042142857142857,,,,
2015-08-26,1.96,1.96,1.91,1.925,,1.86,,1.5361684560775757,2.0235714285714286,2.0324999999999998,,,,
2015-08-27,1.93,1.98,1.92,1.97,,1.79,,1.5225422382354736,2.0107142857142852,2.0275,,,,
2015-08-28,2.0,2.0,1.96,1.975,,1.88,,1.5014941692352295,1.998571428571428,2.0221428571428572,,,,
2015-08-31,1.975,1.98,1.93,1.94,,1.85,,1.5068267583847046,1.9814285714285709,2.0142857142857142,,,,
2015-09-01,1.935,1.935,1.91,1.92,,1.88,,1.5290098190307615,1.955714285714285,2.0064285714285712,,,,
2015-09-02,1.91,1.95,1.9,1.93,,1.88,,1.5643303394317627,1.945714285714285,1.9978571428571426,,,,
2015-09-03,1.94,1.94,1.86,1.865,,1.935,,1.5960569381713867,1.9321428571428565,1.986785714285714,2.0338333333333334,,,
2015-09-04,1.865,1.865,1.77,1.835,,1.76,,1.6192702054977417,1.9192857142857136,1.971428571428571,2.0230000000000006,,,
2015-09-07,1.895,1.94,1.835,1.94,,1.6949999999999998,,1.6440770626068115,1.9149999999999991,1.9628571428571426,2.015666666666667,,,
2015-09-08,1.94,1.985,1.93,1.95,,1.94,,1.6686036586761477,1.9114285714285706,1.9549999999999998,2.012666666666667,,,
