Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM
2006-06-15,1.25,1.25,1.25,1.25,,,,0.5908434391021729
2006-06-16,1.27,1.33,1.27,1.33,102400.0,,,0.7647908329963684
2006-06-19,1.25,1.25,1.25,1.25,102400.0,,,0.9601975679397583
2006-06-20,1.29,1.29,1.29,1.29,858315.0,,,1.1630523204803467
2006-06-21,1.29,1.29,1.29,1.29,86386.0,,,1.3130165338516235
2006-06-22,1.29,1.29,1.29,1.29,169514.0,,,1.4142735004425049
2006-06-23,1.29,1.3,1.29,1.3,54300.0,1.33,,1.4834296703338623
2006-06-26,1.29,1.32,1.29,1.32,40281.0,1.27,,1.5133850574493408
2006-06-27,1.31,1.31,1.31,1.31,210000.0,1.39,,1.5097373723983765
2006-06-28,1.31,1.31,1.3,1.3,2845000.0,1.33,,1.474661111831665
2006-06-29,1.34,1.34,1.34,1.34,1653.0,1.31,,1.4231326580047607
2006-06-30,1.34,1.35,1.34,1.35,50000.0,1.39,,1.4370849132537842
2006-07-03,1.32,1.32,1.32,1.32,330528.0,1.4,,1.4333884716033936
2006-07-04,1.33,1.34,1.33,1.33,1206064.0,1.32,,1.419800043106079
2006-07-05,1.34,1.34,1.34,1.34,298751.0,1.35,,1.4425601959228516
2006-07-06,1.34,1.36,1.34,1.36,214483.0,1.38,,1.4641852378845215
2006-07-07,1.36,1.37,1.36,1.37,1896318.0,1.38,,1.4795279502868652
2006-07-10,1.36,1.4,1.36,1.39,260725.0,1.39,,1.4843957424163818
2006-07-11,1.39,1.4,1.35,1.4,2655310.0,1.4599999999999995,,1.4847962856292725
2006-07-12,1.39,1.41,1.39,1.41,185214.0,1.4699999999999998,,1.5100185871124268
2006-07-13,1.41,1.44,1.41,1.42,1448808.0,1.4799999999999998,,1.5288100242614746
2006-07-14,1.43,1.45,1.42,1.42,1007033.0,1.4799999999999998,,1.5324766635894775
2006-07-17,1.42,1.42,1.385,1.42,257984.0,1.4699999999999998,,1.5296082496643066
2006-07-18,1.43,1.44,1.42,1.43,77717.0,1.45,,1.5256881713867188
2006-07-19,1.43,1.43,1.41,1.41,194260.0,1.46,,1.5340602397918701
2006-07-20,1.42,1.5,1.42,1.5,730699.0,1.41,,1.5390934944152832
2006-07-21,1.445,1.445,1.44,1.44,17835.0,1.58,,1.5420219898223877
2006-07-24,1.45,1.45,1.43,1.43,188627.0,1.46,,1.5402917861938477
2006-07-25,1.42,1.43,1.39,1.4,8312885.0,1.44,,1.5352201461791992
2006-07-26,1.395,1.4,1.38,1.4,2856006.0,1.37,,1.5474530458450317
2006-07-27,1.41,1.415,1.395,1.41,438181.0,1.39,,1.560407280921936
2006-07-28,1.405,1.41,1.38,1.395,985766.0,1.3199999999999998,,1.5711700916290283
2006-07-31,1.395,1.405,1.395,1.405,519761.0,1.35,,1.5860235691070557
2006-08-01,1.39,1.4,1.39,1.39,8436833.0,1.38,,1.5974297523498535
2006-08-02,1.4,1.425,1.4,1.42,43465.0,1.38,,1.6020421981811523
2006-08-03,1.4,1.41,1.4,1.41,2157425.0,1.44,,1.6044483184814453
2006-08-04,1.41,1.41,1.41,1.41,310000.0,1.41,,1.6020562648773193
2006-08-07,1.41,1.43,1.4,1.42,82304.0,1.4249999999999998,,1.6097099781036377
2006-08-08,1.415,1.415,1.39,1.41,146255.0,1.4349999999999998,,1.616406798362732
2006-08-09,1.41,1.42,1.41,1.42,167384.0,1.43,,1.622430443763733
2006-08-10,1.43,1.46,1.43,1.45,243197.0,1.42,,1.627315640449524
2006-08-11,1.45,1.475,1.43,1.475,67200.0,1.49,,1.63106369972229
2006-08-14,1.475,1.475,1.47,1.47,110900.0,1.5400000000000005,,1.6336746215820312
2006-08-15,1.45,1.475,1.41,1.475,59460.0,1.52,,1.635148525238037
2006-08-16,1.495,1.5,1.495,1.5,250778.0,1.5400000000000005,,1.6397268772125244
2006-08-17,1.5,1.5,1.46,1.49,69685.0,1.58,,1.6438288688659668
2006-08-18,1.485,1.52,1.48,1.52,180484.0,1.53,,1.647071123123169
2006-08-21,1.5,1.52,1.5,1.52,247168.0,1.565,,1.649457335472107
2006-08-22,1.52,1.52,1.52,1.52,175866.0,1.57,,1.6509897708892822
2006-08-23,1.52,1.52,1.52,1.52,13898.0,1.565,,1.6517307758331299
2006-08-24,1.52,1.52,1.5,1.5,955349.0,1.54,,1.6525987386703491
2006-08-25,1.52,1.52,1.485,1.5,247067.0,1.51,,1.6526858806610107
2006-08-28,1.51,1.51,1.49,1.49,153941.0,1.48,,1.6556100845336914
2006-08-29,1.49,1.495,1.49,1.49,53276.0,1.46,,1.6583131551742554
2006-08-30,1.485,1.49,1.485,1.485,40164.0,1.46,,1.6604233980178833
2006-08-31,1.48,1.48,1.46,1.48,1228265.0,1.4500000000000002,,1.66194748878479
2006-09-01,1.5,1.51,1.49,1.505,307614.0,1.46,,1.6628921031951904
2006-09-04,1.51,1.52,1.51,1.51,106473.0,1.5099999999999998,,1.663264274597168
2006-09-05,1.51,1.515,1.51,1.51,271053.0,1.53,,1.663070559501648
2006-09-06,1.52,1.525,1.51,1.525,2230192.0,1.53,,1.6623176336288452
2006-09-07,1.52,1.52,1.51,1.52,492429.0,1.5649999999999995,,1.6610119342803955
2006-09-08,1.52,1.525,1.495,1.5,146368.0,1.56,,1.6591601371765137
2006-09-11,1.5,1.5,1.485,1.49,60774.0,1.495,,1.656769037246704
