Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF
2012-12-13,0.45,0.48,0.45,0.465,1763723.0,,
2012-12-14,0.465,0.465,0.45,0.455,721530.0,,
2012-12-17,0.455,0.47,0.455,0.47,740646.0,,
2012-12-18,0.46,0.46,0.435,0.435,441163.0,,
2012-12-19,0.44,0.45,0.425,0.425,460808.0,,
2012-12-20,0.43,0.44,0.425,0.435,932301.0,,
2012-12-21,0.41,0.42,0.4,0.4,356749.0,0.405,
2012-12-24,0.4,0.4,0.4,0.4,64980.0,0.34500000000000003,
2012-12-27,0.4,0.41,0.4,0.4,86151.0,0.3300000000000001,
2012-12-28,0.41,0.41,0.41,0.41,28986.0,0.3650000000000001,
2012-12-31,0.41,0.41,0.41,0.41,28986.0,0.395,
2013-01-02,0.42,0.42,0.42,0.42,4000.0,0.385,
2013-01-03,0.415,0.415,0.41,0.41,102816.0,0.44,
2013-01-04,0.415,0.415,0.4,0.4,108746.0,0.4199999999999999,
2013-01-07,0.41,0.41,0.395,0.4,127955.0,0.4,
2013-01-08,0.4,0.4,0.4,0.4,32729.0,0.3900000000000001,
2013-01-09,0.38,0.4,0.38,0.4,192955.0,0.3900000000000001,
2013-01-10,0.385,0.385,0.38,0.38,121257.0,0.3800000000000001,
2013-01-11,0.395,0.395,0.38,0.39,141371.0,0.35000000000000003,
2013-01-14,0.4,0.4,0.38,0.38,646735.0,0.38,
2013-01-15,0.38,0.39,0.38,0.38,716842.0,0.36,
2013-01-16,0.39,0.4,0.37,0.37,3679248.0,0.36,
2013-01-17,0.38,0.38,0.37,0.37,404163.0,0.34,
2013-01-18,0.39,0.39,0.385,0.385,37143.0,0.36,
2013-01-21,0.385,0.395,0.38,0.395,409615.0,0.38,
2013-01-22,0.39,0.39,0.38,0.38,31705.0,0.41,
2013-01-23,0.39,0.4,0.385,0.385,518909.0,0.38,
2013-01-24,0.4,0.4,0.39,0.4,505804.0,0.4,
2013-01-25,0.4,0.41,0.4,0.4,183077.0,0.4300000000000001,
2013-01-29,0.405,0.42,0.405,0.41,255872.0,0.415,
2013-01-30,0.41,0.42,0.395,0.415,775844.0,0.4249999999999999,
2013-01-31,0.41,0.42,0.41,0.415,1034939.0,0.45,
2013-02-01,0.415,0.45,0.415,0.44,588214.0,0.445,
2013-02-04,0.45,0.46,0.45,0.46,588214.0,0.48,
2013-02-05,0.47,0.49,0.46,0.46,588214.0,0.52,
2013-02-06,0.465,0.465,0.45,0.45,588214.0,0.51,
2013-02-07,0.455,0.455,0.455,0.455,588214.0,0.485,
2013-02-08,0.46,0.46,0.455,0.455,588214.0,0.4950000000000001,
2013-02-11,0.455,0.455,0.455,0.455,588214.0,0.47,
2013-02-12,0.49,0.49,0.465,0.465,588214.0,0.45,
2013-02-13,0.485,0.5,0.485,0.49,588214.0,0.47,
2013-02-14,0.49,0.5,0.49,0.5,588214.0,0.53,
2013-02-15,0.5,0.5,0.49,0.49,588214.0,0.5449999999999999,
2013-02-18,0.49,0.49,0.49,0.49,588214.0,0.5249999999999999,
2013-02-19,0.49,0.49,0.49,0.49,588214.0,0.5249999999999999,
2013-02-20,0.49,0.49,0.49,0.49,588214.0,0.5149999999999999,
2013-02-21,0.5,0.5,0.48,0.48,588214.0,0.49,
2013-02-22,0.48,0.48,0.45,0.455,588214.0,0.46,
2013-02-25,0.47,0.47,0.46,0.47,588214.0,0.42,
2013-02-26,0.46,0.46,0.46,0.46,588214.0,0.45,
2013-02-27,0.465,0.465,0.465,0.465,588214.0,0.4300000000000001,
2013-02-28,0.465,0.49,0.465,0.465,588214.0,0.4400000000000001,
2013-03-04,0.49,0.49,0.47,0.47,588214.0,0.4500000000000001,
2013-03-05,0.47,0.485,0.47,0.47,588214.0,0.4849999999999999,
2013-03-06,0.47,0.47,0.47,0.47,588214.0,0.47,
2013-03-07,0.47,0.47,0.47,0.47,588214.0,0.4799999999999999,
2013-03-08,0.48,0.48,0.47,0.47,588214.0,0.4749999999999999,
2013-03-11,0.48,0.48,0.47,0.47,588214.0,0.4749999999999999,
2013-03-12,0.48,0.48,0.48,0.48,588214.0,0.47,
2013-03-13,0.475,0.485,0.475,0.48,588214.0,0.49,
2013-03-14,0.485,0.485,0.47,0.475,588214.0,0.49,
2013-03-15,0.475,0.475,0.47,0.47,588214.0,0.48,
2013-03-18,0.47,0.47,0.47,0.47,588214.0,0.47,
2013-03-19,0.47,0.47,0.47,0.47,588214.0,0.47,
2013-03-20,0.47,0.47,0.465,0.465,588214.0,0.46,
2013-03-21,0.465,0.47,0.455,0.465,588214.0,0.4500000000000001,
2013-03-22,0.455,0.46,0.455,0.46,588214.0,0.4550000000000001,0.4659999999999999
2013-03-25,0.455,0.46,0.455,0.46,588214.0,0.4500000000000001,0.461
2013-03-26,0.46,0.48,0.46,0.48,588214.0,0.4500000000000001,0.4605
2013-03-27,0.48,0.51,0.48,0.51,588214.0,0.49,0.476
2013-03-28,0.5,0.5,0.495,0.5,588214.0,0.5549999999999999,0.49899999999999994
2013-04-02,0.495,0.5,0.49,0.5,588214.0,0.5349999999999999,0.496
2013-04-03,0.495,0.5,0.48,0.495,588214.0,0.54,0.499
2013-04-04,0.49,0.495,0.49,0.495,588214.0,0.53,0.49750000000000005
2013-04-05,0.48,0.495,0.48,0.495,588214.0,0.51,0.4955
2013-04-08,0.485,0.5,0.485,0.49,588214.0,0.48,0.4955
2013-04-09,0.49,0.5,0.49,0.5,588214.0,0.48,0.4915000000000001
2013-04-10,0.5,0.51,0.49,0.5,588214.0,0.5,0.49700000000000005
2013-04-11,0.51,0.51,0.48,0.48,588214.0,0.505,0.499
2013-04-12,0.49,0.5,0.485,0.5,588214.0,0.465,0.488
2013-04-15,0.49,0.49,0.485,0.485,588214.0,0.505,0.49399999999999994
2013-04-16,0.48,0.495,0.48,0.48,588214.0,0.48,0.4875
2013-04-17,0.48,0.49,0.48,0.485,588214.0,0.46,0.484
2013-04-18,0.485,0.5,0.485,0.5,588214.0,0.47,0.48549999999999993
2013-04-19,0.49,0.5,0.49,0.49,588214.0,0.52,0.49400000000000005
2013-04-22,0.5,0.5,0.49,0.5,588214.0,0.48,0.49450000000000005
2013-04-23,0.49,0.51,0.49,0.5,588214.0,0.515,0.49800000000000005
2013-04-24,0.5,0.51,0.5,0.51,588214.0,0.52,0.5
2013-04-26,0.505,0.53,0.505,0.53,588214.0,0.535,0.5069999999999999
2013-04-29,0.53,0.53,0.52,0.52,588214.0,0.56,0.5189999999999999
2013-04-30,0.525,0.53,0.52,0.53,588214.0,0.55,0.518
2013-05-01,0.53,0.53,0.515,0.53,588214.0,0.56,0.5270000000000001
2013-05-02,0.52,0.52,0.52,0.52,588214.0,0.56,0.5290000000000001
2013-05-03,0.52,0.525,0.515,0.515,588214.0,0.53,0.522
2013-05-06,0.5,0.51,0.5,0.5,588214.0,0.5,0.5175
2013-05-07,0.51,0.51,0.5,0.5,588214.0,0.48,0.51
2013-05-08,0.5,0.52,0.5,0.51,588214.0,0.47,0.5039999999999999
2013-05-09,0.51,0.51,0.505,0.505,588214.0,0.49,0.5069999999999999
2013-05-10,0.51,0.52,0.51,0.51,588214.0,0.49,0.5045
2013-05-13,0.51,0.515,0.505,0.51,588214.0,0.505,0.5069999999999999
2013-05-14,0.51,0.515,0.51,0.515,588214.0,0.52,0.5089999999999999
2013-05-15,0.52,0.53,0.52,0.53,588214.0,0.53,0.5115
2013-05-16,0.535,0.54,0.52,0.52,588214.0,0.55,0.5205
2013-05-17,0.535,0.535,0.52,0.525,588214.0,0.535,0.5189999999999999
2013-05-20,0.53,0.55,0.53,0.535,588214.0,0.54,0.5235000000000001
2013-05-21,0.545,0.55,0.53,0.53,588214.0,0.56,0.5330000000000001
2013-05-22,0.535,0.545,0.53,0.545,588214.0,0.545,0.5305000000000002
2013-05-23,0.54,0.565,0.54,0.56,588214.0,0.56,0.5405
