Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM
2011-08-04,2.48,2.48,2.3,2.3,1560645.0,,,0.9355878829956055
2011-08-05,2.15,2.19,2.02,2.08,5778870.0,,,1.1260225772857666
2011-08-08,2.06,2.12,2.01,2.09,981332.0,,,1.3354116678237915
2011-08-09,2.08,2.08,1.92,2.08,830877.0,,,1.5586234331130981
2011-08-10,2.15,2.18,2.09,2.14,331850.0,,,1.788422703742981
2011-08-11,2.09,2.11,2.05,2.11,368653.0,,,1.9864126443862915
2011-08-12,2.12,2.12,2.09,2.1,282756.0,1.92,,2.143172264099121
2011-08-15,2.1,2.14,2.09,2.14,167767.0,2.12,,2.252084732055664
2011-08-16,2.11,2.11,2.06,2.09,193331.0,2.1900000000000004,,2.3113813400268555
2011-08-17,2.09,2.12,2.09,2.12,314675.0,2.1,,2.3365659713745117
2011-08-18,2.13,2.13,2.08,2.09,80349.0,2.1,,2.329407215118408
2011-08-19,2.1,2.11,2.07,2.1,57210.0,2.07,,2.287996292114258
2011-08-22,2.05,2.1,2.05,2.09,68461.0,2.1,,2.219076633453369
2011-08-23,2.09,2.09,2.07,2.07,17968.0,2.04,,2.174023151397705
2011-08-24,2.07,2.07,2.06,2.06,33187.0,2.05,,2.1934194564819336
2011-08-25,2.05,2.05,2.03,2.05,206595.0,2.0,,2.204596996307373
2011-08-26,2.05,2.05,2.04,2.04,818223.0,2.01,,2.2081494331359863
2011-08-29,2.06,2.09,2.04,2.05,49054.0,1.98,,2.2116360664367676
2011-08-30,2.06,2.07,2.06,2.07,71000.0,2.01,,2.2212843894958496
2011-08-31,2.07,2.08,2.05,2.08,214850.0,2.07,,2.2234582901000977
2011-09-01,2.05,2.05,2.05,2.05,214850.0,2.1,,2.214353084564209
2011-09-02,2.08,2.08,2.01,2.04,49550.0,2.05,,2.2088756561279297
2011-09-05,2.02,2.05,2.01,2.04,205584.0,2.04,,2.2144012451171875
2011-09-06,2.01,2.01,1.95,1.95,1339315.0,2.03,,2.214003562927246
2011-09-07,1.95,1.95,1.94,1.95,227215.0,1.83,,2.216357469558716
2011-09-08,1.99,2.0,1.99,1.99,44000.0,1.82,,2.228581666946411
2011-09-09,1.93,1.93,1.93,1.93,44000.0,1.93,,2.2464699745178223
2011-09-12,1.95,1.99,1.95,1.99,84000.0,1.82,,2.26096773147583
2011-09-13,1.99,2.06,1.99,2.03,852179.0,1.94,,2.272003173828125
2011-09-14,2.06,2.1,2.03,2.03,339917.0,2.1099999999999994,,2.2795019149780273
2011-09-15,2.09,2.09,2.02,2.07,124393.0,2.1099999999999994,,2.283383846282959
2011-09-16,2.08,2.1,2.07,2.09,63612.0,2.1499999999999995,,2.2835679054260254
2011-09-19,2.09,2.15,2.04,2.13,719840.0,2.25,,2.2799668312072754
2011-09-20,2.09,2.09,2.03,2.03,32500.0,2.27,,2.272490978240967
2011-09-21,2.03,2.05,2.03,2.05,15734.0,2.03,,2.260918617248535
2011-09-22,2.03,2.03,2.01,2.03,121554.0,2.07,,2.240621566772461
2011-09-23,2.02,2.06,2.0,2.05,416604.0,1.99,,2.2143445014953613
