Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
2015-12-18,1.25,1.42,1.25,1.41,,,,0.5003958344459534,,,,,,
2015-12-21,1.7,2.2,1.7,1.94,,,,0.6049419641494751,,,,,,
2015-12-22,1.98,2.0,1.75,1.85,,,,0.7336961030960083,,,,,,
2015-12-23,1.85,1.9,1.8,1.84,,,,0.8892933130264282,,,,,,
2015-12-24,1.85,1.89,1.8,1.87,,,,1.0731899738311768,,,,,,
2015-12-29,1.85,1.85,1.815,1.85,,,,1.285717487335205,,,,,,
2015-12-30,1.85,1.85,1.76,1.79,,2.29,,1.4852726459503174,1.792857142857143,,,,,
2015-12-31,1.76,1.79,1.76,1.79,,1.64,,1.6554346084594729,1.8471428571428572,,,,,
2016-01-04,1.78,1.8,1.76,1.8,,1.73,,1.7765917778015137,1.8271428571428572,,,,,
2016-01-05,1.78,1.78,1.76,1.78,,1.76,,1.8658418655395508,1.8171428571428572,,,,,
2016-01-06,1.85,1.96,1.85,1.885,,1.69,,1.930147171020508,1.8235714285714286,,,,,
2016-01-07,1.905,1.95,1.885,1.9,,1.92,,1.968066692352295,1.827857142857143,,,,,
2016-01-08,1.9,1.9,1.82,1.87,,2.01,,1.9832422733306885,1.8307142857142862,,,,,
2016-01-11,1.87,1.92,1.845,1.89,,1.95,,1.9756290912628172,1.8450000000000004,1.8189285714285717,,,,
2016-01-12,1.91,1.915,1.88,1.89,,1.98,,1.9432687759399412,1.8592857142857149,1.853214285714286,,,,
2016-01-13,1.9,1.92,1.88,1.88,,2.0,,1.8880262374877932,1.870714285714286,1.8489285714285715,,,,
2016-01-14,1.88,1.885,1.85,1.87,,1.875,,1.8458909988403318,1.8835714285714291,1.850357142857143,,,,
2016-01-15,1.9,1.9,1.85,1.855,,1.8400000000000003,,1.836834192276001,1.879285714285715,1.8514285714285716,,,,
2016-01-18,1.855,1.86,1.83,1.84,,1.84,,1.8186967372894287,1.8707142857142862,1.8492857142857144,,,,
2016-01-19,1.83,1.86,1.81,1.81,,1.7900000000000005,,1.7899560928344729,1.8621428571428578,1.8464285714285713,,,,
2016-01-20,1.88,1.89,1.81,1.82,,1.7300000000000002,,1.805800199508667,1.8521428571428575,1.8485714285714285,,,,
2016-01-21,1.815,1.855,1.805,1.85,,1.7600000000000002,,1.818535566329956,1.8464285714285718,1.852857142857143,,,,
2016-01-22,1.9,1.91,1.86,1.89,,1.83,,1.8260462284088133,1.847857142857143,1.8592857142857144,,,,
2016-01-25,1.88,1.9,1.86,1.9,,1.925,,1.8283767700195312,1.8521428571428575,1.8678571428571427,,,,
2016-01-27,1.9,1.99,1.89,1.95,,1.96,,1.8246910572052,1.865714285714286,1.8724999999999998,,,,
2016-01-28,1.98,1.99,1.875,1.89,,2.09,,1.8154630661010744,1.8728571428571432,1.8717857142857142,,,,
2016-01-29,1.9,1.9,1.86,1.9,,1.96,,1.8012478351593018,1.8857142857142861,1.8739285714285712,,,,
2016-02-01,1.9,1.99,1.9,1.94,,1.95,,1.7964937686920166,1.9028571428571432,1.8774999999999997,,,,
2016-02-02,1.93,1.94,1.91,1.91,,1.99,,1.8061299324035645,1.9114285714285717,1.878928571428571,,,,
2016-02-03,1.91,1.95,1.885,1.905,,1.92,1.918,1.8144652843475344,1.9135714285714287,1.8807142857142856,1.8521666666666667,,,
2016-02-04,1.9,1.95,1.9,1.91,,1.86,1.909,1.819683313369751,1.9150000000000003,1.8835714285714285,1.8688333333333336,,,
2016-02-05,1.95,1.95,1.9,1.915,,1.93,1.9125,1.8215370178222656,1.9100000000000001,1.8878571428571427,1.868,,,
2016-02-08,1.93,1.93,1.89,1.925,,1.93,1.913,1.8226938247680664,1.9150000000000003,1.8939285714285712,1.8705,,,
2016-02-09,1.95,1.99,1.92,1.95,,1.91,1.9230000000000005,1.842048168182373,1.9221428571428572,1.9039285714285712,1.8741666666666668,,,
2016-02-10,1.99,2.05,1.98,2.0,,1.99,1.939,1.8600482940673828,1.9307142857142858,1.916785714285714,1.8785,,,
2016-02-11,2.04,2.04,1.97,2.01,,2.095,1.985,1.8767044544219968,1.945,1.9282142857142854,1.8838333333333332,,,
2016-02-12,2.03,2.06,1.99,2.0,,2.1099999999999994,1.995,1.892026424407959,1.9585714285714286,1.9360714285714284,1.8908333333333334,,,
2016-02-15,2.01,2.13,2.01,2.06,,2.085,1.9980000000000002,1.90602445602417,1.9800000000000002,1.9474999999999998,1.8998333333333335,,,
2016-02-16,2.06,2.24,2.06,2.2,,2.1950000000000003,2.032,1.918708324432373,2.0207142857142864,1.9653571428571426,1.913166666666667,,,
2016-02-17,2.25,2.35,2.25,2.28,,2.45,2.147,1.930133581161499,2.071428571428572,1.9932142857142856,1.9298333333333337,,,
2016-02-18,2.3,2.32,2.23,2.24,,2.56,2.226,1.9398853778839111,2.1128571428571434,2.0174999999999996,1.941666666666667,,,
2016-02-19,2.25,2.25,2.2,2.23,,2.4700000000000006,2.248,1.9477601051330569,2.1457142857142864,2.0382142857142855,1.952666666666667,,,
2016-02-22,2.24,2.24,2.16,2.21,,2.46,2.2350000000000003,1.952248334884644,2.174285714285715,2.059642857142857,1.9640000000000006,,,
2016-02-23,2.22,2.22,2.16,2.2,,2.36,2.2250000000000005,1.9523732662200928,2.2028571428571437,2.0807142857142855,1.974333333333334,,,
2016-02-24,2.2,2.2,2.17,2.19,,2.2,2.208,1.9494981765747068,2.2214285714285724,2.1007142857142855,1.984333333333334,,,
2016-02-25,2.19,2.19,2.16,2.17,,2.1,2.1979999999999995,1.9447569847106931,2.217142857142858,2.1189285714285715,1.9940000000000004,,,
2016-02-26,2.15,2.15,2.01,2.06,,2.1,2.1719999999999997,1.9381511211395264,2.1857142857142864,2.1285714285714286,2.000333333333334,,,
2016-02-29,2.05,2.06,1.86,1.88,,1.89,2.1150000000000007,1.9296827316284182,2.1342857142857152,2.123571428571428,2.0011666666666676,,,
2016-03-01,1.9,2.03,1.9,1.97,,1.5499999999999998,1.916,1.9193565845489504,2.0971428571428583,2.121428571428571,2.0055000000000005,,,
2016-03-02,2.01,2.08,1.99,2.0,,1.7399999999999998,1.9609999999999999,1.9071781635284424,2.067142857142858,2.1207142857142856,2.011833333333334,,,
2016-03-03,2.0,2.05,1.99,2.0,,1.81,2.003,1.893154859542847,2.0385714285714296,2.1207142857142856,2.017833333333334,,,
2016-03-04,2.01,2.04,2.01,2.03,,1.83,2.0,1.877295017242432,2.015714285714287,2.1185714285714288,2.023833333333334,,,
2016-03-07,2.04,2.04,1.99,1.99,,2.0,2.021,1.8596093654632568,1.9900000000000013,2.1035714285714286,2.0271666666666674,,,
2016-03-08,1.98,1.98,1.88,1.895,,2.1,2.0069999999999997,1.8485238552093504,1.9664285714285725,2.0760714285714283,2.0270000000000006,,,
2016-03-09,1.91,1.94,1.91,1.94,,1.82,1.9045,1.8423550128936768,1.975000000000001,2.054642857142857,2.0266666666666673,,,
2016-03-10,1.94,1.94,1.86,1.86,,1.88,1.927,1.8496789932250977,1.959285714285715,2.0282142857142857,2.0256666666666674,,,
2016-03-11,1.91,1.97,1.9,1.95,,1.7200000000000002,1.8715,1.8562667369842532,1.9521428571428578,2.009642857142857,2.027333333333334,,,
2016-03-14,1.97,1.99,1.935,1.97,,1.87,1.8995,1.862114429473877,1.9478571428571436,1.9932142857142856,2.028333333333334,,,
2016-03-15,1.985,1.985,1.95,1.95,,1.95,1.957,1.8672220706939695,1.936428571428572,1.9760714285714283,2.029666666666668,,,
2016-03-16,1.95,1.95,1.93,1.95,,2.005,1.949,1.8715867996215818,1.9307142857142863,1.9603571428571425,2.031166666666668,1.9416666666666667,,
2016-03-17,1.94,1.98,1.91,1.96,,1.96,1.9409999999999998,1.87520694732666,1.9400000000000008,1.9532142857142853,2.0328333333333344,1.9508333333333332,,
2016-03-18,1.97,2.0,1.97,2.0,,2.06,1.9450000000000005,1.8780817985534668,1.9485714285714295,1.961785714285714,2.035666666666668,1.9518333333333333,,
2016-03-21,2.0,2.01,1.96,1.96,,2.05,1.9810000000000003,1.8802094459533687,1.9628571428571437,1.9610714285714284,2.036833333333335,1.9536666666666667,,
2016-03-22,1.96,2.0,1.96,1.97,,1.95,1.9680000000000004,1.889091968536377,1.9657142857142866,1.9589285714285711,2.037500000000001,1.9558333333333333,,
2016-03-23,1.98,1.98,1.95,1.98,,1.99,1.9680000000000004,1.9017183780670168,1.9671428571428582,1.9574999999999998,2.0368333333333344,1.9576666666666667,,
2016-03-24,1.96,2.06,1.95,2.02,,2.01,1.9770000000000003,1.9171836376190183,1.9771428571428582,1.956785714285714,2.037166666666668,1.9605,,
2016-03-29,2.05,2.12,2.04,2.12,,2.08,1.998,1.933257818222046,2.0014285714285727,1.9660714285714285,2.0411666666666677,1.966,,
2016-03-30,2.14,2.29,2.14,2.29,,2.24,2.0960000000000005,1.9489383697509768,2.0485714285714294,1.9942857142857142,2.0488333333333344,1.9743333333333333,,
2016-03-31,2.29,2.34,2.27,2.33,,2.62,2.1740000000000004,1.964211225509644,2.095714285714287,2.0221428571428572,2.0531666666666677,1.9831666666666665,,
2016-04-01,2.32,2.44,2.31,2.44,,2.6900000000000004,2.305,1.973926544189453,2.1642857142857155,2.0635714285714286,2.058500000000001,1.9941666666666664,,
2016-04-04,2.49,2.5,2.42,2.46,,2.9,2.403,1.980191946029663,2.2342857142857158,2.1,2.065833333333334,2.0037499999999997,,
2016-04-05,2.45,2.45,2.26,2.31,,2.9,2.4090000000000003,1.9859473705291748,2.281428571428573,2.1242857142857146,2.0685000000000007,2.010583333333333,,
