Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF
2016-11-08,4.01,4.02,3.96,3.96,,,
2016-11-09,3.97,3.98,3.82,3.97,,,
2016-11-10,3.97,3.99,3.88,3.89,,,
2016-11-11,3.9,3.9,3.8,3.84,,,
2016-11-14,3.84,3.86,3.82,3.86,,,
2016-11-15,3.86,3.86,3.8,3.84,,,
2016-11-16,3.86,3.86,3.73,3.76,,3.72,
2016-11-17,3.75,3.8,3.6,3.63,,3.5499999999999994,
2016-11-18,3.64,3.72,3.64,3.7,,3.37,
2016-11-21,3.7,3.74,3.65,3.67,,3.5600000000000005,
2016-11-22,3.69,3.7,3.66,3.67,,3.48,
2016-11-23,3.66,3.77,3.66,3.68,,3.5,
2016-11-24,3.68,3.7,3.67,3.67,,3.6000000000000005,
2016-11-25,3.69,3.7,3.68,3.68,,3.71,
2016-11-28,3.7,3.71,3.68,3.68,,3.66,
2016-11-29,3.7,3.8,3.69,3.7,,3.69,
2016-11-30,3.72,3.87,3.72,3.8,,3.73,
2016-12-01,3.85,3.85,3.76,3.83,,3.92,3.757999999999999
2016-12-02,3.85,3.85,3.79,3.81,,3.99,3.807999999999999
2016-12-05,3.8,3.88,3.8,3.85,,3.94,3.8019999999999996
2016-12-06,3.875,3.93,3.85,3.91,,4.02,3.8309999999999995
2016-12-07,3.9,3.93,3.87,3.92,,4.12,3.8760000000000003
2016-12-08,3.89,3.96,3.89,3.95,,4.04,3.9180000000000006
2016-12-09,3.93,3.96,3.9,3.93,,4.07,3.9379999999999997
2016-12-12,3.92,3.94,3.9,3.9,,4.050000000000002,3.933
2016-12-13,3.9,3.91,3.89,3.9,,3.95,3.915
2016-12-14,3.89,3.92,3.87,3.9,,3.89,3.9029999999999996
2016-12-15,3.88,3.93,3.87,3.93,,3.88,3.8999999999999995
2016-12-16,3.93,4.06,3.89,4.06,,3.91,3.918
2016-12-19,4.04,4.04,3.92,4.0,,4.19,4.005
2016-12-20,3.99,3.99,3.9,3.97,,4.1,3.995
2016-12-21,3.97,4.01,3.96,3.98,,4.040000000000001,3.978
2016-12-22,3.99,4.0,3.95,4.0,,4.0600000000000005,3.9799999999999995
2016-12-23,4.0,4.0,3.98,4.0,,4.07,3.996
2016-12-28,4.0,4.01,3.98,4.01,,3.94,3.998
2016-12-29,4.0,4.0,3.96,3.96,,4.02,4.007
2016-12-30,3.96,4.03,3.96,4.01,,3.95,3.9829999999999997
2017-01-03,4.0,4.03,3.98,4.01,,4.039999999999999,3.9939999999999998
2017-01-04,4.01,4.01,3.99,4.0,,4.02,3.999999999999999
2017-01-05,4.0,4.0,3.98,3.99,,4.0,3.9979999999999998
2017-01-06,3.98,4.0,3.98,3.99,,3.9700000000000006,3.996
2017-01-09,3.98,4.0,3.96,3.98,,4.0200000000000005,3.992000000000001
2017-01-10,3.99,3.99,3.96,3.99,,3.95,3.9809999999999994
2017-01-11,3.98,4.0,3.96,3.99,,3.9700000000000006,3.9859999999999998
2017-01-12,3.99,4.0,3.97,3.97,,3.98,3.988000000000001
2017-01-13,3.98,3.99,3.96,3.99,,3.95,3.9770000000000003
