Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM
1999-03-22,10.2,10.6,10.2,10.6,40637.0,,,0.580348551273346
1999-03-23,10.635,12.0,10.635,11.849,35113.0,,,0.6588435173034668
1999-03-24,11.65,11.65,10.9,11.0,107810.0,,,0.773495614528656
1999-03-25,11.0,11.2,11.0,11.0,80824.0,,,0.9218212366104126
1999-03-26,11.1,11.1,11.0,11.0,93399.0,,,1.097817301750183
1999-03-29,11.044,11.1,11.0,11.01,65846.0,,,1.2692114114761353
1999-03-30,11.1,11.1,11.02,11.1,71273.0,11.42,,1.3801958560943604
1999-03-31,11.08,11.15,11.08,11.15,3376383.0,10.350999999999999,,1.46902596950531
1999-04-01,11.15,11.3,11.15,11.3,63118.0,11.3,,1.5570485591888428
1999-04-06,11.399000000000001,11.45,11.35,11.35,11702.0,11.6,,1.6441943645477295
1999-04-07,11.364,11.364,11.2,11.35,259804.0,11.7,,1.7304085493087769
1999-04-08,11.4,11.4,11.25,11.35,105883.0,11.69,,1.815664291381836
1999-04-09,11.35,11.36,11.2,11.2,11736.0,11.6,,1.9000509977340698
1999-04-12,11.34,11.34,11.1,11.1,66733.0,11.249999999999998,,1.9835854768753052
1999-04-13,11.1,11.1,11.02,11.05,25224.0,10.9,,2.0661745071411133
1999-04-14,11.05,11.1,11.01,11.01,48914.0,10.750000000000002,,2.1477749347686768
1999-04-15,11.0,11.0,10.8,10.8,38372.0,10.67,,2.228287696838379
1999-04-16,10.780999999999999,10.780999999999999,10.35,10.6,70754.0,10.250000000000002,,2.307736873626709
1999-04-19,10.55,10.8,10.55,10.8,22835.0,10.0,,2.38618803024292
1999-04-20,10.81,11.01,10.81,11.0,60862.0,10.500000000000002,,2.4619736671447754
1999-04-21,11.05,11.5,11.05,11.5,326894.0,10.95,,2.5363287925720215
1999-04-22,11.5,11.66,11.5,11.66,197583.0,11.99,,2.609829902648926
1999-04-23,11.75,11.95,11.75,11.95,38451.0,12.52,,2.6824593544006348
1999-04-26,11.911,11.95,11.85,11.95,143048.0,13.3,,2.7544963359832764
1999-04-27,11.991,11.991,11.75,11.8,35997.0,13.099999999999998,,2.825604200363159
1999-04-28,11.898,11.9,11.7,11.7,17959.0,12.6,,2.895716905593872
1999-04-29,11.8,11.8,11.6,11.65,72850.0,11.9,,2.9650795459747314
1999-04-30,11.65,11.73,11.65,11.65,117075.0,11.64,,3.0342953205108643
1999-05-03,11.65,11.7,11.6,11.6,147374.0,11.35,,3.102530002593994
1999-05-04,11.7,11.7,11.55,11.6,196106.0,11.25,,3.169783592224121
1999-05-05,11.581,11.6,11.5,11.55,105084.0,11.4,,3.235774278640747
1999-05-06,11.5,11.62,11.5,11.55,75754.0,11.400000000000002,,3.3001291751861572
1999-05-07,11.707,11.707,11.56,11.7,26097.0,11.45,,3.363433361053467
1999-05-10,11.69,11.69,11.5,11.6,14676.0,11.749999999999998,,3.425687074661255
1999-05-11,11.6,11.6,11.45,11.45,123921.0,11.6,,3.486889600753784
1999-05-12,11.6,11.6,11.35,11.4,89031.0,11.3,,3.5470407009124756
1999-05-13,11.4,11.4,11.004000000000001,11.004000000000001,994836.0,11.25,,3.60605788230896
1999-05-14,10.9,10.95,10.9,10.9,39723.0,10.458000000000002,,3.6639389991760254
1999-05-17,10.85,10.94,10.85,10.9,49585.0,10.1,,3.7207164764404297
1999-05-18,11.0,11.3,11.0,11.05,23192.0,10.2,,3.7764506340026855
1999-05-19,11.059000000000001,11.16,11.0,11.0,106194.0,10.650000000000002,,3.831143856048584
1999-05-20,11.1,11.2,11.09,11.09,38948.0,10.6,,3.8847711086273193
1999-05-21,11.08,11.2,11.01,11.01,39467.0,11.175999999999998,,3.937337875366211
1999-05-24,11.005,11.1,11.0,11.0,155474.0,11.12,,3.988861322402954
1999-05-25,11.0,11.25,11.0,11.25,35866.0,11.1,,4.039340019226074
1999-05-26,11.25,11.25,11.1,11.11,12112.0,11.45,,4.091750144958496
1999-05-27,11.15,11.15,11.0,11.0,20131.0,11.22,,4.1499505043029785
1999-05-28,10.999,11.75,10.999,11.55,14062.0,10.91,,4.207362174987793
1999-05-31,11.65,11.7,11.55,11.7,48360.0,12.090000000000002,,4.263982772827148
1999-06-01,11.75,11.75,11.5,11.5,35260.0,12.4,,4.319810390472412
1999-06-02,11.4,11.5,11.3,11.5,32996.0,11.75,,4.374843597412109
1999-06-03,11.45,11.7,11.45,11.7,48760.0,11.89,,4.429084300994873
1999-06-04,11.8,12.05,11.8,12.01,29818.0,12.4,,4.48253059387207
1999-06-07,12.2,12.4,12.2,12.4,17719.0,12.47,,4.535183429718018
1999-06-08,12.5,13.0,12.4,12.4,66753.0,13.1,,4.587043285369873
1999-06-09,12.4,12.4,12.32,12.4,17056.0,13.3,,4.6381096839904785
1999-06-10,12.4,12.4,12.3,12.35,137006.0,13.3,,4.688382148742676
1999-06-11,12.35,12.35,12.2,12.2,1265307.0,13.0,,4.737861156463623
1999-06-15,12.1,12.1,11.95,12.07,12385.0,12.39,,4.786546230316162
1999-06-16,12.2,12.2,12.14,12.18,35130.0,11.74,,4.834438800811768
1999-06-17,12.182,12.19,12.14,12.19,65177.0,11.96,,4.881537437438965
1999-06-18,12.19,12.19,12.0,12.0,30764.0,11.98,,4.927842617034912
