Date,Open,High,Low,Close,Volume,ML_RF,tech_per_change,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
1999-03-22,13.12,13.9,13.12,13.8,270205.0,,,1.418081283569336,,,,,,
1999-03-23,13.89,14.5,13.89,14.12,284080.0,,,1.8781602382659912,,,,,,
1999-03-24,14.0,14.02,13.7,14.0,149458.0,,,2.544483423233032,,,,,,
1999-03-25,14.0,14.0,13.35,13.7,138005.0,,,3.356076955795288,,,,,,
1999-03-26,13.818,13.818,13.6,13.7,116440.0,,,4.085449695587158,,,,,,
1999-03-29,13.6,13.6,13.1,13.45,286007.0,,,4.764261722564697,,,,,,
1999-03-30,13.459,13.7,13.1,13.7,122576.0,,13.099999999999998,5.376811981201172,13.781428571428574,,,,,
1999-03-31,13.7,13.7,13.6,13.7,121762.0,,13.28,5.876953601837157,13.76714285714286,,,,,
1999-04-01,13.605,14.5,13.605,14.1,270849.0,,13.4,6.383034706115723,13.764285714285716,,,,,
1999-04-06,14.5,15.1,14.5,15.0,498118.0,,14.5,6.8906192779541025,13.907142857142858,,,,,
1999-04-07,15.244000000000002,16.6,15.244000000000002,16.152,353418.0,,16.3,7.376831531524657,14.257428571428573,,,,,
1999-04-08,16.4,16.5,15.65,15.95,445814.0,,18.854000000000006,7.840211868286133,14.578857142857144,,,,,
1999-04-09,16.0,16.1,15.64,15.755,302239.0,,18.2,8.252710342407228,14.908142857142858,,,,,
1999-04-12,15.6,15.7,15.35,15.66,216490.0,,17.810000000000006,8.647189140319824,15.188142857142855,14.484785714285715,,,,
1999-04-13,15.75,16.0,15.75,15.8,203174.0,,17.22,9.031163215637207,15.488142857142856,14.627642857142858,,,,
1999-04-14,16.15,16.572,15.85,16.572,392321.0,,16.6,9.406315803527832,15.841285714285714,14.802785714285715,,,,
1999-04-15,16.607,17.1,16.6,16.8,383408.0,,16.991999999999994,9.772098541259766,16.09842857142857,15.002785714285716,,,,
1999-04-16,16.85,17.1,15.7,15.998,168448.0,,17.650000000000006,10.128510475158693,16.07642857142857,15.166928571428572,,,,
1999-04-19,16.0,16.0,15.015999999999998,15.015999999999998,84663.0,,16.241,10.47555160522461,15.942999999999998,15.260928571428574,,,,
1999-04-20,14.753,14.753,13.4,14.5,678111.0,,14.371999999999995,10.813225746154783,15.763714285714284,15.335928571428573,,,,
1999-04-21,14.91,15.61,14.9,15.5,298614.0,,13.2,11.14153003692627,15.740857142857141,15.464500000000003,,,,
1999-04-22,15.85,16.49,15.85,15.9,194954.0,,14.427999999999999,11.460469245910645,15.755142857142857,15.621642857142861,,,,
1999-04-23,16.209,16.5,16.209,16.4,417903.0,,15.0,11.770041465759276,15.730571428571428,15.785928571428576,,,,
1999-04-26,16.3,16.49,15.95,16.49,32670.0,,16.802,12.070249557495115,15.686285714285715,15.892357142857149,,,,
1999-04-27,16.5,16.5,16.13,16.15,82075.0,,17.964000000000006,12.361090660095215,15.708,15.892214285714292,,,,
1999-04-28,16.144000000000002,16.15,15.85,16.018,59792.0,,17.799999999999994,12.64282512664795,15.851142857142857,15.897071428571437,,,,
1999-04-29,16.01,16.01,15.8,15.8,103440.0,,16.535999999999998,12.915570259094238,16.03685714285714,15.900285714285724,,,,
1999-04-30,15.909,15.95,15.59,15.6,65164.0,,15.7,13.178979873657227,16.051142857142857,15.89600000000001,,,,
1999-05-03,15.6,16.1,15.6,15.8,1209146.0,,14.8,13.433048248291016,16.03685714285714,15.89600000000001,,,,
1999-05-04,16.0,16.1,15.8,16.0,303355.0,,15.110000000000005,13.677966117858887,15.979714285714282,15.855142857142866,15.237700000000002,,,
1999-05-05,15.890999999999998,15.95,15.45,15.55,76887.0,,15.85,13.913631439208984,15.845428571428569,15.765857142857152,15.296033333333336,,,
1999-05-06,15.8,15.8,15.45,15.55,82720.0,,15.082,14.13996410369873,15.759714285714283,15.733857142857152,15.343700000000004,,,
1999-05-07,15.5,15.5,14.9,14.9,106752.0,,15.3,14.356962203979492,15.599999999999998,15.72557142857144,15.373700000000003,,,
1999-05-10,15.05,15.1,14.64,14.65,66104.0,,14.2,14.564621925354006,15.435714285714285,15.736285714285726,15.40536666666667,,,
1999-05-11,14.65,14.65,14.0,14.2,93618.0,,13.5,14.762944221496582,15.235714285714286,15.643428571428583,15.422033333333335,,,
1999-05-12,14.306,14.7,14.306,14.58,132407.0,,12.4,14.951923370361328,15.061428571428573,15.549142857142868,15.459700000000002,,,
1999-05-13,14.6,14.6,14.3,14.5,188443.0,,13.61,15.131155014038086,14.847142857142858,15.413428571428582,15.486366666666669,,,
1999-05-14,14.75,14.75,14.65,14.65,62710.0,,13.45,15.298847198486328,14.718571428571432,15.28200000000001,15.518033333333335,,,
