Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
1999-03-22,13.644,13.79,13.55,13.74,91469.0,,,-0.22442279756069186,,,,,,
1999-03-23,13.75,13.75,13.2,13.2,109038.0,,,-0.22202184796333316,,,,,,
1999-03-24,13.267,13.267,12.95,12.95,74525.0,,,-0.21896496415138245,,,,,,
1999-03-25,13.0,13.2,13.0,13.18,192209.0,,,-0.21520476043224332,,,,,,
1999-03-26,13.2,13.3,13.2,13.25,154764.0,,,-0.20884732902050016,,,,,,
1999-03-29,13.3,13.4,13.05,13.4,276638.0,,,-0.19107192754745486,,,,,,
1999-03-30,13.392,13.392,13.0,13.2,929773.0,13.06,,-0.1713561713695526,13.274285714285714,,,,,
1999-03-31,13.1,13.2,13.1,13.13,236515.0,13.2,,-0.1521260142326355,13.187142857142858,,,,,
1999-04-01,13.106,13.11,13.0,13.0,177939.0,13.310000000000002,,-0.1345841884613037,13.15857142857143,,,,,
1999-04-06,13.0,13.0,12.68,12.7,607732.0,12.82,,-0.11591574549674988,13.122857142857143,,,,,
1999-04-07,12.7,12.7,12.47,12.5,492997.0,12.15,,-0.09680010378360747,13.025714285714287,,,,,
1999-04-08,12.52,12.52,12.39,12.4,249871.0,11.6,,-0.07586108148097992,12.904285714285717,,,,,
1999-04-09,12.45,12.6,12.217,12.217,292605.0,11.6,,-0.05422520637512207,12.735285714285714,,,,,
1999-04-12,12.0,12.15,11.8,12.15,499121.0,11.304,,-0.03391452133655548,12.585285714285716,12.929785714285716,,,,
1999-04-13,12.25,12.77,12.25,12.6,197588.0,11.3,,-0.014200150966644287,12.50957142857143,12.848357142857143,,,,
1999-04-14,12.7,13.5,12.56,13.5,166171.0,12.5,,0.007027104496955872,12.581000000000001,12.869785714285715,,,,
1999-04-15,13.3,13.3,12.7,12.99,64500.0,14.5,,0.031221807003021237,12.622428571428571,12.87264285714286,,,,
