Date,Open,High,Low,Close,Volume,ML_RF,tech_per_change,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
1999-03-22,3.78,3.78,3.74,3.75,940414.0,,,0.390644907951355,,,,,,
1999-03-23,3.77,3.86,3.77,3.86,166410.0,,,0.8280919194221497,,,,,,
1999-03-24,3.8,3.86,3.77,3.8,764377.0,,,1.3743183612823486,,,,,,
1999-03-25,3.8,3.85,3.8,3.85,154235.0,,,1.7808890342712402,,,,,,
1999-03-26,3.86,3.87,3.82,3.82,228683.0,,,2.161233901977539,,,,,,
1999-03-29,3.85,3.87,3.82,3.855,667279.0,,,2.5010645389556885,,,,,,
1999-03-30,3.86,3.88,3.86,3.86,618550.0,,3.96,2.7953805923461914,3.8278571428571424,,,,,
1999-03-31,3.843,3.88,3.83,3.861,206756.0,,3.86,3.0708620548248287,3.8437142857142854,,,,,
1999-04-01,3.843,3.88,3.84,3.87,196620.0,,3.9220000000000006,3.306446313858032,3.845142857142857,,,,,
1999-04-06,3.9,4.0,3.9,4.0,343204.0,,3.89,3.519114255905152,3.8737142857142857,,,,,
1999-04-07,3.98,3.99,3.9,3.93,194453.0,,4.18,3.7104613780975337,3.885142857142857,,,,,
1999-04-08,3.93,3.95,3.93,3.94,237335.0,,4.005000000000001,3.879670381546021,3.902285714285714,,,,,
1999-04-09,3.94,3.94,3.85,3.85,107625.0,,4.02,4.028110980987549,3.9015714285714287,,,,,
1999-04-12,3.884,3.9,3.84,3.87,150965.0,,3.839,4.155650615692139,3.903,3.8654285714285708,,,,
1999-04-13,3.88,3.9,3.85,3.86,922318.0,,3.87,4.261775016784668,3.902857142857143,3.8732857142857138,,,,
1999-04-14,3.852,3.88,3.83,3.87,271029.0,,3.72,4.345122814178467,3.902857142857143,3.873999999999999,,,,
1999-04-15,3.85,3.94,3.83,3.94,137182.0,,3.81,4.403139591217041,3.8942857142857146,3.8839999999999995,,,,
1999-04-16,3.97,3.995,3.87,3.995,171827.0,,3.94,4.440385341644287,3.903571428571429,3.894357142857142,,,,
1999-04-19,3.99,4.02,3.97,4.02,421282.0,,4.1400000000000015,4.456864833831787,3.915,3.9086428571428558,,,,
1999-04-20,4.01,4.02,3.99,3.99,696300.0,,4.169999999999999,4.452585697174072,3.935,3.9182857142857133,,,,
1999-04-21,3.99,4.02,3.96,3.99,320770.0,,4.120000000000001,4.427554130554199,3.9521428571428574,3.927571428571428,,,,
1999-04-22,3.99,4.05,3.97,4.04,110405.0,,4.11,4.423741817474365,3.977857142857143,3.9403571428571422,,,,
1999-04-23,4.02,4.02,3.92,3.951,79212.0,,4.1400000000000015,4.414391994476318,3.9894285714285718,3.9461428571428567,,,,
1999-04-26,3.964,4.0,3.92,3.98,9746.0,,3.907,4.388970375061035,3.995142857142857,3.944714285714285,,,,
1999-04-27,3.99,4.0,3.95,4.0,152450.0,,3.94,4.347482204437257,3.995857142857143,3.9497142857142853,,,,
1999-04-28,4.0,4.02,3.99,4.01,216532.0,,4.01,4.3218369483947745,3.9944285714285717,3.954714285714285,,,,
1999-04-29,4.004,4.01,3.99,4.0,166190.0,,4.0299999999999985,4.324058532714844,3.9958571428571434,3.965428571428571,,,,
1999-04-30,4.0,4.02,3.99,3.99,177663.0,,3.96,4.3157291412353525,3.9958571428571434,3.9739999999999998,,,,
1999-05-03,4.0,4.0,3.96,3.98,307008.0,,4.029,4.296821117401123,3.987285714285715,3.982571428571428,,,,
1999-05-04,4.0,4.01,3.98,4.0,217648.0,,3.98,4.287749290466309,3.994285714285715,3.9918571428571425,3.9243999999999994,,,
1999-05-05,4.0,4.03,3.99,4.03,149365.0,,4.0,4.3211889266967765,4.001428571428572,3.998285714285714,3.933733333333333,,,
1999-05-06,4.0,4.05,3.98,4.05,279498.0,,4.050000000000002,4.348673343658446,4.008571428571429,4.0022142857142855,3.940066666666666,,,
1999-05-07,4.006,4.01,3.98,4.0,139695.0,,4.1,4.370208263397217,4.007142857142858,4.000785714285714,3.946733333333333,,,
