Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF
1999-03-22,,,,0.84,,,
1999-03-23,,,,0.84,,,
1999-03-24,,,,0.85,,,
1999-03-25,,,,0.85,,,
1999-03-26,0.86,0.86,0.86,0.86,1000.0,,
1999-03-29,0.86,0.86,0.86,0.85,1000.0,,
1999-03-30,0.88,0.88,0.88,0.88,5462.0,0.86,
1999-03-31,0.88,0.88,0.88,0.85,5462.0,0.92,
1999-04-01,0.88,0.88,0.88,0.85,5462.0,0.85,
1999-04-06,0.88,0.88,0.88,0.86,5462.0,0.85,
1999-04-07,0.88,0.88,0.88,0.88,15538.0,0.86,
1999-04-08,0.88,0.88,0.88,0.88,3000.0,0.91,
1999-04-09,0.88,0.88,0.88,0.86,3000.0,0.88,
1999-04-12,0.88,0.88,0.88,0.88,15000.0,0.87,
1999-04-13,0.88,0.88,0.87,0.88,25000.0,0.91,
1999-04-14,0.88,0.88,0.87,0.86,25000.0,0.9,
1999-04-15,0.88,0.88,0.87,0.86,25000.0,0.84,
1999-04-16,0.88,0.88,0.88,0.88,8000.0,0.84,
1999-04-19,0.86,0.86,0.86,0.86,20000.0,0.9,
1999-04-20,0.86,0.86,0.86,0.85,20000.0,0.84,
1999-04-21,0.85,0.85,0.85,0.85,7000.0,0.82,
1999-04-22,0.85,0.85,0.85,0.85,12000.0,0.84,
1999-04-23,0.85,0.85,0.85,0.85,1000.0,0.84,
1999-04-26,0.85,0.85,0.85,0.84,1000.0,0.82,
1999-04-27,0.88,0.88,0.86,0.88,26666.0,0.82,
1999-04-28,0.88,0.88,0.86,0.88,26666.0,0.91,
1999-04-29,0.88,0.88,0.88,0.88,334.0,0.91,
1999-04-30,0.88,0.9,0.88,0.9,5250.0,0.91,
1999-05-03,0.88,0.9,0.88,0.83,5250.0,0.95,
1999-05-04,0.88,0.9,0.88,0.83,5250.0,0.82,
1999-05-05,0.88,0.88,0.88,0.88,3000.0,0.7799999999999999,
1999-05-06,0.88,0.88,0.88,0.83,3000.0,0.88,
1999-05-07,0.83,0.83,0.83,0.83,9700.0,0.7799999999999999,
1999-05-10,0.83,0.83,0.83,0.83,9700.0,0.7599999999999999,
1999-05-11,0.87,0.87,0.87,0.87,2000.0,0.83,
1999-05-12,0.83,0.87,0.83,0.87,7307.0,0.91,
1999-05-13,0.83,0.87,0.83,0.87,7307.0,0.86,
1999-05-14,0.88,0.9,0.88,0.9,26831.0,0.91,
