Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
2016-02-04,3.92,4.09,3.86,4.0,,,,0.42550933361053467,,,,,,
2016-02-05,4.0,4.21,3.99,4.16,,,,0.5536546111106873,,,,,,
2016-02-08,4.08,4.16,3.98,4.04,,,,0.7126913666725159,,,,,,
2016-02-09,3.96,4.03,3.91,4.0,,,,0.9065839648246764,,,,,,
2016-02-10,3.9,3.99,3.73,3.91,,,,1.1392042636871338,,,,,,
2016-02-11,3.8,3.86,3.8,3.8,,,,1.4140043258666992,,,,,,
2016-02-12,3.6,3.73,3.5,3.68,,3.6,,1.7180464267730713,3.9414285714285713,,,,,
2016-02-15,3.71,3.81,3.66,3.68,,3.2,,2.0155792236328125,3.8957142857142855,,,,,
2016-02-16,3.66,3.8,3.65,3.76,,3.3200000000000003,,2.285702705383301,3.8385714285714285,,,,,
2016-02-17,3.71,3.75,3.7,3.74,,3.52,,2.5411911010742188,3.795714285714286,,,,,
2016-02-18,3.7,3.74,3.7,3.72,,3.5700000000000003,,2.7966339588165283,3.755714285714286,,,,,
2016-02-19,3.7,3.72,3.69,3.71,,3.640000000000001,,3.02026104927063,3.7271428571428573,,,,,
2016-02-22,3.6,3.66,3.56,3.61,,3.74,,3.2273757457733154,3.6999999999999997,,,,,
2016-02-23,3.53,3.64,3.53,3.61,,3.54,,3.408496856689453,3.69,3.815714285714286,,,,
2016-02-24,3.55,3.61,3.55,3.58,,3.46,,3.565370321273804,3.6757142857142853,3.7857142857142856,,,,
2016-02-25,3.58,3.65,3.58,3.64,,3.42,,3.69507360458374,3.6585714285714284,3.7485714285714287,,,,
2016-02-26,3.61,3.66,3.61,3.64,,3.56,,3.7959952354431152,3.644285714285714,3.72,,,,
2016-02-29,3.68,3.69,3.615,3.63,,3.5700000000000003,,3.874667406082153,3.6314285714285712,3.693571428571429,,,,
2016-03-01,3.6,3.67,3.6,3.66,,3.65,,3.930646181106568,3.624285714285714,3.675714285714286,,,,
2016-03-02,3.65,3.77,3.65,3.76,,3.71,,3.9637939929962163,3.645714285714285,3.6728571428571435,,,,
2016-03-03,3.8,3.84,3.76,3.82,,3.94,,3.974272966384888,3.6757142857142853,3.6828571428571437,,,,
2016-03-04,3.8,3.98,3.8,3.92,,4.0,,3.962552785873413,3.724285714285714,3.7000000000000006,,,,
2016-03-07,3.9,4.02,3.89,4.0,,4.199999999999998,,3.9298267364501953,3.775714285714286,3.717142857142858,,,,
2016-03-08,3.95,3.98,3.81,3.84,,4.37,,3.8790977001190186,3.8042857142857143,3.7242857142857146,,,,
2016-03-09,3.76,3.95,3.76,3.95,,4.02,,3.816091775894165,3.85,3.7407142857142865,,,,
2016-03-10,3.88,3.98,3.88,3.98,,4.1400000000000015,,3.740384340286255,3.8957142857142855,3.7600000000000007,,,,
2016-03-11,3.94,3.96,3.89,3.95,,4.1400000000000015,,3.717934846878052,3.922857142857143,3.784285714285715,,,,
2016-03-14,3.9,3.98,3.89,3.98,,3.98,3.964999999999999,3.7429022789001465,3.9457142857142857,3.8107142857142864,,,,
2016-03-15,3.93,3.96,3.9,3.92,,3.96,3.967999999999999,3.758610010147095,3.9457142857142853,3.835000000000001,,,,
2016-03-16,3.89,3.97,3.88,3.94,,4.0,3.9410000000000003,3.765166521072388,3.937142857142857,3.856428571428572,3.821,,,
2016-03-17,3.92,4.0,3.9,3.99,,3.93,3.9410000000000003,3.7670285701751713,3.958571428571428,3.881428571428572,3.820666666666667,,,
2016-03-18,3.94,4.03,3.94,4.0,,4.0,3.977,3.7657060623168954,3.9657142857142853,3.9078571428571434,3.8153333333333337,,,
2016-03-21,3.95,4.0,3.94,3.97,,4.05,3.992,3.7558014392852783,3.964285714285714,3.9300000000000006,3.813,,,
2016-03-22,3.98,4.02,3.98,4.01,,3.96,3.976,3.73748517036438,3.972857142857143,3.9478571428571434,3.8133333333333335,,,
2016-03-23,3.94,3.98,3.91,3.96,,4.1,3.996999999999999,3.7109584808349614,3.9699999999999998,3.9578571428571436,3.815,,,
2016-03-24,3.92,3.96,3.92,3.96,,3.98,3.975,3.695827007293701,3.9757142857142855,3.9607142857142863,3.820333333333333,,,
2016-03-29,3.9,3.95,3.89,3.92,,3.93,3.97,3.736069917678833,3.972857142857143,3.955000000000001,3.828333333333333,,,
2016-03-30,3.93,3.96,3.91,3.92,,3.84,3.9410000000000003,3.780999660491944,3.962857142857142,3.9607142857142867,3.836333333333333,,,
2016-03-31,3.92,3.97,3.92,3.94,,3.87,3.928000000000001,3.8222560882568364,3.9542857142857137,3.960000000000001,3.842333333333333,,,
2016-04-01,3.91,3.93,3.91,3.92,,3.87,3.938,3.856918811798096,3.9471428571428566,3.955714285714287,3.848333333333333,,,
2016-04-04,3.92,3.93,3.89,3.91,,3.88,3.928,3.88745641708374,3.932857142857142,3.952857142857144,3.8546666666666662,,,
2016-04-05,3.89,3.985,3.86,3.95,,3.86,3.92,3.914130210876465,3.93142857142857,3.9507142857142874,3.8626666666666667,,,
2016-04-06,3.9,4.01,3.89,3.99,,3.98,3.9470000000000014,3.936946630477905,3.935714285714284,3.9557142857142873,3.875333333333333,,,
2016-04-07,3.97,3.99,3.94,3.98,,4.0600000000000005,3.9670000000000014,3.9559173583984375,3.944285714285713,3.9585714285714304,3.8876666666666666,,,
2016-04-08,3.94,4.0,3.92,3.98,,4.02,3.976,3.9799072742462163,3.952857142857142,3.957857142857144,3.9010000000000002,,,
2016-04-11,3.92,3.98,3.92,3.97,,4.04,3.978,4.021390914916991,3.957142857142856,3.955714285714287,3.912,,,
2016-04-12,3.93,3.94,3.91,3.91,,4.03,3.970999999999999,4.066059112548828,3.955714285714284,3.951428571428573,3.921,,,
2016-04-13,3.91,3.98,3.9,3.98,,3.87,3.94,4.108067989349365,3.9657142857142844,3.9492857142857156,3.932666666666667,,,
2016-04-14,3.96,4.0,3.93,4.0,,3.97,3.966,4.1473913192749015,3.9728571428571415,3.9521428571428587,3.9440000000000004,,,
2016-04-15,4.0,4.2,3.99,4.18,,4.02,3.987000000000001,4.184004783630371,3.999999999999999,3.9678571428571443,3.9579999999999997,,,
2016-04-18,4.14,4.3,4.14,4.29,,4.379999999999999,4.135,4.217889308929443,4.044285714285713,3.9942857142857155,3.973666666666667,,,
2016-04-19,4.26,4.37,4.21,4.35,,4.6099999999999985,4.279,4.249030113220215,4.097142857142855,4.025000000000001,3.988,,,
2016-04-20,4.33,4.34,4.3,4.32,,4.789999999999999,4.332000000000002,4.277418136596681,4.147142857142855,4.052142857142859,3.998666666666667,,,
2016-04-21,4.31,4.31,4.24,4.3,,4.66,4.3290000000000015,4.303046703338623,4.20285714285714,4.0792857142857155,4.014,,,
2016-04-22,4.3,4.34,4.21,4.34,,4.6,4.302,4.326282501220703,4.254285714285712,4.110000000000001,4.027,,,
2016-04-26,4.32,4.35,4.27,4.28,,4.5,4.322,4.346822738647462,4.294285714285712,4.13357142857143,4.037,,,
2016-04-27,4.28,4.3,4.24,4.28,,4.2700000000000005,4.288,4.364616394042969,4.308571428571426,4.154285714285716,4.048,,,
2016-04-28,4.32,4.32,4.28,4.29,,4.210000000000001,4.282000000000001,4.383735656738281,4.308571428571426,4.1764285714285725,4.058333333333334,,,
2016-04-29,4.3,4.32,4.24,4.3,,4.26,4.288,4.408132076263428,4.301428571428568,4.199285714285716,4.071,,,
2016-05-02,4.26,4.38,4.21,4.38,,4.3,4.292,4.430042743682861,4.309999999999997,4.22857142857143,4.085666666666667,3.9533333333333323,,
2016-05-03,4.34,4.39,4.34,4.38,,4.42,4.37,4.474907398223877,4.3214285714285685,4.26214285714286,4.0986666666666665,3.9596666666666653,,
2016-05-04,4.34,4.34,4.26,4.29,,4.48,4.37,4.526773452758789,4.314285714285712,4.2842857142857165,4.108333333333333,3.961833333333332,,
2016-05-05,4.3,4.35,4.25,4.27,,4.3,4.3260000000000005,4.5775885581970215,4.3128571428571405,4.303571428571431,4.118333333333333,3.9656666666666656,,
2016-05-06,4.25,4.265,4.21,4.24,,4.249999999999999,4.273999999999999,4.62734317779541,4.307142857142855,4.307857142857144,4.1259999999999994,3.969666666666666,,
2016-05-09,4.22,4.26,4.2,4.26,,4.1800000000000015,4.246,4.676032066345215,4.302857142857141,4.305714285714287,4.136,3.975499999999999,,
2016-05-10,4.26,4.33,4.26,4.29,,4.14,4.254,4.72365140914917,4.301428571428569,4.3014285714285725,4.147,3.9836666666666654,,
2016-05-11,4.3,4.365,4.24,4.32,,4.2,4.270999999999999,4.770195484161377,4.29285714285714,4.3014285714285725,4.160333333333334,3.9943333333333317,,
2016-05-12,4.29,4.3,4.25,4.29,,4.3500000000000005,4.311,4.8110384941101065,4.279999999999998,4.300714285714287,4.172666666666667,4.004499999999998,,
2016-05-13,4.3,4.36,4.29,4.35,,4.3100000000000005,4.302,4.8388671875,4.288571428571426,4.3014285714285725,4.186333333333335,4.014333333333331,,
2016-05-16,4.35,4.4,4.34,4.4,,4.459999999999999,4.341,4.865217685699463,4.307142857142854,4.310000000000001,4.202333333333335,4.025333333333331,,
2016-05-17,4.42,4.5,4.42,4.49,,4.540000000000001,4.379,4.890092372894287,4.34285714285714,4.325000000000001,4.221666666666668,4.038166666666665,,
2016-05-18,4.51,4.56,4.48,4.55,,4.69,4.4060000000000015,4.913501739501953,4.384285714285711,4.343571428571429,4.241666666666668,4.052166666666666,,
2016-05-19,4.62,4.66,4.59,4.61,,4.7799999999999985,4.5089999999999995,4.935450553894043,4.429999999999997,4.365714285714287,4.262333333333335,4.068833333333332,,
2016-05-20,4.66,4.78,4.65,4.73,,4.9300000000000015,4.5710000000000015,4.9559502601623535,4.488571428571426,4.390714285714287,4.287333333333335,4.087499999999998,,
2016-05-23,4.73,4.75,4.66,4.7,,5.110000000000001,4.6880000000000015,4.975008487701416,4.5471428571428545,4.413571428571429,4.3113333333333355,4.106166666666664,,
2016-05-24,4.7,4.74,4.63,4.73,,5.0,4.6819999999999995,4.9926371574401855,4.60142857142857,4.445000000000001,4.336666666666669,4.124333333333331,,
2016-05-25,5.1,5.43,5.08,5.27,,4.9700000000000015,4.7,5.008847713470459,4.725714285714284,4.516428571428572,4.382000000000002,4.151499999999998,,
2016-05-26,5.38,5.53,5.28,5.5,,5.9899999999999975,5.1080000000000005,5.02365255355835,4.869999999999998,4.606428571428573,4.432666666666669,4.182666666666665,,
2016-05-27,5.49,5.61,5.41,5.54,,6.39,5.354,5.037065505981445,5.01142857142857,4.697857142857145,4.484000000000003,4.213999999999998,,
