Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF
2012-11-14,0.6,0.6,0.55,0.55,1050263.0,,
2012-11-15,0.55,0.575,0.54,0.56,392974.0,,
2012-11-16,0.56,0.56,0.555,0.555,222946.0,,
2012-11-19,0.56,0.57,0.56,0.56,227500.0,,
2012-11-20,0.57,0.61,0.57,0.6,205467.0,,
2012-11-21,0.6,0.65,0.6,0.64,287728.0,,
2012-11-22,0.62,0.64,0.62,0.63,128891.0,0.73,
2012-11-23,0.63,0.63,0.625,0.63,356892.0,0.7,
2012-11-26,0.63,0.69,0.63,0.685,473739.0,0.705,
2012-11-27,0.7,0.72,0.7,0.72,329266.0,0.81,
2012-11-28,0.72,0.75,0.72,0.72,254500.0,0.84,
2012-11-29,0.71,0.71,0.63,0.67,174311.0,0.7999999999999999,
2012-11-30,0.68,0.7,0.67,0.7,256042.0,0.7100000000000001,
2012-12-03,0.7,0.72,0.69,0.7,274174.0,0.7699999999999999,
2012-12-04,0.7,0.7,0.69,0.69,121107.0,0.7149999999999999,
2012-12-05,0.7,0.71,0.7,0.7,217342.0,0.6599999999999999,
2012-12-06,0.7,0.705,0.7,0.705,88351.0,0.6799999999999999,
2012-12-07,0.71,0.74,0.7,0.74,441307.0,0.7399999999999999,
2012-12-10,0.75,0.75,0.725,0.725,229402.0,0.78,
2012-12-11,0.725,0.725,0.7,0.7,73000.0,0.75,
2012-12-12,0.7,0.7,0.7,0.7,26769.0,0.71,
2012-12-13,0.7,0.735,0.7,0.72,142839.0,0.7,
2012-12-14,0.72,0.73,0.71,0.72,17577.0,0.735,
2012-12-17,0.72,0.72,0.69,0.72,66750.0,0.7,
2012-12-18,0.72,0.72,0.695,0.7,54616.0,0.715,
2012-12-19,0.69,0.69,0.67,0.68,99200.0,0.7,
2012-12-20,0.68,0.69,0.68,0.69,10000.0,0.6600000000000001,
2012-12-21,0.67,0.69,0.67,0.69,21901.0,0.6599999999999999,
2012-12-24,0.67,0.67,0.66,0.66,27000.0,0.6599999999999999,
2012-12-27,0.655,0.655,0.64,0.655,19629.0,0.6000000000000001,
2012-12-28,0.655,0.655,0.64,0.64,60000.0,0.6100000000000001,
2012-12-31,0.65,0.65,0.65,0.65,60000.0,0.6,
2013-01-02,0.68,0.7,0.68,0.7,69933.0,0.6100000000000001,
2013-01-03,0.7,0.7,0.7,0.7,43229.0,0.71,
2013-01-04,0.7,0.71,0.695,0.71,38623.0,0.7399999999999999,
2013-01-07,0.71,0.71,0.68,0.71,67723.0,0.7649999999999999,
2013-01-08,0.7,0.7,0.7,0.7,5999.0,0.7799999999999999,
2013-01-09,0.66,0.66,0.66,0.66,5999.0,0.7499999999999999,
2013-01-10,0.66,0.66,0.66,0.66,16080.0,0.6200000000000001,
2013-01-11,0.665,0.665,0.665,0.665,16080.0,0.6200000000000001,
2013-01-14,0.69,0.69,0.685,0.685,26960.0,0.6200000000000001,
2013-01-15,0.68,0.68,0.65,0.665,160024.0,0.6600000000000001,
2013-01-16,0.65,0.65,0.625,0.63,120138.0,0.6300000000000001,
2013-01-17,0.62,0.62,0.6,0.6,55000.0,0.6,
2013-01-18,0.6,0.6,0.6,0.6,35838.0,0.5399999999999999,
2013-01-21,0.6,0.6,0.56,0.56,117215.0,0.5349999999999999,
2013-01-22,0.58,0.6,0.56,0.6,36327.0,0.4350000000000001,
2013-01-23,0.6,0.62,0.59,0.59,104795.0,0.5349999999999999,
2013-01-24,0.59,0.59,0.555,0.565,282781.0,0.5499999999999999,
2013-01-25,0.555,0.57,0.555,0.555,75001.0,0.5299999999999999,
2013-01-29,0.555,0.58,0.55,0.58,88933.0,0.5100000000000001,
2013-01-30,0.555,0.555,0.55,0.55,200312.0,0.5999999999999999,
2013-01-31,0.54,0.54,0.53,0.535,153018.0,0.5000000000000001,
2013-02-01,0.54,0.54,0.53,0.54,193706.0,0.4800000000000001,
2013-02-04,0.53,0.54,0.52,0.52,193706.0,0.5150000000000001,
2013-02-05,0.52,0.53,0.52,0.53,193706.0,0.485,
2013-02-06,0.53,0.545,0.525,0.54,193706.0,0.4800000000000001,
2013-02-07,0.54,0.54,0.52,0.53,193706.0,0.53,
2013-02-08,0.53,0.53,0.53,0.53,193706.0,0.525,
2013-02-11,0.53,0.53,0.53,0.53,193706.0,0.52,
2013-02-12,0.535,0.535,0.525,0.53,193706.0,0.54,
2013-02-13,0.53,0.53,0.5,0.5,193706.0,0.53,
