Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
2000-10-02,,,,6.9,,,,1.3747131824493408,,,,,,
2000-10-03,6.9,7.08,6.84,7.08,125969.0,,,1.386158108711243,,,,,,
2000-10-04,7.02,7.08,6.96,7.08,16401.0,,,1.402046799659729,,,,,,
2000-10-05,7.02,7.2,7.02,7.2,187506.0,,,1.423616647720337,,,,,,
2000-10-06,7.2,7.2,7.14,7.14,69940.0,,,1.4482889175415041,,,,,,
2000-10-09,7.14,7.2,7.02,7.02,649168.0,,,1.4781560897827148,,,,,,
2000-10-10,6.96,7.14,6.96,7.02,569327.0,7.139999999999999,,1.506090521812439,7.062857142857142,,,,,
2000-10-11,7.14,7.14,7.02,7.02,114739.0,6.959999999999999,,1.529243230819702,7.079999999999999,,,,,
2000-10-12,7.02,7.08,6.96,6.96,259344.0,6.959999999999999,,1.554995059967041,7.062857142857142,,,,,
2000-10-13,6.96,6.96,6.9,6.9,121920.0,6.72,,1.5835019350051882,7.0371428571428565,,,,,
2000-10-16,6.9,6.96,6.9,6.96,55434.0,6.660000000000001,,1.6061631441116333,7.002857142857143,,,,,
2000-10-17,6.96,7.02,6.9,7.02,185200.0,6.9,,1.6219284534454346,6.985714285714285,,,,,
2000-10-18,6.9,6.96,6.78,6.84,380119.0,7.02,,1.6380451917648315,6.96,,,,,
2000-10-19,6.9,6.9,6.84,6.9,544508.0,6.66,,1.6545391082763672,6.942857142857142,7.002857142857143,,,,
2000-10-20,6.96,6.96,6.78,6.96,147983.0,6.8400000000000025,,1.6704332828521729,6.934285714285713,7.007142857142855,,,,
2000-10-23,6.96,6.96,6.9,6.9,78071.0,7.02,,1.686207294464111,6.925714285714284,6.994285714285714,,,,
2000-10-24,6.84,6.9,6.8279999999999985,6.8279999999999985,40130.0,6.8400000000000025,,1.702112913131714,6.91542857142857,6.976285714285714,,,,
2000-10-25,6.84,6.9,6.84,6.84,164150.0,6.635999999999999,,1.7184858322143557,6.898285714285713,6.950571428571428,,,,
2000-10-26,6.84,6.84,6.66,6.84,151646.0,6.84,,1.7344675064086914,6.872571428571427,6.929142857142857,,,,
2000-10-27,6.78,6.84,6.78,6.84,185396.0,6.7799999999999985,,1.7500300407409668,6.872571428571427,6.916285714285714,,,,
2000-10-30,6.84,6.84,6.78,6.84,79042.0,6.72,,1.765644907951355,6.863999999999999,6.903428571428572,,,,
2000-10-31,6.78,6.84,6.72,6.72,418670.0,6.7799999999999985,,1.78130841255188,6.829714285714284,6.882000000000001,,,,
2000-11-01,6.84,6.84,6.78,6.78,20999.0,6.612,,1.7968893051147459,6.812571428571428,6.869142857142859,,,,
2000-11-02,6.78,6.84,6.72,6.84,252872.0,6.7200000000000015,,1.8122124671936035,6.814285714285714,6.8648571428571445,,,,
2000-11-03,6.9,6.96,6.84,6.96,146582.0,6.84,,1.8270601034164429,6.83142857142857,6.8648571428571445,,,,
2000-11-06,6.84,6.9,6.78,6.84,71212.0,7.08,,1.8417921066284182,6.83142857142857,6.852000000000002,,,,
2000-11-07,6.9,7.08,6.9,7.02,75900.0,6.84,,1.856548309326172,6.857142857142855,6.8648571428571445,,,,
2000-11-08,7.02,7.02,6.9,6.9,1114226.0,7.3199999999999985,,1.8713126182556152,6.865714285714284,6.8648571428571445,,,,
2000-11-09,6.9,6.96,6.84,6.96,79134.0,7.0200000000000005,,1.886059284210205,6.899999999999999,6.8648571428571445,,,,
2000-11-10,6.9,6.96,6.84,6.96,140762.0,7.08,,1.900685429573059,6.925714285714284,6.869142857142857,6.935600000000002,,,
2000-11-13,6.96,7.02,6.9,7.02,217690.0,6.96,,1.915313720703125,6.951428571428569,6.882857142857143,6.939600000000001,,,
2000-11-14,7.02,7.02,6.9,6.9,536287.0,7.1999999999999975,,1.9299445152282717,6.94285714285714,6.887142857142857,6.933600000000001,,,
2000-11-15,6.96,7.02,6.9,6.96,351762.0,6.780000000000001,,1.9443690776824951,6.959999999999998,6.895714285714285,6.9296000000000015,,,
2000-11-16,6.96,7.02,6.9,6.96,155321.0,7.02,,1.958118796348572,6.951428571428569,6.904285714285713,6.9216000000000015,,,
2000-11-17,6.9,6.96,6.84,6.9,98462.0,6.96,,1.9717780351638796,6.951428571428569,6.9085714285714275,6.913600000000002,,,
2000-11-20,6.96,6.96,6.84,6.9,59780.0,6.8400000000000025,,1.9844356775283811,6.94285714285714,6.921428571428571,6.909600000000002,,,
