Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM
2014-12-05,4.98,4.99,4.71,4.74,,,,0.5929924845695496
2014-12-08,4.6,4.92,4.55,4.92,,,,0.834548830986023
2014-12-09,4.92,4.96,4.76,4.78,,,,1.1690654754638672
2014-12-10,4.77,4.77,4.55,4.65,,,,1.61042058467865
2014-12-11,4.68,4.7,4.56,4.65,,,,2.170574188232422
2014-12-12,4.66,4.67,4.58,4.61,,,,2.8172225952148438
2014-12-15,4.58,4.66,4.55,4.62,,4.48,,3.3806047439575195
2014-12-16,4.6,4.62,4.55,4.55,,4.32,,3.8213043212890625
2014-12-17,4.57,4.57,4.41,4.45,,4.319999999999999,,4.155399799346924
2014-12-18,4.43,4.68,4.43,4.68,,4.25,,4.405646800994873
2014-12-19,4.67,4.81,4.64,4.81,,4.709999999999999,,4.586727619171143
2014-12-22,4.8,4.81,4.7,4.8,,5.009999999999999,,4.724040508270264
2014-12-23,4.79,4.8,4.78,4.78,,4.98,,4.816540718078613
2014-12-24,4.8,4.81,4.75,4.77,,5.010000000000002,,4.856865406036377
2014-12-29,4.8,4.8,4.78,4.8,,5.089999999999999,,4.842675685882568
2014-12-30,4.79,4.79,4.76,4.76,,4.92,,4.789928913116455
2014-12-31,4.77,4.79,4.73,4.74,,4.71,,4.7520341873168945
2015-01-02,4.74,4.79,4.7,4.73,,4.6800000000000015,,4.676559925079346
2015-01-05,4.72,4.73,4.65,4.72,,4.6800000000000015,,4.563869476318359
2015-01-06,4.72,4.74,4.66,4.74,,4.67,,4.414475917816162
2015-01-07,4.74,4.79,4.66,4.79,,4.6800000000000015,,4.360517501831055
2015-01-08,4.7,4.91,4.7,4.91,,4.82,,4.406486511230469
2015-01-09,4.84,4.91,4.84,4.91,,5.08,,4.453910827636719
2015-01-12,4.88,4.89,4.85,4.89,,5.09,,4.489610195159912
2015-01-13,4.9,4.91,4.84,4.89,,5.06,,4.514252185821533
2015-01-14,4.9,4.9,4.87,4.87,,5.039999999999999,,4.527865886688232
2015-01-15,4.87,4.89,4.82,4.85,,4.95,,4.530486583709717
2015-01-16,4.84,4.85,4.8,4.82,,4.789999999999999,,4.522152423858643
2015-01-19,4.88,4.9,4.77,4.8,,4.73,,4.504713535308838
2015-01-20,4.8,4.8,4.69,4.71,,4.71,,4.531356334686279
2015-01-21,4.73,4.78,4.65,4.7,,4.53,,4.5730438232421875
2015-01-22,4.75,4.75,4.45,4.5,,4.53,,4.608259201049805
2015-01-23,4.5,4.55,4.25,4.5,,4.15,,4.627233028411865
2015-01-27,4.5,4.6,4.44,4.48,,4.18,,4.640841484069824
2015-01-28,4.83,4.89,4.75,4.85,,4.160000000000001,,4.649232387542725
2015-01-29,4.85,5.15,4.8,5.09,,4.989999999999998,,4.6525559425354
2015-01-30,5.09,5.09,4.98,5.0,,5.48,,4.650964736938477
2015-02-02,4.99,5.0,4.9,4.9,,5.5,,4.6786909103393555
2015-02-03,4.99,5.05,4.9,4.96,,5.300000000000002,,4.734066963195801
2015-02-04,4.98,5.05,4.96,5.01,,5.44,,4.788802623748779
2015-02-05,5.04,5.12,5.02,5.09,,5.17,,4.843271732330322
2015-02-06,5.1,5.12,5.03,5.08,,5.09,,4.897762775421143
2015-02-09,5.08,5.13,5.03,5.08,,5.16,5.072999999999999,4.952486991882324
2015-02-10,5.07,5.09,5.0,5.04,,5.26,5.072999999999999,5.0070013999938965
2015-02-11,5.06,5.09,5.0,5.05,,5.12,5.055999999999999,5.059975624084473
2015-02-12,5.05,5.07,4.98,5.02,,5.09,5.053999999999999,5.1115641593933105
2015-02-13,5.02,5.1,4.95,5.0,,4.949999999999998,5.022999999999999,5.163758754730225
2015-02-16,5.0,5.06,4.96,5.06,,4.92,5.01,5.21445894241333
2015-02-17,5.05,5.08,5.0,5.04,,5.039999999999999,5.048,5.26370096206665
2015-02-18,5.05,5.21,5.01,5.15,,5.04,5.04,5.3146233558654785
