Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
1999-03-22,0.13,0.13,0.13,0.13,130000.0,,,0.121071919798851,,,,,,
1999-03-23,0.125,0.125,0.125,0.125,175000.0,,,0.13239434361457825,,,,,,
1999-03-24,0.12,0.135,0.12,0.135,294250.0,,,0.1416783332824707,,,,,,
1999-03-25,0.135,0.17,0.135,0.16,3516731.0,,,0.15030592679977414,,,,,,
1999-03-26,0.175,0.175,0.155,0.16,1146726.0,,,0.15844377875328064,,,,,,
1999-03-29,0.17,0.18,0.17,0.17,1976431.0,,,0.16558347642421722,,,,,,
1999-03-30,0.17,0.175,0.165,0.17,275476.0,0.21,,0.1718425750732422,0.15,,,,,
1999-03-31,0.175,0.18,0.165,0.18,648171.0,0.215,,0.1772252768278122,0.15714285714285717,,,,,
1999-04-01,0.18,0.18,0.165,0.18,372872.0,0.225,,0.18169325590133667,0.165,,,,,
1999-04-06,0.183,0.2,0.183,0.19,2375000.0,0.2,,0.18521681427955627,0.17285714285714285,,,,,
1999-04-07,0.195,0.195,0.185,0.19,518286.0,0.22,,0.1877237856388092,0.17714285714285713,,,,,
1999-04-08,0.18,0.19,0.18,0.19,193000.0,0.21,,0.1891794204711914,0.18142857142857144,,,,,
1999-04-09,0.19,0.205,0.185,0.205,1196138.0,0.21,,0.1893562078475952,0.18642857142857144,,,,,
1999-04-12,0.2,0.205,0.19,0.195,691300.0,0.23,,0.1888556182384491,0.19000000000000003,0.16999999999999996,,,,
1999-04-13,0.195,0.195,0.19,0.19,156786.0,0.21,,0.18862594664096832,0.19142857142857148,0.17428571428571424,,,,
1999-04-14,0.19,0.19,0.18,0.18,295000.0,0.19,,0.1878779083490372,0.19142857142857148,0.1782142857142857,,,,
1999-04-15,0.17,0.19,0.17,0.18,232414.0,0.16999999999999998,,0.1873404085636139,0.19000000000000003,0.18142857142857144,,,,
1999-04-16,0.175,0.18,0.175,0.18,168414.0,0.16999999999999998,,0.18648236989974976,0.1885714285714286,0.18285714285714286,,,,
1999-04-19,0.19,0.21,0.19,0.205,1556370.0,0.155,,0.1849464327096939,0.19071428571428578,0.18607142857142858,,,,
1999-04-20,0.19,0.195,0.19,0.195,828000.0,0.215,,0.18331509828567505,0.18928571428571433,0.18785714285714286,,,,
1999-04-21,0.195,0.195,0.19,0.19,295000.0,0.2,,0.18183603882789606,0.1885714285714286,0.18928571428571428,,,,
1999-04-22,0.195,0.195,0.195,0.195,295000.0,0.2,,0.1801280677318573,0.18928571428571433,0.19035714285714284,,,,
1999-04-23,0.2,0.205,0.195,0.2,1015500.0,0.21,,0.17815175652503967,0.1921428571428572,0.19178571428571425,,,,
1999-04-26,0.205,0.21,0.2,0.21,396200.0,0.22000000000000008,,0.17584851384162906,0.19642857142857148,0.1932142857142857,,,,
1999-04-27,0.225,0.225,0.205,0.21,2065601.0,0.215,,0.17302708327770233,0.2007142857142858,0.19464285714285712,,,,
1999-04-28,0.21,0.21,0.19,0.195,655177.0,0.225,,0.16973528265953064,0.19928571428571434,0.19499999999999998,,,,
1999-04-29,0.195,0.195,0.175,0.18,988526.0,0.2,,0.16606470942497253,0.1971428571428572,0.1932142857142857,,,,
1999-04-30,0.18,0.18,0.165,0.17,735471.0,0.16499999999999998,,0.16213738918304446,0.19428571428571434,0.19142857142857142,,,,
1999-05-03,0.17,0.185,0.17,0.185,173839.0,0.14,,0.15795812010765076,0.1928571428571429,0.19107142857142856,,,,
1999-05-04,0.175,0.18,0.17,0.175,152286.0,0.16,,0.15333737432956696,0.18928571428571433,0.19071428571428567,0.18066666666666664,,,
1999-05-05,0.165,0.165,0.16,0.165,260200.0,0.14,,0.14855313301086426,0.1828571428571429,0.18964285714285709,0.18183333333333332,,,
1999-05-06,0.165,0.17,0.16,0.17,252000.0,0.135,,0.1437256634235382,0.1771428571428572,0.18892857142857136,0.1833333333333333,,,
1999-05-07,0.175,0.175,0.165,0.166,370600.0,0.16000000000000006,,0.14093676209449768,0.17300000000000004,0.18614285714285708,0.18436666666666665,,,
1999-05-10,0.175,0.175,0.175,0.175,80000.0,0.162,,0.14054220914840698,0.17228571428571435,0.18471428571428564,0.18486666666666665,,,
1999-05-11,0.175,0.18,0.175,0.175,241900.0,0.16499999999999998,,0.13986852765083313,0.17300000000000007,0.18364285714285705,0.18536666666666662,,,
1999-05-12,0.165,0.18,0.165,0.18,60000.0,0.175,,0.13877438008785248,0.17228571428571435,0.18257142857142852,0.18569999999999995,,,
1999-05-13,0.18,0.18,0.16,0.16,129600.0,0.195,,0.13759645819664,0.17014285714285718,0.17971428571428566,0.18536666666666662,,,
1999-05-14,0.16,0.16,0.115,0.12,791500.0,0.15,,0.1363428682088852,0.16371428571428576,0.17328571428571424,0.18336666666666665,,,
1999-05-17,0.12,0.125,0.12,0.12,515356.0,0.07399999999999997,,0.13503725826740265,0.15657142857142864,0.16685714285714282,0.18136666666666665,,,
1999-05-18,0.125,0.14,0.125,0.14,504590.0,0.065,,0.13368985056877136,0.15285714285714297,0.1629285714285714,0.17969999999999997,,,
1999-05-19,0.145,0.15,0.14,0.14,755500.0,0.10500000000000004,,0.13231109082698822,0.14785714285714296,0.16007142857142856,0.1780333333333333,,,
1999-05-20,0.134,0.135,0.125,0.13,264000.0,0.10000000000000003,,0.13106614351272586,0.14142857142857154,0.1572142857142857,0.17603333333333326,,,
1999-05-21,0.13,0.13,0.125,0.13,83000.0,0.1,,0.12982961535453796,0.13428571428571442,0.15328571428571425,0.17353333333333326,,,
1999-05-24,0.125,0.13,0.125,0.125,111000.0,0.14,,0.1285182237625122,0.12928571428571442,0.1497142857142857,0.1711999999999999,,,
1999-05-25,0.13,0.13,0.125,0.125,244500.0,0.13,,0.1271354705095291,0.13000000000000017,0.14685714285714283,0.16903333333333323,,,
1999-05-26,0.125,0.13,0.125,0.13,119500.0,0.11,,0.12568487226963046,0.1314285714285716,0.14399999999999996,0.16736666666666658,,,
1999-05-27,0.125,0.125,0.12,0.12,180000.0,0.12,,0.12416981160640715,0.12857142857142873,0.1407142857142857,0.16536666666666658,,,
1999-05-28,0.12,0.12,0.11,0.115,96700.0,0.11,,0.1225937008857727,0.12500000000000017,0.13642857142857143,0.16319999999999993,,,
1999-05-31,0.115,0.115,0.105,0.11,275000.0,0.1,,0.1209598183631897,0.12214285714285732,0.13178571428571428,0.16003333333333328,,,
1999-06-01,0.12,0.12,0.115,0.115,80000.0,0.095,,0.11947345733642578,0.12000000000000018,0.12714285714285714,0.1573666666666666,,,
1999-06-02,0.115,0.115,0.11,0.11,1393000.0,0.105,,0.11856439709663393,0.11785714285714302,0.12357142857142858,0.15469999999999995,,,
1999-06-03,0.115,0.115,0.11,0.11,26200.0,0.09,,0.11766766011714935,0.11571428571428588,0.12285714285714287,0.15186666666666662,,,
1999-06-04,0.11,0.11,0.11,0.11,176000.0,0.1,,0.11678411811590195,0.11285714285714302,0.12214285714285718,0.14886666666666662,,,
1999-06-07,0.115,0.115,0.115,0.115,30000.0,0.105,,0.1158078834414482,0.11214285714285731,0.1203571428571429,0.14569999999999997,,,
1999-06-08,0.115,0.115,0.105,0.105,245463.0,0.12,,0.11463870853185655,0.11071428571428588,0.11785714285714288,0.14219999999999997,,,
1999-06-09,0.11,0.11,0.11,0.11,117000.0,0.095,,0.11322211474180223,0.11071428571428588,0.11642857142857145,0.13936666666666664,,,
1999-06-10,0.11,0.115,0.11,0.11,91000.0,0.11,,0.11178205162286757,0.11000000000000017,0.11500000000000002,0.1370333333333333,,,
1999-06-11,0.115,0.115,0.11,0.11,222114.0,0.11,,0.11032165586948396,0.11000000000000017,0.11392857142857146,0.13503333333333334,,,
1999-06-15,0.11,0.11,0.11,0.11,108500.0,0.11,,0.10884415358304976,0.11000000000000017,0.11285714285714289,0.13253333333333334,,,
1999-06-16,0.11,0.11,0.11,0.11,119000.0,0.105,,0.10735286772251128,0.11000000000000017,0.11142857142857146,0.1303666666666667,0.15551666666666658,,
1999-06-17,0.11,0.11,0.105,0.105,139201.0,0.115,,0.1058512032032013,0.10857142857142874,0.11035714285714289,0.12836666666666668,0.1550999999999999,,
1999-06-18,0.105,0.11,0.1,0.11,271000.0,0.1,,0.10434265434741974,0.10928571428571444,0.11000000000000003,0.12636666666666668,0.15484999999999988,,
1999-06-21,0.11,0.11,0.105,0.105,70000.0,0.11,,0.10283082723617554,0.10857142857142874,0.10964285714285717,0.12433333333333337,0.1543499999999999,,
1999-06-22,0.11,0.11,0.1,0.1,532035.0,0.1,,0.10131942480802536,0.1071428571428573,0.10857142857142861,0.12183333333333338,0.1533499999999999,,
1999-06-23,0.1,0.1,0.1,0.1,36465.0,0.09000000000000001,,0.09981223195791243,0.10571428571428587,0.10785714285714289,0.11933333333333337,0.15234999999999987,,
1999-06-24,0.1,0.105,0.1,0.1,183000.0,0.09000000000000001,,0.09831318259239197,0.10428571428571444,0.10714285714285718,0.11666666666666671,0.1511833333333332,,
1999-06-25,0.1,0.1,0.095,0.096,438658.0,0.095,,0.09682628512382507,0.10228571428571444,0.10614285714285718,0.11453333333333338,0.1499499999999999,,
1999-06-28,0.097,0.097,0.093,0.095,305700.0,0.08199999999999999,,0.09534013271331787,0.100857142857143,0.10471428571428575,0.11370000000000005,0.14853333333333324,,
1999-06-29,0.098,0.099,0.097,0.097,427800.0,0.085,,0.09386464208364488,0.09900000000000016,0.10414285714285718,0.11293333333333337,0.1471499999999999,,
