Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM
1999-03-22,5.9,6.05,5.9,6.05,76941.0,,,1.6076291799545288
1999-03-23,6.0,6.2,6.0,6.2,42508.0,,,1.6223798990249634
1999-03-24,6.15,6.2,6.14,6.15,28600.0,,,1.6416378021240234
1999-03-25,6.1,6.15,6.1,6.15,50276.0,,,1.666689157485962
1999-03-26,6.15,6.15,6.1,6.12,15990.0,,,1.6924924850463867
1999-03-29,6.15,6.15,6.0,6.0,135251.0,,,1.7105274200439453
1999-03-30,6.0,6.05,6.0,6.05,43600.0,5.95,,1.7201404571533203
1999-03-31,6.1,6.15,6.07,6.15,63925.0,5.9,,1.7284141778945923
1999-04-06,6.1,6.1,5.95,5.95,4240.0,6.15,,1.7362420558929443
1999-04-07,5.992000000000001,6.0,5.98,6.0,16679.0,5.75,,1.7443273067474365
1999-04-08,5.95,6.0,5.95,6.0,4363.0,5.88,,1.7526764869689941
1999-04-09,6.0,6.0,5.9,6.0,4257.0,6.0,,1.7612882852554321
1999-04-12,6.0,6.0,5.9,5.9,3390.0,5.95,,1.7701629400253296
1999-04-13,5.9,5.9,5.85,5.85,1500.0,5.65,,1.7793024778366089
1999-04-14,5.88,5.89,5.75,5.75,56120.0,5.749999999999999,,1.7887053489685059
1999-04-15,5.85,5.85,5.75,5.8,20075.0,5.5,,1.79837167263031
1999-04-16,5.85,5.95,5.85,5.95,26909.0,5.6,,1.8083019256591797
1999-04-19,5.99,6.05,5.99,6.05,57976.0,5.9,,1.8184959888458252
1999-04-20,6.05,6.05,6.0,6.0,8920.0,6.1999999999999975,,1.8289539813995361
1999-04-21,6.0,6.0,5.9,5.9,15625.0,6.15,,1.839675784111023
1999-04-22,5.985,5.99,5.98,5.99,12100.0,6.0500000000000025,,1.850661039352417
1999-04-23,5.962999999999999,5.99,5.95,5.95,9360.0,6.1800000000000015,,1.8619095087051392
1999-04-26,5.95,5.95,5.95,5.95,2140.0,5.95,,1.8734219074249268
1999-04-27,5.95,5.95,5.9,5.9,16523.0,5.8500000000000005,,1.8851982355117798
1999-04-28,5.9,5.9,5.85,5.9,206890.0,5.8000000000000025,,1.8972382545471191
1999-04-29,5.995,6.1,5.99,6.1,36310.0,5.9,,1.909230351448059
1999-04-30,6.11,6.25,6.1,6.25,35925.0,6.209999999999999,,1.9204800128936768
1999-05-03,6.8,7.25,6.8,7.25,42500.0,6.55,,1.9306542873382568
1999-05-04,7.398,8.3,7.398,7.9,151322.0,8.55,,1.9401187896728516
1999-05-05,7.9,7.9,7.5,7.5,50998.0,9.9,,1.9490606784820557
1999-05-06,7.6,7.9,7.6,7.89,37330.0,9.1,,1.9573585987091064
1999-05-07,7.8,7.8,7.65,7.65,10340.0,9.68,,1.9655983448028564
1999-05-10,7.65,7.75,7.65,7.75,16315.0,9.05,,1.9738380908966064
1999-05-11,7.76,7.9,7.75,7.9,85005.0,8.25,,1.9820778369903564
1999-05-12,7.9,7.9,7.65,7.65,10710.0,7.9,,1.9903175830841064
1999-05-13,7.8,7.8,7.6,7.6,9192.0,7.8000000000000025,,1.9985573291778564
1999-05-14,7.585,7.585,7.45,7.49,19400.0,7.31,,2.0067970752716064
1999-05-17,7.4,7.4,7.05,7.24,25020.0,7.33,,2.0150368213653564
1999-05-18,7.2,7.5,7.2,7.5,5940.0,6.73,,2.0232765674591064
1999-05-19,7.507999999999999,7.507999999999999,7.3,7.3,8050.0,7.1,,2.0315163135528564
1999-05-20,7.391,7.45,7.391,7.45,6845.0,6.9499999999999975,,2.0397560596466064
1999-05-21,7.44,7.5,7.4,7.5,22103.0,7.3000000000000025,,2.047995090484619
1999-05-24,7.49,7.49,7.49,7.49,16800.0,7.51,,2.0562338829040527
1999-05-25,7.3,7.35,7.02,7.25,34016.0,7.74,,2.0644729137420654
1999-05-26,7.2,7.25,7.02,7.25,2539.0,7.0,,2.072711706161499
1999-05-27,7.35,7.35,7.2,7.2,5050.0,7.2,,2.0809504985809326
1999-05-28,7.209,7.209,7.2,7.2,2300.0,6.95,,2.089189052581787
1999-05-31,7.1,7.25,7.1,7.25,12600.0,6.9,,2.0974276065826416
1999-06-01,7.44,7.44,7.44,7.44,200.0,7.01,,2.105665683746338
1999-06-02,7.44,7.5,7.44,7.5,27685.0,7.630000000000001,,2.113903522491455
1999-06-03,7.49,7.5,7.49,7.5,7785.0,7.75,,2.1221418380737305
1999-06-04,7.5,7.5,7.5,7.5,25500.0,7.8,,2.1303796768188477
1999-06-07,7.55,7.65,7.55,7.6,16038.0,7.8,,2.138617753982544
1999-06-08,7.61,7.7,7.6,7.7,24386.0,7.9499999999999975,,2.1468558311462402
1999-06-09,7.7,7.7,7.7,7.7,8670.0,7.96,,2.1550939083099365
1999-06-10,7.6,7.6,7.6,7.6,1000.0,7.9,,2.163331985473633
1999-06-11,7.5,7.5,7.49,7.49,2985.0,7.6999999999999975,,2.17156982421875
1999-06-15,7.45,7.45,7.25,7.25,3000.0,7.48,,2.179807186126709
1999-06-16,7.35,7.35,7.2,7.2,8900.0,6.9,,2.188044548034668
1999-06-17,7.27,7.34,7.26,7.27,8449.0,6.7,,2.196281909942627
1999-06-18,7.27,7.27,7.2,7.2,7051.0,6.839999999999999,,2.204519271850586
1999-06-21,7.25,7.25,7.17,7.17,44479.0,6.8000000000000025,,2.212756872177124
1999-06-22,7.21,7.3,7.21,7.3,6400.0,6.85,,2.220994234085083
1999-06-23,7.27,7.27,7.25,7.27,27800.0,7.35,,2.229231595993042
1999-06-24,7.35,7.4,7.34,7.35,9350.0,7.339999999999999,,2.23746919631958
1999-06-25,7.35,7.35,7.32,7.32,30100.0,7.43,,2.245706558227539
1999-06-28,7.37,7.37,7.25,7.25,63056.0,7.44,,2.253943920135498
1999-06-29,7.33,7.35,7.17,7.17,18760.0,7.33,,2.262181282043457
1999-06-30,7.17,7.33,7.15,7.3,53586.0,7.04,,2.270418882369995
1999-07-01,7.3,7.35,7.3,7.34,10910.0,7.33,,2.278656244277954
1999-07-02,7.32,7.35,7.32,7.34,5000.0,7.33,,2.286893606185913
1999-07-05,7.364,7.48,7.364,7.41,30212.0,7.3599999999999985,,2.295131206512451
1999-07-06,7.45,7.45,7.41,7.43,23622.0,7.57,,2.30336856842041
1999-07-07,7.43,7.43,7.39,7.4,12660.0,7.689999999999999,,2.311605930328369
1999-07-08,7.4,7.4,7.3,7.3,6150.0,7.500000000000001,,2.319843292236328
1999-07-09,7.35,7.38,7.3,7.38,7280.0,7.26,,2.328080892562866
1999-07-12,7.4929999999999986,7.4929999999999986,7.45,7.45,13400.0,7.42,,2.336318254470825
1999-07-13,7.45,7.49,7.45,7.45,9850.0,7.49,,2.344555616378784
1999-07-14,7.47,7.49,7.47,7.49,3665.0,7.4700000000000015,,2.352792978286743
1999-07-15,7.49,7.49,7.45,7.45,14340.0,7.58,,2.3610305786132812
1999-07-16,7.45,7.48,7.4,7.4,13976.0,7.6,,2.3692679405212402
1999-07-19,7.45,7.48,7.45,7.48,14513.0,7.420000000000001,,2.377505302429199
1999-07-20,7.45,7.55,7.4,7.55,47168.0,7.5100000000000025,,2.385742664337158
1999-07-21,7.45,7.69,7.45,7.69,31310.0,7.649999999999999,,2.3939802646636963
1999-07-22,7.7,7.9,7.7,7.9,8475.0,7.8900000000000015,,2.4022176265716553
1999-07-23,7.809,8.0,7.809,7.94,18375.0,8.350000000000001,,2.4104552268981934
1999-07-26,7.95,7.95,7.9,7.9,5079.0,8.48,,2.4186925888061523
1999-07-27,7.942,8.05,7.942,8.0,61862.0,8.32,,2.4269299507141113
1999-07-28,8.0,8.05,8.0,8.0,31200.0,8.45,,2.4351673126220703
1999-07-29,8.05,8.05,7.97,8.02,21409.0,8.309999999999999,,2.4434046745300293
1999-07-30,8.038,8.05,8.03,8.03,25380.0,8.139999999999999,,2.4516422748565674
1999-08-02,8.2,9.3,8.2,8.8,49068.0,8.119999999999997,,2.4598798751831055
1999-08-03,8.802,9.0,8.75,8.95,29842.0,9.7,,2.4681172370910645
1999-08-04,9.0,9.45,8.95,9.25,37327.0,9.9,,2.4763545989990234
1999-08-05,9.25,9.35,9.25,9.33,32183.0,10.5,,2.4845919609069824
1999-08-06,9.45,9.49,9.25,9.25,1514313.0,10.64,,2.4928293228149414
1999-08-09,9.15,9.2,9.02,9.15,26700.0,10.47,,2.5010669231414795
1999-08-10,9.131,9.15,9.04,9.04,13050.0,9.5,,2.5093040466308594
1999-08-11,9.0,9.0,8.9,8.97,5206.0,9.13,,2.5175418853759766
1999-08-12,8.992,9.1,8.992,9.1,8780.0,8.690000000000001,,2.5257792472839355
1999-08-13,9.15,9.2,9.15,9.2,3855.0,8.87,,2.5340166091918945
1999-08-16,9.2,9.2,9.1,9.1,7437.0,9.15,,2.5422539710998535
1999-08-17,9.15,9.15,9.05,9.05,4750.0,9.05,,2.5504913330078125
1999-08-18,9.043,9.193999999999999,9.043,9.193999999999999,33278.0,9.060000000000002,,2.5587289333343506
1999-08-19,9.19,9.2,9.09,9.1,15016.0,9.417999999999996,,2.5669662952423096
1999-08-20,9.15,9.2,9.1,9.1,30011.0,9.1,,2.5752038955688477
1999-08-23,9.09,9.1,9.03,9.03,29371.0,9.0,,2.5834412574768066
1999-08-24,9.03,9.1,9.0,9.05,9905.0,8.959999999999997,,2.5916786193847656
1999-08-25,9.05,9.09,9.05,9.09,6850.0,9.05,,2.5999159812927246
1999-08-26,9.09,9.2,9.09,9.15,22110.0,8.986,,2.6081533432006836
1999-08-27,9.2,9.2,9.1,9.149,18310.0,9.2,,2.6163909435272217
1999-08-30,9.15,9.15,9.15,9.15,1280.0,9.198,,2.6246283054351807
1999-08-31,9.15,9.2,9.15,9.15,3951.0,9.27,,2.6328656673431396
1999-09-01,9.15,9.2,9.15,9.2,10200.0,9.25,,2.6411030292510986
1999-09-02,9.2,9.35,9.2,9.3,34787.0,9.31,,2.6493406295776367
1999-09-03,9.349,9.44,9.34,9.4,47865.0,9.45,,2.657578229904175
1999-09-06,9.45,10.0,9.45,9.945,18367.0,9.651000000000002,,2.6658153533935547
