Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
2005-06-28,1.18,1.25,1.15,1.205,1227001.0,,,0.5186789035797119,,,,,,
2005-06-29,1.24,1.3,1.24,1.25,273450.0,,,0.6842252612113953,,,,,,
2005-06-30,1.25,1.25,1.2,1.23,181300.0,,,0.861067533493042,,,,,,
2005-07-01,1.21,1.21,1.18,1.18,239050.0,,,1.0359656810760498,,,,,,
2005-07-04,1.18,1.18,1.18,1.18,24700.0,,,1.1840496063232422,,,,,,
2005-07-05,1.18,1.18,1.17,1.17,39200.0,,,1.2609394788742063,,,,,,
2005-07-06,1.18,1.18,1.12,1.15,56490.0,1.1349999999999998,,1.2973259687423706,1.195,,,,,
2005-07-07,1.12,1.12,1.12,1.12,10000.0,1.0499999999999998,,1.2886744737625122,1.1828571428571428,,,,,
2005-07-08,1.12,1.15,1.12,1.15,30000.0,1.0100000000000002,,1.24639630317688,1.1685714285714286,,,,,
2005-07-11,1.13,1.14,1.12,1.12,63500.0,1.12,,1.159652829170227,1.1528571428571428,,,,,
2005-07-12,1.15,1.15,1.12,1.12,54500.0,1.0600000000000005,,1.0353693962097168,1.1442857142857146,,,,,
2005-07-13,1.12,1.12,1.09,1.09,47800.0,1.0700000000000005,,0.9615207314491272,1.1314285714285717,,,,,
2005-07-14,1.11,1.11,1.05,1.09,37000.0,1.0300000000000002,,0.9578635096549988,1.1200000000000003,,,,,
2005-07-15,1.09,1.09,1.08,1.08,26800.0,1.06,,0.9430848360061646,1.11,1.1524999999999999,,,,
2005-07-18,1.07,1.07,1.03,1.06,21265.0,1.0100000000000002,,0.9173972606658936,1.1014285714285716,1.142142857142857,,,,
2005-07-19,1.03,1.03,1.03,1.03,30000.0,1.0,,0.9148746728897096,1.0842857142857145,1.1264285714285711,,,,
2005-07-20,1.03,1.03,1.03,1.03,500.0,0.94,,0.9236909747123718,1.0714285714285716,1.1121428571428569,,,,
2005-07-21,1.065,1.07,1.06,1.06,50000.0,0.97,,0.9245953559875488,1.062857142857143,1.1035714285714282,,,,
2005-07-22,1.05,1.09,1.05,1.09,41000.0,1.03,,0.9176302552223206,1.062857142857143,1.0971428571428568,,,,
2005-07-25,1.09,1.145,1.09,1.09,39000.0,1.1,,0.9099754691123962,1.062857142857143,1.0914285714285712,,,,
2005-07-26,1.1,1.14,1.09,1.14,27000.0,1.12,,0.8976806998252869,1.0714285714285716,1.0907142857142853,,,,
2005-07-27,1.1,1.1,1.08,1.09,483000.0,1.2499999999999998,,0.8935580849647522,1.0757142857142858,1.0885714285714283,,,,
2005-07-28,1.1,1.1,1.09,1.09,35500.0,1.15,,0.9036243557929992,1.0842857142857143,1.0842857142857139,,,,
2005-07-29,1.09,1.09,1.07,1.07,27500.0,1.12,,0.9127947688102722,1.09,1.080714285714285,,,,
2005-08-01,1.09,1.13,1.09,1.13,17000.0,1.05,,0.9200612902641296,1.0999999999999999,1.0814285714285707,,,,
2005-08-02,1.13,1.13,1.1,1.1,35439.0,1.1699999999999997,,0.9251292943954468,1.1014285714285712,1.0821428571428566,,,,
2005-08-03,1.1,1.11,1.09,1.1,97971.0,1.0600000000000005,,0.9279839992523192,1.1028571428571428,1.0828571428571423,,,,
2005-08-04,1.1,1.1,1.09,1.09,27000.0,1.11,,0.9286141395568848,1.0957142857142856,1.083571428571428,,,,
2005-08-05,1.1,1.1,1.09,1.1,9500.0,1.09,,0.9270111322402954,1.0971428571428572,1.0864285714285709,,,,
2005-08-08,1.11,1.11,1.09,1.09,25000.0,1.13,,0.923170566558838,1.0971428571428572,1.0907142857142853,1.1165,,,
2005-08-09,1.09,1.1,1.08,1.1,125500.0,1.0500000000000005,,0.9192431569099426,1.1014285714285712,1.0957142857142854,1.1130000000000002,,,
2005-08-10,1.12,1.12,1.12,1.12,482000.0,1.1,,0.9250811934471129,1.0999999999999999,1.0999999999999994,1.108666666666667,,,
2005-08-11,1.135,1.14,1.12,1.13,59500.0,1.14,,0.9295505285263062,1.104285714285714,1.1028571428571425,1.1053333333333337,,,
2005-08-12,1.13,1.13,1.11,1.11,117990.0,1.1699999999999997,,0.932652235031128,1.1057142857142854,1.1042857142857139,1.1030000000000004,,,
