Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM
2013-12-17,0.95,0.95,0.885,0.885,,,,0.3547278940677643
2013-12-18,0.92,0.92,0.89,0.905,,,,0.4340302348136902
2013-12-19,0.91,0.915,0.865,0.89,,,,0.5196638107299805
2013-12-20,0.88,0.9,0.88,0.885,,,,0.6069715619087219
2013-12-23,0.89,0.89,0.885,0.885,,,,0.6920285224914551
2013-12-24,0.89,0.89,0.885,0.885,,,,0.7655114531517029
2013-12-27,0.885,0.89,0.88,0.88,,0.885,,0.8167290687561035
2013-12-30,0.88,0.885,0.875,0.875,,0.855,,0.8422411680221558
2013-12-31,0.875,0.89,0.875,0.89,,0.86,,0.8485435843467712
2014-01-02,0.87,0.88,0.87,0.88,,0.895,,0.8325746059417725
2014-01-03,0.87,0.885,0.87,0.885,,0.875,,0.7932237386703491
2014-01-06,0.87,0.895,0.865,0.89,,0.885,,0.7409228086471558
2014-01-07,0.87,0.89,0.87,0.89,,0.9,,0.7165215015411377
2014-01-08,0.87,0.88,0.87,0.88,,0.905,,0.6874635815620422
2014-01-09,0.87,0.875,0.865,0.865,,0.87,,0.6910468935966492
2014-01-10,0.865,0.87,0.86,0.87,,0.85,,0.6927018761634827
2014-01-13,0.875,0.885,0.865,0.865,,0.855,,0.6886061429977417
2014-01-14,0.865,0.87,0.865,0.87,,0.84,,0.6784663796424866
2014-01-15,0.87,0.87,0.87,0.87,,0.85,,0.6676137447357178
2014-01-16,0.865,0.865,0.865,0.865,,0.86,,0.661079466342926
2014-01-17,0.865,0.87,0.865,0.87,,0.865,,0.6634004712104797
2014-01-20,0.865,0.87,0.85,0.87,,0.87,,0.6625866889953613
2014-01-21,0.87,0.87,0.84,0.87,,0.875,,0.6587285995483398
2014-01-22,0.85,0.875,0.85,0.87,,0.87,,0.66097491979599
2014-01-23,0.87,0.875,0.87,0.87,,0.87,,0.665168046951294
2014-01-24,0.865,0.87,0.865,0.865,,0.875,,0.6683864593505859
2014-01-28,0.855,0.895,0.85,0.88,,0.86,,0.6697641015052795
2014-01-29,0.88,0.9,0.87,0.885,,0.89,,0.6719939708709717
2014-01-30,0.885,0.89,0.88,0.88,,0.9,,0.6722074747085571
2014-01-31,0.88,0.9,0.88,0.9,,0.89,,0.6714921593666077
2014-02-03,0.9,0.9,0.9,0.9,,0.93,,0.6695685386657715
2014-02-04,0.885,0.91,0.885,0.9,,0.935,,0.6658024191856384
2014-02-05,0.89,0.9,0.89,0.895,,0.92,,0.6610924005508423
2014-02-06,0.895,0.92,0.89,0.905,,0.905,,0.6563403010368347
2014-02-07,0.905,0.915,0.9,0.9,,0.93,,0.6513239741325378
2014-02-10,0.9,0.91,0.895,0.91,,0.9,,0.6470256447792053
2014-02-11,0.91,0.91,0.895,0.895,,0.92,,0.6438935995101929
2014-02-12,0.905,0.905,0.895,0.9,,0.89,,0.6446146368980408
2014-02-13,0.905,0.91,0.895,0.9,,0.905,,0.6449888348579407
2014-02-14,0.9,0.9,0.89,0.89,,0.895,,0.6450293064117432
2014-02-17,0.9,0.9,0.885,0.885,,0.88,,0.6447489261627197
2014-02-18,0.9,0.9,0.875,0.875,,0.86,,0.6443730592727661
2014-02-19,0.895,0.905,0.88,0.89,,0.855,,0.6435390114784241
2014-02-20,0.89,0.89,0.88,0.89,,0.88,,0.6423020958900452
2014-02-21,0.885,0.89,0.88,0.88,,0.88,,0.6412295699119568
2014-02-24,0.875,0.89,0.875,0.875,,0.87,,0.6400123238563538
2014-02-25,0.88,0.885,0.87,0.875,,0.865,,0.6393455266952515
2014-02-26,0.885,0.885,0.87,0.88,,0.875,,0.6385726928710938
2014-02-27,0.88,0.885,0.875,0.875,,0.87,,0.6373845338821411
2014-02-28,0.875,0.88,0.87,0.875,,0.86,,0.6364675760269165
