Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
2007-12-05,0.99,0.99,0.89,0.94,254000.0,,,1.0873993635177612,,,,,,
2007-12-06,0.94,0.94,0.92,0.92,115921.0,,,1.0615916252136228,,,,,,
2007-12-07,0.91,0.91,0.85,0.85,426300.0,,,1.028420090675354,,,,,,
2007-12-10,0.86,0.93,0.85,0.91,112877.0,,,0.9865941405296326,,,,,,
2007-12-11,0.9,0.9,0.89,0.89,43500.0,,,0.9354752898216248,,,,,,
2007-12-12,0.86,0.86,0.805,0.86,31000.0,,,0.8797413110733032,,,,,,
2007-12-13,0.85,0.85,0.8,0.8,40073.0,0.78,,0.8272529244422913,0.8814285714285715,,,,,
2007-12-14,0.82,0.82,0.79,0.79,75500.0,0.68,,0.7822023630142212,0.86,,,,,
2007-12-17,0.79,0.79,0.75,0.75,42432.0,0.7300000000000001,,0.7490388751029968,0.8357142857142856,,,,,
2007-12-18,0.75,0.75,0.75,0.75,7038.0,0.59,,0.7242765426635742,0.8214285714285714,,,,,
2007-12-19,0.8,0.8,0.75,0.75,122200.0,0.61,,0.7046864032745361,0.7985714285714286,,,,,
2007-12-20,0.76,0.76,0.75,0.75,14700.0,0.64,,0.6922541856765747,0.7785714285714286,,,,,
2007-12-21,0.75,0.75,0.7,0.7,48350.0,0.7,,0.6875511407852173,0.7557142857142857,,,,,
2007-12-24,0.705,0.705,0.705,0.705,48350.0,0.6099999999999999,,0.6902420520782471,0.7421428571428572,0.8117857142857143,,,,
2007-12-27,0.715,0.715,0.715,0.715,48350.0,0.6599999999999999,,0.6997031569480896,0.7314285714285714,0.7957142857142857,,,,
2007-12-28,0.77,0.77,0.77,0.77,1000.0,0.6799999999999999,,0.7099117636680603,0.7342857142857143,0.785,,,,
2007-12-31,0.75,0.75,0.725,0.725,12736.0,0.79,,0.7087645530700684,0.7307142857142858,0.7760714285714286,,,,
2008-01-02,0.725,0.725,0.725,0.725,12736.0,0.7,,0.709670901298523,0.7271428571428571,0.7628571428571428,,,,
2008-01-03,0.725,0.725,0.7,0.7,37479.0,0.75,,0.6996498107910156,0.72,0.7492857142857142,,,,
2008-01-04,0.71,0.71,0.7,0.7,28764.0,0.695,,0.6916212439537048,0.72,0.7378571428571428,,,,
2008-01-07,0.7,0.7,0.695,0.695,23316.0,0.6849999999999999,,0.6819202899932861,0.7185714285714286,0.7303571428571427,,,,
2008-01-08,0.685,0.685,0.68,0.68,87231.0,0.6199999999999999,,0.6712464094161987,0.7135714285714286,0.7224999999999999,,,,
2008-01-09,0.65,0.65,0.65,0.65,10000.0,0.6350000000000001,,0.6611173152923584,0.6964285714285714,0.7153571428571428,,,,
2008-01-10,0.65,0.685,0.63,0.685,29000.0,0.5750000000000001,,0.6528428196907043,0.6907142857142858,0.7107142857142856,,,,
2008-01-11,0.68,0.68,0.68,0.68,769.0,0.6700000000000002,,0.6444878578186035,0.6842857142857144,0.7057142857142856,,,,
2008-01-14,0.68,0.68,0.63,0.63,222731.0,0.6600000000000001,,0.6358245611190796,0.6742857142857144,0.6971428571428572,,,,
2008-01-15,0.63,0.63,0.63,0.63,21600.0,0.5650000000000001,,0.621453046798706,0.6642857142857144,0.6921428571428573,,,,
2008-01-16,0.63,0.63,0.6,0.6,204683.0,0.58,,0.6045451760292053,0.6507142857142857,0.6846428571428572,,,,
2008-01-17,0.55,0.55,0.55,0.55,10000.0,0.5499999999999999,,0.5923186540603638,0.6321428571428571,0.6728571428571429,,,,
2008-01-18,0.555,0.555,0.55,0.55,17500.0,0.415,,0.58098304271698,0.6178571428571428,0.6571428571428574,0.7349999999999998,,,
2008-01-21,0.55,0.6,0.52,0.55,18700.0,0.42,,0.5670685172080994,0.5985714285714285,0.6446428571428574,0.7219999999999998,,,
2008-01-22,0.55,0.55,0.45,0.45,202500.0,0.4700000000000001,,0.5530389547348022,0.5657142857142856,0.6250000000000002,0.706333333333333,,,
2008-01-23,0.535,0.535,0.49,0.5,27380.0,0.27,,0.5392824411392212,0.547142857142857,0.610714285714286,0.6946666666666663,,,
2008-01-24,0.48,0.49,0.45,0.45,45400.0,0.4,,0.5257709026336671,0.5214285714285714,0.5928571428571432,0.6793333333333329,,,
