Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM
2006-07-04,0.215,0.215,0.195,0.215,1424401.0,,,0.2427023947238922
2006-07-05,0.215,0.23,0.215,0.22,366749.0,,,0.23356327414512634
2006-07-06,0.215,0.23,0.215,0.23,225400.0,,,0.22649720311164856
2006-07-07,0.22,0.23,0.22,0.22,691000.0,,,0.22140932083129883
2006-07-10,0.22,0.22,0.21,0.22,385000.0,,,0.21808651089668274
2006-07-11,0.22,0.22,0.215,0.215,255000.0,,,0.21629121899604797
2006-07-12,0.21,0.22,0.21,0.22,197500.0,0.215,,0.21610119938850403
2006-07-13,0.22,0.22,0.215,0.215,32500.0,0.22,,0.21736526489257812
2006-07-14,0.21,0.215,0.21,0.215,124099.0,0.2,,0.2199409306049347
2006-07-17,0.215,0.23,0.215,0.23,586901.0,0.21,,0.2232673168182373
2006-07-18,0.23,0.23,0.22,0.225,732599.0,0.24,,0.2253563404083252
2006-07-19,0.225,0.225,0.22,0.225,119666.0,0.235,,0.22680315375328064
2006-07-20,0.225,0.225,0.215,0.225,156401.0,0.23,,0.22659480571746826
2006-07-21,0.21,0.21,0.21,0.21,50000.0,0.235,,0.22501584887504578
2006-07-24,0.205,0.225,0.205,0.225,314043.0,0.205,,0.22363458573818207
2006-07-25,0.225,0.23,0.225,0.23,163457.0,0.22,,0.2224423885345459
2006-07-26,0.23,0.23,0.22,0.22,35000.0,0.235,,0.22141101956367493
2006-07-27,0.22,0.22,0.215,0.22,200000.0,0.215,,0.22050057351589203
2006-07-28,0.215,0.215,0.215,0.215,76901.0,0.215,,0.2199268341064453
2006-07-31,0.215,0.22,0.21,0.22,270000.0,0.22,,0.21964743733406067
2006-08-01,0.21,0.215,0.21,0.215,239584.0,0.215,,0.21948225796222687
2006-08-02,0.215,0.215,0.21,0.21,52500.0,0.2,,0.219411239027977
2006-08-03,0.21,0.21,0.21,0.21,52500.0,0.2,,0.21943138539791107
2006-08-04,0.215,0.225,0.21,0.22,520000.0,0.2,,0.21953600645065308
2006-08-07,0.22,0.22,0.215,0.22,115000.0,0.225,,0.21971827745437622
2006-08-08,0.22,0.23,0.215,0.22,301000.0,0.22,,0.21970953047275543
2006-08-09,0.22,0.225,0.22,0.225,40015.0,0.225,,0.21968573331832886
2006-08-10,0.225,0.225,0.22,0.225,336000.0,0.24,,0.21970874071121216
2006-08-11,0.215,0.215,0.215,0.215,336000.0,0.24,,0.21969404816627502
2006-08-14,0.225,0.225,0.215,0.225,115000.0,0.21,,0.21975257992744446
2006-08-15,0.225,0.225,0.225,0.225,100000.0,0.23,,0.21988117694854736
2006-08-16,0.225,0.225,0.225,0.225,19528.0,0.23,,0.22007715702056885
2006-08-17,0.225,0.23,0.225,0.23,215000.0,0.225,,0.2203434407711029
2006-08-18,0.225,0.225,0.225,0.225,215000.0,0.235,,0.2206694483757019
2006-08-21,0.225,0.225,0.225,0.225,52500.0,0.235,,0.2210530936717987
2006-08-22,0.225,0.225,0.22,0.225,120372.0,0.225,,0.22149266302585602
2006-08-23,0.22,0.22,0.22,0.22,47222.0,0.225,,0.22198671102523804
2006-08-24,0.22,0.22,0.22,0.22,25000.0,0.215,,0.22253429889678955
2006-08-25,0.22,0.22,0.22,0.22,25000.0,0.21,,0.22313472628593445
2006-08-28,0.22,0.22,0.22,0.22,29500.0,0.215,,0.22378754615783691
2006-08-29,0.225,0.225,0.225,0.225,267128.0,0.215,,0.224492609500885
2006-08-30,0.23,0.23,0.225,0.23,35000.0,0.225,,0.2252500355243683
2006-08-31,0.225,0.225,0.22,0.225,102500.0,0.24,,0.22606025636196136
2006-09-01,0.225,0.225,0.225,0.225,50000.0,0.23,,0.2269238978624344
2006-09-04,0.23,0.23,0.23,0.23,30000.0,0.23,,0.2292655110359192
2006-09-05,0.225,0.225,0.225,0.225,112500.0,0.24,,0.23178818821907043
2006-09-06,0.23,0.23,0.23,0.23,115000.0,0.225,,0.23442739248275757
2006-09-07,0.225,0.23,0.225,0.23,52175.0,0.23,,0.23603636026382446
2006-09-08,0.225,0.225,0.22,0.22,25000.0,0.235,,0.23589952290058136
2006-09-11,0.225,0.225,0.225,0.225,10000.0,0.215,,0.23573008179664612
2006-09-12,0.225,0.225,0.215,0.215,201150.0,0.22,,0.23552276194095612
2006-09-13,0.22,0.22,0.2,0.2,150000.0,0.205,,0.2352720946073532
2006-09-14,0.21,0.21,0.21,0.21,100000.0,0.17,,0.2349722981452942
2006-09-15,0.205,0.22,0.205,0.205,163850.0,0.19,,0.23461729288101196
2006-09-18,0.22,0.22,0.22,0.22,1150.0,0.19,,0.23431512713432312
2006-09-19,0.22,0.22,0.22,0.22,70000.0,0.215,,0.23439940810203552
2006-09-20,0.21,0.21,0.2,0.21,250000.0,0.225,,0.23451611399650574
2006-09-21,0.21,0.21,0.21,0.21,250000.0,0.22,,0.23392808437347412
2006-09-22,0.21,0.21,0.21,0.21,250000.0,0.21,,0.2328561246395111
2006-09-25,0.21,0.21,0.21,0.21,27400.0,0.215,,0.23182368278503418
2006-09-26,0.2,0.2,0.2,0.2,50000.0,0.2,,0.23083308339118958
2006-09-27,0.22,0.22,0.21,0.21,300000.0,0.18000000000000002,,0.22988668084144592
2006-09-28,0.21,0.21,0.21,0.21,180000.0,0.21,,0.22871601581573486
2006-09-29,0.21,0.21,0.21,0.21,180000.0,0.21,,0.22738011181354523
2006-10-02,0.21,0.21,0.21,0.21,180000.0,0.21,,0.22608037292957306
2006-10-03,0.21,0.21,0.21,0.21,180000.0,0.21,,0.22575482726097107
2006-10-04,0.21,0.21,0.21,0.21,78000.0,0.22,,0.22602659463882446
2006-10-05,0.21,0.21,0.21,0.21,62000.0,0.21,,0.22637087106704712
2006-10-06,0.17,0.17,0.17,0.17,62000.0,0.21,,0.22678813338279724
2006-10-09,0.17,0.17,0.17,0.17,62000.0,0.13000000000000006,,0.22727884352207184
2006-10-10,0.17,0.17,0.17,0.17,62000.0,0.13000000000000006,,0.22784334421157837
2006-10-11,0.2,0.2,0.195,0.2,39400.0,0.13000000000000006,,0.22848185896873474
2006-10-12,0.2,0.2,0.2,0.2,39400.0,0.19000000000000009,,0.22919456660747528
2006-10-13,0.2,0.2,0.2,0.2,39400.0,0.19000000000000009,,0.22998154163360596
2006-10-16,0.2,0.2,0.2,0.2,39400.0,0.23,,0.2308427095413208
2006-10-17,0.2,0.2,0.2,0.2,3000.0,0.23,,0.23177793622016907
2006-10-18,0.2,0.2,0.2,0.2,7000.0,0.23,,0.23278696835041046
2006-10-19,0.195,0.2,0.195,0.2,35100.0,0.2,,0.23386943340301514
2006-10-20,0.2,0.2,0.2,0.2,35100.0,0.2,,0.2350248396396637
2006-10-23,0.2,0.2,0.2,0.2,164900.0,0.2,,0.23625262081623077
2006-10-24,0.17,0.17,0.17,0.17,164900.0,0.2,,0.23755204677581787
2006-10-25,0.2,0.2,0.2,0.2,193100.0,0.14,,0.23892229795455933
2006-10-26,0.2,0.2,0.2,0.2,300000.0,0.2,,0.24036239087581635
2006-10-27,0.2,0.2,0.2,0.2,40000.0,0.2,,0.2418712079524994
2006-10-30,0.17,0.17,0.17,0.17,40000.0,0.2,,0.24344763159751892
2006-10-31,0.2,0.2,0.18,0.2,150000.0,0.14,,0.24509023129940033
2006-11-01,0.2,0.2,0.2,0.2,97500.0,0.23,,0.2468166947364807
2006-11-02,0.21,0.21,0.2,0.205,780000.0,0.2,,0.24867142736911774
2006-11-03,0.205,0.205,0.205,0.205,390000.0,0.21,,0.2505645155906677
2006-11-06,0.205,0.23,0.205,0.23,231150.0,0.21,,0.2521580159664154
2006-11-07,0.23,0.23,0.215,0.215,195000.0,0.29000000000000004,,0.253476083278656
2006-11-08,0.215,0.215,0.215,0.215,195000.0,0.23,,0.2548023462295532
2006-11-09,0.22,0.22,0.22,0.22,11000.0,0.23,,0.2561356723308563
2006-11-10,0.215,0.22,0.21,0.21,93000.0,0.235,,0.25747501850128174
2006-11-13,0.21,0.21,0.21,0.21,362500.0,0.215,,0.25881922245025635
2006-11-14,0.22,0.245,0.22,0.24,490500.0,0.19,,0.2601672410964966
2006-11-15,0.25,0.255,0.245,0.245,927851.0,0.265,,0.2615179717540741
2006-11-16,0.245,0.245,0.24,0.24,866000.0,0.275,,0.26287031173706055
2006-11-17,0.24,0.245,0.225,0.245,240001.0,0.26,,0.26422318816185
2006-11-20,0.235,0.235,0.235,0.235,240001.0,0.28,,0.26557549834251404
2006-11-21,0.235,0.245,0.235,0.245,52500.0,0.26,,0.2669261693954468
2006-11-22,0.25,0.25,0.245,0.25,135000.0,0.25,,0.26827409863471985
2006-11-23,0.25,0.25,0.24,0.245,285000.0,0.255,,0.2696181833744049
2006-11-24,0.24,0.245,0.24,0.245,431824.0,0.25,,0.2709573209285736
2006-11-27,0.25,0.25,0.25,0.25,159499.0,0.245,,0.27229043841362
2006-11-28,0.25,0.25,0.245,0.25,483001.0,0.265,,0.2736164629459381
2006-11-29,0.25,0.28,0.25,0.25,613000.0,0.255,,0.2749342620372772
2006-11-30,0.25,0.25,0.25,0.25,43000.0,0.25,,0.27624276280403137
2006-12-01,0.25,0.25,0.245,0.25,25000.0,0.255,,0.2775408923625946
2006-12-04,0.255,0.255,0.255,0.255,35000.0,0.255,,0.2788275182247162
2006-12-05,0.255,0.3,0.255,0.3,69000.0,0.26,,0.28010159730911255
2006-12-06,0.27,0.27,0.27,0.27,40000.0,0.35,,0.28136199712753296
2006-12-07,0.26,0.265,0.26,0.265,177000.0,0.29000000000000004,,0.28260764479637146
2006-12-08,0.265,0.265,0.265,0.265,500.0,0.28,,0.2838374376296997
2006-12-11,0.26,0.26,0.25,0.25,521999.0,0.28,,0.28505030274391174
2006-12-12,0.25,0.26,0.25,0.26,240001.0,0.245,,0.2862451374530792
2006-12-13,0.27,0.27,0.255,0.26,191818.0,0.22000000000000008,,0.2874208390712738
2006-12-14,0.255,0.255,0.255,0.255,25000.0,0.25,,0.2884625196456909
2006-12-15,0.255,0.255,0.25,0.25,85000.0,0.245,,0.2892460823059082
2006-12-18,0.25,0.25,0.25,0.25,85000.0,0.235,,0.28997254371643066
2006-12-19,0.25,0.25,0.25,0.25,70000.0,0.25,,0.2905507981777191
2006-12-20,0.26,0.26,0.25,0.25,26650.0,0.24,,0.2911382019519806
2006-12-21,0.25,0.25,0.245,0.25,55000.0,0.24,,0.2917346954345703
2006-12-22,0.26,0.26,0.25,0.26,504250.0,0.245,,0.2923401892185211
2006-12-27,0.25,0.25,0.25,0.25,504250.0,0.27,,0.2929547131061554
2006-12-28,0.25,0.25,0.25,0.25,504250.0,0.25,,0.2935781478881836
2006-12-29,0.25,0.25,0.25,0.25,8000.0,0.25,,0.2942104637622833
2007-01-02,0.25,0.25,0.25,0.25,20000.0,0.25,,0.2948516309261322
2007-01-03,0.25,0.26,0.25,0.26,52500.0,0.25,,0.29550158977508545
2007-01-04,0.26,0.29,0.25,0.29,125114.0,0.26,,0.2961602807044983
2007-01-05,0.27,0.27,0.27,0.27,125114.0,0.33,,0.29682764410972595
2007-01-08,0.27,0.27,0.27,0.27,105318.0,0.29000000000000004,,0.29750365018844604
2007-01-09,0.265,0.265,0.265,0.265,1000.0,0.29000000000000004,,0.2981882691383362
2007-01-10,0.265,0.27,0.265,0.27,129801.0,0.28,,0.2988814115524292
2007-01-11,0.265,0.265,0.265,0.265,10000.0,0.28,,0.2995830774307251
2007-01-12,0.265,0.27,0.26,0.27,102820.0,0.24000000000000005,,0.30029311776161194
2007-01-15,0.26,0.26,0.25,0.25,125000.0,0.27,,0.3010115921497345
2007-01-16,0.25,0.25,0.25,0.25,125000.0,0.23,,0.3017384111881256
2007-01-17,0.265,0.265,0.265,0.265,75000.0,0.235,,0.3024735450744629
2007-01-18,0.27,0.27,0.26,0.27,300000.0,0.26,,0.3032169044017792
2007-01-19,0.27,0.27,0.27,0.27,31500.0,0.275,,0.3039684295654297
2007-01-22,0.27,0.27,0.27,0.27,89511.0,0.27,,0.3047281503677368
2007-01-23,0.27,0.285,0.27,0.285,117400.0,0.29000000000000004,,0.305495947599411
2007-01-24,0.285,0.285,0.285,0.285,14000.0,0.31999999999999995,,0.3062717914581299
2007-01-25,0.28,0.28,0.28,0.28,135000.0,0.30499999999999994,,0.30705562233924866
2007-01-29,0.285,0.29,0.275,0.29,170000.0,0.29000000000000004,,0.30784741044044495
2007-01-30,0.29,0.29,0.29,0.29,110000.0,0.30999999999999994,,0.308647096157074
2007-01-31,0.29,0.29,0.29,0.29,100000.0,0.30999999999999994,,0.30945464968681335
2007-02-01,0.285,0.285,0.285,0.285,45000.0,0.295,0.29,0.3102699816226959
2007-02-02,0.285,0.285,0.285,0.285,4979.0,0.285,0.28700000000000003,0.3110930621623993
2007-02-05,0.285,0.285,0.285,0.285,25000.0,0.2899999999999999,0.28500000000000003,0.3119238615036011
2007-02-06,0.285,0.285,0.285,0.285,145000.0,0.28,0.28500000000000003,0.3127623200416565
2007-02-07,0.285,0.285,0.285,0.285,87500.0,0.28,0.28500000000000003,0.3136083781719208
2007-02-08,0.285,0.285,0.28,0.28,30521.0,0.28,0.28500000000000003,0.31446197628974915
2007-02-09,0.275,0.275,0.275,0.275,30521.0,0.2750000000000001,0.28150000000000003,0.3153230845928192
2007-02-12,0.29,0.29,0.275,0.29,88000.0,0.2650000000000001,0.2775,0.3161916136741638
2007-02-13,0.285,0.285,0.285,0.285,125000.0,0.295,0.28300000000000003,0.31706762313842773
2007-02-14,0.29,0.29,0.29,0.29,320979.0,0.285,0.2855,0.317950963973999
2007-02-15,0.3,0.32,0.3,0.32,858000.0,0.295,0.28700000000000003,0.3188416063785553
2007-02-16,0.325,0.355,0.31,0.34,211932.0,0.36,0.31699999999999995,0.3197394907474518
2007-02-19,0.355,0.355,0.325,0.325,44385.0,0.405,0.334,0.3206445872783661
2007-02-20,0.35,0.37,0.33,0.37,81615.0,0.36000000000000004,0.3255,0.32155686616897583
2007-02-21,0.33,0.33,0.33,0.33,81615.0,0.455,0.3375,0.32247623801231384
2007-02-22,0.33,0.33,0.33,0.33,81615.0,0.3700000000000001,0.3295,0.3234027028083801
2007-02-23,0.33,0.33,0.32,0.32,29015.0,0.34,0.33,0.32433611154556274
2007-02-26,0.32,0.32,0.31,0.31,5000.0,0.3,0.32099999999999995,0.32527652382850647
2007-02-27,0.31,0.31,0.31,0.31,5000.0,0.295,0.314,0.32622385025024414
2007-02-28,0.3,0.3,0.28,0.29,204200.0,0.25,0.313,0.327178031206131
2007-03-01,0.29,0.29,0.29,0.29,204200.0,0.24999999999999994,0.303,0.328139066696167
2007-03-02,0.3,0.3,0.3,0.3,100000.0,0.24999999999999994,0.294,0.32910680770874023
2007-03-05,0.29,0.29,0.29,0.29,27000.0,0.28,0.29899999999999993,0.3300812840461731
2007-03-06,0.28,0.28,0.28,0.28,26589.0,0.27,0.29399999999999993,0.3310624361038208
2007-03-07,0.29,0.29,0.29,0.29,21411.0,0.2500000000000001,0.2830000000000001,0.3320501744747162
2007-03-08,0.31,0.31,0.3,0.3,102000.0,0.29,0.28700000000000003,0.33304452896118164
2007-03-09,0.3,0.3,0.3,0.3,55500.0,0.31,0.29400000000000004,0.3340453505516052
2007-03-12,0.3,0.32,0.3,0.3,632500.0,0.3,0.29799999999999993,0.3350526690483093
2007-03-13,0.3,0.3,0.3,0.3,200000.0,0.31,0.29999999999999993,0.33606642484664917
2007-03-14,0.3,0.3,0.3,0.3,25000.0,0.31999999999999995,0.29999999999999993,0.3370865285396576
2007-03-15,0.3,0.3,0.3,0.3,149285.0,0.31,0.29999999999999993,0.3381129503250122
2007-03-16,0.3,0.3,0.3,0.3,8000.0,0.3,0.29999999999999993,0.3391456604003906
2007-03-19,0.3,0.3,0.3,0.3,10000.0,0.3,0.29999999999999993,0.3401845693588257
2007-03-20,0.31,0.31,0.3,0.3,200000.0,0.3,0.29999999999999993,0.3412296772003174
2007-03-21,0.3,0.3,0.3,0.3,200000.0,0.3,0.29999999999999993,0.34228089451789856
2007-03-22,0.3,0.3,0.3,0.3,200000.0,0.3,0.3,0.3433381915092468
2007-03-23,0.3,0.3,0.27,0.3,348750.0,0.3,0.29999999999999993,0.3444015383720398
2007-03-26,0.3,0.33,0.29,0.33,295000.0,0.3,0.29999999999999993,0.3454707860946655
2007-03-27,0.29,0.33,0.29,0.3,325000.0,0.36000000000000004,0.3210000000000001,0.3465460240840912
2007-03-28,0.33,0.33,0.3,0.31,751500.0,0.3,0.306,0.34762710332870483
2007-03-29,0.34,0.34,0.3,0.33,349000.0,0.32,0.309,0.34871405363082886
2007-03-30,0.34,0.37,0.33,0.37,1679500.0,0.36000000000000004,0.32,0.3498067855834961
2007-04-02,0.37,0.38,0.35,0.37,780750.0,0.44,0.35300000000000004,0.350905179977417
2007-04-03,0.39,0.39,0.38,0.38,332500.0,0.41,0.3660000000000001,0.3520093262195587
2007-04-04,0.375,0.375,0.375,0.375,542785.0,0.46,0.3770000000000001,0.3531190752983093
2007-04-05,0.375,0.405,0.37,0.375,732500.0,0.44,0.3755,0.35423439741134644
2007-04-10,0.38,0.415,0.375,0.415,60000.0,0.42,0.375,0.35535523295402527
2007-04-11,0.39,0.425,0.39,0.425,171000.0,0.46,0.4069999999999999,0.35648155212402344
2007-04-12,0.395,0.43,0.395,0.43,321000.0,0.48,0.4149999999999999,0.35761332511901855
2007-04-13,0.44,0.52,0.4,0.5,295927.0,0.48,0.4245,0.35875049233436584
2007-04-16,0.55,0.6,0.52,0.6,178500.0,0.625,0.4715,0.35989296436309814
2007-04-17,0.595,0.595,0.5,0.51,95000.0,0.825,0.5255,0.36104074120521545
2007-04-18,0.58,0.58,0.55,0.55,10000.0,0.605,0.5099999999999999,0.362193763256073
2007-04-19,0.55,0.57,0.55,0.57,91200.0,0.675,0.5289999999999999,0.363351970911026
2007-04-20,0.55,0.55,0.55,0.55,50000.0,0.71,0.562,0.3645153045654297
2007-04-23,0.55,0.55,0.51,0.51,148900.0,0.6000000000000001,0.5539999999999999,0.36568373441696167
2007-04-24,0.525,0.55,0.52,0.55,125000.0,0.42,0.522,0.3668571710586548
2007-04-26,0.51,0.51,0.48,0.51,131000.0,0.5900000000000001,0.5339999999999999,0.3680356442928314
2007-04-27,0.5,0.5,0.5,0.5,44600.0,0.47,0.5179999999999999,0.36921900510787964
2007-04-30,0.5,0.5,0.5,0.5,25000.0,0.4300000000000001,0.5069999999999999,0.3704073131084442
2007-05-01,0.5,0.5,0.48,0.5,248600.0,0.45,0.501,0.3716004490852356
2007-05-02,0.5,0.5,0.5,0.5,105000.0,0.49,0.501,0.3727983236312866
2007-05-03,0.505,0.51,0.5,0.51,165000.0,0.45,0.5,0.37400099635124207
2007-05-04,0.515,0.515,0.5,0.5,300000.0,0.51,0.5069999999999999,0.3752083480358124
2007-05-07,0.51,0.51,0.51,0.51,100000.0,0.5,0.502,0.37642034888267517
2007-05-08,0.51,0.51,0.51,0.51,100000.0,0.52,0.506,0.3776368796825409
2007-05-09,0.52,0.52,0.52,0.52,75000.0,0.52,0.5079999999999999,0.3788580298423767
2007-05-10,0.52,0.52,0.51,0.52,139750.0,0.54,0.517,0.37972381711006165
2007-05-11,0.515,0.53,0.51,0.53,174000.0,0.53,0.5189999999999999,0.3801986873149872
2007-05-14,0.505,0.505,0.505,0.505,174000.0,0.56,0.5280000000000001,0.3806725740432739
2007-05-15,0.505,0.55,0.505,0.55,115500.0,0.5,0.508,0.3811454772949219
2007-05-16,0.57,0.7,0.57,0.68,273550.0,0.5900000000000001,0.5245,0.38161739706993103
2007-05-17,0.68,0.69,0.68,0.68,177500.0,0.8400000000000001,0.6495,0.3820882737636566
2007-05-18,0.69,0.69,0.65,0.65,140000.0,0.8400000000000001,0.6799999999999999,0.382558137178421
2007-05-21,0.65,0.7,0.65,0.65,240000.0,0.77,0.6559999999999999,0.3830268979072571
2007-05-22,0.62,0.65,0.62,0.62,84500.0,0.795,0.6500000000000001,0.38349461555480957
2007-05-23,0.62,0.65,0.595,0.65,60058.0,0.69,0.6260000000000001,0.38396120071411133
2007-05-24,0.65,0.65,0.63,0.63,115049.0,0.62,0.6380000000000001,0.38442668318748474
2007-05-25,0.62,0.62,0.6,0.6,29500.0,0.58,0.631,0.38489100337028503
2007-05-28,0.59,0.59,0.59,0.59,11000.0,0.5499999999999999,0.6210000000000001,0.3853541910648346
2007-05-29,0.59,0.59,0.59,0.59,35000.0,0.5299999999999999,0.603,0.38581615686416626
2007-05-30,0.59,0.59,0.59,0.59,35000.0,0.5599999999999999,0.598,0.3861082196235657
2007-05-31,0.59,0.63,0.59,0.6,107800.0,0.5299999999999999,0.591,0.38619929552078247
2007-06-01,0.595,0.595,0.56,0.56,7500.0,0.57,0.5959999999999999,0.38628730177879333
2007-06-04,0.56,0.56,0.55,0.55,18600.0,0.5200000000000001,0.5600000000000002,0.3863721191883087
2007-06-05,0.55,0.57,0.55,0.57,38000.0,0.5100000000000001,0.5519999999999999,0.3864538073539734
2007-06-06,0.57,0.58,0.57,0.58,84500.0,0.5499999999999999,0.5599999999999999,0.38653242588043213
2007-06-07,0.56,0.56,0.56,0.56,84500.0,0.57,0.57,0.3866078555583954
2007-06-08,0.57,0.57,0.57,0.57,84500.0,0.5200000000000001,0.5640000000000001,0.3866801857948303
2007-06-12,0.575,0.6,0.55,0.6,125458.0,0.5799999999999998,0.5690000000000001,0.3867493271827698
2007-06-13,0.58,0.59,0.58,0.59,114000.0,0.6499999999999999,0.5820000000000001,0.3868154287338257
2007-06-14,0.58,0.58,0.55,0.55,33500.0,0.61,0.585,0.3868783116340637
2007-06-15,0.55,0.55,0.55,0.55,154770.0,0.5200000000000001,0.5579999999999999,0.3869381248950958
2007-06-18,0.56,0.6,0.55,0.6,27300.0,0.54,0.5499999999999999,0.38699477910995483
2007-06-19,0.625,0.625,0.625,0.625,15000.0,0.63,0.5899999999999999,0.3870483338832855
2007-06-20,0.55,0.55,0.55,0.55,15000.0,0.65,0.62,0.3870987594127655
2007-06-21,0.58,0.58,0.58,0.58,10000.0,0.5100000000000001,0.5925,0.3871460556983948
2007-06-22,0.55,0.55,0.55,0.55,29000.0,0.6099999999999999,0.5815,0.38719019293785095
2007-06-25,0.565,0.565,0.55,0.55,13500.0,0.55,0.568,0.3872312307357788
2007-06-26,0.55,0.55,0.55,0.55,13500.0,0.5000000000000001,0.5574999999999999,0.38726916909217834
2007-06-27,0.55,0.55,0.5,0.53,397693.0,0.4750000000000001,0.5499999999999999,0.3873039484024048
2007-06-28,0.565,0.58,0.565,0.58,15500.0,0.51,0.5399999999999999,0.3873356282711029
2007-06-29,0.58,0.625,0.58,0.6,45800.0,0.58,0.5770000000000001,0.38736414909362793
2007-07-02,0.63,0.65,0.6,0.645,152600.0,0.6499999999999999,0.585,0.387389600276947
