Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM
2015-06-11,2.1,2.14,2.03,2.08,,,,0.3079598546028137
2015-06-12,2.07,2.14,2.06,2.12,,,,0.4339359998703003
2015-06-15,2.12,2.14,2.11,2.11,,,,0.5940185189247131
2015-06-16,2.11,2.11,2.06,2.06,,,,0.7921134829521179
2015-06-17,2.07,2.08,2.0,2.02,,,,1.0319812297821045
2015-06-18,2.04,2.04,2.02,2.02,,,,1.305034875869751
2015-06-19,2.02,2.07,2.02,2.07,,1.96,,1.569462537765503
2015-06-22,2.07,2.07,2.05,2.05,,2.02,,1.7719557285308838
2015-06-23,2.05,2.09,2.05,2.08,,1.99,,1.9310328960418701
2015-06-24,2.08,2.08,2.07,2.07,,2.1,,2.0569777488708496
2015-06-25,2.07,2.08,2.07,2.08,,2.12,,2.1499085426330566
2015-06-26,2.07,2.1,2.07,2.08,,2.14,,2.2049598693847656
2015-06-29,2.06,2.06,2.01,2.06,,2.0900000000000003,,2.230879783630371
2015-06-30,2.03,2.05,2.01,2.04,,2.0700000000000003,,2.226044178009033
2015-07-01,2.04,2.07,2.03,2.06,,2.0,,2.1931583881378174
2015-07-02,2.06,2.06,2.04,2.05,,2.0500000000000003,,2.1308484077453613
2015-07-03,2.05,2.05,2.03,2.04,,2.02,,2.044468641281128
2015-07-06,2.03,2.03,2.01,2.02,,2.0,,1.936806082725525
2015-07-07,2.02,2.05,2.01,2.03,,1.98,,1.894272804260254
2015-07-08,2.05,2.05,2.03,2.05,,2.02,,1.9026625156402588
2015-07-09,2.02,2.03,2.0,2.02,,2.04,,1.9029947519302368
2015-07-10,2.05,2.05,2.0,2.05,,1.99,,1.8954910039901733
2015-07-13,2.05,2.05,2.01,2.05,,2.06,,1.8804080486297607
2015-07-14,2.04,2.08,2.04,2.08,,2.08,,1.8685550689697266
2015-07-15,2.07,2.1,2.07,2.09,,2.1300000000000003,,1.8607182502746582
2015-07-16,2.09,2.14,2.09,2.13,,2.13,,1.8599605560302734
2015-07-17,2.14,2.165,2.13,2.16,,2.24,,1.8690862655639648
2015-07-20,2.16,2.17,2.14,2.16,,2.2700000000000005,,1.8860740661621094
2015-07-21,2.17,2.18,2.15,2.17,,2.2700000000000005,,1.9045543670654297
2015-07-22,2.16,2.24,2.16,2.21,,2.26,,1.9197728633880615
2015-07-23,2.23,2.235,2.2,2.21,,2.33,,1.9317277669906616
2015-07-24,2.2,2.22,2.19,2.21,,2.29,,1.9401781558990479
2015-07-27,2.21,2.25,2.2,2.25,,2.26,,1.9447252750396729
2015-07-28,2.23,2.25,2.22,2.25,,2.34,,1.9460138082504272
2015-07-29,2.25,2.27,2.24,2.27,,2.33,,1.9440770149230957
2015-07-30,2.27,2.27,2.22,2.22,,2.33,,1.9389575719833374
2015-07-31,2.22,2.24,2.19,2.22,,2.2300000000000004,2.241,1.9307066202163696
