Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM
2007-06-15,1.27,1.54,1.27,1.43,534133.0,,,0.4831058084964752
2007-06-18,1.49,1.49,1.46,1.46,146726.0,,,0.6227436661720276
2007-06-19,1.47,1.47,1.43,1.43,220641.0,,,0.8034763932228088
2007-06-20,1.43,1.45,1.43,1.44,255901.0,,,1.0319609642028809
2007-06-21,1.45,1.47,1.44,1.47,43890.0,,,1.202467918395996
2007-06-22,1.485,1.5,1.485,1.5,128832.0,,,1.337886095046997
2007-06-25,1.49,1.57,1.49,1.57,12010.0,1.57,,1.4424216747283936
2007-06-26,1.58,1.65,1.58,1.65,26500.0,1.6800000000000002,,1.5291574001312256
2007-06-27,1.67,1.67,1.65,1.65,3000.0,1.87,,1.6000869274139404
2007-06-28,1.68,1.8,1.68,1.8,28500.0,1.86,,1.6548447608947754
2007-06-29,1.86,2.15,1.85,1.85,37800.0,2.13,,1.691728115081787
2007-07-02,1.92,2.0,1.91,1.92,19950.0,2.2,,1.711789608001709
2007-07-03,1.92,2.1,1.92,2.1,55445.0,2.27,,1.7162432670593262
2007-07-04,2.15,2.15,2.1,2.12,47089.0,2.5500000000000003,,1.7033166885375977
2007-07-05,2.12,2.12,2.1,2.12,17032.0,2.5900000000000003,,1.6696488857269287
2007-07-06,2.1,2.1,2.0,2.0,15685.0,2.4400000000000004,,1.6227037906646729
2007-07-09,1.94,1.94,1.94,1.94,1000.0,2.15,,1.5651869773864746
2007-07-10,1.9,1.9,1.85,1.85,5000.0,1.96,,1.5102267265319824
2007-07-11,1.8,1.8,1.75,1.75,22700.0,1.6,,1.4594759941101074
2007-07-12,1.75,1.75,1.7,1.7,30577.0,1.38,,1.4040966033935547
2007-07-13,1.7,1.75,1.685,1.75,5363.0,1.2799999999999998,,1.4036612510681152
2007-07-16,1.75,1.8,1.7,1.7,23350.0,1.5,,1.402364730834961
2007-07-17,1.7,1.7,1.7,1.7,20707.0,1.46,,1.4050755500793457
2007-07-18,1.705,1.705,1.7,1.7,10000.0,1.5499999999999998,,1.4156699180603027
2007-07-19,1.705,1.705,1.705,1.705,3448.0,1.65,,1.4257442951202393
2007-07-20,1.77,1.77,1.75,1.75,16000.0,1.7100000000000002,,1.436387300491333
2007-07-23,1.8,1.83,1.8,1.8,11846.0,1.75,,1.4433724880218506
2007-07-24,1.77,1.82,1.76,1.82,47699.0,1.9,,1.4476916790008545
2007-07-25,1.76,1.76,1.76,1.76,9612.0,1.94,,1.449671745300293
2007-07-26,1.76,1.76,1.76,1.76,5000.0,1.82,,1.4492981433868408
2007-07-27,1.7,1.75,1.7,1.75,12200.0,1.815,,1.4508237838745117
2007-07-30,1.7,1.7,1.68,1.68,63367.0,1.75,,1.4637963771820068
2007-07-31,1.68,1.68,1.68,1.68,63367.0,1.5599999999999998,,1.477205514907837
2007-08-01,1.7,1.7,1.68,1.68,47892.0,1.5399999999999998,,1.4890491962432861
2007-08-02,1.68,1.68,1.67,1.675,27000.0,1.6,,1.498776912689209
2007-08-03,1.68,1.68,1.68,1.68,27000.0,1.59,,1.5071911811828613
2007-08-06,1.68,1.68,1.67,1.67,7000.0,1.61,,1.5142982006072998
2007-08-07,1.685,1.69,1.685,1.69,25000.0,1.66,,1.5216174125671387
2007-08-08,1.685,1.685,1.65,1.65,35000.0,1.7,,1.5278480052947998
2007-08-09,1.65,1.75,1.65,1.66,37000.0,1.62,,1.5342588424682617
2007-08-10,1.65,1.65,1.65,1.65,37000.0,1.6449999999999998,,1.549762487411499
2007-08-13,1.65,1.65,1.63,1.63,30000.0,1.62,,1.5645780563354492
2007-08-14,1.63,1.63,1.63,1.63,9150.0,1.59,,1.578705072402954
2007-08-15,1.52,1.58,1.5,1.58,32300.0,1.5699999999999998,,1.5921432971954346
2007-08-16,1.42,1.48,1.35,1.48,26400.0,1.5100000000000002,,1.6048927307128906
2007-08-17,1.35,1.35,1.35,1.35,26400.0,1.3,,1.6169531345367432
2007-08-20,1.35,1.5,1.35,1.5,53950.0,1.0500000000000005,,1.6292517185211182
2007-08-21,1.51,1.51,1.51,1.51,53950.0,1.37,,1.644090175628662
2007-08-22,1.51,1.51,1.51,1.51,53950.0,1.39,,1.658371925354004
2007-08-23,1.51,1.51,1.48,1.5,17050.0,1.44,,1.672095537185669
2007-08-24,1.5,1.5,1.5,1.5,17050.0,1.52,,1.684443473815918
2007-08-27,1.58,1.58,1.58,1.58,1600.0,1.65,,1.696030855178833
2007-08-28,1.51,1.51,1.51,1.51,1600.0,1.66,,1.7069947719573975
2007-08-29,1.51,1.51,1.5,1.5,17000.0,1.51,,1.717332363128662
2007-08-30,1.5,1.5,1.5,1.5,17000.0,1.49,,1.7270402908325195
2007-08-31,1.5,1.5,1.5,1.5,4000.0,1.5,,1.7361161708831787
2007-09-03,1.5,1.5,1.5,1.5,4000.0,1.5,,1.7445566654205322
2007-09-04,1.75,1.75,1.55,1.55,20000.0,1.42,,1.7523589134216309
2007-09-05,1.51,1.52,1.51,1.52,10000.0,1.59,,1.7595207691192627
