Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM
2012-02-07,0.3,0.3,0.3,0.3,35000.0,,,0.3083174228668213
2012-02-08,0.255,0.28,0.25,0.28,100000.0,,,0.29213225841522217
2012-02-09,0.25,0.25,0.25,0.25,100000.0,,,0.27882835268974304
2012-02-10,0.25,0.25,0.25,0.25,100000.0,,,0.2677818834781647
2012-02-13,0.25,0.25,0.24,0.24,25000.0,,,0.25855448842048645
2012-02-14,0.24,0.24,0.24,0.24,833.0,,,0.25113993883132935
2012-02-15,0.23,0.23,0.23,0.23,833.0,0.18,,0.245449960231781
2012-02-16,0.235,0.235,0.23,0.23,55000.0,0.18,,0.24142345786094666
2012-02-17,0.225,0.225,0.225,0.225,55000.0,0.21,,0.23899328708648682
2012-02-20,0.225,0.225,0.225,0.225,55000.0,0.2,,0.23808686435222626
2012-02-21,0.225,0.225,0.225,0.225,55000.0,0.21,,0.23862707614898682
2012-02-22,0.225,0.225,0.22,0.22,75000.0,0.21,,0.24053294956684113
2012-02-23,0.22,0.22,0.22,0.22,75000.0,0.21,,0.2440921664237976
2012-02-24,0.22,0.22,0.22,0.22,75000.0,0.21,,0.2488957941532135
2012-02-27,0.22,0.22,0.22,0.22,20000.0,0.215,,0.25466403365135193
2012-02-28,0.22,0.22,0.22,0.22,15000.0,0.215,,0.2601512670516968
2012-02-29,0.22,0.22,0.22,0.22,15000.0,0.215,,0.2622394263744354
2012-03-01,0.22,0.24,0.22,0.24,37000.0,0.22,,0.2631308436393738
2012-03-02,0.22,0.22,0.22,0.22,37000.0,0.26,,0.2640632688999176
2012-03-05,0.22,0.22,0.22,0.22,37000.0,0.22,,0.2644796371459961
2012-03-06,0.23,0.23,0.22,0.22,45000.0,0.22,,0.2642830014228821
2012-03-07,0.22,0.22,0.22,0.22,45000.0,0.22,,0.2645493447780609
2012-03-08,0.22,0.22,0.22,0.22,45000.0,0.22,,0.2651892900466919
2012-03-09,0.22,0.22,0.22,0.22,45000.0,0.2,,0.2659735083580017
2012-03-12,0.22,0.22,0.22,0.22,45000.0,0.22,,0.2668903172016144
2012-03-13,0.22,0.22,0.22,0.22,45000.0,0.22,,0.2679983079433441
2012-03-14,0.22,0.22,0.22,0.22,45000.0,0.22,,0.26935863494873047
2012-03-15,0.22,0.22,0.21,0.21,150000.0,0.22,,0.2709725499153137
2012-03-16,0.2,0.2,0.2,0.2,150000.0,0.2,,0.2729087173938751
2012-03-19,0.2,0.2,0.2,0.2,150000.0,0.18000000000000002,,0.27509933710098267
2012-03-20,0.21,0.21,0.21,0.21,10000.0,0.18000000000000002,,0.27752870321273804
2012-03-21,0.21,0.21,0.21,0.21,9167.0,0.2,,0.2798038423061371
2012-03-22,0.2,0.2,0.2,0.2,9167.0,0.2,,0.28113076090812683
2012-03-23,0.21,0.21,0.21,0.21,9167.0,0.19000000000000009,,0.28253352642059326
2012-03-26,0.22,0.22,0.22,0.22,18000.0,0.22,,0.28359276056289673
2012-03-27,0.21,0.21,0.21,0.21,18000.0,0.24,,0.2839871644973755
2012-03-28,0.215,0.215,0.215,0.215,18000.0,0.21,,0.2844862937927246
2012-03-29,0.24,0.24,0.24,0.24,20000.0,0.22,,0.28516584634780884
2012-03-30,0.22,0.22,0.22,0.22,50000.0,0.28,,0.28605639934539795
2012-04-02,0.22,0.22,0.22,0.22,50000.0,0.23,,0.2858791947364807
2012-04-03,0.22,0.22,0.22,0.22,90000.0,0.22,,0.2855692505836487
2012-04-04,0.22,0.22,0.22,0.22,90000.0,0.23,,0.28532785177230835
2012-04-05,0.22,0.22,0.22,0.22,90000.0,0.225,,0.2851499915122986
2012-04-10,0.22,0.22,0.22,0.22,90000.0,0.2,,0.2850349247455597
2012-04-11,0.22,0.22,0.22,0.22,150000.0,0.22,,0.2849818468093872
2012-04-12,0.22,0.22,0.22,0.22,150000.0,0.22,,0.28498995304107666
2012-04-13,0.22,0.22,0.22,0.22,150000.0,0.22,,0.28505831956863403
2012-04-16,0.22,0.22,0.215,0.215,105000.0,0.22,,0.2850406765937805
2012-04-17,0.215,0.215,0.215,0.215,105000.0,0.21,,0.28504446148872375
2012-04-18,0.215,0.215,0.215,0.215,20000.0,0.21,,0.2849813401699066
2012-04-19,0.2,0.2,0.2,0.2,20000.0,0.21,,0.28490328788757324
2012-04-20,0.2,0.2,0.2,0.2,20000.0,0.18000000000000002,,0.28486549854278564
2012-04-23,0.2,0.2,0.2,0.2,20000.0,0.18000000000000002,,0.28488680720329285
2012-04-24,0.2,0.2,0.2,0.2,20000.0,0.18500000000000005,,0.28495579957962036
2012-04-26,0.2,0.2,0.2,0.2,50000.0,0.18500000000000005,,0.2850695848464966
2012-04-27,0.2,0.2,0.2,0.2,50000.0,0.18500000000000005,,0.28522753715515137
2012-04-30,0.2,0.2,0.2,0.2,50000.0,0.2,,0.28542906045913696
2012-05-01,0.2,0.2,0.2,0.2,95000.0,0.2,,0.2856735587120056
2012-05-02,0.18,0.18,0.18,0.18,95000.0,0.2,,0.28597569465637207
2012-05-03,0.18,0.18,0.18,0.18,95000.0,0.15999999999999998,,0.28630632162094116
2012-05-04,0.18,0.18,0.18,0.18,95000.0,0.15999999999999998,,0.28662043809890747
2012-05-07,0.18,0.18,0.18,0.18,95000.0,0.15999999999999998,,0.2869710922241211
2012-05-08,0.18,0.18,0.18,0.18,95000.0,0.15999999999999998,,0.28735843300819397
2012-05-09,0.18,0.18,0.18,0.18,95000.0,0.15999999999999998,,0.2877826392650604
2012-05-10,0.16,0.16,0.16,0.16,95000.0,0.18,,0.2882439196109772
2012-05-11,0.16,0.16,0.16,0.16,95000.0,0.14,,0.2887424826622009
2012-05-14,0.16,0.16,0.16,0.16,95000.0,0.14,,0.2892785370349884
2012-05-15,0.16,0.16,0.16,0.16,95000.0,0.14,,0.2898522913455963
2012-05-16,0.16,0.16,0.16,0.16,95000.0,0.14,,0.29046398401260376
2012-05-17,0.16,0.16,0.16,0.16,95000.0,0.14,,0.2911137342453003
2012-05-18,0.16,0.16,0.16,0.16,95000.0,0.16,,0.291801780462265
2012-05-21,0.16,0.16,0.16,0.2,95000.0,0.16,,0.29252830147743225
2012-05-22,0.1,0.1,0.1,0.1,95000.0,0.24,,0.29329341650009155
2012-05-23,0.1,0.1,0.1,0.1,95000.0,0.04000000000000002,,0.29409727454185486
2012-05-24,0.1,0.1,0.1,0.1,95000.0,0.04000000000000002,,0.29493993520736694
2012-05-25,0.1,0.1,0.1,0.1,95000.0,0.04000000000000002,,0.29582148790359497
2012-05-28,0.1,0.1,0.1,0.1,95000.0,0.04000000000000002,,0.2967418432235718
2012-05-29,0.1,0.1,0.1,0.1,95000.0,0.04000000000000002,,0.2977010905742645
2012-05-30,0.1,0.1,0.1,0.1,95000.0,0.1,0.1,0.2986990213394165
2012-05-31,0.1,0.1,0.1,0.1,95000.0,0.1,0.1,0.2997356057167053
2012-06-01,0.1,0.1,0.1,0.1,95000.0,0.1,0.1,0.3008105456829071
2012-06-04,0.09,0.09,0.09,0.09,95000.0,0.1,0.1,0.301923543214798
2012-06-05,0.1,0.1,0.1,0.1,95000.0,0.07999999999999999,0.095,0.3032168745994568
2012-06-06,0.1,0.1,0.1,0.1,95000.0,0.1,0.098,0.30457258224487305
2012-06-07,0.1,0.1,0.1,0.1,95000.0,0.1,0.1,0.3059558570384979
2012-06-08,0.1,0.1,0.1,0.1,95000.0,0.1,0.1,0.30706170201301575
2012-06-12,0.1,0.1,0.1,0.1,95000.0,0.1,0.1,0.3079959452152252
2012-06-13,0.1,0.1,0.1,0.1,95000.0,0.11,0.1,0.3089451193809509
2012-06-14,0.1,0.1,0.1,0.1,95000.0,0.1,0.1,0.3099013864994049
2012-06-15,0.1,0.1,0.1,0.1,95000.0,0.1,0.1,0.3106200397014618
2012-06-18,0.1,0.1,0.1,0.1,95000.0,0.1,0.1,0.31134381890296936
2012-06-19,0.1,0.1,0.1,0.1,95000.0,0.1,0.1,0.3120720684528351
2012-06-20,0.1,0.1,0.1,0.1,95000.0,0.1,0.1,0.3128042221069336
2012-06-21,0.1,0.1,0.1,0.1,95000.0,0.1,0.1,0.31353962421417236
2012-06-22,0.1,0.1,0.1,0.1,95000.0,0.1,0.1,0.3142777681350708
2012-06-25,0.1,0.1,0.1,0.2,95000.0,0.1,0.1,0.31501808762550354
2012-06-26,0.1,0.1,0.1,0.2,95000.0,0.30000000000000004,0.16999999999999998,0.3157600164413452
2012-06-27,0.15,0.15,0.15,0.15,95000.0,0.30000000000000004,0.19,0.3164505660533905
2012-06-28,0.19,0.19,0.19,0.19,26000.0,0.2,0.16499999999999998,0.31694966554641724
2012-06-29,0.16,0.16,0.16,0.16,26000.0,0.28,0.17499999999999996,0.31744980812072754
2012-07-02,0.155,0.155,0.155,0.155,26000.0,0.22,0.17600000000000002,0.3179512023925781
2012-07-03,0.155,0.155,0.155,0.155,26000.0,0.11,0.1645,0.3184540569782257
2012-07-04,0.15,0.15,0.15,0.15,26000.0,0.11,0.163,0.3189586400985718
2012-07-05,0.17,0.17,0.17,0.17,26000.0,0.15,0.15399999999999994,0.3194652497768402
2012-07-06,0.19,0.19,0.19,0.19,5000.0,0.15000000000000002,0.16399999999999998,0.31997424364089966
2012-07-09,0.15,0.15,0.15,0.15,5000.0,0.22,0.186,0.32048600912094116
2012-07-10,0.155,0.155,0.155,0.155,5000.0,0.145,0.15999999999999998,0.32100096344947815
2012-07-11,0.155,0.155,0.155,0.155,5000.0,0.155,0.1595,0.32151952385902405
2012-07-12,0.155,0.155,0.155,0.155,5000.0,0.16,0.1565,0.32204219698905945
2012-07-13,0.155,0.155,0.155,0.155,5000.0,0.14,0.1565,0.32256951928138733
2012-07-16,0.155,0.155,0.155,0.155,5000.0,0.12,0.1565,0.3231019973754883
2012-07-17,0.155,0.155,0.155,0.155,5000.0,0.16,0.1565,0.32364311814308167
2012-07-18,0.155,0.155,0.155,0.155,5000.0,0.155,0.1565,0.3241919279098511
2012-07-19,0.155,0.155,0.155,0.155,5000.0,0.155,0.155,0.3247484266757965
2012-07-20,0.155,0.155,0.155,0.155,5000.0,0.155,0.155,0.3253130614757538
2012-07-23,0.155,0.155,0.155,0.155,5000.0,0.155,0.155,0.32588616013526917
2012-07-24,0.16,0.16,0.15,0.15,140000.0,0.155,0.155,0.3264681100845337
2012-07-25,0.15,0.15,0.15,0.15,100000.0,0.145,0.152,0.32705920934677124
2012-07-26,0.15,0.15,0.15,0.15,100000.0,0.145,0.14999999999999994,0.32765981554985046
2012-07-27,0.155,0.155,0.155,0.155,100000.0,0.145,0.14999999999999994,0.32827019691467285
2012-07-30,0.155,0.155,0.155,0.155,100000.0,0.155,0.15350000000000005,0.32889068126678467
2012-07-31,0.155,0.155,0.155,0.155,100000.0,0.155,0.15450000000000005,0.3295214772224426
2012-08-01,0.155,0.155,0.155,0.155,100000.0,0.16,0.155,0.3301628530025482
2012-08-02,0.155,0.155,0.155,0.155,100000.0,0.16,0.155,0.3308149576187134
2012-08-03,0.155,0.155,0.155,0.155,100000.0,0.16,0.155,0.3314779996871948
2012-08-06,0.155,0.155,0.155,0.155,100000.0,0.155,0.155,0.3321520686149597
2012-08-07,0.155,0.155,0.155,0.155,100000.0,0.155,0.155,0.3328372836112976
2012-08-08,0.155,0.155,0.155,0.155,100000.0,0.155,0.155,0.333296537399292
2012-08-09,0.17,0.17,0.17,0.17,100000.0,0.155,0.155,0.3337373435497284
2012-08-10,0.17,0.17,0.17,0.17,100000.0,0.18500000000000005,0.16549999999999998,0.33417829871177673
2012-08-13,0.2,0.2,0.18,0.195,380000.0,0.18500000000000005,0.16999999999999998,0.3346192240715027
2012-08-14,0.2,0.21,0.19,0.19,125000.0,0.235,0.18250000000000005,0.33505991101264954
2012-08-15,0.19,0.19,0.19,0.19,15000.0,0.225,0.1845,0.33550024032592773
2012-08-16,0.15,0.15,0.15,0.15,40000.0,0.225,0.188,0.33594000339508057
2012-08-17,0.125,0.125,0.125,0.125,40000.0,0.12999999999999998,0.16199999999999998,0.3363790512084961
2012-08-20,0.16,0.16,0.16,0.16,40000.0,0.07999999999999999,0.1405,0.3368172347545624
2012-08-21,0.16,0.16,0.16,0.16,20000.0,0.125,0.1545,0.3372543752193451
2012-08-22,0.18,0.2,0.18,0.2,107500.0,0.13,0.1495,0.3376903235912323
2012-08-23,0.22,0.22,0.22,0.22,105000.0,0.21,0.17300000000000001,0.3384699523448944
2012-08-24,0.22,0.22,0.22,0.22,20000.0,0.29000000000000004,0.191,0.33931419253349304
2012-08-27,0.22,0.22,0.22,0.22,180000.0,0.315,0.2065,0.3401770293712616
2012-08-28,0.22,0.22,0.22,0.22,180000.0,0.28,0.21800000000000005,0.3410590887069702
2012-08-29,0.22,0.22,0.22,0.22,7500.0,0.28,0.21800000000000005,0.3419609069824219
2012-08-30,0.22,0.22,0.22,0.22,93000.0,0.24,0.21800000000000005,0.3428831100463867
2012-08-31,0.21,0.21,0.2,0.2,193000.0,0.22,0.22000000000000006,0.3438263535499573
2012-09-03,0.195,0.195,0.195,0.195,100000.0,0.18000000000000002,0.20199999999999999,0.3447912335395813
2012-09-04,0.18,0.18,0.18,0.18,100000.0,0.17,0.19650000000000006,0.3457784652709961
2012-09-05,0.18,0.18,0.18,0.18,100000.0,0.14,0.185,0.3467887043952942
2012-09-06,0.16,0.17,0.13,0.17,37000.0,0.14,0.1815,0.3478226661682129
2012-09-07,0.17,0.17,0.17,0.17,37000.0,0.12000000000000002,0.174,0.3488810956478119
2012-09-10,0.18,0.18,0.18,0.18,37000.0,0.14,0.16999999999999998,0.3499602973461151
2012-09-11,0.18,0.19,0.18,0.19,70000.0,0.16499999999999998,0.174,0.3510257303714752
