Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
2013-12-10,2.08,2.09,2.04,2.07,,,,0.7486745715141296,,,,,,
2013-12-11,2.06,2.06,2.02,2.02,,,,0.94087016582489,,,,,,
2013-12-12,2.03,2.04,2.0,2.0,,,,1.1568844318389893,,,,,,
2013-12-13,2.0,2.0,1.93,1.935,,,,1.3918662071228027,,,,,,
2013-12-16,1.91,1.94,1.91,1.91,,,,1.6388139724731443,,,,,,
2013-12-17,1.94,1.942,1.915,1.915,,,,1.863537073135376,,,,,,
2013-12-18,1.92,1.94,1.9,1.9,,1.7600000000000002,,2.0351324081420903,1.9642857142857146,,,,,
2013-12-19,1.92,1.96,1.92,1.96,,1.7799999999999998,,2.1680951118469243,1.9485714285714286,,,,,
2013-12-20,1.96,2.01,1.95,1.995,,1.92,,2.245135307312012,1.9450000000000003,,,,,
2013-12-23,2.03,2.04,2.02,2.04,,2.055,,2.274864673614502,1.9507142857142858,,,,,
2013-12-24,2.04,2.04,1.99,1.99,,2.17,,2.2593514919281006,1.9585714285714286,,,,,
2013-12-27,1.95,1.975,1.95,1.975,,2.065,,2.205559730529785,1.967857142857143,,,,,
2013-12-30,2.0,2.02,2.0,2.02,,2.0500000000000003,,2.115118741989136,1.9828571428571427,,,,,
2013-12-31,2.02,2.02,2.0,2.02,,2.08,,2.025705337524414,1.9999999999999998,1.9821428571428572,,,,
2014-01-02,2.02,2.02,1.995,2.0,,2.045,,2.0070574283599854,2.005714285714286,1.977142857142857,,,,
2014-01-03,2.0,2.0,2.0,2.0,,1.96,,2.010690450668335,2.0064285714285712,1.9757142857142858,,,,
2014-01-06,2.01,2.02,2.0,2.01,,2.01,,2.036362886428833,2.0021428571428572,1.9764285714285716,,,,
2014-01-07,2.01,2.01,1.99,1.995,,2.0449999999999995,,2.05466628074646,2.002857142857143,1.980714285714286,,,,
2014-01-08,2.0,2.03,1.99,2.03,,1.97,,2.0703496932983403,2.0107142857142857,1.9892857142857145,,,,
2014-01-09,2.06,2.08,2.02,2.05,,2.04,,2.0909945964813232,2.015,1.9989285714285718,,,,
2014-01-10,2.06,2.07,2.05,2.05,,2.1,,2.112215280532837,2.0192857142857146,2.009642857142858,,,,
2014-01-13,2.04,2.09,2.04,2.06,,2.1,,2.1254012584686284,2.027857142857143,2.0167857142857146,,,,
2014-01-14,2.06,2.07,2.05,2.07,,2.1100000000000003,,2.129924058914185,2.037857142857143,2.0221428571428577,,,,
2014-01-15,2.07,2.08,2.06,2.07,,2.145,,2.1279220581054688,2.0464285714285717,2.024285714285715,,,,
2014-01-16,2.07,2.09,2.05,2.09,,2.11,,2.1197075843811035,2.0599999999999996,2.031428571428572,,,,
2014-01-17,2.07,2.07,2.06,2.07,,2.13,,2.1053662300109863,2.0657142857142854,2.0382142857142864,,,,
2014-01-20,2.07,2.07,2.06,2.07,,2.09,,2.087075471878052,2.068571428571428,2.041785714285715,,,,
2014-01-21,2.07,2.07,2.05,2.05,,2.08,,2.0703070163726807,2.068571428571428,2.043928571428572,,,,
2014-01-22,2.05,2.06,2.05,2.06,,2.03,,2.0552053451538086,2.068571428571428,2.048214285714286,,,,
2014-01-23,2.05,2.06,2.05,2.05,,2.0500000000000003,,2.054128170013428,2.065714285714285,2.0517857142857148,2.015833333333333,,,
2014-01-24,2.04,2.05,2.04,2.04,,2.01,,2.0588154792785645,2.0614285714285705,2.053928571428572,2.0148333333333333,,,
2014-01-28,2.04,2.04,2.02,2.04,,2.01,,2.0602126121521,2.054285714285713,2.057142857142858,2.0155,,,
2014-01-29,2.05,2.05,2.02,2.02,,2.01,,2.0583446025848393,2.047142857142856,2.056428571428572,2.0161666666666664,,,
2014-01-30,2.02,2.04,2.02,2.03,,1.99,,2.0621178150176998,2.0414285714285705,2.0550000000000006,2.019333333333333,,,
2014-01-31,2.03,2.03,1.99,2.02,,2.0,,2.067474365234375,2.037142857142856,2.0528571428571434,2.023,,,
2014-02-03,2.0,2.02,1.99,2.0,,1.99,,2.0708625316619877,2.028571428571427,2.048571428571429,2.0258333333333334,,,
2014-02-04,2.0,2.03,1.97,2.0,,1.96,,2.0717329978942867,2.0214285714285696,2.043571428571429,2.029166666666667,,,
2014-02-05,2.0,2.04,1.98,2.01,,1.96,,2.0700883865356445,2.0171428571428556,2.0392857142857146,2.0308333333333333,,,
2014-02-06,2.01,2.03,2.01,2.02,,2.0,,2.0659329891204834,2.014285714285713,2.0342857142857147,2.0316666666666667,,,
2014-02-07,2.02,2.05,2.015,2.02,,2.01,,2.0592737197875977,2.014285714285713,2.030714285714286,2.031,,,
2014-02-10,2.03,2.04,2.02,2.02,,2.02,,2.050118923187256,2.0128571428571416,2.027142857142857,2.0320000000000005,,,
2014-02-11,2.02,2.05,2.02,2.02,,2.04,,2.0384778976440434,2.012857142857142,2.025,2.0335000000000005,,,
2014-02-12,2.02,2.03,2.0,2.03,,2.04,,2.0245714187622066,2.0171428571428565,2.022857142857143,2.0338333333333334,,,
2014-02-13,2.02,2.03,2.01,2.02,,2.05,,2.0255491733551025,2.019999999999999,2.020714285714286,2.0338333333333334,,,
2014-02-14,2.02,2.02,2.0,2.0,,2.02,,2.0294764041900635,2.018571428571428,2.0178571428571432,2.0338333333333334,,,
2014-02-17,2.0,2.01,2.0,2.0,,1.98,,2.0319716930389404,2.015714285714285,2.015,2.0338333333333334,,,
2014-02-18,2.005,2.02,2.0,2.02,,1.98,,2.0330362319946294,2.015714285714285,2.015,2.034166666666667,,,
2014-02-19,2.01,2.03,2.01,2.02,,2.02,,2.032673120498657,2.015714285714285,2.0142857142857147,2.0350000000000006,,,
2014-02-20,2.0,2.01,1.99,2.0,,2.01,,2.032181978225708,2.0128571428571425,2.012857142857143,2.0340000000000007,,,
2014-02-21,2.0,2.0,1.99,1.995,,1.98,,2.0304212570190434,2.0078571428571426,2.0125,2.0321666666666673,,,
2014-02-24,2.0,2.0,1.99,1.99,,1.99,,2.027307271957397,2.0035714285714286,2.0117857142857143,2.0301666666666676,,,
2014-02-25,2.0,2.0,1.99,1.995,,1.98,,2.0228438377380367,2.0028571428571427,2.010714285714286,2.0280000000000005,,,
2014-02-26,1.99,1.995,1.99,1.99,,1.97,,2.018219470977783,2.0014285714285713,2.008571428571429,2.025333333333334,,,
2014-02-27,2.0,2.0,1.98,1.99,,1.96,,2.0135447978973393,1.9971428571428569,2.0064285714285717,2.0226666666666673,,,
2014-02-28,1.98,1.995,1.98,1.99,,1.98,1.99,2.0173053741455083,1.9928571428571427,2.0042857142857144,2.0193333333333343,,,
2014-03-03,1.985,1.99,1.96,1.97,,1.985,1.99,2.023743152618408,1.9885714285714287,2.000714285714286,2.016000000000001,,,
2014-03-04,1.99,1.995,1.99,1.995,,1.95,1.974,2.0294382572174072,1.9885714285714282,1.9982142857142857,2.013500000000001,,,
2014-03-05,1.995,2.1,1.995,2.06,,1.995,1.982,2.0343871116638184,1.9985714285714284,2.0010714285714286,2.0138333333333343,,,
2014-03-06,2.06,2.09,2.06,2.09,,2.13,2.0445,2.0385866165161133,2.0121428571428566,2.0075,2.014833333333334,,,
2014-03-07,2.08,2.11,2.08,2.1,,2.1899999999999995,2.0565,2.042033195495605,2.0278571428571426,2.0146428571428574,2.016500000000001,2.016166666666666,,
2014-03-10,2.1,2.11,2.1,2.1,,2.21,2.0870000000000006,2.0447227954864498,2.043571428571428,2.020357142857143,2.018500000000001,2.016666666666666,,
2014-03-11,2.1,2.11,2.09,2.1,,2.2300000000000004,2.0870000000000006,2.0473036766052246,2.0592857142857137,2.026071428571429,2.020500000000001,2.0179999999999993,,
2014-03-12,2.1,2.11,2.09,2.09,,2.205,2.1000000000000005,2.0538997650146484,2.0764285714285706,2.0325,2.022833333333334,2.0194999999999994,,
2014-03-13,2.11,2.17,2.09,2.13,,2.12,2.092,2.0625786781311035,2.0957142857142848,2.0421428571428573,2.0261666666666676,2.0227499999999994,,
2014-03-14,2.12,2.12,2.1,2.1,,2.17,2.1219999999999994,2.070882797241211,2.101428571428571,2.0500000000000003,2.028833333333334,2.025916666666666,,
2014-03-17,2.11,2.12,2.1,2.1,,2.1,2.109,2.07881760597229,2.1028571428571423,2.0575000000000006,2.0321666666666673,2.028999999999999,,
2014-03-18,2.1,2.11,2.1,2.11,,2.1,2.106,2.0863890647888184,2.1042857142857136,2.066071428571429,2.035833333333334,2.032499999999999,,
2014-03-19,2.105,2.115,2.09,2.09,,2.12,2.108,2.0936028957366943,2.102857142857142,2.0732142857142866,2.038500000000001,2.0346666666666655,,
2014-03-20,2.09,2.1,2.07,2.07,,2.09,2.1009999999999995,2.1004648208618164,2.0985714285714274,2.0789285714285723,2.0401666666666673,2.0359166666666657,,
2014-03-21,2.09,2.1,2.04,2.04,,2.01,2.076,2.1069803237915044,2.0914285714285703,2.0839285714285722,2.040833333333334,2.0359166666666657,,
2014-03-24,2.05,2.09,1.995,2.05,,1.98,2.051,2.1131548881530757,2.079999999999999,2.0878571428571435,2.041833333333334,2.0369166666666656,,
2014-03-25,2.04,2.08,2.02,2.02,,2.0,2.0540000000000003,2.11887001991272,2.068571428571428,2.085000000000001,2.041833333333334,2.0376666666666656,,
2014-03-26,2.02,2.07,1.995,2.01,,1.93,2.03,2.1240758895874023,2.055714285714285,2.079285714285715,2.041166666666667,2.037499999999999,,
2014-03-27,2.05,2.05,1.995,2.0,,1.93,2.018,2.1289570331573486,2.039999999999999,2.072142857142858,2.0405,2.037166666666666,,
2014-03-28,2.01,2.04,1.98,2.0,,1.93,2.004,2.1335189342498784,2.0271428571428562,2.0650000000000004,2.0405,2.037166666666666,,
2014-03-31,2.0,2.01,1.96,1.99,,1.96,2.003,2.137766599655152,2.0157142857142847,2.0571428571428574,2.040166666666667,2.036999999999999,,
2014-04-01,1.98,2.06,1.98,2.03,,1.93,1.995,2.1417624950408936,2.0142857142857133,2.0528571428571434,2.0405,2.0373333333333323,,
2014-04-02,2.03,2.05,2.02,2.02,,2.04,2.018,2.1454617977142334,2.009999999999999,2.0450000000000004,2.0405,2.0377499999999986,,
2014-04-03,2.03,2.06,2.03,2.03,,2.03,2.02,2.1488399505615234,2.0114285714285707,2.0400000000000005,2.0415,2.0377499999999986,,
2014-04-04,2.05,2.06,2.03,2.04,,2.06,2.028,2.151902437210083,2.0157142857142847,2.035714285714286,2.043,2.037583333333332,,
