Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
1999-03-22,20.86,21.35,20.65,21.0,1166.0,,,2.5715155601501465,,,,,,
1999-03-23,21.0,21.56,21.0,21.28,6538.0,,,2.5717926025390625,,,,,,
1999-03-24,21.35,21.7,21.28,21.35,13615.0,,,2.571398973464966,,,,,,
1999-03-25,21.35,21.35,20.93,21.0,18387.0,,,2.5711569786071777,,,,,,
1999-03-26,21.07,21.07,20.86,21.0,14533.0,,,2.5711491107940674,,,,,,
1999-03-29,20.93,21.21,20.93,21.0,59987.0,,,2.5714490413665767,,,,,,
1999-03-30,21.28,21.35,21.14,21.14,16320.0,21.0,,2.5720932483673096,21.109999999999996,,,,,
1999-03-31,21.14,21.35,21.07,21.07,15392.0,21.0,,2.5729658603668213,21.119999999999997,,,,,
1999-04-01,21.14,21.14,21.0,21.0,5814.0,20.79,,2.574139356613159,21.079999999999995,,,,,
1999-04-06,21.0,21.35,21.0,21.35,87393.0,21.0,,2.575500011444092,21.079999999999995,,,,,
1999-04-07,21.21,21.35,21.21,21.35,17747.0,21.70000000000001,,2.577075719833374,21.129999999999995,,,,,
1999-04-08,21.49,21.56,21.35,21.56,87629.0,21.70000000000001,,2.578052759170532,21.209999999999997,,,,,
1999-04-09,22.4,22.54,22.05,22.05,25342.0,21.98,,2.578615665435791,21.359999999999996,,,,,
1999-04-12,22.05,22.05,21.77,22.05,38303.0,23.03,,2.5792479515075684,21.490000000000002,21.3,,,,
1999-04-13,22.05,22.12,21.35,21.63,71870.0,23.1,,2.5800294876098637,21.57,21.345,,,,
1999-04-14,21.7,22.4,21.56,22.4,48873.0,21.91,,2.580849885940552,21.770000000000003,21.424999999999994,,,,
1999-04-15,21.868,21.868,20.3,20.65,12747.0,23.45,,2.581744909286499,21.670000000000005,21.374999999999993,,,,
1999-04-16,21.35,21.35,20.86,21.0,27665.0,19.74,,2.582843065261841,21.620000000000005,21.374999999999993,,,,
1999-04-19,21.0,21.35,21.0,21.28,63472.0,19.95,,2.5841689109802246,21.580000000000005,21.39499999999999,,,,
1999-04-20,21.21,21.21,20.65,20.65,4771.0,20.51,,2.585770606994629,21.380000000000003,21.369999999999987,,,,
1999-04-21,20.65,21.0,20.65,20.93,12748.0,19.67,,2.587634325027466,21.220000000000002,21.35499999999999,,,,
1999-04-22,20.86,20.86,20.58,20.58,23693.0,19.46,,2.5897762775421143,21.07,21.31999999999999,,,,
1999-04-23,20.321,20.44,19.6,19.95,18068.0,20.51,,2.592214584350586,20.72,21.244999999999987,,,,
1999-04-26,19.95,19.95,19.95,19.95,6524.0,18.9,,2.5941526889801025,20.619999999999997,21.144999999999985,,,,
1999-04-27,19.95,19.95,19.25,19.67,23537.0,18.62,,2.594630479812622,20.43,21.024999999999984,,,,
1999-04-28,19.67,19.95,19.25,19.25,29596.0,18.690000000000005,,2.5951099395751958,20.139999999999997,20.859999999999985,,,,
1999-04-29,19.215,19.25,18.039,18.039,12209.0,17.57,,2.595639944076538,19.767,20.573499999999985,,,,
1999-04-30,18.9,19.25,18.34,18.34,17215.0,15.498000000000005,,2.5962083339691158,19.397,20.30849999999998,,,,
1999-05-03,18.886,18.97,18.55,18.69,28232.0,16.73,,2.596787691116333,19.127000000000002,20.09849999999998,,,,
1999-05-04,19.25,20.23,19.25,19.6,21201.0,17.430000000000003,,2.597378253936768,19.077,19.898499999999984,20.69363333333333,,,
1999-05-05,19.67,20.37,19.67,20.02,24456.0,19.53,,2.597980260848999,19.087000000000007,19.853499999999986,20.660966666666663,,,
1999-05-06,20.02,20.02,19.67,19.67,23431.0,20.79,,2.5985944271087646,19.087000000000007,19.758499999999987,20.6073,,,
1999-05-07,19.95,19.95,19.6,19.6,9960.0,21.301,,2.599220991134644,19.137000000000004,19.63849999999999,20.548966666666665,,,
1999-05-10,19.6,19.6,19.25,19.25,5277.0,20.860000000000007,,2.599860191345215,19.310000000000002,19.538499999999992,20.49063333333333,,,
1999-05-11,19.565,19.565,19.25,19.46,33481.0,19.81,,2.600512981414795,19.470000000000002,19.433499999999988,20.4393,,,
1999-05-12,19.25,19.25,18.97,18.97,17961.0,19.32,,2.6011791229248047,19.51,19.318499999999993,20.37163333333333,,,
1999-05-13,19.026,19.25,18.76,19.25,30163.0,17.919999999999995,,2.6018595695495605,19.460000000000004,19.268499999999992,20.308633333333333,,,
1999-05-14,19.25,19.6,19.18,19.18,17355.0,18.83,,2.602555513381958,19.340000000000003,19.213499999999993,20.24563333333333,,,
1999-05-17,18.844,19.04,18.69,18.76,6954.0,18.76,,2.6031863689422607,19.210000000000004,19.14849999999999,20.170966666666665,,,
1999-05-18,18.69,19.25,18.69,18.9,9294.0,18.270000000000003,,2.6037209033966064,19.110000000000007,19.12349999999999,20.089299999999994,,,
1999-05-19,19.25,19.6,18.97,19.25,14854.0,18.34,,2.6042585372924805,19.110000000000007,19.20999999999999,20.019299999999994,,,
1999-05-20,19.25,19.46,19.25,19.25,3504.0,19.53,,2.6047983169555664,19.080000000000005,19.274999999999995,19.942299999999996,,,
1999-05-21,18.97,18.97,18.69,18.69,11595.0,19.25,,2.6053452491760254,19.040000000000003,19.274999999999995,19.8303,,,
1999-05-24,18.802,18.9,18.62,18.62,3257.0,18.200000000000006,,2.6058979034423833,18.950000000000006,19.20499999999999,19.715966666666667,,,
