Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF
2000-08-08,3.02,3.1,3.0,3.01,547705050.0,,
2000-08-09,2.99,2.99,2.85,2.88,77433389.0,,
2000-08-10,2.85,2.9,2.82,2.87,49813089.0,,
2000-08-11,2.88,2.9,2.87,2.89,21601223.0,,
2000-08-14,2.9,2.91,2.89,2.9,6174570.0,,
2000-08-15,3.0,3.02,2.96,2.99,28815036.0,,
2000-08-16,2.99,3.01,2.97,2.99,14454155.0,2.9700000000000006,
2000-08-17,3.0,3.04,3.0,3.02,10399238.0,3.1000000000000005,
2000-08-18,3.04,3.04,2.98,2.98,8715982.0,3.17,
2000-08-21,2.98,3.02,2.95,2.95,13142309.0,3.07,
2000-08-22,2.92,2.97,2.91,2.97,8507385.0,3.0000000000000004,
2000-08-23,2.98,3.0,2.96,2.98,4484591.0,2.95,
2000-08-24,2.97,2.98,2.95,2.97,4426031.0,2.97,
2000-08-25,2.96,2.97,2.96,2.96,10390786.0,2.9200000000000004,
2000-08-28,2.95,2.96,2.91,2.92,3472475.0,2.94,
2000-08-29,2.91,2.91,2.85,2.86,7305472.0,2.89,
2000-08-30,2.85,2.88,2.83,2.83,4008466.0,2.75,
2000-08-31,2.84,2.89,2.83,2.86,4460380.0,2.68,
2000-09-01,2.87,2.89,2.86,2.87,3368974.0,2.75,
2000-09-04,2.87,2.87,2.82,2.85,5016625.0,2.78,
2000-09-05,2.83,2.83,2.81,2.81,2975083.0,2.78,
2000-09-06,2.82,2.83,2.8,2.81,3203759.0,2.76,
2000-09-07,2.8,2.8,2.71,2.71,13292275.0,2.79,
2000-09-08,2.7,2.7,2.65,2.67,6890574.0,2.56,
2000-09-11,2.68,2.68,2.62,2.63,3877925.0,2.47,
2000-09-12,2.62,2.63,2.58,2.62,2131326.0,2.41,
2000-09-13,2.61,2.68,2.6,2.68,1951470.0,2.43,
2000-09-14,2.72,2.79,2.62,2.62,5990425.0,2.5500000000000003,
2000-09-15,2.63,2.7,2.62,2.67,7444950.0,2.53,
2000-09-18,2.63,2.63,2.6,2.61,6118560.0,2.67,
2000-09-19,2.6,2.6,2.56,2.58,4699213.0,2.59,
2000-09-20,2.58,2.7,2.58,2.7,3192562.0,2.54,
2000-09-21,2.69,2.7,2.63,2.69,4498257.0,2.72,
2000-09-22,2.65,2.65,2.57,2.59,1507061.0,2.76,
2000-09-25,2.61,2.64,2.6,2.62,973516.0,2.51,
2000-09-26,2.64,2.69,2.63,2.64,2202935.0,2.6300000000000003,
2000-09-27,2.65,2.69,2.64,2.67,2562187.0,2.7,
