Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM
2013-12-03,1.9,1.93,1.82,1.875,,,,0.5043945908546448
2013-12-04,1.89,1.93,1.89,1.91,,,,0.5921570062637329
2013-12-05,1.925,1.93,1.9,1.9,,,,0.6998468041419983
2013-12-06,1.89,1.91,1.88,1.9,,,,0.8295938372612
2013-12-09,1.91,1.91,1.83,1.835,,,,0.9830849170684814
2013-12-10,1.87,1.885,1.82,1.83,,,,1.161481499671936
2013-12-11,1.83,1.865,1.815,1.815,,1.785,,1.349526286125183
2013-12-12,1.82,1.855,1.805,1.81,,1.72,,1.5167927742004395
2013-12-13,1.855,1.87,1.83,1.83,,1.7200000000000002,,1.6484233140945435
2013-12-16,1.83,1.89,1.83,1.885,,1.7600000000000002,,1.7662005424499512
2013-12-17,1.89,1.89,1.84,1.84,,1.935,,1.8627867698669434
2013-12-18,1.84,1.875,1.84,1.875,,1.85,,1.9480260610580444
2013-12-19,1.88,1.885,1.85,1.88,,1.935,,2.0210559368133545
2013-12-20,1.88,1.89,1.875,1.875,,1.95,,2.081188678741455
2013-12-23,1.89,1.9,1.88,1.9,,1.92,,2.1279184818267822
2013-12-24,1.895,1.905,1.895,1.905,,1.915,,2.1609182357788086
2013-12-27,1.905,1.91,1.9,1.9,,1.97,,2.178467273712158
2013-12-30,1.91,1.91,1.895,1.905,,1.925,,2.179748773574829
2013-12-31,1.905,1.915,1.89,1.89,,1.93,,2.167086601257324
2014-01-02,1.9,1.91,1.9,1.9,,1.905,,2.141328811645508
2014-01-03,1.89,1.9,1.89,1.89,,1.9,,2.1034154891967773
2014-01-06,1.9,1.915,1.895,1.9,,1.875,,2.118898391723633
2014-01-07,1.9,1.9,1.89,1.89,,1.9,,2.142915725708008
2014-01-08,1.89,1.9,1.87,1.88,,1.875,,2.161973237991333
2014-01-09,1.88,1.9,1.88,1.89,,1.87,,2.1761481761932373
2014-01-10,1.89,1.9,1.89,1.895,,1.88,,2.1865463256835938
2014-01-13,1.905,1.915,1.885,1.89,,1.9,,2.192298650741577
2014-01-14,1.91,1.91,1.9,1.905,,1.88,,2.193488121032715
2014-01-15,1.905,1.91,1.9,1.905,,1.92,,2.1902236938476562
2014-01-16,1.91,1.92,1.91,1.92,,1.93,,2.1826236248016357
2014-01-17,1.92,1.925,1.92,1.92,,1.95,,2.1833248138427734
2014-01-20,1.925,1.93,1.92,1.92,,1.945,,2.1979644298553467
2014-01-21,1.925,1.935,1.92,1.935,,1.95,,2.2106852531433105
2014-01-22,1.935,1.94,1.92,1.92,,1.965,,2.22159743309021
2014-01-23,1.93,1.94,1.93,1.93,,1.935,,2.2273364067077637
2014-01-24,1.93,1.945,1.925,1.935,,1.94,,2.230513095855713
2014-01-28,1.94,1.94,1.92,1.925,,1.95,,2.2319633960723877
2014-01-29,1.935,1.95,1.935,1.94,,1.93,,2.2341291904449463
2014-01-30,1.94,1.95,1.93,1.95,,1.945,,2.23933482170105
2014-01-31,1.97,1.975,1.94,1.94,,1.98,,2.2418551445007324
2014-02-03,1.96,1.97,1.94,1.96,,1.95,,2.2416532039642334
2014-02-04,1.96,1.96,1.935,1.94,,1.985,,2.2386934757232666
2014-02-05,1.94,1.94,1.925,1.94,,1.955,,2.232941150665283
2014-02-06,1.935,1.94,1.93,1.94,,1.94,,2.2243618965148926
2014-02-07,1.95,1.955,1.94,1.95,,1.93,,2.2129225730895996
2014-02-10,1.95,1.95,1.94,1.945,,1.96,,2.1985907554626465
2014-02-11,1.95,1.955,1.94,1.95,,1.93,,2.181334972381592
2014-02-12,1.955,1.955,1.935,1.955,,1.96,,2.185241460800171
2014-02-13,1.955,1.97,1.935,1.94,,1.97,,2.195828437805176
2014-02-14,1.95,1.96,1.95,1.95,,1.94,,2.205118179321289
2014-02-17,1.945,1.955,1.94,1.95,,1.95,,2.2131035327911377
2014-02-18,1.95,1.965,1.94,1.95,,1.955,,2.2197768688201904
2014-02-19,1.96,1.965,1.95,1.96,,1.95,,2.2251319885253906
2014-02-20,1.95,1.95,1.915,1.915,,1.965,,2.2291624546051025
2014-02-21,1.915,1.955,1.91,1.955,,1.89,,2.231863260269165
2014-02-24,1.925,1.95,1.925,1.94,,1.96,1.9395,2.2332303524017334
2014-02-25,1.94,1.94,1.935,1.94,,1.93,1.939,2.233259439468384
2014-02-26,1.94,1.94,1.935,1.94,,1.93,1.9375,2.231947660446167
2014-02-27,1.94,1.94,1.93,1.93,,1.92,1.94,2.229292631149292
2014-02-28,1.95,1.96,1.93,1.935,,1.945,1.936,2.225292921066284
2014-03-03,1.925,1.94,1.925,1.94,,1.915,1.9355,2.21994686126709
2014-03-04,1.94,1.945,1.92,1.92,,1.94,1.9375,2.213254690170288
2014-03-05,1.93,1.94,1.93,1.93,,1.9,1.9265,2.2052159309387207
2014-03-06,1.92,1.94,1.92,1.94,,1.92,1.928,2.1958320140838623
2014-03-07,1.935,1.965,1.935,1.95,,1.95,1.9380000000000002,2.1851041316986084
2014-03-10,1.955,1.97,1.955,1.97,,1.965,1.947,2.173035144805908
2014-03-11,1.96,1.965,1.945,1.965,,2.0,1.958,2.1596271991729736
2014-03-12,1.96,1.96,1.94,1.945,,2.01,1.964,2.148677349090576
2014-03-13,1.94,1.96,1.94,1.96,,1.96,1.9555,2.1498427391052246
2014-03-14,1.95,1.965,1.95,1.965,,1.98,1.9590000000000003,2.1501474380493164
2014-03-17,1.96,1.97,1.955,1.965,,1.98,1.962,2.1495954990386963
2014-03-18,1.96,1.97,1.95,1.965,,1.96,1.962,2.1481902599334717
2014-03-19,1.965,1.965,1.955,1.96,,1.965,1.9645,2.1459364891052246
2014-03-20,1.95,1.96,1.95,1.96,,1.975,1.9615,2.1428394317626953
2014-03-21,1.96,1.96,1.9,1.9,,1.96,1.9605000000000004,2.1389050483703613
2014-03-24,1.91,1.92,1.89,1.9,,1.835,1.9245,2.1341392993927
2014-03-25,1.9,1.905,1.89,1.89,,1.835,1.9125,2.128549098968506
2014-03-26,1.9,1.915,1.865,1.91,,1.815,1.893,2.122143030166626
2014-03-27,1.9,1.9,1.855,1.86,,1.86,1.903,2.114928722381592
2014-03-28,1.875,1.895,1.845,1.85,,1.7600000000000002,1.876,2.1069157123565674
2014-03-31,1.875,1.875,1.805,1.835,,1.8000000000000005,1.859,2.0981128215789795
2014-04-01,1.84,1.885,1.83,1.88,,1.77,1.8465000000000005,2.0885303020477295
2014-04-02,1.88,1.905,1.88,1.9,,1.87,1.859,2.0781729221343994
2014-04-03,1.91,1.915,1.88,1.9,,1.89,1.8845,2.067051410675049
2014-04-04,1.905,1.925,1.9,1.92,,1.94,1.8885,2.054332733154297
2014-04-07,1.92,1.925,1.9,1.925,,1.99,1.8965000000000003,2.0406880378723145
2014-04-08,1.915,1.915,1.91,1.915,,2.015,1.9215000000000004,2.026352882385254
2014-04-09,1.915,1.925,1.915,1.925,,1.95,1.9200000000000004,2.0113425254821777
2014-04-10,1.92,1.925,1.905,1.905,,1.95,1.9250000000000005,1.9956730604171753
2014-04-11,1.905,1.92,1.88,1.92,,1.91,1.9150000000000005,1.9893182516098022
2014-04-14,1.91,1.93,1.88,1.9,,1.92,1.9185000000000003,1.9897805452346802
2014-04-15,1.9,1.925,1.9,1.91,,1.875,1.905,1.9898937940597534
2014-04-16,1.925,1.93,1.92,1.925,,1.905,1.9080000000000001,1.9896615743637085
2014-04-17,1.92,1.93,1.91,1.925,,1.925,1.922,1.989086389541626
2014-04-22,1.92,1.925,1.91,1.92,,1.945,1.9235,1.9881712198257446
2014-04-23,1.92,1.925,1.91,1.91,,1.92,1.9230000000000005,1.9869195222854614
2014-04-24,1.925,1.93,1.92,1.925,,1.92,1.914,1.9854834079742432
2014-04-28,1.93,1.94,1.93,1.93,,1.94,1.919,1.9851951599121094
2014-04-29,1.94,1.95,1.915,1.93,,1.935,1.9255,1.984614372253418
2014-04-30,1.93,1.94,1.9,1.91,,1.935,1.928,1.9837442636489868
2014-05-01,1.925,1.94,1.905,1.915,,1.9,1.9180000000000001,1.9825893640518188
2014-05-02,1.92,1.945,1.92,1.925,,1.92,1.9155,1.9811532497406006
2014-05-05,1.93,1.94,1.93,1.93,,1.925,1.922,1.979440450668335
2014-05-06,1.93,1.94,1.92,1.93,,1.93,1.93,1.9774549007415771
2014-05-07,1.92,1.945,1.92,1.94,,1.93,1.93,1.9752010107040405
2014-05-08,1.94,1.945,1.935,1.94,,1.97,1.9380000000000002,1.9726825952529907
2014-05-09,1.94,1.95,1.94,1.945,,1.965,1.939,1.9699047803878784
2014-05-12,1.945,1.96,1.94,1.945,,1.965,1.9425,1.9668711423873901
2014-05-13,1.95,1.965,1.945,1.945,,1.96,1.9435,1.963586688041687
2014-05-14,1.945,1.965,1.945,1.96,,1.96,1.9435,1.9600558280944824
