Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
2002-01-17,0.25,0.26,0.235,0.255,1244321.0,,,0.5525273084640503,,,,,,
2002-01-18,0.255,0.295,0.25,0.27,1466334.0,,,0.471468448638916,,,,,,
2002-01-21,0.27,0.29,0.265,0.285,557612.0,,,0.4023225605487824,,,,,,
2002-01-22,0.28600000000000003,0.28600000000000003,0.27,0.275,271500.0,,,0.3497304618358612,,,,,,
2002-01-23,0.27,0.275,0.265,0.27,570412.0,,,0.3050881624221802,,,,,,
2002-01-24,0.27,0.275,0.27,0.27,326088.0,,,0.2695510685443878,,,,,,
2002-01-25,0.275,0.29,0.27,0.29,468080.0,0.28500000000000003,,0.2456071972846985,0.2735714285714286,,,,,
2002-01-29,0.3,0.31,0.28,0.285,201779.0,0.30999999999999994,,0.2337858080863953,0.2778571428571429,,,,,
2002-01-30,0.28,0.29,0.28,0.29,95000.0,0.285,,0.2358338236808777,0.28071428571428575,,,,,
2002-01-31,0.29,0.3,0.29,0.29,509475.0,0.30499999999999994,,0.2529779076576233,0.2814285714285715,,,,,
2002-02-01,0.3,0.31,0.3,0.31,460525.0,0.30999999999999994,,0.2857528924942017,0.2864285714285715,,,,,
2002-02-04,0.32,0.35,0.32,0.33,668495.0,0.35,,0.3146930932998657,0.29500000000000004,,,,,
2002-02-05,0.334,0.34,0.315,0.325,308265.0,0.3700000000000001,,0.3086523711681366,0.30285714285714294,,,,,
2002-02-06,0.35,0.35,0.315,0.32,862640.0,0.3650000000000001,,0.307282030582428,0.3071428571428572,0.29035714285714287,,,,
2002-02-07,0.32,0.34,0.31,0.32,851600.0,0.35000000000000003,,0.3109346032142639,0.31214285714285717,0.29500000000000004,,,,
2002-02-08,0.34,0.345,0.34,0.34,289260.0,0.35000000000000003,,0.3039728105068207,0.3192857142857143,0.3000000000000001,,,,
2002-02-11,0.335,0.34,0.325,0.33,176000.0,0.3700000000000001,,0.29884281754493713,0.325,0.30321428571428577,,,,
2002-02-12,0.32,0.32,0.315,0.32,82950.0,0.33,,0.295706182718277,0.3264285714285714,0.3064285714285715,,,,
2002-02-13,0.315,0.32,0.31,0.315,310100.0,0.315,,0.29137396812438965,0.32428571428571423,0.3096428571428572,,,,
2002-02-14,0.315,0.32,0.305,0.32,175900.0,0.31,,0.2882723808288574,0.32357142857142845,0.31321428571428583,,,,
2002-02-15,0.31,0.315,0.305,0.31,163241.0,0.32,,0.2871145308017731,0.32214285714285706,0.3146428571428572,,,,
2002-02-18,0.31,0.31,0.31,0.31,133000.0,0.28,,0.2872478663921356,0.3207142857142857,0.31642857142857145,,,,
2002-02-19,0.31,0.315,0.31,0.315,121500.0,0.29,,0.2883317470550537,0.3171428571428571,0.3182142857142858,,,,
2002-02-20,0.325,0.335,0.32,0.335,561094.0,0.31,,0.2912711203098297,0.3178571428571428,0.3214285714285715,,,,
2002-02-21,0.34,0.35,0.335,0.34,638106.0,0.35500000000000004,,0.29646769165992737,0.3207142857142857,0.3235714285714287,,,,
2002-02-22,0.34,0.34,0.32,0.33,329634.0,0.36000000000000004,,0.30405572056770325,0.32285714285714284,0.3235714285714287,,,,
2002-02-25,0.33,0.34,0.32,0.32,349109.0,0.35000000000000003,,0.3135518431663513,0.32285714285714284,0.3232142857142858,,,,
2002-02-26,0.325,0.33,0.325,0.325,75900.0,0.33,,0.3249157667160034,0.325,0.3235714285714287,,,,
2002-02-27,0.33,0.345,0.33,0.335,404171.0,0.335,,0.3380883038043976,0.32857142857142857,0.3246428571428572,,,,
2002-02-28,0.34600000000000003,0.37,0.34,0.37,419274.0,0.335,,0.3529912829399109,0.3364285714285714,0.32678571428571435,0.31,,,
2002-03-01,0.37,0.38,0.37,0.37,487522.0,0.4,,0.3551871478557587,0.34142857142857147,0.32964285714285724,0.3138333333333333,,,
2002-03-04,0.38,0.39,0.375,0.39,432500.0,0.41,,0.35221540927886963,0.34857142857142864,0.3346428571428572,0.31783333333333336,,,
2002-03-05,0.39,0.42,0.38,0.39,1160210.0,0.46,,0.3484492301940918,0.3571428571428572,0.33999999999999997,0.32133333333333336,,,
2002-03-06,0.38,0.385,0.37,0.37,478000.0,0.455,,0.3449326455593109,0.3642857142857144,0.3435714285714285,0.32449999999999996,,,
2002-03-07,0.38,0.38,0.375,0.38,171986.0,0.405,,0.3416670858860016,0.3721428571428572,0.3485714285714286,0.32816666666666666,,,
2002-03-08,0.375,0.375,0.36,0.375,276418.0,0.39,,0.33865392208099365,0.37785714285714295,0.35321428571428576,0.3316666666666667,,,
2002-03-11,0.375,0.39,0.365,0.37,207200.0,0.38,,0.3358939588069916,0.37785714285714295,0.35714285714285715,0.33433333333333337,,,
2002-03-12,0.37,0.375,0.36,0.37,84525.0,0.35,,0.3333879113197327,0.37785714285714295,0.35964285714285715,0.33716666666666667,,,
2002-03-13,0.365,0.365,0.35,0.36,214200.0,0.35,,0.3311254382133484,0.3735714285714286,0.3610714285714286,0.3395,,,
2002-03-14,0.37,0.395,0.37,0.395,493330.0,0.35,,0.3291054368019104,0.3742857142857143,0.36571428571428577,0.343,,,
2002-03-15,0.395,0.405,0.395,0.4,418452.0,0.41,,0.3273428380489349,0.37857142857142856,0.3714285714285715,0.34600000000000003,,,
2002-03-18,0.405,0.415,0.4,0.41,366530.0,0.425,,0.3258377015590668,0.3828571428571429,0.37750000000000006,0.3486666666666667,,,
2002-03-19,0.41,0.415,0.4,0.4,514155.0,0.45,,0.3244723975658417,0.38642857142857145,0.38214285714285723,0.35116666666666674,,,
2002-03-20,0.4,0.41,0.38,0.38,305687.0,0.4300000000000001,,0.32326579093933105,0.38785714285714284,0.38285714285714295,0.35316666666666674,,,
2002-03-21,0.38,0.38,0.37,0.375,315163.0,0.4,,0.3223089575767517,0.3885714285714285,0.3832142857142858,0.3550000000000001,,,
2002-03-22,0.345,0.355,0.33,0.33,288328.0,0.355,,0.32161542773246765,0.3842857142857143,0.37892857142857156,0.35466666666666674,,,
2002-03-25,0.33,0.335,0.32,0.325,158100.0,0.26,,0.32120683789253235,0.3742857142857143,0.37428571428571444,0.35450000000000004,,,
2002-03-26,0.325,0.33,0.32,0.33,79700.0,0.24000000000000005,,0.32141125202178955,0.3642857142857143,0.37142857142857155,0.3548333333333334,,,
2002-03-27,0.33,0.335,0.33,0.335,53300.0,0.26,,0.32214468717575073,0.3535714285714286,0.3682142857142859,0.3555000000000001,,,
2002-03-28,0.335,0.34,0.33,0.34,30600.0,0.29000000000000004,,0.32312142848968506,0.34500000000000003,0.3657142857142858,0.35616666666666674,,,
2002-04-02,0.345,0.355,0.345,0.35,154041.0,0.30500000000000005,,0.3243367969989777,0.34071428571428575,0.3642857142857144,0.35750000000000004,,,
2002-04-03,0.36,0.38,0.36,0.375,177854.0,0.37,,0.3258188664913177,0.34071428571428575,0.3646428571428572,0.3596666666666667,,,
2002-04-04,0.38,0.38,0.355,0.36,86820.0,0.425,,0.3267674446105957,0.34500000000000003,0.3646428571428572,0.3611666666666667,,,
2002-04-05,0.355,0.365,0.35,0.365,118120.0,0.39,,0.3260442316532135,0.3507142857142857,0.3625000000000001,0.3621666666666667,,,
2002-04-08,0.36,0.36,0.35,0.36,15000.0,0.395,,0.3254542648792267,0.355,0.3596428571428572,0.36283333333333334,,,
2002-04-09,0.36,0.365,0.36,0.365,101850.0,0.38,,0.3249945640563965,0.35928571428571426,0.3564285714285715,0.364,,,
2002-04-10,0.365,0.365,0.35,0.365,30400.0,0.38,,0.3246626853942871,0.3628571428571429,0.3539285714285715,0.3655,,,
2002-04-11,0.37,0.375,0.36,0.36,62114.0,0.355,,0.3244558870792389,0.36428571428571427,0.3525000000000001,0.36666666666666664,,,
2002-04-12,0.36,0.36,0.36,0.36,17450.0,0.36,,0.32437121868133545,0.3621428571428571,0.35142857142857153,0.36749999999999994,,,
2002-04-15,0.36,0.36,0.345,0.345,52249.0,0.355,,0.3244060277938843,0.36,0.3525000000000001,0.36666666666666664,0.3383333333333332,,
2002-04-16,0.35,0.355,0.345,0.35,39700.0,0.33,,0.3245573341846466,0.3578571428571428,0.35428571428571437,0.366,0.3399166666666666,,
2002-04-17,0.35,0.35,0.335,0.335,100480.0,0.335,,0.32482224702835083,0.35428571428571426,0.3546428571428572,0.3641666666666667,0.34099999999999997,,
2002-04-18,0.34,0.345,0.335,0.345,46000.0,0.30500000000000005,,0.3249327838420868,0.3514285714285714,0.35535714285714287,0.3626666666666667,0.3419999999999999,,
2002-04-19,0.335,0.34,0.335,0.335,47140.0,0.33,,0.3249640166759491,0.3471428571428571,0.35500000000000004,0.3615000000000001,0.34299999999999997,,
2002-04-22,0.335,0.335,0.335,0.335,96900.0,0.31000000000000005,,0.3251369297504425,0.3435714285714285,0.3539285714285715,0.3600000000000001,0.34408333333333335,,
2002-04-23,0.335,0.335,0.33,0.33,32100.0,0.3250000000000001,,0.3245429694652557,0.3392857142857143,0.3507142857142858,0.3585000000000001,0.3450833333333333,,
2002-04-24,0.33,0.33,0.32,0.32,72800.0,0.31000000000000005,,0.3229987919330597,0.3357142857142857,0.3478571428571429,0.35683333333333345,0.3455833333333333,,
2002-04-26,0.33,0.34,0.33,0.34,24400.0,0.305,,0.3215419948101044,0.3342857142857142,0.34607142857142864,0.3558333333333335,0.3465,,
2002-04-29,0.33,0.33,0.315,0.315,159150.0,0.3350000000000001,,0.3201729655265808,0.33142857142857135,0.3428571428571429,0.3543333333333335,0.3469166666666667,,
2002-04-30,0.31,0.315,0.27,0.29,171504.0,0.295,,0.3188920617103577,0.3235714285714285,0.3375,0.35083333333333344,0.3469166666666667,,
2002-05-01,0.29,0.29,0.285,0.29,69800.0,0.24499999999999994,,0.3176996409893036,0.3171428571428571,0.3321428571428572,0.34716666666666673,0.34658333333333335,,
2002-05-02,0.3,0.31,0.29,0.29,78252.0,0.24999999999999994,,0.3165960013866425,0.31071428571428567,0.3271428571428571,0.34316666666666673,0.3459166666666667,,
2002-05-03,0.3,0.3,0.3,0.3,16000.0,0.25999999999999995,,0.31558135151863104,0.3064285714285714,0.32285714285714284,0.3398333333333334,0.3455000000000001,,
2002-05-06,0.3,0.3,0.29,0.29,23567.0,0.25999999999999995,,0.3146560490131378,0.3021428571428571,0.3189285714285714,0.3368333333333334,0.34500000000000003,,
2002-05-07,0.3,0.3,0.285,0.285,92000.0,0.265,,0.31382039189338684,0.2942857142857143,0.31428571428571433,0.33383333333333337,0.3444166666666667,,
