Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
2003-01-02,4.6,4.63,4.56,4.62,271936.0,,,1.6824448108673096,,,,,,
2003-01-03,4.62,4.62,4.57,4.59,405671.0,,,1.8015036582946775,,,,,,
2003-01-06,4.61,4.62,4.57,4.62,349848.0,,,1.9774917364120483,,,,,,
2003-01-07,4.61,4.61,4.51,4.54,501309.0,,,2.225195407867432,,,,,,
2003-01-08,4.54,4.62,4.54,4.62,1169110.0,,,2.485525369644165,,,,,,
2003-01-09,4.61,4.61,4.57,4.6,239488.0,,,2.7545666694641118,,,,,,
2003-01-10,4.6,4.61,4.56,4.61,274103.0,4.579999999999999,,3.0042262077331543,4.6000000000000005,,,,,
2003-01-13,4.61,4.7,4.61,4.7,633562.0,4.630000000000001,,3.1852993965148926,4.611428571428573,,,,,
2003-01-14,4.68,4.68,4.6,4.6,405195.0,4.78,,3.3274316787719727,4.612857142857144,,,,,
2003-01-15,4.62,4.68,4.62,4.65,534561.0,4.659999999999998,,3.4352450370788574,4.617142857142858,,,,,
2003-01-16,4.64,4.66,4.58,4.6,527248.0,4.6800000000000015,,3.5321855545043945,4.625714285714287,,,,,
2003-01-17,4.61,4.66,4.61,4.63,613960.0,4.6,,3.6194171905517583,4.627142857142859,,,,,
2003-01-20,4.6,4.66,4.6,4.6,413196.0,4.65,,3.6972348690032963,4.627142857142859,,,,,
2003-01-21,4.58,4.59,4.53,4.55,1559498.0,4.499999999999999,,3.7660489082336426,4.61857142857143,4.609285714285716,,,,
2003-01-22,4.6,4.6,4.5,4.54,265258.0,4.5,,3.825461387634277,4.595714285714287,4.6035714285714295,,,,
2003-01-23,4.57,4.57,4.43,4.45,2276318.0,4.43,,3.8754866123199454,4.574285714285716,4.59357142857143,,,,
2003-01-24,4.49,4.53,4.41,4.46,1502215.0,4.300000000000002,,3.91597843170166,4.547142857142859,4.582142857142857,,,,
2003-01-28,4.42,4.43,4.34,4.36,1532244.0,4.29,,3.9473662376403813,4.512857142857144,4.569285714285715,,,,
2003-01-29,4.37,4.48,4.37,4.43,590589.0,4.120000000000001,,3.970091819763184,4.484285714285716,4.555714285714286,,,,
2003-01-30,4.43,4.5,4.43,4.49,671847.0,4.31,,3.983309268951416,4.46857142857143,4.5478571428571435,,,,
2003-01-31,4.47,4.47,4.4,4.45,1505916.0,4.44,,3.9870271682739262,4.4542857142857155,4.536428571428572,,,,
2003-02-03,4.4,4.4,4.33,4.33,239739.0,4.45,,3.9812557697296143,4.424285714285716,4.51,,,,
2003-02-04,4.31,4.35,4.3,4.34,586073.0,4.2,,3.9660031795501713,4.408571428571431,4.491428571428572,,,,
2003-02-05,4.32,4.32,4.2,4.2,899744.0,4.3199999999999985,,3.9412779808044434,4.371428571428574,4.4592857142857145,,,,
2003-02-06,4.2,4.22,4.1,4.16,1761679.0,3.9700000000000006,,3.907090187072754,4.342857142857146,4.427857142857143,,,,
2003-02-07,4.16,4.2,4.15,4.19,809530.0,3.83,,3.863447189331055,4.308571428571431,4.396428571428571,,,,
2003-02-10,4.19,4.2,4.17,4.18,810629.0,3.9300000000000006,,3.810358047485352,4.264285714285717,4.366428571428572,,,,
2003-02-11,4.18,4.19,4.13,4.15,601906.0,4.0299999999999985,,3.747831106185913,4.221428571428573,4.3378571428571435,,,,
2003-02-12,4.15,4.27,4.15,4.27,1119045.0,3.9600000000000013,,3.6758730411529537,4.212857142857145,4.3185714285714285,,,,
2003-02-13,4.3,4.3,4.17,4.17,249948.0,4.339999999999999,,3.5944926738739014,4.188571428571431,4.298571428571428,4.456666666666667,,,
2003-02-14,4.2,4.23,4.12,4.18,597317.0,4.18,,3.5036957263946533,4.185714285714288,4.278571428571428,4.442000000000001,,,
2003-02-17,4.17,4.18,4.15,4.18,299155.0,4.169999999999999,,3.403489112854004,4.188571428571431,4.265714285714284,4.428333333333334,,,
2003-02-18,4.18,4.18,4.12,4.13,441929.0,4.18,,3.2938778400421143,4.180000000000002,4.244285714285714,4.412000000000001,,,
2003-02-19,4.14,4.14,4.07,4.09,770683.0,4.1099999999999985,,3.174866914749145,4.167142857142859,4.215714285714285,4.397000000000001,,,
2003-02-20,4.07,4.09,3.97,4.0,1306612.0,3.91,,3.101606845855713,4.145714285714289,4.183571428571428,4.376333333333334,,,
2003-02-21,3.97,4.04,3.94,3.99,233555.0,3.83,,3.1005535125732417,4.1057142857142885,4.159285714285714,4.356000000000001,,,
2003-02-24,4.04,4.05,4.0,4.03,140467.0,3.8000000000000007,,3.11885929107666,4.085714285714288,4.137142857142856,4.336666666666668,,,
2003-02-25,4.03,4.03,3.92,3.93,427592.0,3.8800000000000012,,3.136443614959717,4.0500000000000025,4.117857142857142,4.311000000000002,,,
2003-02-26,3.98,4.1,3.98,4.1,521986.0,3.73,,3.15449857711792,4.038571428571431,4.1135714285714275,4.294333333333335,,,
2003-02-27,4.1,4.1,3.97,4.02,833653.0,4.1099999999999985,,3.1726164817810063,4.022857142857146,4.1014285714285705,4.273333333333335,,,
2003-02-28,4.12,4.15,4.05,4.13,636264.0,4.039999999999999,,3.1873779296875,4.028571428571431,4.097857142857142,4.257666666666668,,,
2003-03-03,4.1,4.14,4.02,4.02,576403.0,4.27,,3.199796438217163,4.031428571428575,4.088571428571428,4.237333333333336,,,
2003-03-04,4.05,4.06,4.01,4.02,390772.0,4.009999999999999,,3.211359977722168,4.035714285714289,4.070714285714286,4.218000000000003,,,
2003-03-05,4.02,4.02,3.91,3.94,490295.0,4.1099999999999985,,3.2220728397369385,4.022857142857146,4.054285714285713,4.197666666666669,,,
2003-03-06,3.92,3.94,3.86,3.88,566688.0,3.78,,3.231951236724853,4.015714285714289,4.032857142857142,4.175666666666669,,,
2003-03-07,3.86,3.86,3.7,3.75,755869.0,3.74,,3.24100923538208,3.9657142857142884,4.002142857142856,4.1523333333333365,,,
2003-03-10,3.77,3.79,3.76,3.77,840762.0,3.37,,3.24923038482666,3.930000000000003,3.976428571428571,4.129333333333337,,,
2003-03-11,3.78,3.78,3.75,3.77,406907.0,3.5200000000000005,,3.2566194534301762,3.8785714285714312,3.9535714285714283,4.10966666666667,,,
2003-03-12,3.77,3.79,3.7,3.7,672986.0,3.5200000000000005,,3.26318097114563,3.832857142857146,3.932142857142857,4.085333333333336,,,
