Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM
2016-11-07,3.14,3.22,3.1,3.22,,,,0.21957994997501373
2016-11-08,3.23,3.33,3.23,3.29,,,,0.3278188705444336
2016-11-09,3.3,3.3,3.12,3.19,,,,0.4735316038131714
2016-11-10,3.22,3.28,3.22,3.27,,,,0.6642192602157593
2016-11-11,3.26,3.26,3.2,3.24,,,,0.907389223575592
2016-11-14,3.23,3.24,3.17,3.19,,,,1.2100764513015747
2016-11-15,3.2,3.21,3.16,3.19,,3.16,,1.5783886909484863
2016-11-16,3.18,3.19,3.15,3.18,,3.09,,1.9962786436080933
2016-11-17,3.16,3.17,3.05,3.14,,3.1700000000000004,,2.2886462211608887
2016-11-18,3.15,3.16,3.13,3.15,,3.01,,2.520700693130493
2016-11-21,3.15,3.15,3.11,3.11,,3.06,,2.7340595722198486
2016-11-22,3.1,3.12,3.07,3.09,,3.03,,2.9267492294311523
2016-11-23,3.09,3.09,3.06,3.08,,2.99,,3.0855178833007812
2016-11-24,3.09,3.09,3.04,3.06,,2.98,,3.2160654067993164
2016-11-25,3.05,3.05,3.0,3.02,,2.98,,3.3199706077575684
2016-11-28,3.01,3.09,3.01,3.06,,2.89,,3.3855717182159424
2016-11-29,3.07,3.13,3.07,3.1,,3.01,,3.413665771484375
2016-11-30,3.12,3.16,3.1,3.16,,3.1100000000000003,,3.4142277240753174
2016-12-01,3.15,3.15,3.13,3.15,,3.24,3.132000000000001,3.389740228652954
2016-12-02,3.15,3.16,3.13,3.14,,3.24,3.1379999999999995,3.333555221557617
2016-12-05,3.14,3.14,3.1,3.11,,3.26,3.141,3.3010241985321045
2016-12-06,3.13,3.15,3.05,3.1,,3.16,3.1260000000000003,3.250743865966797
2016-12-07,3.1,3.11,3.06,3.08,,3.1,3.1020000000000003,3.202881097793579
2016-12-08,3.08,3.13,3.03,3.11,,3.0,3.088,3.2045207023620605
2016-12-09,3.11,3.14,3.11,3.12,,3.07,3.103,3.2156505584716797
2016-12-12,3.11,3.13,3.06,3.1,,3.1,3.115,3.2169077396392822
2016-12-13,3.1,3.12,3.05,3.12,,3.0900000000000003,3.1050000000000004,3.2085938453674316
2016-12-14,3.12,3.14,3.09,3.12,,3.14,3.1100000000000003,3.19106125831604
2016-12-15,3.07,3.12,3.01,3.1,,3.16,3.120000000000001,3.1647071838378906
2016-12-16,3.09,3.1,3.05,3.08,,3.0900000000000003,3.1080000000000005,3.1854071617126465
2016-12-19,3.05,3.07,3.04,3.06,,3.04,3.092,3.204482316970825
2016-12-20,3.08,3.13,3.07,3.12,,3.02,3.072,3.2330994606018066
2016-12-21,3.15,3.17,3.15,3.16,,3.12,3.1039999999999996,3.266794204711914
2016-12-22,3.16,3.23,3.16,3.23,,3.2,3.1519999999999997,3.2961912155151367
2016-12-23,3.21,3.22,3.2,3.22,,3.36,3.198,3.3212828636169434
2016-12-28,3.2,3.22,3.2,3.21,,3.3600000000000003,3.2230000000000003,3.3419089317321777
2016-12-29,3.2,3.21,3.185,3.21,,3.36,3.217,3.358274221420288
2016-12-30,3.21,3.21,3.16,3.19,,3.3,3.2120000000000006,3.370424270629883
2017-01-03,3.19,3.19,3.17,3.19,,3.22,3.2,3.3783748149871826
2017-01-04,3.19,3.23,3.19,3.23,,3.15,3.1940000000000004,3.3821561336517334
2017-01-05,3.22,3.23,3.2,3.23,,3.24,3.21,3.3817813396453857
2017-01-06,3.23,3.23,3.2,3.22,,3.25,3.222,3.3772807121276855
2017-01-09,3.23,3.23,3.19,3.21,,3.2300000000000004,3.221,3.3686885833740234
2017-01-10,3.21,3.23,3.2,3.21,,3.23,3.216,3.3560428619384766
2017-01-11,3.2,3.21,3.19,3.2,,3.23,3.2120000000000006,3.339386224746704
2017-01-12,3.19,3.2,3.18,3.19,,3.1700000000000004,3.205,3.318765640258789
2017-01-13,3.19,3.19,3.17,3.18,,3.15,3.1910000000000003,3.301015615463257
2017-01-16,3.17,3.18,3.15,3.17,,3.14,3.1850000000000005,3.3068881034851074
