Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF
2016-04-22,45.2,45.75,45.2,45.37,,,
2016-04-26,46.19,46.48,46.02,46.06,,,
2016-04-27,47.09,47.6,46.5,47.06,,,
2016-04-28,48.5,48.5,47.79,48.06,,,
2016-04-29,49.02,49.02,47.8,48.4,,,
2016-05-02,47.96,50.26,47.86,50.26,,,
2016-05-03,47.97,49.43,47.8,48.9,,55.15,
2016-05-04,49.25,49.36,48.68,49.15,,51.74,
2016-05-05,49.03,49.55,49.03,49.4,,51.24,
2016-05-06,49.31,50.65,49.31,50.5,,50.74,
2016-05-09,51.0,51.69,51.0,51.69,,52.6,
2016-05-10,51.69,52.21,51.56,51.96,,53.12,
2016-05-11,51.46,51.88,51.44,51.44,,55.02,
2016-05-12,50.65,51.22,50.0,51.22,,53.73,
2016-05-13,51.87,52.47,51.84,52.04,,53.04,
2016-05-16,50.9,52.48,50.9,52.2,,53.58,
2016-05-17,52.0,52.37,51.56,51.94,,52.71000000000001,
2016-05-18,51.65,51.65,51.01,51.22,,51.92,
2016-05-19,49.01,50.08,49.01,50.03,,51.0,
2016-05-20,50.14,50.29,49.91,50.0,,48.84,
2016-05-23,49.9,50.01,49.43,49.6,,47.96,
2016-05-24,49.1,50.15,49.1,49.8,,47.0,
2016-05-25,50.87,51.32,50.82,50.91,,47.66,
2016-05-26,50.5,50.96,50.44,50.9,,50.6,
2016-05-27,50.82,51.05,50.64,50.75,,51.77,
2016-05-30,51.23,51.55,51.1,51.24,,51.5,50.824999999999996
2016-05-31,51.09,51.24,50.57,50.57,,52.88,51.108000000000004
2016-06-01,49.02,50.51,49.02,50.0,,51.34,50.923
2016-06-02,50.0,50.49,50.0,50.44,,49.09,50.245999999999995
2016-06-03,50.56,51.21,50.27,50.35,,49.98,50.321
2016-06-06,49.84,50.35,49.68,49.86,,49.95,50.355000000000004
2016-06-07,49.27,49.98,49.2,49.2,,48.48,49.98100000000001
2016-06-08,49.05,49.58,49.03,49.18,,47.83000000000001,49.446999999999996
2016-06-09,49.24,49.67,49.1,49.3,,48.36,49.184000000000005
2016-06-10,49.81,50.2,49.59,49.97,,48.16,49.254000000000005
2016-06-14,51.32,51.64,51.12,51.13,,49.59,49.769000000000005
2016-06-15,51.56,51.74,51.4,51.4,,52.40000000000001,50.416000000000004
2016-06-16,51.78,51.9,51.64,51.8,,53.6,51.108999999999995
2016-06-17,51.87,52.0,51.66,52.0,,54.42,51.54599999999999
2016-06-20,51.67,51.88,51.28,51.87,,54.7,51.833000000000006
2016-06-21,51.24,51.69,50.8,51.61,,53.77,51.915
2016-06-22,51.5,51.5,51.06,51.2,,52.09,51.791999999999994
2016-06-23,51.01,51.58,51.01,51.1,,51.00000000000001,51.266999999999996
2016-06-24,51.04,51.44,49.78,50.35,,50.40000000000001,51.217000000000006
2016-06-27,50.27,51.08,50.25,51.01,,48.7,50.67000000000001
2016-06-28,51.1,51.78,51.1,51.41,,50.15,50.906000000000006
2016-06-29,51.77,52.47,51.77,52.47,,51.21,51.36999999999998
2016-06-30,52.98,53.54,52.81,52.85,,53.74,51.93999999999998
2016-07-01,53.08,53.5,52.75,52.82,,54.6,52.774000000000015
2016-07-04,53.25,53.62,53.12,53.53,,55.29,52.79100000000001
2016-07-05,53.52,53.52,52.9,53.13,,56.05,53.35299999999999
2016-07-06,53.61,54.53,53.1,54.23,,54.85000000000001,53.17
2016-07-07,53.35,53.45,52.91,53.39,,55.99,53.9
2016-07-08,52.85,52.85,52.37,52.6,,53.93,53.7
2016-07-11,52.7,53.15,52.6,53.14,,52.38,52.67900000000001
2016-07-12,53.97,53.97,53.55,53.6,,52.75,52.949
2016-07-13,53.6,54.0,53.6,53.95,,54.07,53.45400000000001
2016-07-14,53.69,53.74,53.19,53.39,,53.67000000000001,53.64000000000001
2016-07-15,53.05,53.23,52.52,53.05,,53.39,53.467
2016-07-18,52.5,52.65,52.26,52.35,,53.49999999999999,53.331
2016-07-19,52.4,53.0,52.34,53.0,,51.56,52.47500000000001
2016-07-20,53.44,53.67,53.21,53.43,,52.4,52.735
2016-07-21,53.86,53.95,52.83,53.55,,52.91,53.063
2016-07-22,53.52,53.99,53.39,53.56,,53.71,53.525999999999996
2016-07-25,54.67,55.38,54.57,54.67,,54.07000000000001,53.55800000000001
2016-07-26,54.83,55.25,54.4,54.49,,56.99,54.33700000000001
2016-07-27,54.66,55.62,54.56,55.54,,55.98,54.358000000000004
2016-07-28,54.64,55.12,54.64,54.7,,57.65,55.348
2016-07-29,54.89,55.24,54.84,55.02,,55.85000000000001,55.117
2016-08-01,54.75,55.08,54.55,54.85,,56.48,55.04
2016-08-02,54.99,54.99,54.36,54.85,,55.03,54.86899999999999
2016-08-03,53.4,53.8,53.09,53.6,,55.21,54.86899999999999
2016-08-04,53.62,53.66,52.95,53.45,,51.66,53.992000000000004
2016-08-05,52.0,52.0,49.72,50.3,,52.2,53.74499999999999
2016-08-08,49.99,49.99,49.26,49.6,,45.57999999999999,51.260000000000005
2016-08-09,48.45,48.5,47.9,48.29,,44.35,50.525000000000006
2016-08-10,48.0,48.02,47.62,47.75,,41.73,49.337
2016-08-11,47.41,49.07,47.39,49.05,,41.9,47.912
2016-08-12,48.5,48.65,48.22,48.65,,44.64999999999999,48.584
2016-08-15,48.65,48.94,48.35,48.35,,47.0,48.55
2016-08-16,48.35,48.59,48.16,48.25,,47.1,48.510000000000005
2016-08-17,48.58,48.58,48.11,48.4,,48.21,48.38
2016-08-18,48.64,48.64,47.88,48.08,,49.05,48.334999999999994
2016-08-19,48.3,49.3,48.08,49.23,,47.11,48.187999999999995
2016-08-22,49.4,49.97,49.23,49.57,,49.81,48.699
2016-08-23,49.69,49.955,49.42,49.58,,50.79,49.18
2016-08-24,49.97,50.4,49.82,50.29,,50.91,49.54299999999999
2016-08-25,50.26,50.7,50.26,50.48,,52.18,49.934999999999995
2016-08-26,50.26,50.48,50.26,50.33,,52.88,50.209999999999994
2016-08-29,50.38,50.9,50.26,50.45,,51.43,50.315000000000005
2016-08-30,50.73,51.0,50.27,50.27,,51.33000000000001,50.345000000000006
2016-08-31,50.26,50.92,50.26,50.8,,50.96000000000001,50.315
2016-09-01,50.8,51.32,50.62,50.78,,51.31,50.606
2016-09-02,49.51,51.01,48.85,50.65,,51.08000000000001,50.784000000000006
2016-09-05,50.31,51.24,50.31,50.98,,50.97,50.69099999999999
2016-09-06,50.66,50.99,50.56,50.81,,51.50999999999999,50.80799999999999
2016-09-07,50.75,51.5,50.49,50.71,,51.35,50.821
2016-09-08,51.0,51.59,51.0,51.29,,50.62000000000001,50.75699999999999
2016-09-09,49.01,50.24,49.01,49.6,,51.8,51.136
2016-09-12,47.36,48.45,47.36,47.92,,48.55,50.397000000000006
2016-09-13,48.1,48.54,48.1,48.34,,44.86000000000001,48.88100000000001
2016-09-14,48.09,48.51,48.01,48.51,,45.87000000000001,48.382000000000005
2016-09-15,47.45,47.73,47.08,47.4,,46.31,48.593
2016-09-16,47.78,48.04,47.485,47.73,,43.51,47.61999999999999
2016-09-19,47.8,48.1,47.62,47.73,,45.85999999999999,47.63099999999999
