Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
2000-10-02,,,,1.12,,,,0.6388773918151855,,,,,,
2000-10-03,1.13,1.14,1.12,1.12,5437166.0,,,0.8074597120285034,,,,,,
2000-10-04,1.13,1.14,1.13,1.14,412902.0,,,0.9713192582130432,,,,,,
2000-10-05,1.13,1.16,1.13,1.15,2034484.0,,,1.1039762496948242,,,,,,
2000-10-06,1.15,1.15,1.14,1.14,1199355.0,,,1.1812644004821775,,,,,,
2000-10-09,1.15,1.15,1.13,1.13,359245.0,,,1.2208740711212158,,,,,,
2000-10-10,1.13,1.16,1.13,1.14,1575486.0,1.1399999999999997,,1.2287153005599976,1.1342857142857141,,,,,
2000-10-11,1.15,1.15,1.13,1.14,2967871.0,1.1599999999999997,,1.2075077295303345,1.1371428571428568,,,,,
2000-10-12,1.15,1.15,1.14,1.15,214402.0,1.14,,1.1609221696853638,1.141428571428571,,,,,
2000-10-13,1.15,1.16,1.14,1.15,372116.0,1.15,,1.100657343864441,1.1428571428571426,,,,,
2000-10-16,1.15,1.18,1.15,1.17,385405.0,1.16,,1.0847156047821045,1.1457142857142855,,,,,
2000-10-17,1.17,1.18,1.14,1.17,346816.0,1.21,,1.0664651393890379,1.1499999999999997,,,,,
2000-10-18,1.15,1.15,1.13,1.13,1355802.0,1.2,,1.0522416830062866,1.1499999999999997,,,,,
2000-10-19,1.14,1.15,1.13,1.15,2055814.0,1.12,,1.036703109741211,1.151428571428571,1.1428571428571428,,,,
2000-10-20,1.16,1.16,1.14,1.15,584041.0,1.15,,1.0194556713104248,1.1528571428571424,1.1449999999999998,,,,
2000-10-23,1.139,1.15,1.139,1.14,318046.0,1.15,,0.9956777095794678,1.151428571428571,1.1464285714285711,,,,
2000-10-24,1.14,1.15,1.13,1.14,447923.0,1.11,,0.966960072517395,1.1499999999999997,1.1464285714285711,,,,
2000-10-25,1.14,1.16,1.14,1.15,1037414.0,1.11,,0.9628177285194396,1.1471428571428568,1.1464285714285711,,,,
2000-10-26,1.15,1.15,1.13,1.14,392640.0,1.17,,0.961086630821228,1.1428571428571426,1.1464285714285711,,,,
2000-10-27,1.12,1.14,1.12,1.13,432708.0,1.13,,0.9526183605194092,1.1428571428571428,1.1464285714285711,,,,
2000-10-30,1.14,1.14,1.13,1.13,2139994.0,1.11,,0.9418758749961852,1.14,1.1457142857142855,,,,
2000-10-31,1.13,1.13,1.11,1.12,218492.0,1.12,,0.9281198978424072,1.1357142857142855,1.144285714285714,,,,
2000-11-01,1.12,1.14,1.12,1.13,190637.0,1.1000000000000003,,0.9121276736259459,1.1342857142857141,1.1428571428571426,,,,
2000-11-02,1.14,1.14,1.13,1.14,509537.0,1.11,,0.8962805271148682,1.1342857142857141,1.1421428571428567,,,,
2000-11-03,1.15,1.15,1.14,1.14,450168.0,1.14,,0.8898117542266846,1.1328571428571426,1.1399999999999995,,,,
2000-11-06,1.14,1.15,1.13,1.14,194218.0,1.15,,0.8826731443405151,1.1328571428571428,1.1378571428571422,,,,
2000-11-07,1.14,1.16,1.14,1.15,1209642.0,1.15,,0.8770648837089539,1.1357142857142855,1.1392857142857138,,,,
2000-11-08,1.15,1.16,1.14,1.15,1356502.0,1.1799999999999995,,0.872197687625885,1.1385714285714283,1.1392857142857136,,,,
2000-11-09,1.14,1.16,1.14,1.15,318600.0,1.17,,0.8658527731895447,1.1428571428571426,1.1392857142857136,,,,
2000-11-10,1.16,1.19,1.16,1.17,458457.0,1.16,,0.8580568432807922,1.1485714285714284,1.1414285714285708,1.1423333333333332,,,
2000-11-13,1.16,1.17,1.15,1.15,329756.0,1.2,,0.852878212928772,1.15,1.1421428571428562,1.1433333333333333,,,
2000-11-14,1.15,1.16,1.14,1.15,359610.0,1.16,,0.8554201722145081,1.1514285714285712,1.1421428571428562,1.1443333333333332,,,
2000-11-15,1.17,1.17,1.15,1.15,391599.0,1.15,,0.8571852445602417,1.1528571428571426,1.142857142857142,1.1446666666666665,,,
2000-11-16,1.16,1.16,1.14,1.14,915479.0,1.15,,0.8603626489639282,1.1514285714285712,1.1435714285714276,1.1443333333333332,,,
2000-11-17,1.14,1.14,1.13,1.13,283896.0,1.13,,0.8628816604614258,1.1485714285714281,1.1435714285714276,1.144,,,
2000-11-20,1.14,1.14,1.13,1.13,191889.0,1.09,,0.8623837232589722,1.1457142857142855,1.1442857142857132,1.144,,,
2000-11-21,1.12,1.14,1.12,1.14,212154.0,1.11,,0.8619299530982971,1.1414285714285712,1.1449999999999991,1.144,,,
2000-11-22,1.14,1.14,1.13,1.13,438963.0,1.13,,0.8630433678627014,1.1385714285714281,1.1442857142857132,1.1436666666666668,,,
2000-11-23,1.129,1.15,1.129,1.14,181029.0,1.11,,0.8634744882583618,1.1371428571428568,1.1442857142857132,1.1433333333333335,,,
2000-11-24,1.13,1.14,1.13,1.13,197254.0,1.14,,0.8667196035385132,1.1342857142857137,1.1435714285714274,1.142666666666667,,,
2000-11-27,1.141,1.141,1.11,1.11,561400.0,1.13,,0.8696832656860352,1.1299999999999994,1.1407142857142845,1.140666666666667,,,
2000-11-28,1.11,1.14,1.11,1.11,912707.0,1.0900000000000003,,0.8719977140426636,1.1271428571428566,1.1378571428571418,1.1386666666666667,,,
2000-11-29,1.11,1.13,1.1,1.1,266060.0,1.0800000000000003,,0.8736544251441956,1.1228571428571423,1.134285714285713,1.1376666666666668,,,
2000-11-30,1.11,1.12,1.1,1.1,334056.0,1.0700000000000005,,0.8760207891464233,1.1171428571428568,1.1292857142857131,1.1360000000000001,,,
2000-12-01,1.1,1.14,1.1,1.14,692974.0,1.0600000000000005,,0.8802854418754578,1.118571428571428,1.1285714285714272,1.1356666666666668,,,
2000-12-04,1.124,1.15,1.124,1.14,586318.0,1.15,,0.8841257691383362,1.118571428571428,1.1278571428571413,1.1356666666666668,,,
2000-12-05,1.13,1.17,1.13,1.15,1883881.0,1.1699999999999997,,0.8875397443771362,1.121428571428571,1.1278571428571413,1.1360000000000001,,,
2000-12-06,1.15,1.16,1.13,1.13,377512.0,1.1899999999999995,,0.8905295729637146,1.1242857142857139,1.1271428571428557,1.1353333333333337,,,
2000-12-07,1.13,1.16,1.13,1.16,1255469.0,1.1599999999999997,,0.8930953145027161,1.1314285714285708,1.129285714285713,1.1360000000000001,,,
2000-12-08,1.14,1.17,1.14,1.15,1337370.0,1.2199999999999998,,0.8952373266220093,1.138571428571428,1.1307142857142842,1.1366666666666667,,,
2000-12-11,1.15,1.171,1.15,1.171,831671.0,1.16,,0.8969565033912659,1.148714285714285,1.13292857142857,1.1380333333333332,,,
2000-12-12,1.17,1.17,1.15,1.16,445471.0,1.2020000000000002,,0.8896259069442749,1.1515714285714278,1.1350714285714272,1.1393666666666666,,,
2000-12-13,1.17,1.17,1.15,1.17,2015629.0,1.17,,0.8810248374938965,1.155857142857142,1.1372142857142842,1.1406999999999998,,,
2000-12-14,1.16,1.182,1.16,1.182,4530042.0,1.21,,0.8713151216506958,1.1604285714285705,1.1409285714285697,1.1421,,,
2000-12-15,1.18,1.19,1.16,1.167,316818.0,1.204,,0.8604923486709595,1.1657142857142848,1.1449999999999985,1.143,,,
2000-12-18,1.16,1.19,1.16,1.18,447580.0,1.1840000000000002,,0.8489256501197815,1.1685714285714275,1.1499999999999986,1.1443333333333332,,,
2000-12-19,1.18,1.19,1.17,1.17,479912.0,1.1889999999999998,,0.8378576040267944,1.1714285714285704,1.1549999999999987,1.145,,,
2000-12-20,1.17,1.2,1.17,1.18,595298.0,1.18,,0.8261134624481201,1.1727142857142847,1.1607142857142843,1.1460000000000001,,,
2000-12-21,1.16,1.18,1.16,1.17,1229162.0,1.19,,0.8134368062019348,1.174142857142856,1.1628571428571415,1.146666666666667,,,
2000-12-22,1.17,1.17,1.14,1.14,225923.0,1.158,,0.8015015125274658,1.1698571428571418,1.1628571428571415,1.1456666666666668,1.1440000000000003,,
2000-12-27,1.16,1.16,1.15,1.15,142407.0,1.1129999999999998,,0.7972529530525208,1.1652857142857134,1.1628571428571415,1.1456666666666668,1.1445000000000003,,
2000-12-28,1.15,1.16,1.15,1.16,2458452.0,1.12,,0.7927235960960388,1.1642857142857133,1.1649999999999987,1.1460000000000001,1.1451666666666669,,
2000-12-29,1.15,1.16,1.15,1.15,1160888.0,1.15,,0.7879149913787842,1.159999999999999,1.1642857142857128,1.1460000000000001,1.1453333333333335,,
2001-01-02,1.15,1.16,1.15,1.16,1222927.0,1.12,,0.7828296422958374,1.1585714285714277,1.1649999999999987,1.1466666666666667,1.1455,,
2001-01-03,1.16,1.16,1.15,1.16,1315955.0,1.15,,0.7774680852890015,1.155714285714285,1.1642142857142843,1.1476666666666664,1.1458333333333333,,
2001-01-04,1.17,1.17,1.15,1.17,537248.0,1.18,,0.7718325853347778,1.155714285714285,1.16492857142857,1.1489999999999998,1.1465,,
2001-01-05,1.17,1.17,1.16,1.16,318637.0,1.19,,0.765924334526062,1.1585714285714277,1.164214285714284,1.1496666666666662,1.1468333333333334,,
2001-01-08,1.17,1.17,1.15,1.15,1266664.0,1.16,,0.7597442269325256,1.1585714285714277,1.1619285714285699,1.1503333333333328,1.147,,
2001-01-09,1.16,1.16,1.15,1.15,900728.0,1.15,,0.7532937526702881,1.1571428571428564,1.160714285714284,1.150666666666666,1.147,,
2001-01-10,1.16,1.16,1.15,1.16,5449869.0,1.14,,0.7465732097625732,1.1585714285714277,1.1592857142857125,1.151666666666666,1.1471666666666667,,
2001-01-11,1.16,1.17,1.15,1.16,172956.0,1.16,,0.7459800839424133,1.1585714285714277,1.158571428571427,1.1533333333333324,1.1469999999999998,,
2001-01-12,1.15,1.16,1.15,1.16,304209.0,1.15,,0.7466534376144409,1.1585714285714277,1.1571428571428555,1.154999999999999,1.1468333333333331,,
2001-01-15,1.16,1.16,1.14,1.16,383527.0,1.16,,0.7475290894508362,1.1571428571428564,1.1564285714285698,1.156999999999999,1.147333333333333,,
2001-01-16,1.14,1.16,1.14,1.14,268590.0,1.17,,0.7491815090179443,1.1542857142857135,1.1564285714285698,1.158333333333332,1.1471666666666664,,
2001-01-17,1.15,1.16,1.13,1.15,510964.0,1.13,,0.7505991458892822,1.1542857142857135,1.1564285714285698,1.1586666666666654,1.1471666666666664,,
2001-01-18,1.15,1.17,1.15,1.15,2095960.0,1.14,,0.751775860786438,1.1542857142857135,1.155714285714284,1.1589999999999987,1.147333333333333,,
2001-01-19,1.15,1.16,1.14,1.14,473466.0,1.14,,0.7534196376800537,1.1514285714285708,1.1549999999999983,1.1586666666666654,1.147333333333333,,
2001-01-22,1.15,1.16,1.15,1.15,490663.0,1.12,,0.7555004358291626,1.1499999999999992,1.1542857142857126,1.159333333333332,1.147333333333333,,
2001-01-23,1.16,1.16,1.15,1.16,189272.0,1.14,,0.7573935389518738,1.1499999999999992,1.1542857142857126,1.159333333333332,1.1476666666666664,,
2001-01-24,1.15,1.16,1.15,1.15,260491.0,1.18,,0.7590933442115784,1.148571428571428,1.1528571428571408,1.159333333333332,1.148,,
2001-01-25,1.16,1.16,1.15,1.16,346558.0,1.15,,0.76081383228302,1.1514285714285708,1.1528571428571408,1.1589666666666651,1.1484999999999999,,
2001-01-29,1.15,1.15,1.14,1.15,821497.0,1.17,,0.762437105178833,1.1514285714285708,1.1528571428571408,1.1586333333333318,1.149,,
2001-01-30,1.15,1.16,1.14,1.14,3180685.0,1.16,,0.7638534307479858,1.1499999999999992,1.1521428571428554,1.157633333333332,1.1491666666666667,,
2001-01-31,1.14,1.15,1.14,1.15,247982.0,1.13,,0.7650575041770935,1.1514285714285708,1.1514285714285695,1.1565666666666652,1.1493333333333335,,
2001-02-01,1.14,1.16,1.14,1.14,1206748.0,1.14,,0.7660439014434814,1.1499999999999992,1.1499999999999981,1.155666666666665,1.1493333333333335,,
