Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM
2014-11-19,3.14,3.17,2.96,3.1,,,,0.45262935757637024
2014-11-20,3.13,3.33,3.11,3.32,,,,0.5505785942077637
2014-11-21,3.32,3.4,3.21,3.38,,,,0.6845377087593079
2014-11-24,3.4,3.4,3.25,3.31,,,,0.8631808757781982
2014-11-25,3.3,3.36,3.26,3.35,,,,1.094785451889038
2014-11-26,3.32,3.33,3.21,3.25,,,,1.3871796131134033
2014-11-27,3.25,3.35,3.22,3.35,,3.4,,1.7251033782958984
2014-11-28,3.3,3.3,3.27,3.27,,3.3800000000000003,,2.0019187927246094
2014-12-01,3.27,3.27,3.25,3.25,,3.16,,2.2231638431549072
2014-12-02,3.24,3.3,3.23,3.28,,3.19,,2.4232499599456787
2014-12-03,3.27,3.3,3.26,3.3,,3.2099999999999995,,2.5924651622772217
2014-12-04,3.28,3.36,3.27,3.3,,3.35,,2.744542121887207
2014-12-05,3.3,3.34,3.29,3.32,,3.25,,2.8824827671051025
2014-12-08,3.32,3.49,3.31,3.42,,3.37,,2.9973666667938232
2014-12-09,3.4,3.42,3.34,3.36,,3.59,,3.095453977584839
2014-12-10,3.36,3.36,3.285,3.32,,3.44,,3.175966262817383
2014-12-11,3.31,3.43,3.31,3.39,,3.34,,3.238445520401001
2014-12-12,3.4,3.45,3.39,3.4,,3.4800000000000004,,3.281151056289673
2014-12-15,3.43,3.45,3.38,3.39,,3.48,,3.3042352199554443
2014-12-16,3.39,3.44,3.37,3.4,,3.3600000000000003,,3.3076860904693604
2014-12-17,3.37,3.41,3.37,3.4,,3.44,,3.2914540767669678
2014-12-18,3.4,3.43,3.37,3.37,,3.48,,3.2555084228515625
2014-12-19,3.37,3.43,3.37,3.43,,3.35,,3.2014782428741455
2014-12-22,3.43,3.5,3.43,3.46,,3.4600000000000004,,3.194415330886841
2014-12-23,3.46,3.5,3.45,3.46,,3.53,,3.173482656478882
2014-12-24,3.5,3.5,3.46,3.47,,3.52,,3.1506149768829346
2014-12-29,3.5,3.5,3.48,3.48,,3.5400000000000005,,3.1759445667266846
2014-12-30,3.5,3.5,3.49,3.49,,3.59,,3.193584680557251
2014-12-31,3.5,3.51,3.49,3.5,,3.5500000000000003,,3.203401803970337
2015-01-02,3.5,3.55,3.49,3.54,,3.54,,3.20527982711792
2015-01-05,3.55,3.57,3.51,3.51,,3.62,,3.1991209983825684
2015-01-06,3.49,3.53,3.49,3.52,,3.5499999999999994,,3.1848461627960205
2015-01-07,3.52,3.6,3.51,3.56,,3.56,,3.162397623062134
2015-01-08,3.58,3.75,3.58,3.66,,3.63,,3.136314630508423
2015-01-09,3.68,3.74,3.68,3.74,,3.82,,3.1735730171203613
2015-01-12,3.71,3.85,3.71,3.81,,3.94,,3.2083892822265625
2015-01-13,3.82,3.82,3.65,3.75,,4.11,,3.240736722946167
