Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF
2000-11-03,2.15,2.46,2.15,2.46,23282826.0,,
2000-11-06,2.442,2.442,2.3,2.31,1849125.0,,
2000-11-07,2.32,2.32,2.28,2.32,1084421.0,,
2000-11-08,2.32,2.45,2.3,2.43,627675.0,,
2000-11-09,2.43,2.45,2.4,2.45,111700.0,,
2000-11-10,2.45,2.45,2.38,2.4,772486.0,,
2000-11-13,2.4,2.43,2.4,2.4,314500.0,2.34,
2000-11-14,2.43,2.43,2.4,2.4,3517425.0,2.49,
2000-11-15,2.4530000000000003,2.4530000000000003,2.4,2.41,21250.0,2.48,
2000-11-16,2.455,2.455,2.41,2.41,61800.0,2.39,
2000-11-17,2.41,2.43,2.41,2.43,117500.0,2.37,
2000-11-20,2.42,2.42,2.38,2.42,504203.0,2.4600000000000004,
2000-11-21,2.42,2.42,2.395,2.4,54000.0,2.44,
2000-11-22,2.4,2.4,2.4,2.4,137200.0,2.4,
2000-11-23,2.4,2.4,2.38,2.4,102397.0,2.39,
2000-11-24,2.4,2.41,2.38,2.41,1147302.0,2.39,
2000-11-27,2.415,2.415,2.4,2.4,17800.0,2.39,
2000-11-28,2.4,2.4,2.38,2.38,27250.0,2.38,
2000-11-29,2.34,2.35,2.33,2.35,116043.0,2.36,
2000-11-30,2.35,2.4,2.34,2.39,1005102.0,2.3000000000000003,
2000-12-01,2.35,2.36,2.35,2.35,37987.0,2.3800000000000003,
2000-12-04,2.35,2.36,2.35,2.35,188190.0,2.29,
2000-12-05,2.35,2.36,2.35,2.35,55296.0,2.3000000000000003,
2000-12-06,2.37,2.39,2.35,2.35,102296.0,2.3200000000000003,
2000-12-07,2.35,2.39,2.35,2.39,347240.0,2.35,
2000-12-08,2.38,2.38,2.35,2.35,43600.0,2.39,
2000-12-11,2.35,2.36,2.35,2.35,78200.0,2.35,
2000-12-12,2.36,2.42,2.36,2.42,613012.0,2.35,
2000-12-13,2.42,2.55,2.42,2.55,113253.0,2.49,
2000-12-14,2.55,2.55,2.471,2.471,382210.0,2.75,
2000-12-15,2.54,2.54,2.49,2.5,5746.0,2.552,
2000-12-18,2.47,2.47,2.45,2.45,412300.0,2.65,
2000-12-19,2.44,2.44,2.44,2.44,51460.0,2.5500000000000003,
2000-12-20,2.4,2.4,2.4,2.4,61400.0,2.46,
2000-12-21,2.38,2.38,2.35,2.35,226123.0,2.25,
2000-12-22,2.35,2.35,2.35,2.35,252200.0,2.229,
2000-12-27,2.37,2.37,2.37,2.37,216300.0,2.2,
2000-12-28,2.35,2.35,2.35,2.35,39426.0,2.29,
2000-12-29,2.4,2.41,2.4,2.41,24200.0,2.26,
2001-01-02,2.403,2.403,2.4,2.4,1900.0,2.4200000000000004,
2001-01-03,2.35,2.35,2.35,2.35,37000.0,2.45,
2001-01-04,2.405,2.45,2.4,2.45,172487.0,2.35,
2001-01-05,2.4,2.4,2.4,2.4,21600.0,2.53,
2001-01-08,2.41,2.41,2.41,2.41,4500.0,2.45,
2001-01-09,2.41,2.41,2.41,2.41,672600.0,2.41,
2001-01-10,2.41,2.41,2.41,2.41,14450.0,2.4200000000000004,
2001-01-11,2.41,2.41,2.4,2.4,417552.0,2.47,
2001-01-12,2.41,2.41,2.4,2.41,23554.0,2.35,
2001-01-15,2.41,2.42,2.41,2.42,15000.0,2.4200000000000004,
2001-01-16,2.41,2.41,2.41,2.41,186230.0,2.43,
2001-01-17,2.41,2.41,2.41,2.41,46856.0,2.41,
2001-01-18,2.432,2.432,2.41,2.41,2545.0,2.41,
2001-01-19,2.41,2.45,2.41,2.45,23310.0,2.4200000000000004,
