Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
2014-06-05,2.45,2.51,2.41,2.43,,,,0.5985954403877258,,,,,,
2014-06-06,2.41,2.42,2.35,2.36,,,,0.7752251625061035,,,,,,
2014-06-10,2.37,2.37,2.31,2.33,,,,1.004092574119568,,,,,,
2014-06-11,2.32,2.33,2.31,2.33,,,,1.283180594444275,,,,,,
2014-06-12,2.32,2.35,2.31,2.33,,,,1.6095738410949707,,,,,,
2014-06-13,2.32,2.37,2.31,2.37,,,,1.9261528253555296,,,,,,
2014-06-16,2.39,2.39,2.34,2.35,,2.31,,2.2050457000732417,2.357142857142857,,,,,
2014-06-17,2.37,2.37,2.35,2.36,,2.3400000000000003,,2.389812469482422,2.347142857142857,,,,,
2014-06-18,2.35,2.39,2.35,2.35,,2.39,,2.5211181640625,2.345714285714286,,,,,
2014-06-19,2.35,2.36,2.31,2.35,,2.37,,2.585623264312744,2.348571428571429,,,,,
2014-06-20,2.31,2.35,2.31,2.35,,2.37,,2.5816855430603027,2.3514285714285728,,,,,
2014-06-23,2.31,2.34,2.3,2.33,,2.33,,2.527632236480713,2.3514285714285728,,,,,
2014-06-24,2.34,2.35,2.33,2.34,,2.31,,2.4254283905029297,2.3471428571428583,,,,,
2014-06-25,2.35,2.37,2.35,2.37,,2.32,,2.30240535736084,2.350000000000001,2.3535714285714286,,,,
2014-06-26,2.37,2.39,2.37,2.38,,2.39,,2.286756992340088,2.3528571428571436,2.3500000000000005,,,,
2014-06-27,2.38,2.38,2.37,2.38,,2.41,,2.289634227752685,2.3571428571428577,2.351428571428572,,,,
2014-06-30,2.38,2.4,2.35,2.36,,2.41,,2.2839910984039307,2.358571428571429,2.353571428571429,,,,
2014-07-01,2.35,2.35,2.33,2.33,,2.39,,2.2695131301879883,2.355714285714286,2.353571428571429,,,,
2014-07-02,2.35,2.36,2.32,2.35,,2.3200000000000003,,2.259997129440308,2.3585714285714294,2.355000000000001,,,,
2014-07-03,2.34,2.38,2.34,2.38,,2.33,,2.238799810409546,2.3642857142857148,2.355714285714287,,,,
2014-07-04,2.38,2.38,2.31,2.37,,2.38,,2.2376527786254883,2.3642857142857148,2.357142857142858,,,,
2014-07-07,2.38,2.38,2.35,2.35,,2.3600000000000003,,2.2310106754302983,2.3600000000000008,2.3564285714285726,,,,
2014-07-08,2.35,2.37,2.35,2.36,,2.3400000000000003,,2.2151503562927246,2.357142857142858,2.357142857142858,,,,
2014-07-09,2.37,2.39,2.37,2.39,,2.39,,2.2007951736450195,2.3614285714285725,2.3600000000000008,,,,
2014-07-10,2.39,2.4,2.37,2.38,,2.43,,2.1936283111572266,2.368571428571429,2.362142857142858,,,,
2014-07-11,2.36,2.38,2.35,2.36,,2.38,,2.2084803581237797,2.3700000000000006,2.364285714285715,,,,
2014-07-14,2.33,2.36,2.32,2.32,,2.35,,2.227180004119873,2.361428571428572,2.362857142857144,,,,
2014-07-15,2.35,2.385,2.34,2.35,,2.29,,2.241888999938965,2.3585714285714294,2.3614285714285725,,,,
2014-07-16,2.38,2.39,2.36,2.37,,2.3400000000000003,,2.252598285675049,2.361428571428572,2.3607142857142867,,,,
2014-07-17,2.37,2.44,2.37,2.4,,2.35,,2.2593064308166504,2.367142857142858,2.3621428571428575,2.3593333333333337,,,
2014-07-18,2.39,2.45,2.37,2.42,,2.42,,2.2620162963867188,2.3714285714285714,2.366428571428572,2.3590000000000004,,,
2014-07-21,2.47,2.5,2.4,2.4,,2.48,,2.260738611221313,2.3742857142857146,2.3714285714285723,2.360333333333334,,,
2014-07-22,2.4,2.42,2.39,2.41,,2.48,,2.255488395690918,2.3814285714285717,2.3757142857142868,2.3630000000000004,,,
2014-07-23,2.41,2.45,2.4,2.45,,2.47,,2.2462868690490723,2.4,2.3807142857142867,2.3670000000000004,,,
2014-07-24,2.44,2.55,2.42,2.52,,2.53,,2.23315954208374,2.424285714285714,2.391428571428573,2.373333333333334,,,
2014-07-25,2.52,2.6,2.45,2.52,,2.64,,2.216138362884521,2.4457142857142853,2.40357142857143,2.3783333333333334,,,
2014-07-28,2.52,2.52,2.46,2.46,,2.62,,2.208563804626465,2.454285714285714,2.4107142857142874,2.382,,,
2014-07-29,2.46,2.48,2.44,2.48,,2.52,,2.198976993560791,2.462857142857143,2.4171428571428586,2.3860000000000006,,,
2014-07-30,2.48,2.55,2.47,2.48,,2.55,,2.1868081092834477,2.4742857142857146,2.4242857142857153,2.390333333333334,,,
2014-07-31,2.6,2.6,2.46,2.49,,2.51,,2.17212438583374,2.485714285714286,2.4335714285714296,2.395000000000001,,,
2014-08-01,2.45,2.46,2.42,2.44,,2.4600000000000004,,2.154522657394409,2.484285714285715,2.442142857142858,2.398000000000001,,,
2014-08-04,2.44,2.44,2.44,2.44,,2.36,,2.1353628635406494,2.4728571428571438,2.4485714285714293,2.4016666666666677,,,
2014-08-05,2.44,2.46,2.43,2.45,,2.42,,2.1493093967437744,2.4628571428571435,2.454285714285715,2.405333333333334,,,
2014-08-06,2.45,2.45,2.42,2.45,,2.4200000000000004,,2.164541721343994,2.461428571428572,2.457857142857144,2.408000000000001,,,
2014-08-07,2.45,2.49,2.44,2.47,,2.4200000000000004,,2.183337688446045,2.4600000000000004,2.4614285714285726,2.411000000000001,,,
2014-08-08,2.47,2.47,2.44,2.44,,2.45,,2.2031941413879395,2.4542857142857146,2.4642857142857153,2.413000000000001,,,
2014-08-11,2.44,2.5,2.44,2.48,,2.44,,2.223959922790528,2.4528571428571433,2.4692857142857148,2.417000000000001,,,
2014-08-12,2.47,2.49,2.46,2.49,,2.52,,2.2439136505126958,2.4600000000000004,2.4721428571428574,2.4223333333333343,,,
2014-08-13,2.49,2.5,2.48,2.5,,2.53,2.488000000000001,2.2630541324615483,2.468571428571429,2.470714285714286,2.4273333333333347,,,
2014-08-14,2.5,2.5,2.5,2.5,,2.55,2.496,2.282778739929199,2.475714285714286,2.4692857142857143,2.4313333333333347,,,
2014-08-15,2.5,2.5,2.48,2.5,,2.53,2.498,2.302581787109375,2.482857142857143,2.472142857142857,2.435666666666668,,,
2014-08-18,2.47,2.55,2.47,2.53,,2.56,2.5,2.321568489074707,2.491428571428572,2.475714285714286,2.441666666666668,,,
2014-08-19,2.49,2.5,2.48,2.5,,2.58,2.521,2.3397216796875,2.5000000000000004,2.4771428571428578,2.446333333333335,,,
2014-08-20,2.5,2.5,2.48,2.5,,2.51,2.512,2.3570351600646973,2.502857142857143,2.477857142857143,2.4500000000000015,,,
2014-08-21,2.5,2.5,2.48,2.49,,2.5,2.5,2.3735032081604004,2.502857142857143,2.481428571428572,2.453666666666668,,,
2014-08-22,2.49,2.6,2.47,2.48,,2.4800000000000004,2.495,2.389120101928711,2.5000000000000004,2.484285714285715,2.457666666666668,,,
2014-08-25,2.48,2.5,2.48,2.5,,2.46,2.483,2.4038801193237305,2.5000000000000004,2.4878571428571434,2.4636666666666684,,,
2014-08-26,2.5,2.53,2.45,2.49,,2.47,2.49,2.417778491973877,2.4985714285714287,2.490714285714286,2.468333333333335,,,
2014-08-27,2.53,2.65,2.53,2.64,,2.4800000000000004,2.4900000000000007,2.4308104515075684,2.5142857142857147,2.502857142857143,2.477333333333335,,,
2014-08-28,2.65,2.67,2.6,2.63,,2.78,2.5500000000000007,2.442971706390381,2.532857142857143,2.5164285714285723,2.485000000000001,2.422166666666667,,
2014-08-29,2.62,2.62,2.54,2.59,,2.77,2.615,2.45425796508789,2.545714285714286,2.524285714285715,2.490666666666668,2.4248333333333334,,
2014-09-01,2.57,2.67,2.57,2.59,,2.7,2.5989999999999998,2.464665412902832,2.56,2.5314285714285716,2.497000000000001,2.4286666666666665,,
2014-09-02,2.6,2.64,2.58,2.64,,2.68,2.602,2.474191188812256,2.582857142857143,2.541428571428572,2.504666666666668,2.433833333333333,,
2014-09-03,2.64,2.75,2.62,2.72,,2.79,2.6300000000000003,2.4828314781188965,2.6142857142857143,2.5571428571428574,2.513666666666668,2.440333333333333,,
2014-09-04,2.74,2.85,2.68,2.84,,2.8000000000000003,2.7039999999999997,2.490583896636963,2.664285714285714,2.5814285714285714,2.524333333333335,2.4488333333333325,,
2014-09-05,2.85,2.99,2.8,2.92,,3.05,2.804,2.497445106506348,2.704285714285714,2.6092857142857144,2.5376666666666683,2.457999999999999,,
2014-09-08,2.95,2.95,2.83,2.83,,3.25,2.8560000000000003,2.503413677215576,2.7328571428571427,2.632857142857143,2.550000000000002,2.4659999999999993,,
2014-09-09,2.88,2.9,2.8,2.85,,3.0700000000000003,2.84,2.5084872245788574,2.77,2.657857142857143,2.562333333333335,2.4741666666666657,,
2014-09-10,2.85,2.94,2.84,2.92,,3.06,2.839,2.512664318084717,2.8171428571428576,2.6885714285714286,2.5770000000000013,2.4836666666666654,,
2014-09-11,2.91,2.95,2.89,2.9,,3.12,2.904000000000001,2.5207538604736333,2.8542857142857145,2.718571428571429,2.5906666666666687,2.492833333333332,,
2014-09-12,2.89,2.9,2.79,2.9,,2.96,2.899,2.531301498413086,2.88,2.7471428571428573,2.606000000000002,2.5019999999999993,,
2014-09-15,2.9,2.9,2.84,2.88,,2.88,2.899,2.541175365447998,2.8857142857142857,2.775,2.620666666666669,2.5111666666666657,,
2014-09-16,2.88,2.95,2.86,2.95,,2.93,2.8879999999999995,2.5503735542297363,2.8899999999999997,2.7971428571428576,2.6373333333333355,2.521333333333332,,
2014-09-17,2.93,2.965,2.9,2.96,,3.0500000000000003,2.9330000000000003,2.558894157409668,2.9085714285714284,2.8207142857142857,2.654333333333335,2.5311666666666652,,
2014-09-18,2.96,2.96,2.9,2.93,,3.0,2.95,2.566736221313477,2.9199999999999995,2.8449999999999998,2.669666666666669,2.540333333333332,,
2014-09-19,2.94,3.14,2.93,2.99,,2.9600000000000004,2.9330000000000003,2.573897361755371,2.9299999999999997,2.8735714285714287,2.688000000000002,2.550499999999999,,
2014-09-22,3.0,3.03,2.95,3.0,,3.0800000000000005,2.9750000000000005,2.580377578735352,2.9442857142857144,2.8992857142857145,2.705333333333335,2.5611666666666655,,
2014-09-23,3.0,3.105,2.98,3.0,,3.12,2.9970000000000008,2.586174964904785,2.9585714285714286,2.9192857142857145,2.7223333333333355,2.572333333333332,,
2014-09-24,3.01,3.05,2.97,3.0,,3.05,2.999,2.5912890434265137,2.975714285714286,2.9307142857142856,2.739000000000002,2.5831666666666653,,
2014-09-25,3.0,3.01,2.94,3.0,,3.04,3.0,2.5957188606262207,2.982857142857143,2.9364285714285714,2.7556666666666687,2.593499999999999,,
2014-09-26,2.95,3.025,2.89,2.95,,3.07,3.0,2.5994644165039062,2.9814285714285718,2.9450000000000003,2.770666666666669,2.6031666666666653,,
2014-09-29,2.96,2.99,2.87,2.95,,2.91,2.965,2.6025257110595703,2.9842857142857144,2.9521428571428574,2.7846666666666686,2.613166666666665,,
2014-09-30,3.0,3.0,2.91,2.94,,2.9000000000000004,2.955,2.6049017906188965,2.9771428571428578,2.9535714285714287,2.7993333333333354,2.6228333333333316,,
2014-10-01,2.94,3.1,2.93,3.08,,2.88,2.9490000000000003,2.606593608856201,2.988571428571429,2.9664285714285716,2.8186666666666684,2.634333333333332,,
2014-10-02,3.07,3.07,2.96,3.0,,3.16,3.017,2.6076016426086426,2.988571428571429,2.9735714285714288,2.835666666666669,2.6446666666666654,,
2014-10-03,2.99,2.99,2.93,2.93,,3.0,3.027,2.6079249382019043,2.9785714285714286,2.9771428571428573,2.850666666666669,2.6541666666666655,,
2014-10-07,3.05,3.05,2.95,3.0,,2.91,2.9589999999999996,2.607565402984619,2.9785714285714286,2.9807142857142854,2.8673333333333355,2.665499999999999,,
2014-10-08,2.99,3.0,2.95,2.98,,3.05,2.965,2.606522560119629,2.982857142857143,2.9821428571428568,2.8836666666666693,2.675999999999999,,
2014-10-09,2.95,3.0,2.95,3.0,,3.02,2.9650000000000003,2.606332302093506,2.9900000000000007,2.9871428571428567,2.8956666666666693,2.6864999999999983,,
2014-10-10,2.95,3.0,2.91,2.92,,2.92,2.9850000000000003,2.6100635528564453,2.987142857142857,2.9821428571428568,2.905333333333336,2.695166666666665,2.583222222222222,
2014-10-13,2.92,2.99,2.82,2.87,,2.84,2.9490000000000003,2.6132183074951167,2.9571428571428577,2.972857142857142,2.9146666666666694,2.702666666666665,2.588111111111111,
2014-10-14,2.9,3.0,2.87,2.96,,2.81,2.8990000000000005,2.6157946586608887,2.951428571428572,2.9699999999999993,2.9270000000000023,2.7119999999999984,2.5947777777777774,
2014-10-15,2.94,3.0,2.94,3.0,,2.92,2.9290000000000007,2.6177897453308105,2.961428571428572,2.9699999999999993,2.9390000000000023,2.7218333333333318,2.6022222222222218,
2014-10-16,2.9,2.98,2.77,2.81,,3.02,2.992,2.6192035675048833,2.9342857142857146,2.956428571428571,2.9420000000000024,2.727833333333332,2.607555555555555,
2014-10-17,2.84,2.91,2.76,2.78,,2.62,2.863,2.620032787322998,2.905714285714286,2.9442857142857135,2.9400000000000026,2.7321666666666653,2.612555555555555,
2014-10-20,2.78,2.98,2.75,2.89,,2.64,2.8359999999999994,2.620276927947998,2.8900000000000006,2.939999999999999,2.9390000000000023,2.7383333333333315,2.6183333333333323,
2014-10-21,2.88,2.94,2.74,2.89,,2.91,2.9010000000000002,2.619933605194092,2.885714285714286,2.936428571428571,2.9410000000000025,2.745499999999998,2.6243333333333325,
2014-10-22,2.9,2.95,2.9,2.93,,2.8200000000000003,2.9010000000000002,2.6190013885498047,2.8942857142857146,2.9257142857142853,2.9436666666666698,2.7529999999999983,2.6306666666666656,
2014-10-23,2.85,2.95,2.84,2.94,,2.8600000000000003,2.918,2.6174793243408203,2.891428571428572,2.921428571428571,2.944333333333336,2.760666666666665,2.637222222222221,
2014-10-24,2.94,2.95,2.93,2.94,,3.07,2.931,2.615365982055664,2.8828571428571435,2.9221428571428563,2.945666666666669,2.768166666666665,2.643777777777777,
2014-10-27,2.94,2.94,2.89,2.92,,3.1,2.9350000000000005,2.612659454345703,2.898571428571429,2.916428571428571,2.9463333333333357,2.7761666666666645,2.65011111111111,
2014-10-28,2.92,2.92,2.89,2.9,,2.95,2.934,2.609358787536621,2.915714285714286,2.910714285714285,2.9470000000000027,2.7838333333333316,2.6564444444444435,
2014-10-29,2.9,2.92,2.86,2.88,,2.91,2.918,2.605462551116944,2.914285714285714,2.9021428571428567,2.944666666666669,2.790999999999998,2.6624444444444433,
2014-10-30,2.9,2.92,2.88,2.9,,2.83,2.886,2.6009693145751958,2.915714285714285,2.9007142857142854,2.9426666666666694,2.7984999999999984,2.668333333333332,
2014-10-31,2.92,3.0,2.92,2.95,,2.86,2.8939999999999992,2.595879077911377,2.918571428571428,2.906428571428571,2.943333333333336,2.8064999999999984,2.674666666666665,
2014-11-03,2.94,2.955,2.93,2.95,,2.9600000000000004,2.9399999999999995,2.590188980102539,2.919999999999999,2.9057142857142857,2.942000000000003,2.814999999999998,2.6809999999999987,
2014-11-04,2.94,2.95,2.89,2.9,,2.9800000000000004,2.945,2.5838985443115234,2.9142857142857133,2.8985714285714286,2.93866666666667,2.8219999999999983,2.6869999999999985,
2014-11-05,2.93,2.95,2.85,2.9,,2.9,2.91,2.57700777053833,2.9114285714285697,2.905,2.935333333333337,2.8288333333333315,2.693333333333332,
2014-11-06,2.9,2.925,2.85,2.87,,2.92,2.8999999999999995,2.569514274597168,2.9071428571428557,2.9114285714285706,2.9310000000000036,2.8349999999999986,2.69911111111111,
2014-11-07,2.88,3.03,2.85,3.0,,2.8400000000000003,2.885,2.5658411979675293,2.924285714285713,2.9192857142857136,2.9310000000000036,2.843333333333332,2.7059999999999986,
2014-11-10,3.02,3.02,2.97,3.01,,3.05,2.928,2.569899559020996,2.9399999999999986,2.927857142857142,2.933000000000004,2.8518333333333317,2.7131111111111097,
2014-11-11,3.02,3.04,2.95,3.0,,3.0699999999999994,2.972999999999999,2.573672294616699,2.947142857142856,2.932857142857142,2.9346666666666703,2.859666666666665,2.7203333333333317,
2014-11-12,3.0,3.0,2.93,2.95,,3.1,2.991,2.5771589279174805,2.947142857142856,2.9335714285714283,2.9350000000000036,2.8671666666666646,2.726888888888887,
2014-11-13,2.95,2.97,2.91,2.95,,3.0000000000000004,2.9649999999999994,2.5803608894348145,2.9542857142857133,2.934285714285714,2.9306666666666703,2.8746666666666645,2.7331111111111093,
2014-11-14,2.95,2.955,2.9,2.94,,3.03,2.955,2.58327865600586,2.9599999999999995,2.9357142857142855,2.9286666666666705,2.8821666666666643,2.739333333333332,
2014-11-17,2.95,2.95,2.9,2.92,,2.88,2.944,2.585913181304932,2.967142857142856,2.937142857142857,2.928333333333337,2.8894999999999977,2.7455555555555535,
2014-11-18,2.95,2.95,2.82,2.86,,2.83,2.928,2.588264942169189,2.947142857142856,2.9357142857142855,2.92366666666667,2.895499999999998,2.7515555555555538,
2014-11-19,2.94,2.94,2.9,2.92,,2.72,2.887,2.5903353691101074,2.9342857142857133,2.937142857142857,2.92166666666667,2.902666666666664,2.7578888888888873,
2014-11-20,2.86,2.95,2.86,2.95,,2.89,2.902,2.592123508453369,2.9271428571428557,2.937142857142857,2.9200000000000035,2.907833333333331,2.7643333333333313,
2014-11-21,2.95,2.99,2.92,2.95,,2.95,2.914,2.593632221221924,2.9271428571428557,2.937142857142857,2.921000000000004,2.913166666666664,2.7704444444444425,
2014-11-24,2.95,2.95,2.82,2.93,,2.9600000000000004,2.9410000000000003,2.594860553741455,2.924285714285713,2.939285714285714,2.9230000000000036,2.918833333333331,2.776111111111109,
2014-11-25,2.95,3.0,2.82,2.86,,2.9400000000000004,2.938,2.595810413360596,2.9128571428571415,2.9364285714285714,2.9196666666666706,2.923333333333331,2.7812222222222203,
2014-11-26,2.95,2.95,2.79,2.8,,2.86,2.8739999999999997,2.596482276916504,2.895714285714284,2.9314285714285715,2.913000000000004,2.925999999999998,2.785555555555554,
2014-11-27,2.83,2.89,2.79,2.89,,2.68,2.818,2.596877098083496,2.8999999999999986,2.9235714285714285,2.9156666666666706,2.928833333333331,2.7904444444444425,
2014-11-28,2.89,2.89,2.86,2.89,,2.83,2.8720000000000003,2.5969948768615723,2.895714285714284,2.915,2.919333333333337,2.929666666666664,2.7945555555555535,
2014-12-01,2.86,2.89,2.84,2.85,,2.83,2.8720000000000003,2.596837043762207,2.8814285714285703,2.9042857142857144,2.9180000000000037,2.928499999999998,2.79822222222222,
2014-12-02,2.83,2.86,2.63,2.79,,2.77,2.8660000000000005,2.5964035987854004,2.858571428571427,2.892857142857143,2.9146666666666703,2.927833333333331,2.8018888888888864,
2014-12-03,2.75,2.85,2.74,2.84,,2.72,2.8080000000000003,2.595696926116944,2.8457142857142843,2.8850000000000002,2.91166666666667,2.9276666666666644,2.805888888888887,
