Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
2003-10-23,2.2,2.27,2.15,2.25,28859134.0,,,1.009895086288452,,,,,,
2003-10-24,2.25,2.25,2.2,2.2,7942066.0,,,1.152385711669922,,,,,,
2003-10-27,2.2,2.2,2.16,2.16,2957957.0,,,1.3703348636627195,,,,,,
2003-10-28,2.15,2.16,2.1,2.13,1875629.0,,,1.6041707992553709,,,,,,
2003-10-29,2.12,2.13,2.11,2.12,1638607.0,,,1.7974278926849363,,,,,,
2003-10-30,2.12,2.13,2.12,2.12,992206.0,,,1.958033323287964,,,,,,
2003-10-31,2.12,2.13,2.11,2.12,607660.0,1.99,,2.0809717178344727,2.1571428571428575,,,,,
2003-11-03,2.14,2.16,2.13,2.16,416467.0,2.04,,2.167351245880127,2.1442857142857146,,,,,
2003-11-04,2.15,2.17,2.14,2.15,322063.0,2.16,,2.2397549152374268,2.1371428571428575,,,,,
2003-11-05,2.14,2.15,2.12,2.12,519158.0,2.17,,2.297989845275879,2.1314285714285717,,,,,
2003-11-06,2.12,2.13,2.11,2.11,1710007.0,2.12,,2.3416874408721924,2.128571428571429,,,,,
2003-11-07,2.12,2.12,2.11,2.12,1157037.0,2.1,,2.371142625808716,2.128571428571429,,,,,
2003-11-10,2.12,2.2,2.12,2.19,694342.0,2.12,,2.387176036834717,2.138571428571429,,,,,
2003-11-11,2.17,2.19,2.16,2.18,481938.0,2.22,,2.389822483062744,2.1471428571428572,2.152142857142857,,,,
2003-11-12,2.19,2.19,2.17,2.17,529080.0,2.2100000000000004,,2.379147291183472,2.148571428571429,2.146428571428572,,,,
2003-11-13,2.16,2.17,2.15,2.16,102304.0,2.22,,2.355507135391236,2.1500000000000004,2.143571428571429,,,,
2003-11-14,2.16,2.17,2.15,2.16,1298985.0,2.2100000000000004,,2.3188931941986084,2.1557142857142857,2.143571428571429,,,,
2003-11-17,2.15,2.16,2.15,2.15,199497.0,2.2,,2.258175849914551,2.1614285714285715,2.145000000000001,,,,
2003-11-18,2.15,2.16,2.15,2.15,962087.0,2.11,,2.2090861797332764,2.165714285714285,2.147142857142858,,,,
2003-11-19,2.15,2.15,2.11,2.13,161224.0,2.12,,2.1485393047332764,2.1571428571428566,2.1478571428571436,,,,
2003-11-20,2.14,2.15,2.13,2.14,328917.0,2.09,,2.0775022506713867,2.151428571428571,2.149285714285715,,,,
2003-11-21,2.13,2.14,2.11,2.11,1149866.0,2.12,,2.010631799697876,2.142857142857142,2.1457142857142864,,,,
2003-11-24,2.15,2.15,2.1,2.1,151047.0,2.06,,1.9664113521575928,2.1342857142857135,2.142142857142858,,,,
2003-11-25,2.11,2.13,2.11,2.12,294019.0,2.0500000000000003,,1.9684641361236568,2.1285714285714277,2.1421428571428573,,,,
2003-11-26,2.12,2.12,2.07,2.09,127703.0,2.0900000000000003,,1.9672269821166992,2.119999999999999,2.140714285714286,,,,
2003-11-27,2.08,2.09,2.06,2.09,180497.0,2.05,,1.9628171920776367,2.1114285714285703,2.138571428571429,,,,
2003-11-28,2.08,2.09,2.04,2.07,900945.0,2.04,,1.9553744792938232,2.102857142857142,2.13,,,,
2003-12-01,2.06,2.06,1.98,2.0,2511578.0,2.03,,1.9450607299804688,2.0828571428571414,2.117142857142857,,,,
2003-12-02,2.0,2.04,2.0,2.02,700512.0,1.9,,1.9541578292846682,2.069999999999999,2.106428571428571,,,,
2003-12-03,2.03,2.06,2.01,2.04,225952.0,1.92,,1.968672513961792,2.06142857142857,2.0978571428571424,2.127666666666667,,,
2003-12-04,2.05,2.09,2.05,2.08,412150.0,1.99,,1.981823205947876,2.0557142857142843,2.0921428571428566,2.1220000000000003,,,
2003-12-05,2.1,2.1,2.08,2.08,1201617.0,2.0700000000000003,,1.9935991764068604,2.054285714285713,2.087142857142857,2.1180000000000003,,,
